# 2012/03/24 
# PHX , S.J 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,15,89,23,32,41,39,9,29,3,88,31
2,1,0,20:00,4,0,11,39,1,0,0,0,0,11,15,89,23,32,41,39,9,29,3,88,31
3,1,0,19:20,5,0,50,29,2,0,0,0,0,50,13,28,16,26,41,8,19,29,22,44,31
4,1,0,19:11,8,1,19,0,3,0,0,0,0,50,13,28,16,26,41,8,12,19,22,44,31
5,1,0,19:04,5,1,8,16,3,0,0,0,0,50,13,28,16,26,41,8,12,19,22,44,31
6,1,0,18:41,13,1,22,16,2,0,0,0,0,8,22,37,16,26,41,17,18,26,22,60,31
7,1,0,18:34,1,1,60,0,3,54,1,0,0,8,22,37,16,26,41,17,18,26,22,60,31
8,1,0,18:12,8,0,22,0,2,0,0,0,0,8,22,37,3,26,41,34,57,69,60,61,31
9,1,0,18:02,5,1,60,12,3,0,0,0,0,24,49,12,3,53,41,34,57,69,60,61,31
10,1,0,17:50,1,0,53,0,1,72,1,0,0,24,49,12,3,53,41,34,57,69,3,61,31
11,1,0,17:39,1,1,3,0,3,56,1,0,0,24,49,12,3,53,41,34,57,69,3,88,31
12,1, ,17:39,3,1,0,0,0,0,0,0,0,24,49,12,3,53,41,34,57,69,3,88,31
13,1,0,17:39,4,0,15,39,1,0,0,0,0,11,15,89,23,32,41,39,9,29,3,88,31
14,1,0,17:22,13,0,15,3,2,0,0,0,0,11,15,89,23,32,41,39,9,29,3,88,31
15,1, ,17:21,3,4,0,0,0,0,0,0,0,11,15,89,23,32,41,39,9,29,3,88,31
16,1,0,17:21,4,1,50,8,2,0,0,0,0,50,13,28,23,32,41,8,12,19,22,44,31
17,1,0,17:10,5,0,32,22,2,0,0,0,0,50,13,28,23,32,41,8,12,19,22,44,31
18,1,0,17:08,1,1,19,0,3,34,2,0,0,50,13,28,23,32,41,8,12,19,22,44,31
19,1, ,17:08,3,1,0,0,0,0,0,0,0,50,13,28,23,32,41,8,12,19,22,44,31
20,1,0,17:07,4,0,15,9,2,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
21,1, ,16:59,3,5,0,0,0,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
22,1,0,16:59,4,0,11,29,1,0,0,0,0,11,15,89,3,53,41,39,9,29,3,88,31
23,1, ,16:53,3,0,0,0,0,0,0,0,0,11,15,89,3,53,41,39,9,29,3,88,31
24,1,0,16:53,4,1,22,26,1,0,0,0,0,8,22,37,16,26,41,17,18,26,60,61,31
25,1,0,16:08,8,1,17,0,3,0,0,0,0,8,22,37,16,26,41,17,26,34,22,44,31
26,1,0,15:45,7,1,22,0,1,77,2,0,0,24,49,12,23,32,41,34,57,69,22,44,31
27,1,0,15:28,5,1,69,12,2,0,0,0,0,24,49,12,23,32,41,12,57,69,22,44,31
28,1,0,15:23,5,1,57,24,1,0,0,0,0,24,49,12,23,32,41,12,57,69,22,44,31
29,1,0,15:22,8,1,57,0,1,0,0,0,0,24,49,12,23,32,41,12,57,69,22,44,31
30,1,0,14:37,8,1,29,0,1,0,0,0,0,50,13,28,3,53,41,39,9,29,22,44,31
31,1,0,14:34,13,1,9,53,2,0,0,0,0,50,13,28,3,53,41,39,9,29,22,44,31
32,1, ,14:33,3,4,0,0,0,0,0,0,0,50,13,28,3,53,41,39,9,29,22,44,31
33,1,0,14:33,4,1,11,39,3,0,0,0,0,11,15,89,16,26,41,39,9,29,22,44,31
34,1,0,14:14,5,0,11,39,2,0,0,0,0,11,15,89,16,26,41,39,9,29,22,44,31
35,1,0,14:10,13,1,44,16,2,0,0,0,0,11,15,89,16,26,41,39,9,29,22,44,31
36,1,0,14:09,8,1,9,0,3,0,0,0,0,11,15,89,16,26,41,39,9,29,22,44,31
37,1,0,13:59,13,1,22,16,2,0,0,0,0,11,15,89,16,26,41,39,9,29,22,44,31
38,1,0,13:45,5,0,89,44,3,0,0,0,0,15,22,89,3,53,41,39,9,29,22,44,31
39,1,0,13:29,2,0,22,0,3,22,3,8,37,8,22,37,3,53,41,17,18,26,60,61,31
40,1,0,13:29,4,1,22,26,1,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
41,1, ,13:17,3,0,0,0,0,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
42,1,0,13:17,4,0,22,26,1,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
43,1,0,12:43,5,1,18,8,3,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
44,1,0,12:14,13,1,88,22,2,0,0,0,0,8,22,37,3,53,41,8,18,26,60,88,31
45,1,0,12:09,1,0,37,0,3,31,2,0,0,50,28,37,16,26,41,8,12,19,60,88,31
46,1,0,11:54,9,0,28,0,2,0,0,0,0,50,13,28,16,26,41,8,12,19,44,60,31
47,1,0,11:51,2,1,12,0,3,9,1,19,0,50,13,28,16,26,41,8,12,19,44,60,31
48,1,0,11:51,4,1,11,39,1,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
49,1,0,11:43,1,1,39,0,3,30,1,0,0,11,15,89,3,53,41,39,9,29,22,44,31
50,1, ,11:42,3,1,0,0,0,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
51,1,0,11:42,4,0,15,39,2,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
52,1,0,11:24,9,1,31,0,2,0,0,0,0,11,15,89,23,32,41,39,9,29,22,44,31
53,1,0,11:07,1,0,32,0,3,33,1,0,0,11,15,89,23,32,41,39,9,29,22,44,31
54,1,0,10:59,5,1,29,32,3,0,0,0,0,11,15,89,23,32,41,69,9,29,3,88,31
55,1,0,10:47,5,0,16,57,1,0,0,0,0,24,49,12,16,26,41,34,57,69,3,88,31
56,1,0,10:36,13,1,3,16,2,0,0,0,0,24,49,12,16,26,41,34,57,69,3,88,31
57,1,0,10:28,1,1,57,0,3,8,6,0,0,24,49,12,16,26,41,34,57,69,3,88,31
58,1,0,10:27,1,1,57,0,3,7,6,0,0,24,49,12,16,26,41,34,57,69,3,88,31
59,1, ,10:26,3,0,0,0,0,0,0,0,0,24,49,12,16,26,41,34,57,69,3,88,31
60,1,0,10:26,6,0,26,0,2,0,0,0,0,24,49,12,16,26,41,34,57,69,3,88,31
61,1,1,10:26,4,1,15,19,3,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
62,1,-1,10:17,13,1,22,32,2,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
63,1,1,10:09,7,1,8,0,3,39,2,0,0,15,28,23,32,41,0,8,12,19,39,22,31
64,1,-1,9:57,13,1,8,23,2,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
65,1,-1,9:49,13,1,22,15,2,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
66,1,1,9:24,7,1,9,0,3,49,2,0,0,11,22,16,53,41,0,57,9,29,60,88,31
67,1,-1,9:04,13,1,60,53,2,0,0,0,0,15,22,16,53,41,0,57,9,29,60,88,31
68,1,1,8:53,8,1,9,0,3,0,0,0,0,15,22,16,53,41,0,57,9,29,60,88,31
69,1,-1,8:49,13,1,88,15,2,0,0,0,0,15,22,16,53,41,0,57,9,29,60,88,31
70,1,-1,8:41,13,1,60,16,2,0,0,0,0,15,22,16,53,41,0,57,9,29,60,88,31
71,1,1,8:38,7,1,9,0,3,21,1,0,0,15,22,16,53,41,0,57,9,29,60,88,31
72,1,0,8:20,1,1,18,0,3,27,2,0,0,50,28,23,26,32,41,17,18,26,22,44,31
73,1,0,7:33,6,0,53,8,2,0,0,0,0,8,22,37,3,53,41,8,12,19,22,44,31
74,1, ,7:33,3,9,0,0,0,0,0,0,0,8,22,37,3,41,0,8,12,19,22,44,31
75,1,-1,7:33,4,0,15,19,2,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
76,1,1,7:06,7,1,8,0,3,47,1,0,0,15,28,23,32,41,0,8,12,19,39,22,31
77,1,1,7:03,6,1,19,23,0,0,0,0,0,15,28,23,32,41,0,8,12,19,39,22,31
78,1,0,7:03,4,0,22,26,3,0,0,0,0,22,37,3,16,41,0,26,9,44,88,31,0
79,1,0,6:59,13,0,3,26,2,0,0,0,0,22,37,3,16,41,0,26,9,44,88,31,0
80,1,0,6:16,1,0,13,0,3,38,1,0,0,50,13,3,32,41,0,39,9,44,88,31,0
81,1, ,6:15,3,0,0,0,0,0,0,0,0,50,13,3,32,41,0,39,9,44,88,31,0
82,1,0,6:15,4,1,11,39,2,0,0,0,0,11,89,23,32,41,0,39,29,22,61,31,0
83,1,0,5:55,5,0,11,61,3,0,0,0,0,11,89,23,32,41,0,39,29,22,61,31,0
84,1,0,4:43,1,0,53,0,3,29,1,0,0,8,22,37,3,53,41,8,12,19,60,88,31
85,1,0,4:26,9,1,88,0,2,0,0,0,0,8,22,37,16,26,41,8,12,19,60,88,31
86,1, ,4:12,3,0,0,0,0,0,0,0,0,8,22,37,16,26,41,8,26,69,60,88,31
87,1,0,4:12,4,0,22,69,1,0,0,0,0,8,22,37,16,26,41,34,57,69,3,88,31
88,1,0,4:01,5,0,16,69,2,0,0,0,0,8,22,37,16,26,41,34,57,69,3,88,31
89,1,0,3:53,13,1,57,22,2,0,0,0,0,8,22,37,16,26,41,34,57,69,3,88,31
90,1,0,3:36,13,1,57,16,2,0,0,0,0,8,22,37,16,26,41,34,57,69,3,88,31
91,1, ,3:35,3,4,0,0,0,0,0,0,0,8,22,37,16,26,41,34,57,69,3,88,31
92,1,0,3:35,4,0,11,39,2,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
93,1,0,3:13,7,1,9,0,3,45,1,0,0,11,15,89,3,53,41,39,9,29,22,44,31
94,1,0,3:09,13,1,44,3,2,0,0,0,0,11,15,89,3,53,41,39,9,29,22,44,31
95,1,0,2:49,5,1,29,15,2,0,0,0,0,11,15,89,23,32,41,39,9,29,22,44,31
96,1,0,2:38,5,1,12,28,3,0,0,0,0,11,28,89,23,32,41,8,12,19,3,88,31
97,1,0,2:32,2,1,88,0,3,38,1,8,19,50,28,89,23,32,41,8,12,19,3,88,31
98,1,0,2:32,4,0,50,19,1,0,0,0,0,50,13,28,23,32,41,8,12,19,3,88,31
99,1,0,2:19,9,0,41,0,2,0,0,0,0,50,13,28,23,32,41,8,12,19,3,88,31
100,1,0,2:18,7,1,19,0,3,31,1,0,0,50,13,28,23,32,41,8,12,19,3,88,31
101,1,0,2:16,1,1,12,0,3,19,5,0,0,50,13,28,23,32,41,8,12,19,3,88,31
102,1, ,2:15,3,1,0,0,0,0,0,0,0,50,13,28,23,32,41,8,12,19,3,88,31
103,1,0,2:15,4,1,50,19,3,0,0,0,0,50,13,28,3,53,41,8,12,19,3,88,31
104,1,0,1:48,5,0,3,26,2,0,0,0,0,50,13,28,3,53,41,17,18,26,60,88,31
105,1,0,1:32,1,0,49,0,3,31,3,0,0,24,49,12,16,26,41,17,18,26,60,61,31
106,1,0,1:25,13,0,26,26,2,0,0,0,0,24,49,12,16,26,41,17,18,26,60,61,31
107,1, ,1:15,3,11,0,0,0,0,0,0,0,24,49,12,16,26,41,17,18,69,60,61,31
108,1,0,1:15,4,1,24,69,1,0,0,0,0,24,49,12,16,26,41,34,57,69,60,61,31
109,1, ,0:33,3,2,0,0,0,0,0,0,0,8,22,37,16,53,41,39,9,29,22,61,31
110,1,0,0:33,4,0,22,39,1,0,0,0,0,8,22,37,3,53,41,39,9,29,22,44,31
111,1, ,0:31,3,10,0,0,0,0,0,0,0,8,22,37,3,53,41,39,9,29,22,44,31
112,1,0,0:31,4,1,22,29,1,0,0,0,0,8,22,37,3,53,41,39,9,29,22,44,31
113,1,0,0:02,9,1,44,0,2,0,0,0,0,8,22,37,3,53,41,39,9,29,22,44,31
114,1,0,0:01,2,0,53,0,3,31,1,22,0,8,22,37,3,53,41,39,9,29,22,44,31
115,1,0,0:01,4,1,22,39,1,0,0,0,0,8,22,37,3,53,41,39,9,29,22,44,31
116,1, ,0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,29,22,44,31
117,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2,0,20:00,4,0,22,26,1,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
119,2,0,19:47,8,1,88,0,3,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
120,2,0,19:45,1,1,3,0,3,37,1,0,0,8,22,37,3,53,41,17,18,26,3,88,31
121,2,0,19:30,9,1,18,0,3,0,0,0,0,8,22,37,3,53,41,17,18,26,3,88,31
122,2,0,19:11,2,0,28,0,3,7,0,13,0,11,13,28,16,26,41,18,39,9,3,22,31
123,2,0,19:11,4,1,11,8,1,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
124,2, ,19:06,3,10,0,0,0,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
125,2,0,19:06,4,1,11,8,1,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
126,2,0,18:57,5,0,28,44,1,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
127,2,0,18:47,13,0,11,61,2,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
128,2,0,18:42,13,0,32,12,2,0,0,0,0,11,13,28,23,32,41,8,12,19,44,61,31
129,2,0,18:34,7,1,12,0,3,29,1,0,0,11,13,28,23,32,41,8,12,19,44,61,31
130,2,0,18:24,1,1,8,0,3,28,1,0,0,15,50,89,3,53,41,8,19,34,3,88,31
