# 2012/03/27 
# NSH , STL 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
2,1,0,20:00,4,1,12,42,1,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
3,1,0,19:53,13,1,27,20,2,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
4,1,0,19:34,5,1,42,6,3,0,0,0,0,12,46,74,6,20,35,9,25,42,5,22,1
5,1,0,19:27,5,1,25,74,1,0,0,0,0,12,46,74,6,20,35,9,25,42,5,22,1
6,1, ,18:14,3,6,0,0,0,0,0,0,0,13,24,57,49,51,35,20,44,15,4,6,1
7,1,0,18:14,4,1,13,44,2,0,0,0,0,13,24,57,49,51,35,20,44,15,4,6,1
8,1,0,17:49,5,1,75,49,3,0,0,0,0,13,24,57,49,51,35,12,17,75,27,28,1
9,1,0,16:42,1,1,42,0,3,14,6,0,0,12,46,74,6,20,35,74,42,57,5,22,1
10,1, ,16:32,3,2,0,0,0,0,0,0,0,12,46,74,6,20,35,74,42,57,5,22,1
11,1,0,16:32,4,1,11,21,1,0,0,0,0,11,27,47,8,75,35,9,21,25,27,28,1
12,1,0,16:04,1,0,27,0,1,79,1,0,0,11,27,47,8,75,35,9,21,25,27,28,1
13,1,0,15:56,5,0,27,9,3,0,0,0,0,11,27,47,8,75,35,9,21,25,27,28,1
14,1,0,15:17,5,0,24,4,3,0,0,0,0,13,24,57,49,51,35,20,44,15,4,6,1
15,1,0,15:06,5,1,15,51,3,0,0,0,0,13,24,57,49,51,35,17,44,15,5,22,1
16,1,0,14:48,5,1,75,51,3,0,0,0,0,28,33,18,20,51,35,12,17,75,5,22,1
17,1,0,14:43,5,1,17,18,2,0,0,0,0,28,33,18,6,20,35,12,17,75,5,22,1
18,1,0,14:24,1,0,6,0,3,31,3,0,0,28,33,18,6,20,35,12,17,75,5,22,1
19,1, ,14:23,3,1,0,0,0,0,0,0,0,28,33,18,6,20,35,12,17,75,5,22,1
20,1,0,14:23,4,0,12,42,3,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
21,1,0,14:13,8,0,46,0,3,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
22,1,0,14:11,13,0,46,42,2,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
23,1,0,14:04,13,1,42,12,2,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
24,1, ,14:03,3,4,0,0,0,0,0,0,0,12,46,74,6,20,35,74,42,57,27,28,1
25,1,0,14:03,4,1,28,21,3,0,0,0,0,11,28,47,8,75,35,9,21,25,5,22,1
26,1,0,13:35,5,1,25,27,1,0,0,0,0,11,27,47,8,75,35,9,21,25,5,22,1
