# 2012/04/13 
# L.A , VAN 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,77,74,7,8,32,33,36,14,6,23,1
2,1,0,20:00,4,0,10,33,1,0,0,0,0,10,77,74,7,8,32,33,36,14,6,23,1
3,1,0,19:31,1,1,14,0,3,8,5,0,0,10,77,74,7,8,32,33,36,14,6,23,1
4,1, ,19:30,3,1,0,0,0,0,0,0,0,10,77,74,7,8,32,33,36,14,6,23,1
5,1,0,19:30,4,0,11,17,2,0,0,0,0,11,14,23,26,33,32,17,7,20,2,3,1
6,1,0,19:25,5,1,20,33,3,0,0,0,0,11,14,23,26,33,32,17,7,20,2,3,1
7,1,0,19:20,5,1,7,26,3,0,0,0,0,11,14,23,26,33,32,17,7,20,2,3,1
8,1, ,19:05,3,2,0,0,0,0,0,0,0,11,14,23,26,33,32,17,7,20,2,3,1
9,1,0,19:05,4,1,28,26,1,0,0,0,0,22,28,25,2,27,32,26,40,21,4,8,1
10,1,0,18:43,8,1,26,0,3,0,0,0,0,22,28,25,2,27,32,26,40,21,4,8,1
11,1,0,18:25,1,1,21,0,3,39,1,0,0,22,28,25,2,27,32,26,40,21,4,8,1
12,1, ,18:19,3,6,0,0,0,0,0,0,0,22,28,25,2,27,32,26,40,21,4,8,1
13,1,0,18:19,4,0,28,33,2,0,0,0,0,22,28,25,2,27,32,33,36,14,6,23,1
14,1,0,18:04,7,1,23,0,3,64,3,0,0,22,28,25,2,27,32,33,36,14,6,23,1
15,1,0,17:53,5,1,23,22,3,0,0,0,0,22,28,25,2,27,32,33,36,14,6,23,1
16,1,0,17:47,1,1,33,0,3,38,1,0,0,10,77,74,2,7,32,33,36,14,3,23,1
17,1,0,17:47,5,0,2,14,1,0,0,0,0,10,77,74,2,7,32,33,36,14,3,23,1
18,1, ,17:47,3,1,0,0,0,0,0,0,0,10,77,74,2,7,32,33,36,14,3,23,1
19,1,0,17:47,4,1,10,27,3,0,0,0,0,10,77,74,7,8,32,25,27,9,2,3,1
20,1,0,17:42,13,1,3,8,2,0,0,0,0,10,77,74,7,8,32,25,27,9,2,3,1
21,1, ,17:34,3,6,0,0,0,0,0,0,0,10,77,74,7,8,32,25,27,9,2,3,1
22,1,0,17:34,4,1,11,27,2,0,0,0,0,11,14,23,26,33,32,25,27,9,2,3,1
23,1,0,17:25,7,0,26,0,3,58,1,0,0,11,14,23,26,33,32,25,27,9,2,3,1
24,1,0,17:22,5,1,9,33,2,0,0,0,0,11,14,23,26,33,32,25,27,9,2,3,1
25,1,0,17:14,8,0,23,0,3,0,0,0,0,11,14,23,26,33,32,25,27,9,2,3,1
26,1,0,16:45,13,0,23,8,2,0,0,0,0,11,14,23,26,33,32,17,7,20,2,8,1
27,1,0,16:33,5,0,24,20,3,0,0,0,0,24,14,23,26,33,32,17,7,20,2,8,1
28,1,0,16:27,5,0,24,8,3,0,0,0,0,24,48,71,7,8,32,17,40,21,2,8,1
29,1,0,16:11,1,0,7,0,3,54,2,0,0,24,48,71,7,8,32,17,40,21,2,8,1
30,1,0,15:38,9,1,33,0,2,0,0,0,0,10,77,74,2,27,32,33,36,21,4,6,1
31,1,0,15:26,13,0,27,6,2,0,0,0,0,10,77,74,2,27,32,33,36,21,4,6,1
32,1,0,15:26,7,0,74,0,3,13,2,0,0,10,77,74,2,27,32,33,36,21,4,6,1
33,1,0,15:04,13,1,4,33,2,0,0,0,0,22,28,25,26,33,32,33,14,20,3,4,1
34,1,0,14:55,1,1,20,0,3,38,1,0,0,22,28,25,26,33,32,17,33,20,3,23,1
35,1,0,14:25,1,1,17,0,3,40,1,0,0,11,22,23,26,33,32,17,7,20,3,23,1
36,1,0,14:13,5,1,7,8,1,0,0,0,0,11,22,23,7,8,32,17,7,20,3,23,1
37,1,0,13:43,5,1,26,8,3,0,0,0,0,11,14,23,7,8,32,26,40,21,2,8,1
38,1,0,13:40,7,1,21,0,3,19,0,0,0,11,14,23,7,8,32,26,40,21,2,8,1
39,1,0,13:25,5,0,10,2,2,0,0,0,0,10,77,74,7,8,32,26,27,40,2,6,1
40,1,0,13:16,5,1,6,74,2,0,0,0,0,10,77,74,2,27,32,25,27,9,2,6,1
41,1,0,13:01,1,0,10,0,3,45,1,0,0,10,77,74,2,27,32,25,27,9,4,6,1
42,1, ,13:01,3,0,0,0,0,0,0,0,0,10,77,74,2,27,32,25,27,9,4,6,1
43,1,0,13:01,4,1,10,17,2,0,0,0,0,10,77,74,7,8,32,17,33,14,6,23,1
44,1,0,12:50,5,0,77,23,3,0,0,0,0,10,77,74,7,8,32,17,33,14,6,23,1
45,1, ,12:44,3,1,0,0,0,0,0,0,0,10,77,74,7,8,32,17,33,14,6,23,1
46,1,0,12:44,1,1,17,0,3,38,1,0,0,10,77,74,7,8,32,17,33,14,6,23,1
47,1,0,12:44,4,0,28,33,2,0,0,0,0,22,28,25,26,33,32,33,36,14,4,8,1
48,1,0,12:21,5,0,25,8,3,0,0,0,0,22,28,25,26,33,32,33,36,14,4,8,1
49,1,0,12:15,5,0,22,4,3,0,0,0,0,22,28,25,26,33,32,33,36,14,4,8,1
50,1,0,11:52,13,1,2,26,2,0,0,0,0,22,28,25,26,33,32,33,36,14,2,3,1
51,1,0,11:36,1,1,17,0,3,24,1,0,0,11,14,23,7,8,32,17,7,20,2,3,1
52,1,0,11:28,1,0,11,0,3,25,6,0,0,11,14,23,7,8,32,17,7,20,2,3,1
53,1,0,11:26,1,0,11,0,3,13,6,0,0,11,14,23,7,8,32,17,7,20,2,3,1
54,1,0,11:26,6,1,3,14,2,0,0,0,0,11,14,23,7,8,32,17,7,20,2,3,1
55,1,-1,11:26,4,1,77,27,2,0,0,0,0,10,11,77,8,26,32,27,21,6,23,1,0
56,1, ,11:18,3,2,0,0,0,0,0,0,0,10,11,77,8,26,32,27,21,6,23,1,0
57,1,1,11:18,4,0,11,27,1,0,0,0,0,10,11,77,8,26,32,27,36,6,23,1,0
58,1,-1,11:00,5,1,23,8,2,0,0,0,0,10,11,77,8,26,32,27,36,6,23,1,0
59,1,-1,10:44,13,0,77,27,2,0,0,0,0,10,11,77,8,26,32,27,36,6,23,1,0
60,1,1,10:27,1,0,28,0,3,44,1,0,0,28,14,23,27,33,32,26,20,2,8,1,0
61,1,1,10:18,1,0,27,0,3,57,2,0,0,28,14,23,27,33,32,26,20,2,8,1,0
62,1,1,10:16,7,0,33,0,3,59,2,0,0,28,14,23,27,33,32,26,20,2,8,1,0
63,1,-1,9:47,9,1,2,0,2,0,0,0,0,28,14,23,27,33,32,17,14,2,8,1,0
64,1,1,9:47,1,0,14,0,3,14,1,0,0,28,14,23,27,33,32,17,14,2,8,1,0
65,1, ,9:47,3,1,0,0,0,0,0,0,0,28,14,23,27,33,32,17,14,2,8,1,0
66,1,-1,9:47,4,1,10,27,2,0,0,0,0,10,22,25,26,33,32,17,27,6,23,1,0
67,1,0,9:11,5,0,26,33,2,0,0,0,0,10,22,25,26,33,32,33,7,14,3,8,1
68,1,0,8:58,5,1,14,22,3,0,0,0,0,10,22,25,26,33,32,33,7,14,3,8,1
69,1,0,8:54,5,1,33,22,3,0,0,0,0,10,22,25,26,33,32,33,7,14,3,8,1
70,1, ,8:50,3,6,0,0,0,0,0,0,0,10,22,25,26,33,32,7,14,21,8,23,1
71,1,0,8:50,4,1,10,26,3,0,0,0,0,10,22,25,26,33,32,26,40,21,3,4,1
72,1,0,8:43,1,1,21,0,3,36,1,0,0,10,22,25,26,33,32,26,40,21,3,4,1
73,1,0,8:39,5,1,21,10,3,0,0,0,0,10,22,25,26,33,32,26,40,21,3,4,1
74,1,0,8:35,1,0,22,0,1,81,1,0,0,11,22,23,2,27,32,26,40,21,3,4,1
75,1, ,8:34,3,0,0,0,0,0,0,0,0,11,22,23,2,27,32,26,40,21,3,4,1
76,1,0,8:34,4,0,11,17,3,0,0,0,0,11,14,23,7,8,32,17,27,20,2,3,1
77,1,0,8:31,13,0,14,27,2,0,0,0,0,11,14,23,7,8,32,17,27,20,2,3,1
78,1,0,8:24,8,1,17,0,2,0,0,0,0,11,14,23,7,8,32,17,27,20,2,3,1
79,1,0,8:07,5,1,3,11,2,0,0,0,0,11,14,23,7,8,32,17,7,20,2,3,1
80,1,0,7:50,9,0,14,0,2,0,0,0,0,11,14,23,7,8,32,17,7,20,2,3,1
81,1,0,7:20,5,1,14,2,3,0,0,0,0,24,48,71,2,27,32,33,36,14,4,8,1
82,1,0,7:15,8,1,36,0,3,0,0,0,0,24,48,71,2,27,32,33,36,14,4,8,1
83,1,0,6:59,7,1,33,0,3,48,2,0,0,22,28,25,2,27,32,33,36,21,4,8,1
84,1,0,6:59,6,0,27,36,2,0,0,0,0,22,28,25,2,27,32,33,36,21,4,8,1
85,1,1,6:59,4,1,11,25,3,0,0,0,0,11,23,8,33,32,0,25,7,20,6,23,1
86,1,1,6:48,5,1,25,23,1,0,0,0,0,11,23,8,33,32,0,25,7,20,6,23,1
87,1,1,6:09,1,1,17,0,3,47,1,0,0,10,77,7,8,32,0,17,33,14,2,3,1
88,1,1,6:05,7,1,14,0,3,37,3,0,0,10,77,7,8,32,0,17,33,14,2,3,1
89,1,1,5:59,9,1,33,0,3,0,0,0,0,10,77,7,8,32,0,17,33,14,2,3,1
90,1, ,5:32,3,8,0,0,0,0,0,0,0,22,28,2,33,32,0,17,33,7,2,3,1
91,1,-1,5:32,4,0,28,25,1,0,0,0,0,22,28,2,33,32,0,25,7,20,6,23,1
92,1,-1,5:16,5,0,2,23,2,0,0,0,0,22,28,2,33,32,0,25,7,20,6,23,1
93,1,1,5:13,5,1,25,22,3,0,0,0,0,22,28,2,33,32,0,25,7,20,6,23,1
94,1,0,4:41,9,0,14,0,2,0,0,0,0,24,14,25,7,8,32,26,40,21,4,8,1
95,1,0,4:37,8,0,14,0,2,0,0,0,0,24,14,25,7,8,32,26,40,21,4,8,1
96,1,0,4:33,7,0,25,0,3,37,1,0,0,24,14,25,7,8,32,26,40,21,4,8,1
97,1, ,4:32,3,0,0,0,0,0,0,0,0,24,14,25,7,8,32,26,40,21,4,8,1
98,1,0,4:32,4,0,24,27,1,0,0,0,0,22,24,25,2,27,32,25,27,9,4,8,1
99,1,0,4:12,1,0,2,0,3,66,1,0,0,22,24,25,2,27,32,25,27,9,4,8,1
100,1,0,3:52,5,1,8,23,2,0,0,0,0,11,14,23,26,33,32,25,26,9,4,8,1
101,1,0,3:45,5,0,11,25,3,0,0,0,0,11,14,23,26,33,32,25,26,40,4,8,1
102,1, ,3:30,3,6,0,0,0,0,0,0,0,11,14,23,26,33,32,26,40,21,2,3,1
103,1,0,3:30,4,0,11,40,3,0,0,0,0,11,14,23,7,8,32,26,40,21,3,4,1
104,1,0,3:19,5,1,40,11,2,0,0,0,0,11,14,23,7,8,32,26,40,21,3,4,1
105,1,0,3:14,5,0,11,3,3,0,0,0,0,11,14,23,7,8,32,26,40,21,3,4,1
106,1, ,3:02,3,10,0,0,0,0,0,0,0,11,14,74,7,8,32,17,7,20,2,3,1
107,1,0,3:02,4,0,10,17,1,0,0,0,0,10,77,74,7,8,32,17,7,20,6,23,1
108,1, ,2:45,3,6,0,0,0,0,0,0,0,10,77,74,7,8,32,17,7,20,6,23,1
109,1,0,2:45,4,1,24,17,2,0,0,0,0,22,24,25,26,33,32,17,7,20,6,23,1
110,1, ,2:32,3,6,0,0,0,0,0,0,0,22,24,25,26,33,32,17,7,20,6,23,1
111,1,0,2:32,4,0,24,17,3,0,0,0,0,24,25,23,26,33,32,17,7,20,6,23,1
112,1,0,2:17,5,0,33,7,2,0,0,0,0,24,25,23,26,33,32,17,7,20,4,8,1
113,1,0,2:06,6,0,33,7,2,0,0,0,0,24,25,23,26,33,32,17,7,20,4,8,1
114,1,1,2:06,4,1,11,17,3,0,0,0,0,11,23,7,8,32,0,17,33,14,2,3,1
115,1,-1,1:28,13,1,2,7,2,0,0,0,0,10,77,7,8,32,0,17,33,14,2,3,1
116,1,1,1:15,5,1,14,27,3,0,0,0,0,10,22,2,27,32,0,17,33,14,2,3,1
117,1,-1,0:46,9,0,2,0,2,0,0,0,0,22,28,2,27,32,0,7,20,21,6,23,1
118,1,-1,0:38,5,0,2,7,2,0,0,0,0,22,28,2,27,32,0,7,20,21,6,23,1
119,1, ,0:25,3,6,0,0,0,0,0,0,0,22,28,2,7,32,0,7,20,21,6,23,1
120,1,1,0:25,4,1,11,21,2,0,0,0,0,11,23,7,8,32,0,7,20,21,6,23,1
121,1,-1,0:11,8,0,11,0,3,0,0,0,0,11,23,7,8,32,0,7,20,21,8,23,1
