# 2013/01/25 
# CAR , BUF 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,19,28,4,25,31,9,55,36,24,57,30
2,1,0,20:00,4,0,12,55,1,0,0,0,0,12,19,28,4,25,31,9,55,36,24,57,30
3,1,0,19:50,5,1,9,25,3,0,0,0,0,12,19,28,4,25,31,9,55,36,24,57,30
4,1,0,19:34,5,0,11,24,3,0,0,0,0,11,19,22,4,25,31,9,55,36,24,57,30
5,1,0,19:16,5,0,22,3,3,0,0,0,0,11,22,53,6,27,31,19,29,26,3,57,30
6,1,0,19:11,7,1,29,0,3,49,1,0,0,11,22,53,6,27,31,19,29,26,3,44,30
7,1,0,19:04,6,1,3,53,1,0,0,0,0,11,22,53,6,27,31,19,29,26,3,44,30
8,1,1,19:04,4,0,11,19,3,0,0,0,0,11,12,53,28,25,31,19,29,10,44,30,0
9,1,1,18:58,1,0,53,0,3,51,1,0,0,11,12,53,28,25,31,19,29,10,44,30,0
10,1,1,18:52,7,0,11,0,3,14,1,0,0,11,12,53,28,25,31,19,29,10,44,30,0
11,1,1,18:28,9,0,28,0,3,0,0,0,0,11,12,53,28,25,31,19,29,10,44,30,0
12,1,1,18:26,6,0,11,29,3,0,0,0,0,11,12,53,28,25,31,19,29,10,44,30,0
13,1,0,18:26,4,0,36,63,2,0,0,0,0,59,36,44,77,31,0,63,21,52,57,30,0
14,1,0,18:03,1,1,63,0,3,45,2,0,0,59,36,44,77,31,0,63,21,52,57,30,0
15,1,0,17:45,5,0,44,52,2,0,0,0,0,21,36,44,77,31,0,63,21,44,52,30,0
16,1, ,17:42,3,1,0,0,0,0,0,0,0,21,36,44,77,31,0,25,55,10,44,30,0
17,1,0,17:42,4,1,37,25,3,0,0,0,0,37,53,4,25,31,0,25,55,10,44,30,0
18,1,0,17:22,1,1,44,0,3,17,5,0,0,37,53,4,25,31,0,25,55,10,44,30,0
19,1,0,17:14,9,0,25,0,2,0,0,0,0,37,53,4,25,31,0,25,55,10,44,30,0
20,1,1,16:46,7,1,10,0,3,61,2,0,0,12,39,6,27,31,0,9,19,29,26,10,30
21,1,1,16:30,1,1,26,0,3,39,1,0,0,21,36,6,27,31,0,9,19,29,26,10,30
22,1,0,16:22,1,1,9,0,3,15,5,0,0,11,21,36,6,27,31,9,19,29,26,10,30
23,1,0,16:05,5,0,11,10,3,0,0,0,0,11,59,36,4,25,31,9,19,29,26,10,30
