# 2013/02/02 
# NSH , S.J 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,18,57,6,22,35,15,39,29,5,44,31
2,1,0,20:00,4,1,11,39,1,0,0,0,0,11,18,57,6,22,35,15,39,29,5,44,31
3,1,0,19:32,5,0,57,15,2,0,0,0,0,11,18,57,6,22,35,15,39,29,5,44,31
4,1,0,19:27,1,1,29,0,3,39,1,0,0,11,18,57,6,22,35,15,39,29,22,44,31
5,1,0,19:23,7,1,39,0,3,27,1,0,0,11,18,57,6,22,35,15,39,29,7,22,31
6,1,0,19:01,6,0,18,15,0,0,0,0,0,11,18,57,6,22,35,8,12,15,19,7,22
7,1,1,19:01,4,1,28,19,3,0,0,0,0,13,28,8,75,35,0,8,12,19,39,22,31
8,1,-1,18:34,13,1,8,75,2,0,0,0,0,13,28,8,75,35,0,8,12,19,39,22,31
9,1,1,18:30,7,1,22,0,3,60,2,0,0,13,28,8,75,35,0,8,12,19,39,22,31
10,1,-1,17:28,13,1,5,12,2,0,0,0,0,12,74,6,22,35,0,23,9,29,5,61,31
11,1, ,17:13,3,2,0,0,0,0,0,0,0,11,57,8,22,35,0,23,9,29,5,61,31
12,1,1,17:13,4,1,13,21,1,0,0,0,0,13,24,8,22,35,0,10,37,21,3,44,31
13,1,1,17:04,6,1,3,13,2,0,0,0,0,11,15,33,6,35,0,10,37,21,3,44,31
14,1,0,17:04,4,0,11,8,3,0,0,0,0,11,15,33,6,35,0,8,12,7,44,31,0
15,1,1,16:47,1,0,6,0,3,55,2,0,0,11,15,33,4,6,35,8,12,7,44,31,0
16,1, ,16:46,3,4,0,0,0,0,0,0,0,11,15,33,4,6,35,19,26,7,22,31,0
17,1,-1,16:46,4,1,15,19,2,0,0,0,0,11,15,33,4,6,35,19,26,7,22,31,0
18,1,1,16:19,7,0,6,0,3,54,2,0,0,11,15,33,4,6,35,19,26,7,22,31,0
19,1,1,15:08,1,0,12,0,3,20,1,0,0,12,57,74,6,59,35,10,37,5,44,31,0
20,1, ,15:07,3,1,0,0,0,0,0,0,0,12,57,74,6,59,35,10,37,5,44,31,0
21,1,1,15:07,4,0,28,26,3,0,0,0,0,28,18,16,7,22,35,26,39,7,22,31,0
22,1,0,15:02,1,0,7,0,3,49,1,0,0,28,18,16,7,22,35,26,39,3,7,22,31
23,1,0,14:56,5,0,28,26,1,0,0,0,0,28,18,16,7,22,35,26,39,29,7,22,31
24,1,0,14:45,5,1,39,22,1,0,0,0,0,28,18,16,7,22,35,26,39,29,7,22,31
25,1,0,14:38,5,1,7,18,2,0,0,0,0,28,18,16,7,22,35,26,39,29,7,22,31
26,1,0,14:33,1,1,29,0,3,52,2,0,0,28,18,16,7,22,35,8,39,29,7,61,31
27,1, ,14:32,3,1,0,0,0,0,0,0,0,28,18,16,7,22,35,8,39,29,7,61,31
28,1,0,14:32,4,0,12,19,2,0,0,0,0,12,13,15,8,59,35,8,12,19,3,61,31
29,1,0,14:07,7,0,8,0,3,43,1,0,0,13,15,24,8,59,35,8,12,19,3,61,31
30,1, ,14:06,3,1,0,0,0,0,0,0,0,13,15,24,8,59,35,8,12,19,3,61,31
31,1,0,14:06,4,1,11,26,2,0,0,0,0,11,18,57,6,22,35,23,26,9,5,44,31
32,1,0,13:23,5,1,5,57,2,0,0,0,0,11,18,57,6,22,35,23,26,9,5,44,31
33,1,0,13:10,9,1,44,0,2,0,0,0,0,12,33,74,4,75,35,23,26,37,5,44,31
34,1,0,12:42,13,0,33,44,2,0,0,0,0,12,33,74,4,75,35,10,37,21,5,44,31
35,1,0,12:23,5,0,12,21,1,0,0,0,0,12,33,74,7,59,35,10,37,21,7,22,31
36,1,0,12:13,5,0,16,39,1,0,0,0,0,28,24,16,7,59,35,15,39,29,7,22,31
37,1,0,11:54,5,0,16,15,3,0,0,0,0,28,24,16,7,59,35,15,39,29,7,22,31
38,1,0,11:47,9,1,29,0,2,0,0,0,0,11,18,57,6,7,35,15,19,29,7,22,31
39,1,0,11:25,5,1,8,6,3,0,0,0,0,11,18,57,6,22,35,8,12,19,3,61,31
40,1,0,11:11,9,0,18,0,2,0,0,0,0,11,18,57,6,22,35,8,12,19,3,61,31
41,1,0,11:06,1,1,61,0,3,34,1,0,0,11,18,57,6,22,35,8,12,19,3,61,31
42,1, ,11:05,3,0,0,0,0,0,0,0,0,11,18,57,6,22,35,8,12,19,3,61,31
43,1,0,11:05,4,1,28,8,3,0,0,0,0,13,15,28,8,59,35,8,12,19,3,61,31
44,1,0,10:37,8,1,7,0,3,0,0,0,0,13,15,28,8,59,35,8,12,19,7,22,31
45,1,0,10:00,1,1,23,0,3,58,1,0,0,12,33,74,7,22,35,23,26,9,3,61,31
46,1,0,9:54,13,1,61,7,2,0,0,0,0,12,33,74,7,22,35,23,26,9,3,61,31
47,1,0,9:49,1,0,33,0,3,42,1,0,0,12,33,74,7,22,35,23,26,9,3,61,31
48,1, ,9:33,3,6,0,0,0,0,0,0,0,12,18,57,22,75,35,10,9,21,3,61,31
