# 2013/02/21 
# WPG , CAR 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,17,9,24,33,31,12,19,28,7,44,30
2,1,0,20:00,4,1,12,12,1,0,0,0,0,12,17,9,24,33,31,12,19,28,7,44,30
3,1,0,19:52,1,1,28,0,3,21,1,0,0,12,17,9,24,33,31,12,19,28,7,44,30
4,1,0,19:44,8,0,24,0,2,0,0,0,0,12,17,9,24,33,31,12,19,28,7,44,30
5,1,0,19:34,5,1,44,17,2,0,0,0,0,12,17,9,6,44,31,11,19,28,7,44,30
6,1, ,19:21,3,2,0,0,0,0,0,0,0,12,17,9,6,44,31,11,19,39,27,77,30
7,1,0,19:21,4,1,8,36,1,0,0,0,0,8,27,80,4,5,31,14,29,36,27,77,30
8,1,0,19:01,5,1,36,5,3,0,0,0,0,8,27,80,4,5,31,14,29,36,27,77,30
9,1,0,18:58,9,0,80,0,2,0,0,0,0,8,27,80,4,5,31,14,29,36,27,77,30
10,1,0,18:55,5,0,4,14,2,0,0,0,0,8,27,80,4,5,31,14,29,36,27,77,30
11,1,0,18:53,1,1,29,0,3,24,3,0,0,8,27,80,4,5,31,14,29,36,27,77,30
12,1,0,18:50,1,1,36,0,3,11,6,0,0,8,27,80,4,5,31,14,29,36,27,77,30
13,1,0,18:38,5,1,29,5,3,0,0,0,0,8,27,80,4,5,31,14,29,36,27,77,30
14,1,0,18:29,5,0,80,77,3,0,0,0,0,8,80,16,24,33,31,11,39,21,27,77,30
15,1,0,18:07,2,0,26,0,3,46,1,16,0,18,26,16,24,33,31,11,39,21,7,44,30
16,1,0,18:07,4,0,19,20,1,0,0,0,0,17,19,22,24,33,31,20,8,59,24,47,30
17,1,0,17:45,5,0,22,24,3,0,0,0,0,17,19,22,24,33,31,20,8,59,24,47,30
18,1,0,17:26,5,0,22,47,3,0,0,0,0,17,19,22,24,33,31,20,8,59,24,47,30
19,1,0,17:24,6,1,47,0,2,0,0,0,0,17,19,22,24,33,31,20,8,59,24,47,30
20,1,-1,17:24,4,1,18,11,2,0,0,0,0,12,18,16,33,44,31,11,39,27,44,30,0
21,1,1,16:32,1,0,44,0,3,55,3,0,0,12,18,16,33,44,31,11,39,27,44,30,0
22,1,-1,16:19,13,0,12,39,2,0,0,0,0,12,18,16,33,44,31,11,39,27,44,30,0
23,1,1,16:10,1,0,16,0,3,33,2,0,0,12,18,16,33,44,31,11,39,27,44,30,0
24,1,-1,16:02,13,0,12,27,2,0,0,0,0,12,18,16,33,44,31,11,39,27,44,30,0
25,1,1,16:00,1,0,12,0,3,19,3,0,0,12,18,16,33,44,31,11,39,27,44,30,0
26,1, ,15:42,3,2,0,0,0,0,0,0,0,8,26,9,4,24,31,12,28,24,77,30,0
27,1,1,15:42,4,0,8,28,1,0,0,0,0,8,26,9,4,24,31,12,28,24,77,30,0
28,1,-1,15:26,5,1,77,9,2,0,0,0,0,8,26,9,4,6,31,12,28,24,77,30,0
29,1,0,14:57,1,1,19,0,3,47,1,0,0,8,13,9,6,44,31,12,19,28,24,77,30
30,1,0,14:56,5,0,44,19,2,0,0,0,0,8,13,9,6,44,31,12,19,28,7,44,30
31,1, ,14:55,3,1,0,0,0,0,0,0,0,8,13,9,6,44,31,12,19,28,7,44,30
32,1,0,14:55,4,0,19,59,2,0,0,0,0,17,19,22,4,5,31,20,8,59,7,44,30
33,1,0,14:44,5,1,8,4,3,0,0,0,0,17,19,22,4,5,31,20,8,59,7,44,30
34,1,0,14:22,7,1,59,0,3,14,3,0,0,17,19,22,4,5,31,20,8,59,27,77,30
35,1,0,14:15,13,1,27,22,2,0,0,0,0,17,19,22,4,5,31,20,8,14,27,77,30
36,1, ,14:09,3,6,0,0,0,0,0,0,0,17,19,22,4,5,31,14,29,36,27,77,30
37,1,0,14:09,4,1,19,29,3,0,0,0,0,17,19,22,4,5,31,14,29,36,24,47,30
38,1,0,13:58,13,1,24,5,2,0,0,0,0,17,19,22,4,5,31,14,29,36,24,47,30
39,1,0,13:53,5,1,29,17,3,0,0,0,0,17,19,22,4,5,31,14,29,36,24,47,30
40,1,0,13:43,1,1,29,0,3,26,1,0,0,12,13,17,4,33,31,14,29,36,24,47,30
41,1, ,13:37,3,6,0,0,0,0,0,0,0,12,13,17,4,33,31,14,29,36,24,47,30
42,1,0,13:37,4,1,13,11,3,0,0,0,0,12,13,17,4,33,31,11,39,21,7,44,30
43,1,0,13:33,13,1,44,17,2,0,0,0,0,12,13,17,4,33,31,11,39,21,7,44,30
44,1,0,13:29,5,1,39,13,1,0,0,0,0,12,13,17,4,33,31,11,39,21,7,44,30
45,1,0,13:24,13,0,33,7,2,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
46,1, ,13:23,3,0,0,0,0,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
47,1,0,13:23,4,0,12,11,3,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
48,1,0,13:02,6,0,24,11,1,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
49,1,-1,13:02,4,0,8,12,2,0,0,0,0,8,17,5,6,31,0,12,19,28,59,7,30
50,1,-1,11:40,13,1,12,5,2,0,0,0,0,8,9,5,44,31,0,12,20,36,27,77,30
51,1, ,11:39,3,4,0,0,0,0,0,0,0,8,9,5,44,31,0,11,20,36,27,77,30
52,1,1,11:39,4,1,17,11,3,0,0,0,0,17,80,5,44,31,0,11,20,36,27,77,30
53,1,1,11:34,1,1,36,0,3,9,1,0,0,17,80,5,44,31,0,11,20,36,27,77,30
54,1,1,11:02,1,1,20,0,3,44,3,0,0,8,9,6,24,33,31,11,20,36,27,77,30
55,1,0,10:36,9,0,26,0,1,0,0,0,0,8,26,9,6,33,31,14,29,39,7,44,30
56,1,0,10:33,13,1,39,33,2,0,0,0,0,8,26,9,6,33,31,14,29,39,7,44,30
57,1,0,9:50,5,1,44,9,2,0,0,0,0,12,13,9,6,44,31,12,19,28,7,44,30
58,1,0,9:26,5,0,27,19,3,0,0,0,0,12,13,27,6,44,31,12,19,28,7,47,30
59,1,0,9:14,13,0,44,19,2,0,0,0,0,12,13,27,6,44,31,12,19,28,7,47,30
60,1,0,8:56,9,1,28,0,1,0,0,0,0,12,13,27,6,44,31,12,19,28,7,47,30
61,1,0,8:36,7,0,26,0,3,39,3,0,0,18,26,16,4,5,31,11,39,21,27,77,30
62,1,0,8:33,1,0,18,0,3,8,3,0,0,18,26,16,4,5,31,11,39,21,27,77,30
63,1,0,8:32,1,0,5,0,3,32,2,0,0,18,26,16,4,5,31,11,39,21,27,77,30
64,1,0,7:59,8,0,8,0,3,0,0,0,0,8,80,9,24,33,31,14,29,36,24,47,30
65,1,0,7:56,1,0,8,0,3,39,3,0,0,8,80,9,24,33,31,14,29,36,24,47,30
66,1, ,7:36,3,6,0,0,0,0,0,0,0,8,80,9,24,33,31,14,29,36,24,47,30
67,1,0,7:36,4,0,9,12,2,0,0,0,0,8,80,9,24,33,31,12,19,28,7,44,30
68,1,0,7:30,13,0,9,7,2,0,0,0,0,8,80,9,6,44,31,12,19,28,7,44,30
69,1,0,7:16,13,1,19,44,2,0,0,0,0,8,80,9,6,44,31,12,19,28,7,44,30
70,1,0,7:15,5,0,44,19,2,0,0,0,0,8,80,9,6,44,31,12,19,28,7,44,30
71,1,0,7:03,13,0,44,44,2,0,0,0,0,17,19,22,6,44,31,12,19,28,7,44,30
72,1,0,6:43,5,1,8,17,3,0,0,0,0,17,19,22,24,33,31,20,8,59,27,77,30
73,1,0,6:36,5,0,22,77,3,0,0,0,0,17,19,22,4,33,31,20,8,59,27,77,30
74,1,0,6:28,5,0,17,20,2,0,0,0,0,17,19,22,4,33,31,20,8,59,27,77,30
75,1,0,6:23,5,1,8,33,3,0,0,0,0,17,19,22,4,33,31,20,8,59,27,77,30
76,1,0,5:37,13,1,7,12,2,0,0,0,0,12,13,27,4,5,31,11,39,21,7,44,30
77,1,0,5:35,1,1,21,0,3,14,5,0,0,12,13,27,4,5,31,11,39,21,7,44,30
78,1,0,5:27,5,1,11,5,3,0,0,0,0,12,13,27,4,5,31,11,39,21,7,44,30
79,1,0,5:14,5,1,14,44,3,0,0,0,0,18,26,16,6,44,31,11,14,59,27,77,30
80,1,0,5:06,1,0,44,0,3,47,3,0,0,18,26,16,33,44,31,14,59,36,27,77,30
81,1, ,5:05,3,0,0,0,0,0,0,0,0,18,26,16,33,44,31,14,59,36,27,77,30
82,1,0,5:05,4,1,18,36,2,0,0,0,0,18,26,16,6,44,31,14,29,36,27,77,30
83,1, ,4:27,3,2,0,0,0,0,0,0,0,18,26,16,24,33,31,14,29,36,27,77,30
84,1,0,4:27,4,1,8,12,1,0,0,0,0,8,80,9,6,44,31,12,19,28,7,44,30
85,1,0,3:32,1,1,21,0,3,32,1,0,0,8,80,9,5,33,31,11,28,21,7,47,30
86,1,0,3:27,5,0,5,21,2,0,0,0,0,8,80,9,5,33,31,11,28,21,7,47,30
87,1,0,3:26,7,1,7,0,3,14,6,0,0,8,80,9,5,33,31,11,28,21,7,47,30
88,1,0,2:02,8,0,13,0,2,0,0,0,0,12,13,27,6,44,31,20,8,59,27,77,30
89,1, ,2:00,3,0,0,0,0,0,0,0,0,12,13,27,6,44,31,20,8,59,27,77,30
90,1,0,2:00,4,0,18,12,1,0,0,0,0,18,26,16,24,33,31,12,19,28,27,77,30
91,1, ,1:54,3,10,0,0,0,0,0,0,0,18,26,16,24,33,31,12,19,28,27,77,30
92,1,0,1:54,4,1,18,12,1,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
93,1,0,1:21,2,1,19,0,3,8,5,28,12,18,26,16,6,44,31,12,19,28,27,77,30
94,1,0,1:21,4,1,8,11,1,0,0,0,0,8,80,9,5,33,31,11,39,21,7,44,30
95,1,0,0:57,7,0,9,0,3,71,3,0,0,8,80,9,5,33,31,11,39,21,7,44,30
96,1, ,0:00,11,0,0,0,0,0,0,0,0,17,19,22,24,44,31,14,29,36,27,77,30
97,2, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
98,2,0,20:00,4,1,18,12,1,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
99,2, ,19:55,3,4,0,0,0,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
100,2,0,19:55,4,1,18,12,1,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
101,2,0,19:47,8,1,12,0,3,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
102,2,0,19:25,1,1,28,0,1,78,1,0,0,18,26,16,6,44,31,12,19,28,27,77,30
103,2, ,19:24,3,1,0,0,0,0,0,0,0,18,26,16,6,44,31,12,19,28,7,44,30
104,2,0,19:24,4,0,13,39,2,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
105,2,0,18:59,5,0,27,11,3,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
106,2,0,18:38,5,1,39,33,3,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
107,2,0,18:33,1,0,24,0,3,32,3,0,0,12,13,27,24,33,31,11,39,21,7,44,30
108,2, ,18:32,3,1,0,0,0,0,0,0,0,12,13,27,24,33,31,11,39,21,7,44,30
109,2,0,18:32,4,1,8,29,2,0,0,0,0,8,80,9,4,5,31,14,29,36,27,77,30
110,2,0,18:15,7,1,36,0,3,12,5,0,0,8,80,9,4,5,31,14,29,36,27,77,30
111,2,0,17:54,13,1,77,5,2,0,0,0,0,8,80,9,4,5,31,14,29,36,27,77,30
112,2,0,17:52,1,1,29,0,3,39,1,0,0,8,80,9,4,5,31,14,29,36,27,77,30
113,2, ,17:51,3,1,0,0,0,0,0,0,0,8,80,9,4,5,31,14,29,36,27,77,30
114,2,0,17:51,4,1,19,59,3,0,0,0,0,17,19,22,6,44,31,20,8,59,24,47,30
115,2,0,17:38,13,1,59,44,2,0,0,0,0,17,19,22,6,44,31,20,8,59,24,47,30
116,2,0,17:24,5,1,59,6,3,0,0,0,0,17,19,22,6,44,31,20,8,59,24,47,30
117,2,0,17:17,1,1,24,0,3,53,1,0,0,17,19,22,6,44,31,20,8,59,24,47,30
118,2, ,17:16,3,1,0,0,0,0,0,0,0,17,19,22,6,44,31,20,8,59,24,47,30
119,2,0,17:16,4,1,18,12,3,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
120,2,0,17:11,9,1,77,0,3,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
121,2, ,17:05,3,11,0,0,0,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
122,2,0,17:05,4,1,18,12,1,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
123,2,0,16:49,1,1,77,0,3,54,2,0,0,18,26,16,6,44,31,12,19,28,27,77,30
124,2,0,16:40,5,1,77,26,2,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
125,2,0,16:31,5,0,26,77,3,0,0,0,0,18,26,16,24,44,31,12,19,28,27,77,30
126,2,0,16:17,6,0,26,77,3,0,0,0,0,13,27,16,24,33,31,12,39,21,7,44,30
127,2,-1,16:17,4,0,19,11,2,0,0,0,0,17,19,5,6,31,0,11,20,36,27,77,30
128,2,-1,16:07,13,1,77,19,2,0,0,0,0,17,19,5,6,31,0,11,20,36,27,77,30
129,2,1,15:45,8,1,77,0,3,0,0,0,0,8,17,5,6,31,0,11,20,36,27,77,30
130,2,1,15:44,1,1,77,0,3,23,3,0,0,8,17,5,6,31,0,11,20,36,27,77,30
131,2,-1,15:12,6,0,24,59,2,0,0,0,0,8,9,24,44,31,0,12,19,28,59,7,30
132,2,1,15:12,4,1,19,12,3,0,0,0,0,19,5,6,31,0,0,11,12,19,28,27,30
133,2,1,15:02,1,1,27,0,3,16,1,0,0,19,5,6,31,0,0,11,12,19,28,27,30
134,2, ,15:01,3,1,0,0,0,0,0,0,0,19,5,6,31,0,0,11,12,19,28,27,30
135,2,1,15:01,4,1,19,11,3,0,0,0,0,19,5,6,31,0,0,11,12,19,28,27,30
136,2,-1,14:55,5,0,5,27,2,0,0,0,0,19,5,6,31,0,0,11,12,19,28,27,30
137,2,-1,14:23,13,1,27,5,2,0,0,0,0,19,5,6,31,0,0,11,12,19,28,27,30
138,2,-1,14:11,13,1,28,5,2,0,0,0,0,19,26,5,6,31,0,11,12,19,28,27,30
139,2,1,14:02,7,1,27,0,3,22,3,0,0,19,26,5,6,31,0,11,12,19,28,27,30
140,2,1,13:48,7,1,11,0,3,21,3,0,0,19,26,5,6,31,0,11,12,19,28,27,30
141,2, ,13:32,3,6,0,0,0,0,0,0,0,18,16,6,33,31,0,12,20,59,36,77,30
142,2,1,13:32,4,1,18,20,2,0,0,0,0,18,16,33,44,31,0,12,20,59,36,77,30
143,2,1,13:19,7,1,36,0,1,93,2,0,0,18,16,33,44,31,0,12,20,59,36,77,30
144,2,0,13:01,7,0,16,0,3,32,1,0,0,80,18,16,33,44,31,12,20,59,36,77,30
145,2,0,12:48,8,1,77,0,1,0,0,0,0,80,18,16,33,44,31,20,59,36,44,77,30
146,2,0,12:44,7,1,39,0,3,43,3,0,0,80,18,9,33,44,31,20,39,59,44,77,30
147,2,0,12:29,7,0,9,0,3,7,4,0,0,12,80,9,4,24,31,14,29,39,44,77,30
148,2,0,12:27,5,0,12,29,3,0,0,0,0,12,80,9,4,24,31,14,29,39,44,77,30
149,2,0,11:58,5,1,44,12,2,0,0,0,0,12,80,9,4,24,31,14,29,39,7,44,30
150,2,0,11:52,5,0,9,7,3,0,0,0,0,12,13,9,4,24,31,14,29,39,7,44,30
151,2,0,11:08,8,0,13,0,2,0,0,0,0,8,13,27,6,44,31,11,8,21,24,47,30
152,2,0,10:40,9,1,24,0,3,0,0,0,0,8,13,27,6,44,31,11,8,21,24,47,30
153,2,0,10:28,7,0,19,0,3,38,3,0,0,17,19,22,24,33,31,11,19,8,24,47,30
154,2,0,10:25,5,0,19,8,3,0,0,0,0,17,19,22,24,33,31,12,19,8,24,47,30
155,2,0,10:03,13,0,19,19,2,0,0,0,0,17,19,22,24,33,31,12,19,8,24,47,30
156,2,0,9:56,13,0,33,24,2,0,0,0,0,17,19,22,24,33,31,12,19,8,24,47,30
157,2,0,9:04,8,1,14,0,1,0,0,0,0,18,26,16,24,33,31,14,28,36,7,44,30
158,2,0,8:57,1,0,16,0,3,21,1,0,0,18,26,16,4,5,31,14,28,36,7,44,30
159,2,0,8:53,5,1,14,18,2,0,0,0,0,18,26,16,4,5,31,14,28,36,7,44,30
160,2,0,8:52,1,0,5,0,3,53,2,0,0,18,26,16,4,5,31,14,28,36,7,44,30
161,2, ,8:51,3,0,0,0,0,0,0,0,0,18,26,16,4,5,31,14,28,36,7,44,30
162,2,0,8:51,4,0,12,20,3,0,0,0,0,12,80,9,4,5,31,20,29,36,7,44,30
163,2,0,8:47,13,0,5,29,2,0,0,0,0,12,80,9,4,5,31,20,29,36,7,44,30
164,2,0,8:41,1,1,36,0,3,33,3,0,0,12,80,9,4,5,31,20,29,36,7,44,30
165,2,0,8:16,7,1,29,0,3,29,3,0,0,12,80,9,4,5,31,14,29,36,7,77,30
166,2,0,7:54,7,0,12,0,3,65,1,0,0,12,80,9,24,33,31,11,39,21,27,77,30
167,2,0,7:35,13,1,24,22,2,0,0,0,0,12,22,9,24,33,31,11,39,21,24,27,30
168,2,0,7:27,1,1,21,0,3,17,1,0,0,12,22,9,24,33,31,11,39,21,24,27,30
169,2,0,7:10,1,0,19,0,3,30,1,0,0,17,19,22,24,33,31,20,39,59,7,24,30
170,2,0,6:58,7,0,19,0,3,42,1,0,0,17,19,26,5,33,31,20,8,59,7,44,30
171,2,0,6:53,1,0,26,0,3,69,3,0,0,17,19,26,5,33,31,20,8,59,7,44,30
172,2,0,6:47,9,0,17,0,3,0,0,0,0,17,19,26,4,5,31,20,8,59,7,44,30
173,2,0,6:33,9,0,31,0,2,0,0,0,0,18,26,16,4,5,31,12,8,59,7,47,30
174,2,0,6:28,7,1,47,0,3,54,1,0,0,18,26,16,4,5,31,12,8,59,7,47,30
175,2,0,6:16,5,0,16,27,3,0,0,0,0,13,18,16,6,44,31,12,19,28,27,47,30
176,2, ,6:08,3,0,0,0,0,0,0,0,0,13,18,16,6,44,31,12,19,28,27,77,30
177,2,0,6:08,4,0,12,12,1,0,0,0,0,12,80,9,6,44,31,12,19,28,7,44,30
178,2,0,5:44,9,1,12,0,2,0,0,0,0,12,80,9,6,44,31,12,19,28,7,44,30
179,2, ,5:33,3,2,0,0,0,0,0,0,0,12,80,9,6,44,31,12,19,28,7,44,30
180,2,0,5:33,4,1,8,36,1,0,0,0,0,8,13,27,24,33,31,14,29,36,27,77,30
181,2, ,4:46,3,6,0,0,0,0,0,0,0,8,27,22,24,33,31,11,29,21,27,77,30
182,2,0,4:46,4,1,8,11,3,0,0,0,0,8,13,27,24,33,31,11,39,21,24,47,30
183,2, ,4:31,3,6,0,0,0,0,0,0,0,8,27,26,24,33,31,11,39,21,24,47,30
184,2,0,4:31,4,0,8,11,2,0,0,0,0,8,27,26,24,33,31,11,39,21,7,44,30
185,2,0,3:34,6,1,44,16,2,0,0,0,0,18,26,9,16,4,5,20,8,59,27,44,30
186,2, ,3:34,3,0,0,0,0,0,0,0,0,8,26,9,4,24,31,20,8,59,27,30,0
187,2,1,3:34,4,0,8,11,3,0,0,0,0,8,26,9,4,24,31,11,39,27,77,30,0
188,2,-1,2:45,6,1,77,8,2,0,0,0,0,8,12,26,9,4,31,29,36,27,77,30,0
189,2, ,2:45,3,0,0,0,0,0,0,0,0,8,12,26,9,4,31,12,24,27,30,0,0
190,2,1,2:45,4,0,18,12,3,0,0,0,0,12,18,16,33,44,31,12,24,27,30,0,0
191,2,1,2:16,7,0,44,0,3,40,2,0,0,12,18,16,33,44,31,12,24,27,30,0,0
192,2,-1,2:10,13,0,44,24,2,0,0,0,0,12,18,16,33,44,31,12,24,27,30,0,0
193,2,1,1:46,7,0,12,0,3,46,2,0,0,12,18,16,33,44,31,11,7,27,30,0,0
194,2, ,1:34,3,10,0,0,0,0,0,0,0,12,18,16,33,44,31,11,7,27,44,30,0
195,2,-1,1:34,4,1,80,11,2,0,0,0,0,80,26,9,4,24,31,11,36,27,44,30,0
196,2,-1,0:59,8,1,44,0,2,0,0,0,0,80,26,9,4,24,31,11,39,27,44,30,0
197,2,-1,0:50,5,1,27,26,2,0,0,0,0,80,26,9,4,24,31,11,39,27,44,30,0
198,2,0,0:35,1,0,80,0,3,26,3,0,0,80,9,4,6,24,31,12,39,27,44,77,30
199,2, ,0:28,3,3,0,0,0,0,0,0,0,19,80,9,6,44,31,12,28,39,27,44,30
200,2,0,0:28,4,0,19,28,3,0,0,0,0,17,19,22,6,44,31,12,19,28,7,77,30
201,2,0,0:13,9,1,19,0,3,0,0,0,0,17,19,22,6,44,31,12,19,28,7,77,30
202,2, ,0:00,11,0,0,0,0,0,0,0,0,17,19,22,6,44,31,12,19,28,7,77,30
203,3, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,6,44,31,12,19,28,27,77,30
