# 2013/03/01 
# EDM , STL 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
2,1,0,20:00,4,1,93,42,1,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
3,1, ,19:51,3,3,0,0,0,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
4,1,0,19:51,4,1,93,42,1,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
5,1,0,19:32,5,1,42,15,3,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
6,1,0,19:06,5,1,22,83,2,0,0,0,0,89,83,28,2,5,40,21,25,57,6,22,41
7,1,0,18:50,5,0,2,25,2,0,0,0,0,89,83,28,2,5,40,21,25,57,22,46,41
8,1,0,18:20,13,1,17,6,2,0,0,0,0,20,64,94,6,24,40,17,36,32,4,46,41
9,1,0,18:15,5,1,46,94,2,0,0,0,0,20,64,94,6,24,40,17,36,32,4,46,41
10,1,0,18:06,5,1,32,6,3,0,0,0,0,20,64,94,6,24,40,17,36,32,4,46,41
11,1,0,17:58,13,0,64,4,2,0,0,0,0,20,64,94,15,19,40,17,36,32,4,46,41
12,1,0,17:57,7,0,64,0,3,19,1,0,0,20,64,94,15,19,40,12,36,32,4,46,41
13,1,0,17:27,9,0,15,0,2,0,0,0,0,37,54,55,15,19,40,12,75,79,5,27,41
14,1,0,17:21,1,1,79,0,3,27,1,0,0,37,54,55,15,19,40,12,75,79,5,27,41
15,1, ,17:20,3,1,0,0,0,0,0,0,0,37,54,55,15,19,40,12,75,79,5,27,41
16,1,0,17:20,4,1,93,42,3,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
17,1,0,17:17,7,1,5,0,3,58,2,0,0,14,93,4,15,19,40,9,74,42,5,27,41
18,1,0,17:06,7,0,14,0,3,26,6,0,0,14,93,4,15,19,40,9,74,42,5,27,41
19,1,0,17:00,5,1,74,15,1,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
20,1,0,16:49,13,1,5,2,2,0,0,0,0,14,93,4,2,5,40,9,21,74,5,27,41
21,1, ,16:48,3,4,0,0,0,0,0,0,0,14,93,4,2,5,40,9,21,74,5,27,41
22,1,0,16:48,4,0,89,25,2,0,0,0,0,89,83,28,2,5,40,21,25,57,6,22,41
23,1,0,16:41,5,1,21,28,3,0,0,0,0,89,83,28,2,5,40,21,25,57,6,22,41
24,1, ,16:31,3,3,0,0,0,0,0,0,0,89,83,28,2,5,40,21,25,57,6,22,41
25,1,0,16:31,4,0,20,17,1,0,0,0,0,20,64,94,6,24,40,17,36,32,4,46,41
26,1,0,16:14,1,1,32,0,3,28,3,0,0,20,64,94,6,24,40,17,36,32,4,46,41
27,1, ,16:12,3,1,0,0,0,0,0,0,0,20,64,94,6,24,40,17,36,32,4,46,41
28,1,0,16:12,4,1,37,12,3,0,0,0,0,20,37,55,6,24,40,12,75,79,6,22,41
29,1,0,16:05,13,1,79,6,2,0,0,0,0,20,37,55,6,24,40,12,75,79,6,22,41
30,1, ,16:04,3,4,0,0,0,0,0,0,0,20,37,55,6,24,40,12,75,79,6,22,41
31,1,0,16:04,4,1,20,12,3,0,0,0,0,20,37,55,6,24,40,12,75,79,6,22,41
32,1,0,15:11,1,1,42,0,3,8,4,0,0,37,54,4,15,19,40,9,74,42,5,27,41
33,1,0,15:09,1,1,9,0,3,8,5,0,0,37,54,4,15,19,40,9,74,42,5,27,41
34,1,0,14:57,5,0,4,5,3,0,0,0,0,14,93,4,15,19,40,9,74,42,5,27,41
35,1,0,14:50,1,1,9,0,3,46,2,0,0,14,93,4,2,5,40,9,74,42,5,27,41
36,1,0,13:41,1,1,36,0,3,40,3,0,0,89,83,28,6,24,40,17,36,32,4,46,41
37,1, ,13:40,3,0,0,0,0,0,0,0,0,89,83,28,6,24,40,17,36,32,4,46,41
38,1,0,13:40,4,0,20,17,2,0,0,0,0,20,64,94,15,19,40,17,36,32,4,46,41
39,1, ,13:27,3,6,0,0,0,0,0,0,0,20,64,94,15,19,40,17,36,32,4,46,41
40,1,0,13:27,4,0,20,36,2,0,0,0,0,20,64,94,15,19,40,17,36,32,4,46,41
41,1, ,13:02,3,6,0,0,0,0,0,0,0,20,64,94,15,19,40,17,36,32,4,46,41
42,1,0,13:02,4,0,20,42,2,0,0,0,0,20,64,94,15,19,40,9,74,42,5,27,41
43,1,0,12:46,5,0,37,5,3,0,0,0,0,37,54,55,2,5,40,9,74,42,5,27,41
44,1,0,12:44,1,1,42,0,3,31,1,0,0,37,54,55,2,5,40,9,74,42,5,27,41
45,1, ,12:43,3,1,0,0,0,0,0,0,0,37,54,55,2,5,40,9,74,42,5,27,41
46,1,0,12:43,4,1,37,12,3,0,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
47,1,0,12:38,7,1,12,0,3,32,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
48,1, ,12:34,3,11,0,0,0,0,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
49,1,0,12:34,4,1,54,12,1,0,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
50,1,0,12:00,7,1,79,0,3,14,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
51,1,0,11:59,6,1,75,5,3,0,0,0,0,37,54,55,2,5,40,12,75,79,6,22,41
52,1,1,11:59,4,0,89,42,3,0,0,0,0,14,89,64,28,6,40,17,42,5,27,41,0
53,1,-1,11:36,13,0,6,27,2,0,0,0,0,14,89,64,28,6,40,17,42,5,27,41,0
54,1,-1,11:16,5,1,46,14,2,0,0,0,0,14,89,64,28,6,40,21,74,22,46,41,0
55,1,1,10:57,1,0,83,0,3,17,1,0,0,93,83,4,94,19,40,12,32,22,46,41,0
56,1,1,10:43,1,0,19,0,3,53,2,0,0,93,83,4,94,19,40,12,32,22,46,41,0
57,1,1,10:18,7,0,93,0,3,35,1,0,0,93,83,4,94,19,40,17,42,5,22,41,0
58,1,0,9:54,13,0,2,25,2,0,0,0,0,20,37,55,2,5,40,21,25,75,5,27,41
59,1,0,9:39,1,1,27,0,3,47,2,0,0,20,37,55,2,5,40,21,25,75,27,46,41
60,1,0,8:21,7,1,42,0,3,29,1,0,0,14,89,4,15,19,40,9,74,42,6,22,41
61,1,0,8:16,7,1,42,0,3,27,0,0,0,14,89,4,15,19,40,9,74,42,6,22,41
62,1,0,8:06,13,1,6,19,2,0,0,0,0,14,89,4,15,19,40,9,74,42,6,27,41
63,1, ,8:02,3,9,0,0,0,0,0,0,0,14,89,4,15,19,40,9,74,42,6,27,41
