# 2013/03/05 
# BUF , CAR 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,29,26,24,44,30,11,53,29,27,44,35
2,1,0,20:00,4,1,19,11,1,0,0,0,0,19,29,26,24,44,30,11,53,29,27,44,35
3,1,0,19:46,8,1,11,0,2,0,0,0,0,19,29,26,24,44,30,11,53,29,27,44,35
4,1, ,19:24,3,6,0,0,0,0,0,0,0,19,29,26,24,44,30,11,53,29,27,44,35
5,1,0,19:24,4,0,9,11,3,0,0,0,0,9,42,63,10,57,30,11,53,29,27,44,35
6,1, ,19:20,3,3,0,0,0,0,0,0,0,9,42,63,10,57,30,11,53,29,27,44,35
7,1,0,19:20,4,1,63,12,1,0,0,0,0,9,42,63,10,57,30,12,19,28,6,77,35
8,1,0,18:58,7,1,12,0,3,34,3,0,0,9,42,63,10,57,30,12,19,28,6,77,35
9,1,0,18:41,5,0,57,19,2,0,0,0,0,9,42,63,10,57,30,12,19,28,6,77,35
10,1,0,18:32,13,1,19,57,2,0,0,0,0,9,42,63,10,57,30,12,19,28,4,24,35
11,1,0,18:29,2,1,19,0,3,16,1,12,28,9,42,63,10,57,30,12,19,28,4,24,35
12,1,0,18:29,4,1,12,42,1,0,0,0,0,12,65,82,6,33,30,8,21,42,4,24,35
13,1, ,18:22,3,8,0,0,0,0,0,0,0,12,65,82,6,33,30,8,21,42,4,24,35
14,1,0,18:22,4,1,12,42,3,0,0,0,0,12,65,82,6,33,30,8,21,42,4,24,35
15,1,0,18:14,13,1,21,12,2,0,0,0,0,12,65,82,6,33,30,8,21,42,4,24,35
16,1,0,17:43,8,1,36,0,1,0,0,0,0,12,55,21,6,33,30,20,39,36,24,77,35
17,1,0,17:34,1,1,77,0,3,55,3,0,0,12,55,21,24,44,30,20,39,36,6,77,35
18,1,0,16:53,5,1,29,29,3,0,0,0,0,19,29,26,10,57,30,11,53,29,27,44,35
19,1,0,16:42,8,1,53,0,1,0,0,0,0,19,29,26,10,57,30,11,53,29,27,44,35
20,1,0,16:38,1,1,29,0,3,28,1,0,0,19,29,26,10,57,30,11,53,29,27,44,35
21,1,0,16:31,7,1,29,0,3,13,0,0,0,19,29,26,10,57,30,11,53,29,27,44,35
22,1, ,16:30,3,4,0,0,0,0,0,0,0,19,29,26,10,57,30,11,53,29,27,44,35
23,1,0,16:30,4,1,63,12,1,0,0,0,0,9,42,63,24,44,30,12,19,28,6,77,35
24,1,0,16:18,5,1,12,63,3,0,0,0,0,9,42,63,24,44,30,12,19,28,6,77,35
25,1, ,16:10,3,6,0,0,0,0,0,0,0,9,42,63,24,44,30,12,19,28,6,77,35
26,1,0,16:10,4,1,63,12,3,0,0,0,0,9,42,63,24,44,30,12,19,28,4,24,35
27,1,0,16:05,13,1,28,63,2,0,0,0,0,9,42,63,24,44,30,12,19,28,4,24,35
28,1,0,15:52,5,1,19,44,2,0,0,0,0,9,42,63,24,44,30,12,19,28,4,24,35
29,1,0,15:41,5,0,9,19,3,0,0,0,0,9,12,42,24,44,30,12,19,28,4,24,35
30,1,0,15:32,13,1,21,42,2,0,0,0,0,9,12,42,24,44,30,12,28,21,4,44,35
31,1,0,15:21,8,1,21,0,2,0,0,0,0,12,65,82,6,33,30,8,21,42,27,44,35
