# 2013/03/08 
# CHI , COL 
# 2 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,81,20,2,7,50,7,90,17,3,22,1
2,1,0,20:00,4,1,19,90,1,0,0,0,0,19,81,20,2,7,50,7,90,17,3,22,1
3,1,0,19:46,5,1,17,2,2,0,0,0,0,19,81,20,2,7,50,7,90,17,3,22,1
4,1,0,19:31,13,0,20,3,2,0,0,0,0,19,81,20,2,7,50,7,90,17,3,22,1
5,1,0,19:30,13,0,19,7,2,0,0,0,0,19,81,20,2,7,50,7,90,17,3,22,1
6,1, ,19:27,3,4,0,0,0,0,0,0,0,19,81,20,2,7,50,9,15,11,4,6,1
7,1,0,19:27,4,1,36,9,2,0,0,0,0,36,88,29,4,27,50,9,15,11,4,6,1
8,1,0,19:06,5,0,36,9,2,0,0,0,0,36,88,29,4,27,50,9,15,11,4,6,1
9,1,0,19:02,7,1,4,0,3,59,2,0,0,36,88,29,4,27,50,9,15,11,4,6,1
10,1,0,18:21,5,0,7,8,3,0,0,0,0,65,13,25,2,7,50,26,55,92,5,8,1
11,1,0,18:03,5,1,55,25,1,0,0,0,0,65,13,25,2,7,50,26,55,92,5,8,1
12,1,0,17:51,5,1,58,16,1,0,0,0,0,16,67,52,8,32,50,12,54,58,3,22,1
13,1,0,17:42,6,0,8,12,2,0,0,0,0,16,67,52,8,32,50,12,54,58,3,22,1
14,1,-1,17:42,4,0,16,26,2,0,0,0,0,16,67,4,27,50,0,9,26,90,15,92,1
15,1,1,17:21,1,1,9,0,3,35,1,0,0,16,67,4,27,50,0,9,26,90,15,92,1
16,1,1,16:27,1,1,90,0,3,59,2,0,0,19,81,2,7,50,0,9,26,90,15,92,1
17,1,1,16:22,7,1,9,0,3,39,2,0,0,19,81,2,7,50,0,9,26,90,15,92,1
18,1,-1,15:44,13,1,17,4,2,0,0,0,0,16,67,4,27,50,0,7,17,54,11,6,1
19,1,0,15:35,7,0,67,0,3,44,3,0,0,16,67,8,32,50,0,7,17,54,11,6,1
20,1,0,15:05,13,0,32,5,2,0,0,0,0,36,88,29,8,32,50,26,12,55,5,8,1
21,1,0,14:48,13,0,36,26,2,0,0,0,0,36,88,29,8,32,50,26,12,55,5,8,1
22,1,0,14:43,5,1,12,88,1,0,0,0,0,36,88,29,8,32,50,26,12,55,5,8,1
23,1,0,14:22,9,1,15,0,1,0,0,0,0,19,81,20,2,32,50,9,15,11,3,22,1
24,1,0,14:16,2,0,19,0,3,13,1,81,20,19,81,20,2,7,50,9,15,11,3,22,1
25,1,0,14:16,4,1,65,90,1,0,0,0,0,65,13,25,4,27,50,7,90,17,4,6,1
26,1, ,13:36,3,0,0,0,0,0,0,0,0,13,25,52,2,7,50,7,26,17,4,8,1
27,1,0,13:36,4,1,19,26,1,0,0,0,0,19,81,20,8,32,50,26,55,92,5,8,1
28,1, ,13:07,3,6,0,0,0,0,0,0,0,19,81,20,4,27,50,26,55,92,5,8,1
29,1,0,13:07,4,1,19,9,3,0,0,0,0,19,81,20,4,27,50,9,15,11,5,8,1
30,1,0,12:52,5,1,5,20,2,0,0,0,0,36,81,20,4,27,50,9,15,11,5,8,1
31,1,0,12:51,9,0,20,0,3,0,0,0,0,36,81,20,2,4,50,9,15,11,5,8,1
32,1,0,12:44,8,0,36,0,2,0,0,0,0,36,81,29,2,4,50,9,15,11,3,22,1
33,1,0,12:37,1,0,2,0,3,48,3,0,0,36,81,29,2,7,50,9,15,11,3,22,1
34,1, ,12:37,3,1,0,0,0,0,0,0,0,36,81,29,2,7,50,9,15,11,3,22,1
35,1,0,12:37,4,0,36,90,3,0,0,0,0,36,88,29,8,32,50,7,90,17,3,22,1
36,1,0,12:15,1,1,22,0,3,65,2,0,0,36,88,29,8,32,50,7,90,17,3,22,1
37,1,0,12:07,1,1,90,0,3,48,2,0,0,36,88,29,8,32,50,7,90,17,3,22,1
38,1,0,11:59,1,1,7,0,3,27,1,0,0,36,88,29,8,32,50,7,90,54,3,22,1
39,1,0,11:35,9,0,88,0,3,0,0,0,0,65,88,13,2,7,50,12,54,58,4,6,1
40,1,0,11:04,7,0,25,0,3,20,0,0,0,65,13,25,2,7,50,12,54,58,4,6,1
41,1,0,10:07,8,0,4,0,1,0,0,0,0,16,67,52,4,27,50,26,55,92,5,8,1
42,1, ,9:32,3,0,0,0,0,0,0,0,0,19,81,20,2,7,50,9,15,11,3,22,1
43,1,0,9:32,4,0,19,9,3,0,0,0,0,19,81,20,2,7,50,9,15,11,3,22,1
44,1, ,7:54,3,6,0,0,0,0,0,0,0,36,88,29,8,32,50,26,54,92,5,8,1
45,1,0,7:54,4,1,36,26,3,0,0,0,0,36,88,29,8,32,50,26,54,92,4,6,1
46,1,0,7:38,13,1,54,36,2,0,0,0,0,36,88,29,8,32,50,26,54,92,4,6,1
47,1, ,7:38,3,4,0,0,0,0,0,0,0,36,88,29,8,32,50,26,54,92,4,6,1
48,1,0,7:38,4,1,65,90,3,0,0,0,0,16,65,25,4,27,50,7,90,17,4,6,1
49,1,0,7:30,1,1,7,0,3,52,1,0,0,16,65,25,4,27,50,7,90,17,4,6,1
50,1,0,7:19,5,0,25,4,3,0,0,0,0,65,13,25,4,27,50,7,90,17,4,6,1
51,1, ,7:12,3,10,0,0,0,0,0,0,0,65,13,25,4,27,50,7,90,17,4,6,1
52,1,0,7:12,4,1,65,12,1,0,0,0,0,65,13,25,2,7,50,12,55,58,3,22,1
53,1,0,6:37,13,1,22,7,2,0,0,0,0,16,13,52,2,7,50,12,55,58,3,22,1
54,1,0,6:12,7,0,67,0,3,58,1,0,0,16,67,52,8,32,50,9,15,11,5,8,1
55,1,0,6:08,5,0,52,11,3,0,0,0,0,16,67,52,8,32,50,9,15,11,5,8,1
56,1,0,5:16,13,1,6,20,2,0,0,0,0,19,81,20,4,27,50,26,54,92,4,6,1
57,1,0,5:04,5,1,54,20,1,0,0,0,0,19,81,20,4,27,50,26,54,92,4,6,1
58,1,0,4:48,13,1,3,36,2,0,0,0,0,36,88,29,8,32,50,7,90,17,3,22,1
59,1,0,4:21,1,0,88,0,3,10,1,0,0,36,88,29,8,32,50,7,90,17,3,22,1
60,1,0,4:14,1,0,36,0,3,4,4,0,0,36,88,29,8,32,50,7,90,17,3,22,1
61,1,0,4:10,6,0,29,7,3,0,0,0,0,36,88,29,8,32,50,7,90,17,3,22,1
62,1, ,4:10,3,9,0,0,0,0,0,0,0,36,88,8,32,50,0,7,90,17,3,22,1
63,1,1,4:10,4,1,16,26,3,0,0,0,0,16,67,4,27,50,0,9,26,90,15,92,1
64,1,-1,3:59,13,1,15,4,2,0,0,0,0,16,67,4,27,50,0,9,26,90,15,92,1
65,1,1,3:31,7,1,9,0,3,54,2,0,0,16,67,4,27,50,0,9,26,90,15,92,1
66,1,1,3:24,2,1,26,0,3,24,5,9,15,16,67,4,27,50,0,9,26,90,15,92,1
67,1,0,3:24,4,1,19,7,1,0,0,0,0,19,81,20,2,7,50,7,54,11,4,6,1
68,1,0,2:28,9,0,36,0,1,0,0,0,0,36,88,29,2,7,50,90,12,55,3,22,1
69,1,0,1:55,8,1,22,0,2,0,0,0,0,36,88,13,8,32,50,26,54,92,3,22,1
70,1,0,1:49,5,0,32,54,1,0,0,0,0,65,13,25,8,32,50,26,54,92,5,8,1
71,1,0,1:37,5,0,13,54,3,0,0,0,0,65,13,25,4,27,50,26,54,92,5,8,1
72,1,0,1:19,1,1,92,0,3,54,2,0,0,65,13,25,4,27,50,26,15,92,5,8,1
73,1,0,1:15,1,1,26,0,3,11,1,0,0,65,13,25,4,27,50,26,15,92,5,8,1
74,1,0,1:14,1,1,92,0,3,8,1,0,0,65,13,25,4,27,50,26,15,92,5,8,1
75,1, ,1:14,3,3,0,0,0,0,0,0,0,65,13,25,4,27,50,26,15,92,5,8,1
76,1,0,1:14,4,0,19,9,1,0,0,0,0,19,81,20,2,7,50,9,15,11,4,6,1
77,1,0,0:46,9,1,6,0,2,0,0,0,0,19,81,20,2,7,50,9,15,11,4,6,1
78,1,0,0:44,1,0,20,0,3,32,1,0,0,19,81,20,2,7,50,9,15,11,4,6,1
79,1, ,0:44,3,0,0,0,0,0,0,0,0,36,88,29,4,27,50,9,15,11,4,6,1
80,1,0,0:44,4,1,36,90,2,0,0,0,0,36,88,29,4,27,50,7,26,90,3,22,1
81,1,0,0:25,8,0,29,0,3,0,0,0,0,36,88,29,4,27,50,7,90,54,3,22,1
82,1,0,0:21,7,0,88,0,3,34,1,0,0,36,88,29,4,27,50,7,90,54,3,22,1
83,1,0,0:14,1,0,29,0,3,21,3,0,0,36,88,29,4,27,50,7,90,54,3,22,1
84,1, ,0:00,11,0,0,0,0,0,0,0,0,36,88,29,4,27,50,7,90,54,3,22,1
85,2, ,20:00,10,0,0,0,0,0,0,0,0,19,81,20,2,7,50,26,54,92,3,22,1
86,2,0,20:00,4,1,19,26,1,0,0,0,0,19,81,20,2,7,50,26,54,92,3,22,1
87,2, ,19:38,3,6,0,0,0,0,0,0,0,19,81,20,2,7,50,26,54,92,3,22,1
88,2,0,19:38,4,1,20,26,3,0,0,0,0,19,81,20,2,7,50,26,54,92,3,22,1
89,2, ,19:33,3,1,0,0,0,0,0,0,0,19,81,20,2,7,50,26,54,92,3,22,1
90,2,0,19:33,1,1,3,0,3,60,2,0,0,19,81,20,2,7,50,26,54,92,3,22,1
91,2,0,19:33,4,0,36,9,2,0,0,0,0,16,36,88,4,27,50,9,15,11,4,6,1
92,2,0,18:52,7,0,88,0,3,30,1,0,0,36,88,29,27,32,50,9,15,11,4,6,1
93,2,0,18:26,1,0,25,0,3,42,1,0,0,19,65,13,25,27,32,7,90,17,5,8,1
94,2, ,18:26,3,1,0,0,0,0,0,0,0,19,65,13,25,27,32,7,90,17,5,8,1
95,2,0,18:26,6,1,17,65,1,0,0,0,0,19,65,13,25,27,32,7,90,17,5,8,1
96,2,-1,18:26,4,1,19,7,2,0,0,0,0,19,65,81,2,7,50,7,26,3,22,1,0
97,2,-1,17:58,13,0,81,3,2,0,0,0,0,19,65,81,2,7,50,12,92,3,22,1,0
98,2,1,17:11,1,0,2,0,3,41,1,0,0,19,65,81,2,8,50,54,55,3,4,1,0
99,2,-1,16:56,13,0,81,4,2,0,0,0,0,19,65,81,2,8,50,54,55,3,4,1,0
100,2,1,16:50,1,0,2,0,3,45,1,0,0,19,65,81,2,8,50,54,55,3,4,1,0
101,2,-1,16:47,5,1,4,65,2,0,0,0,0,19,65,81,2,8,50,54,55,3,4,1,0
102,2,1,16:47,1,0,65,0,3,15,1,0,0,19,65,81,2,8,50,54,55,3,4,1,0
103,2,0,16:04,13,0,27,9,2,0,0,0,0,88,20,25,4,27,50,9,15,11,8,22,1
104,2,0,15:44,2,1,9,0,3,19,6,6,0,36,88,20,4,27,50,7,9,15,5,6,1
105,2,0,15:44,4,1,36,90,1,0,0,0,0,36,13,29,2,7,50,7,90,17,5,6,1
106,2,0,15:11,2,1,7,0,3,30,1,90,17,36,13,29,2,7,50,7,90,17,5,6,1
107,2, ,15:11,3,0,0,0,0,0,0,0,0,36,13,29,2,7,50,7,90,17,5,6,1
108,2,0,15:11,4,1,19,26,1,0,0,0,0,19,81,20,4,27,50,26,54,92,5,8,1
109,2, ,14:47,3,3,0,0,0,0,0,0,0,19,81,20,4,27,50,26,54,92,5,8,1
110,2,0,14:47,4,1,16,9,3,0,0,0,0,16,67,52,2,7,50,9,15,11,3,22,1
111,2,0,14:36,5,1,22,52,3,0,0,0,0,16,67,52,2,7,50,9,15,11,3,22,1
112,2,0,14:33,5,0,52,22,1,0,0,0,0,16,67,52,2,7,50,9,15,11,3,22,1
113,2,0,14:13,13,1,9,7,2,0,0,0,0,16,67,52,2,7,50,9,15,11,3,22,1
114,2,0,14:06,5,1,11,16,3,0,0,0,0,16,67,52,2,7,50,9,15,11,3,22,1
115,2,0,14:04,7,1,11,0,3,17,1,0,0,16,67,52,2,7,50,9,15,11,4,6,1
116,2,0,13:56,8,0,67,0,2,0,0,0,0,36,67,29,8,32,50,9,15,11,4,6,1
117,2,0,12:24,1,1,26,0,3,20,1,0,0,19,81,20,7,27,50,26,54,92,4,5,1
118,2,0,11:56,7,1,3,0,3,62,3,0,0,19,81,20,2,7,50,26,54,92,3,5,1
119,2,0,11:44,1,0,20,0,1,85,1,0,0,16,65,20,2,7,50,12,55,58,3,22,1
120,2,0,11:21,5,1,58,32,3,0,0,0,0,16,65,13,2,32,50,12,55,58,3,22,1
121,2,0,11:14,5,1,55,16,1,0,0,0,0,16,65,13,2,32,50,12,55,58,3,22,1
