# 2013/03/10 
# STL , ANA 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,74,42,4,46,41,7,11,34,5,6,1
2,1,0,20:00,4,0,42,11,1,0,0,0,0,9,74,42,4,46,41,7,11,34,5,6,1
3,1,0,19:21,1,1,6,0,3,56,2,0,0,9,21,74,4,46,41,7,11,34,5,6,1
4,1,0,19:15,5,1,11,9,1,0,0,0,0,9,21,74,4,46,41,7,11,34,5,6,1
5,1,0,19:12,5,1,5,21,2,0,0,0,0,21,25,57,5,27,41,7,11,34,5,6,1
6,1,0,18:13,13,1,74,27,2,0,0,0,0,17,36,32,5,27,41,74,8,39,23,44,1
7,1, ,18:12,3,1,0,0,0,0,0,0,0,17,36,32,5,27,41,74,8,39,23,44,1
8,1,0,18:12,4,1,17,8,3,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
9,1, ,18:04,3,2,0,0,0,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
10,1,0,18:04,4,0,12,74,1,0,0,0,0,12,75,79,6,22,41,74,8,39,4,32,1
11,1,0,18:02,5,0,75,4,3,0,0,0,0,12,75,79,6,22,41,74,8,39,4,32,1
12,1,0,17:52,5,0,22,39,3,0,0,0,0,12,75,79,6,22,41,74,8,39,4,32,1
13,1,0,16:57,5,1,15,25,1,0,0,0,0,21,25,57,5,27,41,15,64,65,5,6,1
14,1, ,16:56,3,6,0,0,0,0,0,0,0,21,25,57,5,27,41,15,64,65,5,6,1
15,1,0,16:56,4,1,21,11,3,0,0,0,0,21,25,57,5,27,41,7,11,34,5,6,1
16,1,0,16:50,13,1,11,27,2,0,0,0,0,21,25,57,5,27,41,7,11,34,5,6,1
17,1, ,16:04,3,0,0,0,0,0,0,0,0,21,25,57,5,27,41,7,11,34,5,6,1
18,1,0,16:04,4,1,21,15,3,0,0,0,0,21,25,57,5,27,41,15,9,10,23,44,1
19,1,0,15:59,13,1,9,5,2,0,0,0,0,21,25,57,5,27,41,15,9,10,23,44,1
20,1,0,15:48,1,1,15,0,3,36,2,0,0,9,74,42,4,5,41,15,9,10,23,44,1
21,1,0,15:39,1,1,10,0,3,7,4,0,0,9,74,42,4,5,41,15,9,10,23,44,1
22,1,0,15:32,8,0,42,0,1,0,0,0,0,9,74,42,4,5,41,15,9,10,23,44,1
23,1,0,15:29,13,0,42,44,2,0,0,0,0,9,74,42,4,5,41,15,9,10,23,44,1
24,1,0,14:43,5,1,39,22,1,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
25,1,0,14:37,9,1,32,0,1,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
26,1,0,14:33,1,0,22,0,3,24,1,0,0,17,36,32,6,22,41,74,8,39,4,32,1
27,1, ,14:32,3,1,0,0,0,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
28,1,0,14:32,4,1,12,11,2,0,0,0,0,12,75,79,4,46,41,7,11,34,5,6,1
29,1,0,14:25,5,0,4,7,3,0,0,0,0,12,75,79,4,46,41,7,11,34,5,6,1
30,1,0,14:18,7,0,46,0,3,63,2,0,0,12,75,79,4,46,41,7,11,34,5,6,1
31,1,0,13:57,9,1,6,0,2,0,0,0,0,12,75,79,6,22,41,64,9,65,5,6,1
32,1,0,13:56,1,0,12,0,3,37,1,0,0,12,75,79,6,22,41,64,9,65,5,6,1
33,1,0,13:51,2,0,75,0,3,12,0,6,79,12,75,79,6,22,41,64,9,65,5,6,1
34,1,0,13:51,4,0,42,74,1,0,0,0,0,9,74,42,5,27,41,74,8,39,23,44,1
35,1,0,13:30,5,1,23,9,2,0,0,0,0,9,74,42,6,22,41,74,8,39,23,44,1
36,1,0,13:22,1,0,42,0,3,12,0,0,0,9,74,42,6,22,41,74,8,39,23,44,1
37,1,0,13:06,5,1,39,22,3,0,0,0,0,25,42,57,6,22,41,74,8,39,4,32,1
38,1,0,12:48,9,1,9,0,3,0,0,0,0,21,25,57,5,27,41,15,9,10,4,32,1
39,1,0,12:45,1,0,25,0,3,20,1,0,0,21,25,57,5,27,41,15,9,10,4,32,1
40,1, ,12:44,3,9,0,0,0,0,0,0,0,21,25,57,5,27,41,15,9,10,4,32,1
41,1,0,12:44,4,1,21,15,2,0,0,0,0,21,25,57,5,27,41,15,9,10,4,32,1
42,1,0,12:28,5,0,21,10,2,0,0,0,0,21,25,57,5,27,41,15,9,10,4,32,1
43,1, ,11:57,3,2,0,0,0,0,0,0,0,17,36,32,4,46,41,15,9,10,4,32,1
44,1,0,11:57,4,1,42,11,1,0,0,0,0,9,74,42,6,22,41,7,11,34,5,6,1
45,1,0,10:55,13,1,39,46,2,0,0,0,0,12,75,79,4,46,41,74,8,39,5,6,1
46,1,0,10:37,5,1,74,75,2,0,0,0,0,12,75,57,5,27,41,74,8,39,23,44,1
47,1,0,10:26,1,0,21,0,3,42,1,0,0,21,25,57,5,27,41,7,65,39,23,44,1
48,1, ,10:25,3,1,0,0,0,0,0,0,0,21,25,57,5,27,41,7,65,39,23,44,1
49,1,0,10:25,4,0,57,11,3,0,0,0,0,21,25,57,5,27,41,11,64,65,23,44,1
50,1,0,10:18,13,1,64,27,2,0,0,0,0,21,25,57,5,27,41,7,64,65,23,44,1
51,1, ,10:17,3,6,0,0,0,0,0,0,0,21,25,57,5,27,41,7,64,65,23,44,1
52,1,0,10:17,4,0,17,7,2,0,0,0,0,17,36,32,6,22,41,7,64,65,23,44,1
53,1,0,10:04,5,1,65,6,3,0,0,0,0,17,36,32,6,22,41,7,64,65,23,44,1
54,1,0,10:02,5,1,23,32,3,0,0,0,0,17,36,32,6,22,41,7,64,65,23,44,1
55,1,0,9:44,5,0,17,65,2,0,0,0,0,17,36,32,5,22,41,7,64,65,23,44,1
56,1,0,9:23,1,0,27,0,3,51,2,0,0,9,74,42,5,27,41,15,9,10,4,32,1
57,1, ,9:22,3,0,0,0,0,0,0,0,0,9,74,42,5,27,41,15,9,10,4,32,1
58,1,0,9:22,4,0,42,15,3,0,0,0,0,9,74,42,5,27,41,15,9,10,4,32,1
59,1,0,9:14,7,0,42,0,3,27,0,0,0,9,74,42,5,27,41,15,9,10,4,32,1
60,1,0,9:00,1,1,15,0,3,44,1,0,0,9,74,42,5,27,41,15,9,10,4,32,1
61,1,0,8:51,5,1,32,74,2,0,0,0,0,9,74,42,5,27,41,15,9,10,4,32,1
62,1,0,8:31,5,0,46,9,1,0,0,0,0,21,25,57,4,46,41,15,9,10,4,32,1
63,1,0,8:11,7,0,46,0,3,47,2,0,0,21,25,57,4,46,41,74,8,39,4,32,1
64,1,0,7:36,6,0,79,6,1,0,0,0,0,12,75,79,4,6,41,7,74,39,5,6,1
65,1,-1,7:36,4,0,17,15,2,0,0,0,0,17,42,5,27,41,0,15,9,10,4,23,1
66,1,-1,7:08,5,0,5,10,2,0,0,0,0,17,42,5,27,41,0,15,9,10,4,23,1
67,1,-1,6:58,13,1,4,17,2,0,0,0,0,17,42,5,27,41,0,15,9,10,4,23,1
68,1,0,5:22,1,1,74,0,3,14,1,0,0,21,25,57,5,27,41,34,74,65,6,44,1
69,1,0,5:10,9,0,21,0,3,0,0,0,0,21,25,57,5,27,41,34,74,65,6,44,1
70,1,0,4:58,5,0,5,65,2,0,0,0,0,21,25,57,5,27,41,15,34,65,5,32,1
71,1, ,4:36,3,6,0,0,0,0,0,0,0,9,74,42,4,46,41,15,34,65,5,32,1
72,1,0,4:36,4,0,42,15,2,0,0,0,0,9,74,42,4,46,41,15,9,10,23,44,1
73,1,0,4:15,1,0,4,0,3,57,2,0,0,9,74,42,4,46,41,15,9,10,23,44,1
74,1, ,4:14,3,0,0,0,0,0,0,0,0,9,74,42,4,46,41,15,9,10,23,44,1
75,1,0,4:14,4,0,17,74,3,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
76,1,0,3:43,5,1,32,32,3,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
77,1,0,3:37,6,1,39,6,3,0,0,0,0,17,36,32,6,22,41,74,8,39,4,32,1
