# 2013/03/12 
# VAN , COL 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,7,20,8,23,1,10,16,22,6,47,72
2,1,0,20:00,4,CBJ,20,16,1,0,0,0,0,9,7,20,8,23,1,10,16,22,6,47,72
3,1,0,19:44,5,CBJ,22,8,3,0,0,0,0,9,7,20,8,23,1,10,16,22,6,47,72
4,1,0,19:37,6,0,7,47,3,0,0,0,0,9,7,20,8,23,1,10,16,22,6,47,72
5,1,-1,19:37,4,0,25,17,2,0,0,0,0,25,14,2,8,1,0,16,17,18,7,51,72
6,1,-1,18:49,1,0,36,0,3,31,1,0,0,36,20,8,23,1,0,16,17,18,7,51,72
7,1,1,18:39,1,CBJ,16,0,3,10,1,0,0,36,20,8,23,1,0,16,17,18,7,51,72
8,1,-1,18:32,5,0,23,18,2,0,0,0,0,36,20,8,23,1,0,16,17,18,7,51,72
9,1,-1,17:58,8,0,21,0,2,0,0,0,0,32,21,8,23,1,0,19,22,71,6,20,72
10,1,1,17:40,1,CBJ,22,0,3,25,3,0,0,40,14,2,5,1,0,19,22,71,6,20,72
11,1,0,16:57,5,0,9,7,3,0,0,0,0,33,9,22,2,18,1,34,13,11,6,7,72
12,1,0,16:32,13,0,25,7,2,0,0,0,0,25,36,21,18,41,1,9,34,13,7,51,72
13,1,0,16:28,8,CBJ,13,0,2,0,0,0,0,25,36,21,18,41,1,9,34,13,7,51,72
14,1,0,16:22,1,0,21,0,3,51,2,0,0,25,36,21,18,41,1,9,34,13,7,51,72
15,1,0,16:04,1,CBJ,9,0,3,34,1,0,0,25,36,21,18,41,1,9,10,40,20,33,72
16,1, ,16:03,3,1,0,0,0,0,0,0,0,25,14,21,18,41,1,9,10,40,20,33,72
17,1,0,16:03,4,0,40,10,2,0,0,0,0,40,32,29,8,23,1,9,10,40,20,33,72
18,1,0,15:54,5,0,23,40,2,0,0,0,0,40,32,29,8,23,1,9,10,40,20,33,72
19,1,0,15:31,1,0,23,0,1,79,1,0,0,40,32,29,5,23,1,10,18,71,20,33,72
20,1, ,15:30,3,2,0,0,0,0,0,0,0,40,32,29,5,23,1,10,18,71,20,33,72
21,1,0,15:30,4,CBJ,33,19,1,0,0,0,0,33,14,22,2,5,1,18,19,71,7,51,72
22,1,0,15:15,5,0,5,18,2,0,0,0,0,33,14,22,2,5,1,18,19,71,7,51,72
23,1,0,15:00,8,CBJ,51,0,2,0,0,0,0,33,14,22,2,5,1,18,19,71,7,51,72
24,1,0,14:52,13,0,14,51,2,0,0,0,0,33,14,22,2,5,1,18,19,71,7,51,72
25,1,0,14:46,1,0,14,0,3,12,6,0,0,33,14,22,2,5,1,18,19,71,7,51,72
26,1,0,14:21,5,CBJ,17,18,3,0,0,0,0,9,7,20,2,18,1,17,13,11,6,47,72
27,1,0,14:03,5,0,7,11,2,0,0,0,0,9,7,20,2,18,1,17,13,11,6,47,72
