# 2013/03/16 
# PHX , COL 
# 0 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,28,89,16,23,41,17,13,11,7,51,72
2,1,0,20:00,4,CBJ,11,17,1,0,0,0,0,11,28,89,16,23,41,17,13,11,7,51,72
3,1,0,19:12,13,0,53,18,2,0,0,0,0,50,19,26,3,53,41,18,19,13,7,51,72
4,1,0,18:33,13,0,26,18,2,0,0,0,0,50,19,26,6,29,41,18,19,71,6,47,72
5,1,0,18:29,9,CBJ,47,0,2,0,0,0,0,50,19,26,6,29,41,18,19,71,6,47,72
6,1, ,18:11,3,6,0,0,0,0,0,0,0,15,36,18,6,29,41,10,16,22,4,20,72
7,1,0,18:11,4,0,15,10,2,0,0,0,0,15,36,18,6,29,41,10,16,22,4,20,72
8,1, ,18:03,3,6,0,0,0,0,0,0,0,15,36,18,6,29,41,10,16,22,4,20,72
9,1,0,18:03,4,0,15,10,2,0,0,0,0,15,36,18,6,29,41,10,16,22,4,20,72
10,1,0,17:59,5,CBJ,16,6,3,0,0,0,0,15,36,18,6,29,41,10,16,22,4,20,72
11,1,0,17:10,1,CBJ,42,0,3,8,1,0,0,8,12,37,16,23,41,9,42,40,4,20,72
12,1,0,17:02,1,0,8,0,3,35,1,0,0,8,12,37,16,23,41,9,42,40,6,47,72
13,1, ,17:00,3,1,0,0,0,0,0,0,0,8,12,37,3,53,41,9,42,40,6,47,72
14,1,0,17:00,6,0,8,0,3,0,0,0,0,8,12,37,3,53,41,9,42,40,6,47,72
15,1,1,17:00,4,CBJ,50,17,3,0,0,0,0,50,28,16,53,41,0,16,17,18,7,51,72
16,1,-1,15:41,1,0,23,0,3,65,1,0,0,15,18,23,29,41,0,19,22,71,7,51,72
17,1,1,15:41,9,CBJ,19,0,1,0,0,0,0,15,18,23,29,41,0,19,22,71,7,51,72
