# 2013/03/21 
# VAN , PHX 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,45,36,21,2,5,35,50,19,89,3,53,41
2,1,0,20:00,4,0,45,50,1,0,0,0,0,45,36,21,2,5,35,50,19,89,3,53,41
3,1,0,19:47,5,1,19,2,3,0,0,0,0,45,36,21,2,5,35,50,19,89,3,53,41
4,1,0,19:45,1,0,21,0,3,30,1,0,0,45,36,21,2,5,35,50,19,89,3,53,41
5,1, ,19:44,3,1,0,0,0,0,0,0,0,45,36,21,2,5,35,50,19,89,3,53,41
6,1,0,19:44,4,1,33,15,2,0,0,0,0,33,14,22,2,5,35,15,36,28,6,23,41
7,1,0,19:35,7,1,36,0,3,17,1,0,0,33,14,22,2,5,35,15,36,28,6,23,41
8,1,0,19:29,5,1,6,22,1,0,0,0,0,33,14,22,2,5,35,15,36,28,6,23,41
9,1,0,18:56,1,0,23,0,3,60,2,0,0,45,36,21,3,23,35,11,17,26,6,23,41
10,1,0,18:49,13,0,36,6,2,0,0,0,0,45,36,21,3,23,35,11,17,26,6,23,41
11,1, ,18:45,3,4,0,0,0,0,0,0,0,45,36,21,3,23,35,11,17,26,6,23,41
12,1,0,18:45,4,0,40,8,2,0,0,0,0,40,44,29,8,18,35,8,24,37,16,29,41
13,1,0,18:28,5,1,29,29,2,0,0,0,0,40,44,29,8,18,35,8,24,37,16,29,41
14,1,0,18:18,5,0,44,29,1,0,0,0,0,40,44,29,8,18,35,8,24,37,16,29,41
15,1, ,18:11,3,2,0,0,0,0,0,0,0,40,32,29,8,18,35,8,24,37,16,29,41
16,1,0,18:11,4,0,25,11,1,0,0,0,0,25,32,2,4,5,35,11,17,26,3,53,41
17,1,0,17:50,8,0,25,0,2,0,0,0,0,25,32,2,4,5,35,11,17,26,3,53,41
18,1,0,17:37,1,0,25,0,3,16,6,0,0,25,32,3,4,23,35,11,17,26,3,53,41
19,1,0,17:11,8,1,89,0,1,0,0,0,0,33,14,22,3,23,35,50,19,89,6,23,41
20,1,0,16:21,5,1,29,21,1,0,0,0,0,40,36,21,2,5,35,15,36,28,16,29,41
