# 2013/03/23 
# STL , EDM 
# 3 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,25,42,5,27,41,14,89,91,2,5,35
2,1,0,20:00,4,0,42,89,1,0,0,0,0,20,25,42,5,27,41,14,89,91,2,5,35
3,1,0,19:29,7,1,89,0,3,50,1,0,0,10,25,42,5,27,41,14,89,91,15,19,35
4,1,0,18:39,7,0,10,0,3,54,3,0,0,10,21,74,4,46,41,10,83,4,19,45,35
5,1,0,18:23,13,0,57,45,2,0,0,0,0,17,91,57,6,22,41,20,64,28,6,45,35
6,1,0,18:17,5,1,28,22,3,0,0,0,0,17,91,57,6,22,41,20,64,28,6,45,35
7,1,0,18:01,1,1,28,0,3,14,5,0,0,17,91,57,6,22,41,20,64,28,6,45,35
8,1,0,17:53,5,1,64,57,3,0,0,0,0,17,91,57,6,22,41,20,64,28,6,45,35
9,1,0,17:50,1,0,17,0,3,35,1,0,0,17,91,57,6,22,41,20,37,64,6,45,35
10,1,0,17:32,1,0,32,0,3,34,3,0,0,9,12,32,5,27,41,20,37,13,6,45,35
11,1,0,17:16,1,0,9,0,3,14,4,0,0,9,12,32,5,27,41,20,37,13,6,45,35
12,1,0,16:50,5,0,42,2,2,0,0,0,0,20,25,42,4,46,41,14,89,91,2,5,35
13,1,0,16:40,2,0,25,0,3,48,3,20,41,20,25,42,4,46,41,14,89,91,2,5,35
14,1,0,16:40,4,0,42,10,1,0,0,0,0,20,25,42,4,46,41,10,83,4,2,5,35
15,1,0,16:34,5,1,5,25,1,0,0,0,0,20,25,42,4,46,41,10,83,4,2,5,35
16,1,0,16:25,13,0,20,2,2,0,0,0,0,20,25,42,4,46,41,10,83,4,2,5,35
17,1,0,16:17,1,1,83,0,3,15,1,0,0,20,25,42,4,46,41,10,83,4,15,19,35
18,1,0,16:10,5,0,4,83,2,0,0,0,0,20,25,42,4,46,41,10,83,4,15,19,35
19,1,0,16:08,8,0,4,0,2,0,0,0,0,20,25,42,4,46,41,10,83,4,15,19,35
20,1, ,16:04,3,1,0,0,0,0,0,0,0,10,74,42,5,27,41,10,83,4,15,19,35
21,1,0,16:04,4,0,21,20,3,0,0,0,0,10,21,74,5,27,41,20,64,28,15,19,35
