# 2013/03/27 
# PHX , MIN 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,17,26,6,23,1,9,63,11,20,25,32
2,1,0,20:00,4,0,11,9,1,0,0,0,0,11,17,26,6,23,1,9,63,11,20,25,32
3,1,0,19:30,6,0,11,9,2,0,0,0,0,11,17,26,6,23,1,7,96,10,15,25,32
4,1,1,19:30,4,1,15,7,3,0,0,0,0,15,18,16,53,1,0,7,96,10,15,25,32
5,1,-1,19:03,9,0,53,0,2,0,0,0,0,15,18,16,53,1,0,7,96,10,15,25,32
6,1,-1,19:01,5,0,53,7,2,0,0,0,0,15,18,16,53,1,0,7,96,10,15,25,32
7,1,1,17:57,1,1,11,0,3,15,1,0,0,8,19,6,23,1,0,9,21,11,20,46,32
8,1,0,17:26,1,1,9,0,3,29,1,0,0,11,50,89,16,53,1,9,21,11,20,46,32
9,1, ,17:25,3,1,0,0,0,0,0,0,0,11,50,89,16,53,1,17,27,28,44,77,32
10,1,0,17:25,4,1,15,28,3,0,0,0,0,15,36,18,3,29,1,17,27,28,44,77,32
11,1,0,16:39,5,1,44,18,1,0,0,0,0,8,36,18,3,6,1,17,27,28,44,77,32
12,1,0,16:35,6,1,44,18,1,0,0,0,0,8,36,18,3,6,1,27,28,22,44,77,32
13,1,0,16:35,6,0,18,44,1,0,0,0,0,8,36,18,3,6,1,27,28,22,77,32,0
14,1,0,16:35,4,0,8,21,1,0,0,0,0,8,24,37,6,23,1,21,22,15,4,46,32
15,1,0,15:45,9,1,21,0,1,0,0,0,0,50,19,89,16,29,1,21,22,15,4,46,32
16,1,0,15:37,1,0,50,0,3,48,2,0,0,50,19,89,16,29,1,7,96,10,4,46,32
17,1,0,15:33,1,0,19,0,3,17,1,0,0,50,19,89,16,29,1,7,96,10,4,46,32
18,1,0,15:19,1,0,19,0,3,46,3,0,0,50,19,89,6,16,1,7,96,10,20,25,32
19,1, ,15:18,3,1,0,0,0,0,0,0,0,50,19,89,6,16,1,7,96,10,20,25,32
20,1,0,15:18,4,0,11,7,3,0,0,0,0,11,17,26,6,23,1,7,96,10,20,25,32
21,1,0,15:15,1,0,23,0,3,60,1,0,0,11,17,26,6,23,1,7,96,10,20,25,32
22,1, ,15:14,3,1,0,0,0,0,0,0,0,11,17,26,6,23,1,7,96,10,20,25,32
