# 2013/03/28 
# WPG , PIT 
# 0 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,33,39,35,16,48,24,3,7,92
2,1,0,20:00,4,0,18,16,1,0,0,0,0,18,26,16,33,39,35,16,48,24,3,7,92
3,1, ,19:55,3,10,0,0,0,0,0,0,0,18,26,16,33,39,35,16,48,24,3,7,92
4,1,0,19:55,4,1,18,16,1,0,0,0,0,18,26,16,33,39,35,16,48,24,3,7,92
5,1,0,19:27,5,1,3,26,2,0,0,0,0,18,26,16,33,39,35,16,48,24,3,7,92
6,1,0,19:06,13,1,87,6,2,0,0,0,0,12,20,9,6,44,35,87,9,14,2,44,92
7,1, ,18:39,3,10,0,0,0,0,0,0,0,12,20,9,6,44,35,87,9,14,2,44,92
8,1,0,18:39,4,1,18,71,1,0,0,0,0,18,26,16,33,39,35,71,10,18,4,47,92
9,1,0,18:24,8,0,18,0,3,0,0,0,0,18,26,16,33,39,35,71,10,18,4,47,92
10,1,0,18:19,7,0,33,0,3,62,2,0,0,18,26,16,33,39,35,71,10,18,4,47,92
11,1,0,18:09,7,0,33,0,3,63,2,0,0,18,26,16,33,39,35,71,10,18,4,47,92
12,1,0,17:30,5,0,27,7,3,0,0,0,0,13,27,80,7,24,35,46,27,15,7,44,92
13,1,0,17:21,1,1,15,0,3,51,3,0,0,13,27,80,7,24,35,46,27,15,7,44,92
14,1,0,17:11,5,1,44,13,2,0,0,0,0,13,27,80,7,24,35,46,27,15,7,44,92
15,1,0,17:02,13,1,15,24,2,0,0,0,0,13,27,80,7,24,35,46,27,15,7,44,92
16,1,0,16:57,5,1,15,7,3,0,0,0,0,8,27,22,7,24,35,87,9,15,2,3,92
17,1,0,16:40,5,0,8,87,2,0,0,0,0,8,20,9,7,24,35,87,9,14,2,3,92
18,1,0,16:36,1,1,3,0,3,58,2,0,0,8,20,9,7,24,35,87,9,14,2,3,92
19,1,0,16:30,7,1,3,0,3,52,1,0,0,8,20,9,7,24,35,87,9,14,2,3,92
20,1,0,16:21,13,1,9,7,2,0,0,0,0,8,20,9,7,24,35,87,9,14,2,3,92
21,1,0,16:19,5,0,7,9,2,0,0,0,0,8,20,9,7,24,35,87,9,14,2,3,92
22,1,0,16:14,7,1,2,0,3,55,2,0,0,8,20,9,7,24,35,87,9,14,2,3,92
23,1,0,16:11,8,1,87,0,3,0,0,0,0,8,20,9,7,24,35,87,9,14,2,3,92
24,1,0,15:54,5,1,2,12,2,0,0,0,0,12,20,9,6,44,35,48,87,14,2,3,92
25,1,0,15:52,13,0,44,87,2,0,0,0,0,12,20,9,6,44,35,48,87,14,2,3,92
26,1,0,15:46,1,1,87,0,1,94,1,0,0,12,20,9,6,44,35,48,87,14,2,3,92
27,1,0,15:29,1,0,27,0,3,31,1,0,0,13,27,80,6,44,35,16,48,24,4,47,92
28,1,0,15:18,13,0,80,47,2,0,0,0,0,13,27,80,6,44,35,16,48,24,4,47,92
29,1,0,15:12,5,1,47,13,2,0,0,0,0,13,27,80,6,44,35,16,48,24,4,47,92
30,1,0,15:10,9,1,24,0,2,0,0,0,0,13,27,80,6,44,35,16,48,24,4,47,92
31,1,0,15:03,1,0,6,0,3,53,3,0,0,13,27,80,6,44,35,16,48,24,4,47,92
