# 2013/04/02 
# L.A , PHX 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,14,23,6,8,32,11,17,19,23,29,1
2,1,0,20:00,4,1,11,11,1,0,0,0,0,11,14,23,6,8,32,11,17,19,23,29,1
3,1,0,19:39,5,1,19,6,3,0,0,0,0,11,14,23,6,8,32,11,17,19,23,29,1
4,1,0,19:30,1,0,14,0,3,36,1,0,0,11,14,23,6,8,32,11,17,19,23,29,1
5,1,0,19:24,7,0,23,0,3,35,1,0,0,11,14,23,6,8,32,11,17,19,23,29,1
6,1,0,19:14,5,0,23,11,2,0,0,0,0,22,28,23,6,8,32,11,17,19,16,53,1
7,1,0,19:02,5,1,53,22,2,0,0,0,0,22,28,74,7,26,32,8,26,89,16,53,1
8,1,0,18:20,1,1,37,0,3,31,6,0,0,10,77,74,7,26,32,8,24,37,3,6,1
9,1,0,18:19,5,0,10,37,2,0,0,0,0,10,77,74,7,26,32,24,50,37,3,6,1
10,1,0,17:51,13,0,15,53,2,0,0,0,0,71,73,15,5,27,32,24,50,37,16,53,1
11,1, ,17:50,3,4,0,0,0,0,0,0,0,71,73,15,5,27,32,24,50,37,16,53,1
12,1,0,17:50,4,0,15,15,3,0,0,0,0,71,15,13,6,8,32,15,36,18,16,53,1
13,1,0,17:44,1,0,6,0,3,55,2,0,0,71,15,13,6,8,32,15,36,18,16,53,1
14,1,0,17:38,5,0,71,18,3,0,0,0,0,71,15,13,6,8,32,15,36,18,16,53,1
15,1,0,17:16,7,1,18,0,3,31,1,0,0,71,15,13,6,8,32,15,36,18,16,53,1
16,1,0,17:14,5,1,36,15,3,0,0,0,0,71,15,13,6,8,32,15,36,18,16,53,1
17,1, ,17:05,3,2,0,0,0,0,0,0,0,11,14,13,6,8,32,15,36,18,16,53,1
18,1,0,17:05,4,1,11,11,1,0,0,0,0,11,14,23,7,26,32,11,17,19,23,29,1
19,1,0,16:36,13,1,17,11,2,0,0,0,0,11,14,23,7,26,32,11,17,19,23,29,1
20,1,0,16:27,1,0,23,0,3,11,1,0,0,11,14,23,26,27,32,11,17,19,23,29,1
21,1,0,16:25,1,0,23,0,3,10,1,0,0,11,14,23,26,27,32,11,17,19,23,29,1
22,1,0,16:14,5,0,74,23,3,0,0,0,0,28,14,74,5,27,32,11,17,19,23,29,1
23,1,0,16:04,5,1,89,28,1,0,0,0,0,22,28,74,5,27,32,8,26,89,3,6,1
24,1,0,15:47,5,1,8,5,3,0,0,0,0,22,28,74,5,27,32,8,26,89,3,6,1
25,1,0,15:42,1,1,89,0,3,18,1,0,0,22,28,74,5,27,32,8,26,89,3,6,1
26,1,0,15:15,5,0,8,24,1,0,0,0,0,10,73,77,6,8,32,24,50,26,3,6,1
27,1,0,15:06,5,1,24,73,3,0,0,0,0,10,73,77,6,8,32,24,50,37,3,6,1
28,1, ,14:55,3,6,0,0,0,0,0,0,0,73,77,15,6,8,32,24,50,37,16,53,1
29,1,0,14:55,4,1,15,50,2,0,0,0,0,71,15,13,7,26,32,24,50,37,16,53,1
