# 2013/04/03 
# EDM , CGY 
# 8 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
2,1,0,20:00,4,1,93,18,1,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
3,1, ,19:51,3,6,0,0,0,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
4,1,0,19:51,4,0,93,18,3,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
5,1,0,19:43,13,0,5,26,2,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
6,1, ,19:38,3,1,0,0,0,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
7,1,0,19:38,13,0,93,26,2,0,0,0,0,14,93,4,2,5,40,18,22,20,5,26,35
8,1,0,19:38,4,1,89,13,2,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
9,1,0,19:24,5,1,13,89,3,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
10,1,0,19:05,5,1,13,89,2,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
11,1, ,18:54,3,1,0,0,0,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
12,1,0,18:54,1,0,19,0,3,46,1,0,0,89,83,91,15,19,40,13,40,51,6,7,35
13,1,0,18:54,4,0,10,11,3,0,0,0,0,10,64,28,6,44,40,10,11,24,5,26,35
14,1,0,18:14,1,0,44,0,3,56,2,0,0,37,13,94,5,44,40,15,16,25,5,26,35
15,1,0,18:03,5,0,13,5,3,0,0,0,0,37,13,94,2,5,40,15,16,25,5,26,35
16,1, ,17:36,3,10,0,0,0,0,0,0,0,37,13,94,2,5,40,18,15,22,33,44,35
17,1,0,17:36,4,1,93,18,3,0,0,0,0,14,93,4,15,19,40,18,22,20,5,26,35
18,1,0,17:25,2,1,18,0,3,19,1,26,0,14,93,4,15,19,40,18,22,20,5,26,35
19,1,0,17:25,4,1,89,13,1,0,0,0,0,89,83,91,6,44,40,13,40,51,6,7,35
20,1,0,17:04,13,1,40,89,2,0,0,0,0,89,83,91,6,44,40,13,40,51,6,7,35
21,1,0,16:23,8,1,11,0,3,0,0,0,0,10,64,28,5,44,40,10,11,24,33,44,35
22,1,0,16:16,9,0,5,0,2,0,0,0,0,10,64,28,5,44,40,10,11,24,33,44,35
23,1,0,16:15,7,1,11,0,3,33,3,0,0,10,64,28,5,44,40,10,11,24,33,44,35
24,1,0,16:03,9,1,33,0,2,0,0,0,0,10,64,28,2,5,40,10,11,24,33,44,35
25,1,0,15:42,9,0,10,0,1,0,0,0,0,10,64,28,2,5,40,10,11,24,5,26,35
26,1, ,15:33,3,1,0,0,0,0,0,0,0,37,13,94,2,15,40,15,16,25,5,26,35
27,1,0,15:33,6,1,25,13,3,0,0,0,0,37,13,94,2,15,40,15,16,25,5,26,35
28,1,0,15:33,6,0,13,25,2,0,0,0,0,37,13,94,2,15,40,15,16,5,26,35,0
29,1,0,15:33,4,0,94,13,2,0,0,0,0,37,91,94,15,19,40,15,16,13,6,7,35
30,1,0,14:59,5,1,15,19,1,0,0,0,0,37,91,94,6,19,40,15,16,13,6,7,35
31,1,0,14:42,7,1,20,0,3,19,6,0,0,37,91,94,6,19,40,18,22,20,5,26,35
32,1,0,14:42,2,1,18,0,3,18,6,20,22,37,91,94,6,19,40,18,22,20,5,26,35
33,1,0,14:42,4,1,93,18,1,0,0,0,0,14,93,4,6,44,40,18,22,20,5,26,35
34,1,0,14:25,5,1,20,14,1,0,0,0,0,14,93,4,6,44,40,18,22,20,5,26,35
35,1,0,14:14,1,0,14,0,3,7,6,0,0,14,93,4,6,44,40,18,22,20,5,26,35
36,1, ,14:14,3,1,0,0,0,0,0,0,0,14,93,4,6,44,40,18,22,20,5,26,35
37,1,0,14:14,4,0,83,13,3,0,0,0,0,89,83,91,2,5,40,13,40,51,6,7,35
38,1,0,13:53,5,1,7,91,2,0,0,0,0,89,83,91,2,5,40,13,40,51,6,7,35
39,1,0,13:28,9,0,83,0,2,0,0,0,0,89,83,91,2,5,40,24,13,40,33,44,35
40,1,0,13:26,7,1,44,0,3,60,1,0,0,89,83,91,2,5,40,24,13,40,33,44,35
41,1,0,13:12,7,1,11,0,3,35,1,0,0,14,93,4,15,19,40,10,11,24,26,44,35
42,1,0,13:02,7,0,4,0,3,12,6,0,0,14,93,4,15,19,40,10,11,24,26,44,35
43,1,0,13:00,1,0,4,0,3,17,3,0,0,14,93,4,15,19,40,10,11,24,26,44,35
44,1, ,12:59,3,0,0,0,0,0,0,0,0,14,93,4,15,19,40,10,11,24,26,44,35
45,1,0,12:59,4,1,93,18,2,0,0,0,0,14,93,4,15,19,40,18,22,20,7,26,35
46,1,0,12:48,1,1,22,0,3,52,1,0,0,14,93,4,15,19,40,18,22,20,5,26,35
47,1,0,12:19,9,0,14,0,2,0,0,0,0,14,93,4,15,19,40,18,22,20,5,26,35
48,1,0,11:39,8,1,13,0,3,0,0,0,0,10,64,28,6,44,40,13,40,51,6,7,35
49,1,0,10:50,8,1,24,0,1,0,0,0,0,37,89,94,2,5,40,10,11,24,33,44,35
50,1,0,10:44,5,1,11,94,3,0,0,0,0,37,89,94,2,5,40,10,11,24,33,44,35
51,1,0,10:36,1,0,37,0,3,33,1,0,0,37,89,94,2,5,40,10,11,24,33,44,35
52,1,0,10:33,2,0,89,0,3,17,0,2,37,37,89,94,2,5,40,10,11,24,33,44,35
53,1,0,10:33,4,1,89,25,1,0,0,0,0,89,83,91,2,5,40,15,16,25,6,26,35
54,1,0,10:19,9,1,6,0,1,0,0,0,0,89,83,91,2,5,40,15,16,25,6,26,35
55,1,0,9:53,8,0,93,0,3,0,0,0,0,14,93,4,15,19,40,18,22,20,5,26,35
56,1,0,9:46,1,0,19,0,3,52,2,0,0,14,93,4,15,19,40,18,22,20,5,26,35
57,1,0,9:32,13,1,5,15,2,0,0,0,0,93,64,4,15,19,40,18,22,20,5,26,35
58,1,0,9:06,13,1,26,6,2,0,0,0,0,10,64,28,6,44,40,13,40,51,26,44,35
59,1,0,8:46,5,0,28,6,1,0,0,0,0,10,64,28,6,44,40,13,40,51,6,44,35
60,1,0,8:06,7,0,5,0,3,57,2,0,0,37,83,94,2,5,40,15,16,25,6,44,35
61,1,0,7:59,1,0,37,0,3,15,1,0,0,37,83,94,2,5,40,15,16,25,6,44,35
62,1, ,7:59,3,0,0,0,0,0,0,0,0,37,83,94,2,5,40,15,16,25,6,44,35
63,1,0,7:59,4,1,89,13,2,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
64,1,0,7:52,9,1,40,0,2,0,0,0,0,89,83,91,15,19,40,13,40,51,6,7,35
65,1,0,7:01,2,0,6,0,3,29,3,4,93,14,93,4,6,44,40,18,22,20,5,26,35
66,1,0,7:01,4,1,10,11,1,0,0,0,0,10,64,28,2,5,40,10,11,24,33,44,35
67,1, ,6:55,3,2,0,0,0,0,0,0,0,10,64,28,2,5,40,10,11,24,33,44,35
