# 2013/04/26 
# COL , PHX 
# 5 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,9,15,4,41,35,15,36,18,4,23,41
2,1,0,20:00,4,0,9,15,1,0,0,0,0,7,9,15,4,41,35,15,36,18,4,23,41
3,1,0,19:49,5,0,7,4,3,0,0,0,0,7,9,15,4,41,35,15,36,18,4,23,41
4,1,0,19:19,5,0,4,36,2,0,0,0,0,7,9,15,4,41,35,15,36,18,4,23,41
5,1,0,18:55,13,0,12,3,2,0,0,0,0,26,12,11,8,46,35,11,17,19,3,6,41
6,1,0,18:43,8,0,26,0,2,0,0,0,0,26,12,11,8,46,35,11,17,19,3,6,41
7,1,0,18:17,5,1,28,5,3,0,0,0,0,90,55,92,5,22,35,50,17,28,3,29,41
8,1, ,18:09,3,6,0,0,0,0,0,0,0,90,55,92,5,22,35,50,28,89,16,29,41
9,1,0,18:09,4,0,90,50,2,0,0,0,0,90,55,92,5,22,35,50,28,89,16,29,41
10,1, ,18:07,3,1,0,0,0,0,0,0,0,90,55,92,5,22,35,50,28,89,16,29,41
11,1,0,18:07,4,0,90,50,2,0,0,0,0,90,55,92,5,22,35,50,28,89,16,29,41
12,1,0,17:59,5,0,92,16,2,0,0,0,0,90,55,92,5,22,35,50,28,89,16,29,41
13,1,0,17:37,5,1,89,22,3,0,0,0,0,90,55,92,4,22,35,50,28,89,16,29,41
14,1,0,17:04,5,0,24,6,3,0,0,0,0,24,42,58,8,41,35,24,14,12,3,6,41
15,1,0,16:53,5,0,42,14,3,0,0,0,0,24,42,58,8,46,35,24,14,12,3,6,41
