# 2013/05/12 
# BOS , TOR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,37,63,33,55,40,43,39,21,4,51,34
2,1,0,20:00,4,0,37,43,1,0,0,0,0,19,37,63,33,55,40,43,39,21,4,51,34
3,1,0,19:32,5,1,4,63,1,0,0,0,0,19,37,63,44,55,40,43,81,21,4,51,34
4,1,0,19:24,5,0,37,21,3,0,0,0,0,19,37,63,44,55,40,43,81,21,4,51,34
5,1,0,19:05,8,0,18,0,3,0,0,0,0,46,18,17,44,54,40,43,81,21,4,51,34
6,1,0,19:00,1,0,18,0,3,44,3,0,0,46,18,17,44,54,40,43,81,21,4,51,34
7,1,0,18:50,8,1,51,0,2,0,0,0,0,46,18,17,44,54,40,43,81,21,4,51,34
8,1,0,18:43,9,1,81,0,2,0,0,0,0,46,18,17,44,54,40,11,81,84,3,36,34
9,1,0,18:23,9,0,17,0,3,0,0,0,0,23,18,17,33,55,40,11,84,41,3,36,34
10,1,0,18:10,5,0,23,36,3,0,0,0,0,23,49,68,6,55,40,11,84,41,3,36,34
11,1,0,18:06,9,1,36,0,2,0,0,0,0,23,49,68,6,55,40,11,84,41,3,36,34
12,1,0,18:06,13,0,49,3,2,0,0,0,0,23,49,68,6,55,40,11,84,41,3,36,34
13,1,0,18:03,9,0,49,0,3,0,0,0,0,23,49,68,6,55,40,11,84,41,3,36,34
14,1,0,17:53,1,1,84,0,3,9,3,0,0,23,49,68,6,55,40,11,84,41,23,24,34
15,1,0,17:48,6,1,24,0,1,0,0,0,0,11,49,68,6,54,40,84,19,41,23,24,34
16,1,-1,17:48,4,1,37,11,2,0,0,0,0,19,37,68,17,33,40,11,41,3,36,34,0
17,1,1,16:55,9,0,33,0,3,0,0,0,0,19,37,68,17,33,40,47,21,4,23,34,0
18,1, ,16:40,3,2,0,0,0,0,0,0,0,46,63,18,6,44,40,11,41,3,36,34,0
19,1,1,16:40,4,0,46,11,1,0,0,0,0,46,63,18,6,44,40,11,41,3,36,34,0
20,1,-1,16:04,8,1,11,0,2,0,0,0,0,11,46,18,6,44,40,11,47,4,23,34,0
21,1,1,15:49,5,0,23,23,3,0,0,0,0,11,23,18,33,44,40,47,21,4,23,34,0
22,1,0,15:42,13,1,47,44,2,0,0,0,0,11,23,18,33,44,40,47,21,4,23,24,34
23,1, ,15:42,3,3,0,0,0,0,0,0,0,11,23,18,33,44,40,47,21,4,23,24,34
24,1,0,15:42,4,0,49,32,2,0,0,0,0,23,49,20,33,55,40,32,19,16,24,51,34
25,1,0,15:21,7,1,16,0,3,47,6,0,0,23,49,20,44,55,40,32,19,16,24,51,34
26,1,0,15:05,9,1,16,0,3,0,0,0,0,23,49,17,44,55,40,32,19,16,24,51,34
27,1,0,15:00,5,1,32,44,3,0,0,0,0,23,49,17,44,55,40,32,19,16,24,36,34
