# 2013/10/05 
# DET , BOS 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
2,1,0,20:00,4,0,13,37,1,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
3,1,0,19:38,5,1,33,13,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
4,1,0,19:23,5,0,52,63,2,0,0,0,0,90,93,8,52,55,35,37,63,12,44,55,40
5,1,0,18:14,1,1,47,0,3,59,1,0,0,18,44,71,2,27,35,23,18,38,47,54,40
6,1,0,18:04,5,1,23,27,3,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
7,1,0,17:29,5,0,21,22,3,0,0,0,0,21,25,20,4,65,35,11,20,22,27,44,40
8,1,0,17:16,8,1,22,0,3,0,0,0,0,21,25,20,4,65,35,11,20,22,44,55,40
9,1, ,16:53,3,1,0,0,0,0,0,0,0,21,25,20,4,65,35,37,63,21,33,55,40
10,1,0,16:53,4,0,13,37,3,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
11,1,0,16:46,13,0,52,63,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
12,1,0,16:41,1,1,21,0,3,17,1,0,0,13,8,40,52,55,35,37,63,21,33,55,40
13,1,0,15:48,5,0,93,44,3,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
14,1,0,15:27,5,1,12,90,2,0,0,0,0,90,44,71,2,27,35,46,12,17,27,44,40
15,1,0,15:23,9,0,90,0,3,0,0,0,0,90,44,71,2,27,35,46,12,17,27,44,40
16,1,0,15:20,1,0,27,0,3,69,2,0,0,18,44,71,2,27,35,46,12,17,27,44,40
17,1, ,14:52,3,2,0,0,0,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
18,1,0,14:52,4,1,25,23,1,0,0,0,0,21,25,20,4,65,35,23,38,22,33,55,40
19,1, ,13:52,3,6,0,0,0,0,0,0,0,13,8,40,2,27,35,37,20,21,33,55,40
20,1,0,13:52,4,1,90,37,2,0,0,0,0,90,93,11,52,55,35,37,20,21,33,55,40
21,1, ,13:21,3,0,0,0,0,0,0,0,0,90,93,11,52,65,35,46,12,17,27,44,40
22,1,0,13:21,4,1,18,23,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
23,1,0,13:15,1,1,47,0,3,41,2,0,0,18,44,71,2,27,35,23,18,38,47,54,40
24,1,0,12:51,13,0,71,47,2,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
25,1, ,12:07,3,2,0,0,0,0,0,0,0,21,25,20,2,4,35,11,20,22,27,44,40
26,1,0,12:07,4,0,25,11,1,0,0,0,0,21,25,20,4,65,35,11,20,22,27,44,40
27,1,0,12:01,1,0,4,0,1,80,1,0,0,21,25,20,4,65,35,11,20,22,27,44,40
28,1,0,11:51,1,1,27,0,3,37,3,0,0,21,25,20,4,65,35,11,20,22,27,44,40
29,1,0,11:28,5,1,22,20,1,0,0,0,0,21,25,20,52,55,35,11,20,22,27,44,40
30,1,0,11:05,1,1,55,0,3,51,2,0,0,13,8,40,52,55,35,37,63,21,33,55,40
31,1,0,11:04,6,0,55,21,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
32,1,1,11:04,4,1,18,46,3,0,0,0,0,18,93,27,52,35,0,46,12,17,33,47,40
33,1,1,10:49,2,1,47,0,3,42,2,17,46,18,93,27,52,35,0,46,12,17,33,47,40
34,1,0,10:49,4,1,13,37,1,0,0,0,0,13,8,40,4,65,35,37,63,21,33,55,40
35,1,0,10:27,1,1,63,0,3,21,1,0,0,13,8,40,4,65,35,37,63,21,33,55,40
36,1, ,10:26,3,1,0,0,0,0,0,0,0,13,8,40,4,65,35,37,63,21,33,55,40
37,1,0,10:26,4,0,90,12,2,0,0,0,0,90,93,11,52,55,35,46,12,17,27,44,40
38,1,0,10:07,5,1,46,90,2,0,0,0,0,90,93,11,52,55,35,46,12,17,27,44,40
39,1,0,9:27,1,1,46,0,1,106,1,0,0,18,44,71,2,27,35,46,12,17,27,44,40
40,1,0,9:02,8,1,47,0,2,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
41,1, ,8:54,3,0,0,0,0,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
42,1,0,8:54,4,1,25,11,3,0,0,0,0,21,25,20,2,27,35,11,20,22,47,54,40
43,1,0,8:44,7,1,47,0,3,53,1,0,0,21,25,20,2,27,35,11,20,22,47,54,40
44,1, ,8:44,3,1,0,0,0,0,0,0,0,21,25,20,2,27,35,11,20,22,47,54,40
45,1,0,8:44,4,0,13,37,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
46,1,0,8:01,1,1,55,0,3,59,2,0,0,13,8,40,52,55,35,37,63,21,33,55,40
47,1,0,7:11,7,0,90,0,3,64,2,0,0,90,93,11,2,27,35,46,12,17,27,44,40
48,1, ,7:08,3,2,0,0,0,0,0,0,0,90,93,11,2,27,35,46,12,17,27,44,40
49,1,0,7:08,4,1,18,23,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
50,1,0,6:44,5,0,71,54,3,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
51,1,0,6:39,9,0,2,0,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
52,1,0,6:34,7,1,18,0,3,36,1,0,0,18,44,71,2,27,35,23,18,38,47,54,40
53,1,0,6:05,5,1,20,25,2,0,0,0,0,21,25,20,4,65,35,11,20,22,27,44,40
54,1, ,6:00,3,11,0,0,0,0,0,0,0,21,25,20,4,65,35,11,20,22,27,44,40
55,1,0,6:00,4,0,25,22,2,0,0,0,0,21,25,20,4,65,35,11,20,22,47,54,40
56,1,0,5:31,5,1,11,52,3,0,0,0,0,21,25,20,52,55,35,11,20,22,33,55,40
57,1,0,5:29,8,1,11,0,3,0,0,0,0,21,25,20,52,55,35,11,20,22,33,55,40
58,1,0,5:25,1,1,22,0,3,31,2,0,0,21,25,20,52,55,35,11,20,22,33,55,40
59,1,0,4:46,13,1,63,4,2,0,0,0,0,13,8,40,4,65,35,37,63,21,33,44,40
60,1,0,4:42,13,1,33,13,2,0,0,0,0,13,8,40,4,65,35,37,63,21,33,44,40
61,1,0,4:37,1,1,33,0,3,58,2,0,0,13,8,40,4,65,35,37,63,21,33,44,40
62,1,0,4:34,8,0,13,0,2,0,0,0,0,13,8,40,4,65,35,37,63,21,33,44,40
63,1,0,4:07,1,0,8,0,3,14,0,0,0,13,8,40,2,27,35,46,12,17,27,44,40
64,1,0,4:00,1,1,46,0,3,12,6,0,0,13,8,40,2,27,35,46,12,17,27,44,40
65,1, ,4:00,3,0,0,0,0,0,0,0,0,13,8,40,2,27,35,46,12,17,27,44,40
66,1,0,4:00,4,1,90,46,3,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
67,1,0,3:52,13,1,17,90,2,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
68,1, ,3:37,3,5,0,0,0,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
69,1,0,3:37,4,0,13,37,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
70,1,0,3:24,13,0,13,55,2,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
71,1,0,3:11,1,0,8,0,3,25,1,0,0,13,8,40,52,55,35,37,63,21,33,55,40
72,1,0,3:11,2,0,40,0,3,27,1,8,13,13,8,40,52,55,35,37,63,21,33,55,40
73,1,0,3:11,4,0,18,23,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
74,1,0,2:47,7,0,71,0,3,29,6,0,0,18,44,71,2,27,35,23,18,38,47,54,40
75,1,0,2:42,7,0,2,0,3,64,2,0,0,18,44,71,2,27,35,23,18,38,47,54,40
76,1,0,2:40,5,0,44,23,3,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
77,1,0,2:24,9,0,27,0,1,0,0,0,0,21,25,20,2,27,35,11,20,22,27,44,40
78,1,0,1:57,5,1,11,4,3,0,0,0,0,21,25,20,4,65,35,11,20,22,27,44,40
79,1, ,1:45,3,6,0,0,0,0,0,0,0,21,25,20,4,65,35,46,20,22,27,44,40
80,1,0,1:45,4,0,18,46,3,0,0,0,0,18,93,11,52,55,35,46,20,22,27,44,40
81,1,0,1:34,13,0,11,46,2,0,0,0,0,18,93,11,52,55,35,46,17,22,33,55,40
82,1,0,1:32,7,1,46,0,3,40,1,0,0,18,93,11,52,55,35,46,17,22,33,55,40
83,1,0,1:10,8,0,18,0,1,0,0,0,0,18,93,11,4,65,35,46,12,17,33,55,40
84,1,0,0:14,9,0,55,0,2,0,0,0,0,13,8,40,52,55,35,37,63,21,44,55,40
85,1, ,0:12,3,1,0,0,0,0,0,0,0,18,44,71,4,65,35,37,63,21,44,55,40
86,1,0,0:12,4,0,18,23,2,0,0,0,0,18,44,71,4,65,35,23,12,38,44,55,40
87,1,0,0:02,1,1,23,0,3,31,2,0,0,18,44,71,4,65,35,23,12,38,44,55,40
88,1,0,0:01,1,1,12,0,3,32,1,0,0,18,44,71,4,65,35,23,12,38,44,55,40
89,1, ,0:00,11,0,0,0,0,0,0,0,0,18,44,71,4,65,35,23,12,38,44,55,40
90,2, ,20:00,10,0,0,0,0,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
91,2,0,20:00,4,1,13,37,1,0,0,0,0,13,8,40,52,55,35,37,63,21,33,55,40
92,2,0,19:24,2,1,63,0,3,30,1,55,0,13,8,40,52,55,35,37,63,21,33,55,40
93,2,0,19:24,4,0,90,46,1,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
94,2,0,19:05,1,0,65,0,3,63,1,0,0,90,93,11,4,65,35,46,12,17,27,44,40
95,2, ,19:05,3,1,0,0,0,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
96,2,0,19:05,4,0,90,46,3,0,0,0,0,90,93,11,4,65,35,46,12,17,27,44,40
97,2,0,19:01,1,0,4,0,3,62,2,0,0,90,93,11,4,65,35,46,12,17,27,44,40
98,2,0,18:38,1,0,93,0,3,24,1,0,0,90,93,11,4,27,35,46,12,17,27,44,40
99,2,0,18:36,5,0,11,27,3,0,0,0,0,90,93,11,4,27,35,46,12,17,27,44,40
100,2,0,17:55,5,1,54,71,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
101,2,0,17:35,5,1,23,2,1,0,0,0,0,18,44,71,2,27,35,23,18,38,47,54,40
102,2, ,17:27,3,6,0,0,0,0,0,0,0,21,25,71,52,55,35,23,18,38,47,54,40
103,2,0,17:27,4,1,13,23,2,0,0,0,0,13,8,40,52,55,35,23,18,38,47,54,40
