# 2013/10/06 
# PHI , CAR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
2,1,0,20:00,4,1,28,12,1,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
3,1,0,19:47,9,0,44,0,2,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
4,1,0,19:41,1,1,73,0,3,56,1,0,0,28,93,19,5,44,35,12,19,28,65,73,31
5,1, ,19:39,3,1,0,0,0,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
6,1,0,19:39,4,0,40,11,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
7,1,0,19:35,5,0,8,39,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
8,1,0,19:22,5,1,11,17,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
9,1,0,18:43,5,0,36,20,1,0,0,0,0,10,14,36,8,41,35,20,53,18,7,44,31
10,1,0,18:34,1,0,14,0,3,9,5,0,0,10,14,36,22,32,35,20,53,18,7,44,31
11,1, ,18:33,3,1,0,0,0,0,0,0,0,10,14,36,22,32,35,20,53,18,7,44,31
12,1,0,18:33,4,0,14,20,3,0,0,0,0,10,14,36,22,32,35,20,53,18,7,44,31
13,1,0,18:16,5,0,10,7,3,0,0,0,0,10,14,36,22,32,35,20,53,18,7,44,31
14,1,0,17:57,5,1,4,14,1,0,0,0,0,10,14,36,22,32,35,16,53,21,4,27,31
15,1,0,17:32,1,1,21,0,3,46,3,0,0,25,45,18,8,41,35,16,21,42,4,27,31
16,1, ,17:31,3,1,0,0,0,0,0,0,0,25,45,18,8,41,35,16,21,42,4,27,31
17,1,0,17:31,4,0,28,12,2,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
18,1, ,17:25,3,2,0,0,0,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
19,1,0,17:25,4,0,28,12,2,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
20,1,0,17:18,5,1,19,44,3,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
21,1,0,17:13,1,0,28,0,3,32,1,0,0,28,93,19,5,44,35,12,19,28,65,73,31
22,1,0,16:50,13,0,28,65,2,0,0,0,0,28,93,19,22,32,35,12,19,28,65,73,31
23,1, ,16:48,3,4,0,0,0,0,0,0,0,28,93,19,22,32,35,12,19,28,65,73,31
24,1,0,16:48,4,1,40,11,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
25,1,0,16:42,9,1,39,0,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
26,1,0,16:40,7,0,8,0,3,61,3,0,0,40,17,24,8,41,35,11,14,39,4,27,31
27,1,0,16:19,8,1,4,0,2,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
28,1,0,16:13,13,1,27,8,2,0,0,0,0,40,17,24,8,41,35,11,53,18,4,27,31
29,1,0,16:08,7,1,27,0,3,48,6,0,0,40,17,24,8,41,35,11,53,18,4,27,31
30,1,0,15:51,1,1,53,0,3,15,6,0,0,10,14,17,8,41,35,20,53,18,7,44,31
31,1,0,15:47,1,1,44,0,3,47,2,0,0,10,14,17,8,41,35,20,53,18,7,44,31
32,1, ,15:46,3,1,0,0,0,0,0,0,0,10,14,17,8,41,35,20,53,18,7,44,31
33,1,0,15:46,4,1,14,53,3,0,0,0,0,10,14,36,22,32,35,20,53,18,7,44,31
34,1,0,15:44,1,1,53,0,3,22,3,0,0,10,14,36,22,32,35,20,53,18,7,44,31
35,1,0,15:05,5,1,21,14,3,0,0,0,0,10,14,36,22,32,35,16,21,42,4,27,31
36,1,0,15:03,8,0,10,0,1,0,0,0,0,10,14,36,22,32,35,16,21,42,4,27,31
37,1,0,14:59,5,1,42,10,2,0,0,0,0,10,14,36,8,41,35,16,21,42,4,27,31
38,1,0,14:49,1,1,21,0,3,42,3,0,0,10,14,18,8,41,35,16,21,42,4,27,31
39,1,0,14:48,5,0,8,21,2,0,0,0,0,10,14,18,8,41,35,16,21,42,4,27,31
40,1,0,14:40,5,0,10,21,1,0,0,0,0,10,14,18,8,41,35,16,21,42,4,27,31
41,1,0,14:35,1,0,18,0,1,70,2,0,0,25,45,18,8,41,35,12,19,28,65,73,31
42,1, ,14:34,3,1,0,0,0,0,0,0,0,25,45,18,8,41,35,12,19,28,65,73,31
43,1,0,14:34,4,1,28,12,2,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
44,1,0,14:24,1,1,19,0,3,56,1,0,0,28,93,19,5,44,35,12,19,28,65,73,31
45,1,0,13:59,8,0,19,0,2,0,0,0,0,28,93,19,5,44,35,12,19,28,65,73,31
46,1, ,13:28,3,6,0,0,0,0,0,0,0,25,45,18,8,41,35,11,14,39,7,44,31
47,1,0,13:28,4,0,18,11,3,0,0,0,0,25,45,18,22,32,35,11,14,39,7,44,31
48,1,0,12:57,5,0,18,39,1,0,0,0,0,40,18,24,22,32,35,20,53,39,4,27,31
49,1,0,12:52,9,0,40,0,2,0,0,0,0,40,18,24,22,32,35,20,53,39,4,27,31
50,1,0,12:50,1,1,53,0,3,24,1,0,0,40,18,24,22,32,35,20,53,39,4,27,31
51,1, ,12:36,3,0,0,0,0,0,0,0,0,40,17,24,22,32,35,20,53,18,4,27,31
52,1,0,12:36,4,1,14,20,1,0,0,0,0,10,14,36,5,44,35,20,53,18,7,44,31
53,1,0,12:12,13,1,44,36,2,0,0,0,0,10,14,36,5,44,35,20,53,18,7,44,31
54,1,0,12:05,13,1,18,44,2,0,0,0,0,10,14,36,5,44,35,20,53,18,7,44,31
55,1,0,11:49,2,1,44,0,3,56,1,7,53,10,14,36,5,44,35,20,53,18,7,44,31
56,1,0,11:49,4,1,40,11,1,0,0,0,0,40,17,24,8,41,35,11,14,39,4,27,31
