# 2013/10/12 
# NYR , STL 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,12,67,5,18,43,9,21,91,5,46,41
2,1,0,20:00,4,1,22,21,1,0,0,0,0,22,12,67,5,18,43,9,21,91,5,46,41
3,1,0,19:44,13,0,12,5,2,0,0,0,0,22,12,67,5,18,43,9,21,91,5,46,41
4,1, ,19:41,3,4,0,0,0,0,0,0,0,22,12,67,5,18,43,9,21,91,5,46,41
5,1,0,19:41,4,1,19,20,2,0,0,0,0,16,19,24,6,27,43,20,74,42,19,27,41
6,1,0,19:26,9,0,27,0,2,0,0,0,0,16,19,24,6,27,43,20,74,42,19,27,41
7,1,0,19:18,1,1,19,0,3,58,2,0,0,16,19,24,6,27,43,20,74,42,19,27,41
8,1,0,19:04,1,1,42,0,3,41,3,0,0,16,19,24,6,27,43,20,74,42,19,27,41
9,1, ,19:02,3,1,0,0,0,0,0,0,0,16,19,24,6,27,43,20,74,42,19,27,41
10,1,0,19:02,4,0,21,12,2,0,0,0,0,21,36,14,4,44,43,12,25,10,22,33,41
11,1,0,18:58,1,1,25,0,3,38,1,0,0,21,36,14,4,44,43,12,25,10,22,33,41
12,1, ,18:56,3,1,0,0,0,0,0,0,0,21,36,14,4,44,43,12,25,10,22,33,41
13,1,0,18:56,4,1,21,12,3,0,0,0,0,21,36,14,4,44,43,12,25,10,22,33,41
14,1,0,18:46,1,1,33,0,3,50,1,0,0,21,36,14,4,44,43,12,25,10,22,33,41
15,1,0,18:31,5,1,25,44,3,0,0,0,0,21,36,14,4,44,43,12,25,10,22,33,41
16,1,0,17:39,7,1,75,0,3,25,1,0,0,22,12,67,6,17,43,17,40,75,19,27,41
17,1,0,17:35,5,0,12,19,2,0,0,0,0,22,12,67,6,17,43,17,40,75,19,27,41
18,1,0,17:30,7,1,27,0,3,54,2,0,0,22,12,67,6,17,43,17,40,75,19,27,41
19,1,0,17:27,1,1,19,0,3,38,2,0,0,22,12,67,6,17,43,17,40,75,19,27,41
20,1,0,17:17,5,0,12,19,3,0,0,0,0,22,12,67,6,27,43,17,21,75,19,27,41
21,1,0,16:58,1,1,9,0,3,43,1,0,0,16,19,24,5,17,43,9,21,91,5,46,41
22,1, ,16:57,3,1,0,0,0,0,0,0,0,16,19,24,5,17,43,9,21,91,5,46,41
23,1,0,16:57,4,1,16,20,3,0,0,0,0,16,19,24,5,18,43,20,74,42,5,46,41
