# 2013/10/17 
# S.J , DAL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,39,81,7,52,31,16,21,38,6,24,30
2,1,0,20:00,4,1,39,38,1,0,0,0,0,12,39,81,7,52,31,16,21,38,6,24,30
3,1,0,19:51,2,0,81,0,3,61,1,0,0,12,39,81,7,52,31,16,21,38,6,24,30
4,1,0,19:51,4,0,39,91,1,0,0,0,0,12,39,81,44,61,31,17,91,14,6,24,30
5,1,0,19:28,1,0,44,0,3,54,1,0,0,12,39,81,44,61,31,17,91,14,6,24,30
6,1,0,19:25,5,1,24,39,2,0,0,0,0,12,39,88,44,61,31,17,91,14,6,24,30
7,1, ,19:20,3,10,0,0,0,0,0,0,0,8,57,83,5,27,31,17,91,14,6,24,30
8,1,0,19:20,4,1,8,20,1,0,0,0,0,8,57,83,5,27,31,20,12,13,3,4,30
9,1,0,18:59,5,0,57,3,3,0,0,0,0,8,57,83,5,27,31,20,12,13,3,4,30
10,1,0,18:53,5,0,57,20,3,0,0,0,0,8,57,83,5,27,31,20,12,13,3,4,30
11,1,0,18:49,5,0,8,3,3,0,0,0,0,8,57,83,5,27,31,20,12,13,3,4,30
12,1,0,18:20,8,1,10,0,3,0,0,0,0,19,48,88,7,52,31,10,43,72,33,55,30
13,1,0,18:08,13,1,55,52,2,0,0,0,0,19,48,88,7,52,31,10,43,72,33,55,30
14,1,0,18:01,7,0,52,0,1,98,1,0,0,19,48,88,7,52,31,10,43,72,33,55,30
15,1,0,17:40,1,1,38,0,3,14,1,0,0,10,15,38,44,61,31,16,21,38,6,24,30
16,1,0,16:31,13,1,3,12,2,0,0,0,0,12,39,81,5,27,31,17,91,14,3,4,30
17,1,0,16:31,5,1,14,5,3,0,0,0,0,12,39,81,5,27,31,17,91,14,3,4,30
18,1,0,16:25,1,1,3,0,3,58,2,0,0,12,39,81,5,27,31,17,91,14,3,4,30
19,1,0,16:07,6,1,13,7,3,0,0,0,0,8,57,83,7,52,31,20,12,13,4,33,30
20,1,1,16:07,4,0,8,38,3,0,0,0,0,8,12,19,39,5,31,16,38,6,24,30,0
21,1,-1,16:00,13,0,12,24,2,0,0,0,0,8,12,19,39,5,31,16,38,6,24,30,0
22,1,-1,15:53,13,0,39,24,2,0,0,0,0,8,12,19,39,5,31,16,38,6,24,30,0
23,1,-1,15:38,1,1,24,0,3,45,2,0,0,8,12,19,39,5,31,16,38,6,24,30,0
24,1,1,15:21,1,0,8,0,3,16,2,0,0,8,12,19,39,5,31,10,21,6,24,30,0
25,1,0,13:43,7,0,27,0,3,53,1,0,0,12,39,57,7,27,31,17,91,14,33,55,30
26,1,0,13:31,1,1,14,0,3,38,1,0,0,12,39,57,7,27,31,17,91,14,33,55,30
27,1,0,13:07,9,1,30,0,2,0,0,0,0,8,38,83,44,61,31,20,12,13,6,24,30
28,1,0,13:04,13,0,8,20,2,0,0,0,0,8,38,83,44,61,31,20,12,13,6,24,30
29,1,0,12:52,7,1,24,0,3,64,1,0,0,8,38,83,44,61,31,20,12,13,6,24,30
30,1,0,12:45,13,1,6,61,2,0,0,0,0,8,38,83,44,61,31,20,12,13,6,24,30
31,1,0,12:23,1,0,83,0,3,15,1,0,0,19,88,83,7,52,31,10,43,72,6,24,30
32,1,0,12:22,7,0,83,0,3,10,1,0,0,19,88,83,7,52,31,10,43,72,6,24,30
