# 2013/10/19 
# CAR , NYI 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
2,1,0,20:00,4,0,12,91,1,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
3,1,0,19:48,9,0,19,0,1,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
4,1,0,19:28,1,1,91,0,3,40,3,0,0,12,19,28,4,27,30,91,21,40,3,47,20
5,1,0,18:54,13,1,96,65,2,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
6,1,0,18:54,9,0,5,0,2,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
7,1,0,18:09,13,1,15,44,2,0,0,0,0,20,53,15,7,44,30,16,15,26,11,14,20
8,1,0,17:40,5,1,17,20,3,0,0,0,0,20,53,15,7,44,30,53,13,17,11,47,20
9,1,0,17:32,5,1,13,15,3,0,0,0,0,20,53,15,7,44,30,53,13,17,11,47,20
10,1, ,17:29,3,1,0,0,0,0,0,0,0,53,15,18,5,65,30,53,13,17,11,47,20
11,1,0,17:29,4,0,18,53,3,0,0,0,0,8,18,21,5,65,30,53,13,17,3,47,20
12,1,0,17:12,8,1,11,0,2,0,0,0,0,8,18,21,5,65,30,53,13,17,11,47,20
13,1,0,16:58,5,1,17,65,2,0,0,0,0,8,18,21,5,65,30,53,13,17,11,14,20
14,1,0,16:55,13,1,17,5,2,0,0,0,0,8,18,21,5,65,30,91,13,17,11,14,20
15,1,0,16:24,6,0,8,91,3,0,0,0,0,12,19,28,4,5,30,51,91,21,26,11,20
16,1,-1,16:24,4,0,11,91,2,0,0,0,0,11,39,4,27,30,0,51,91,21,26,11,20
17,1,-1,15:44,5,0,5,26,1,0,0,0,0,20,39,4,5,30,0,51,91,21,26,11,20
18,1,1,15:16,9,1,91,0,1,0,0,0,0,14,20,4,5,30,0,51,91,21,17,11,20
19,1,-1,15:12,1,0,14,0,3,37,3,0,0,14,20,27,65,30,0,51,91,21,17,11,20
20,1,1,15:00,1,1,16,0,3,37,2,0,0,12,14,27,65,30,0,12,16,96,17,47,20
21,1, ,15:00,3,1,0,0,0,0,0,0,0,12,14,27,65,30,0,12,16,96,17,47,20
22,1,1,15:00,4,1,12,12,3,0,0,0,0,12,28,4,27,30,0,12,16,96,17,47,20
23,1,-1,14:50,13,1,96,28,2,0,0,0,0,12,28,4,27,30,0,12,16,96,17,47,20
24,1,-1,14:34,5,0,4,17,2,0,0,0,0,12,28,4,27,30,0,12,16,96,17,47,20
25,1,1,14:19,1,1,16,0,3,14,3,0,0,12,28,4,27,30,0,12,16,96,17,47,20
26,1,1,14:09,9,1,12,0,3,0,0,0,0,12,28,4,27,30,0,12,16,96,17,47,20
27,1,-1,14:09,13,1,16,4,2,0,0,0,0,12,28,4,27,30,0,12,16,96,17,47,20
28,1,0,13:50,1,0,7,0,3,16,6,0,0,20,53,15,7,44,30,53,13,15,3,47,20
29,1, ,13:31,3,6,0,0,0,0,0,0,0,20,53,15,7,44,30,53,13,15,3,47,20
30,1,0,13:31,4,1,11,53,2,0,0,0,0,11,14,39,7,44,30,53,13,15,3,47,20
31,1,0,13:20,5,1,15,44,3,0,0,0,0,11,14,39,7,44,30,91,15,40,3,47,20
32,1,0,13:06,7,0,14,0,3,29,3,0,0,11,14,39,4,27,30,91,21,40,7,37,20
33,1,0,12:54,13,0,4,40,2,0,0,0,0,11,14,39,4,27,30,91,21,40,7,37,20
34,1,0,12:21,1,0,12,0,3,38,2,0,0,12,19,28,4,27,30,16,21,40,14,47,20
35,1,0,12:07,1,0,19,0,3,15,3,0,0,12,19,28,5,65,30,16,21,26,14,47,20
36,1,0,12:00,13,0,65,26,2,0,0,0,0,12,19,28,5,65,30,16,21,26,14,47,20
37,1,0,11:55,6,0,12,47,3,0,0,0,0,12,19,28,5,65,30,16,21,26,14,47,20
38,1, ,11:55,3,9,0,0,0,0,0,0,0,19,28,5,65,30,0,16,21,26,14,47,20
39,1,1,11:55,4,1,11,91,3,0,0,0,0,11,39,4,27,30,0,51,91,21,26,11,20
40,1, ,10:31,3,6,0,0,0,0,0,0,0,14,20,4,27,30,0,12,16,51,91,17,20
41,1,1,10:31,4,1,20,16,2,0,0,0,0,14,20,4,27,30,0,12,16,96,17,47,20
42,1,1,9:55,1,1,17,0,3,17,5,0,0,19,28,4,27,30,0,12,16,17,3,47,20
43,1,0,9:45,1,0,12,0,3,27,1,0,0,12,19,28,4,7,30,12,16,17,3,47,20
44,1,0,9:42,5,1,17,12,2,0,0,0,0,12,19,28,4,7,30,12,16,17,3,47,20
45,1,0,9:40,7,0,12,0,3,22,1,0,0,12,19,28,4,7,30,12,16,17,3,47,20
46,1,0,9:32,1,1,15,0,3,64,2,0,0,12,53,28,4,7,30,16,13,15,3,47,20
47,1, ,9:32,3,0,0,0,0,0,0,0,0,12,53,28,4,7,30,16,13,15,3,47,20
48,1,0,9:32,4,1,20,91,3,0,0,0,0,20,53,15,7,44,30,91,21,40,11,14,20
49,1,0,9:27,9,1,14,0,3,0,0,0,0,20,53,15,7,44,30,91,21,40,11,14,20
50,1, ,9:23,3,2,0,0,0,0,0,0,0,20,53,15,7,44,30,91,21,40,11,14,20
51,1,0,9:23,4,0,53,91,1,0,0,0,0,20,53,15,7,44,30,91,21,40,11,14,20
52,1,0,9:07,5,0,20,14,3,0,0,0,0,20,53,15,4,27,30,91,21,40,11,14,20
53,1,0,8:55,8,1,40,0,2,0,0,0,0,20,53,15,4,27,30,91,21,40,11,14,20
54,1, ,8:41,3,6,0,0,0,0,0,0,0,12,19,28,7,44,30,91,21,40,3,47,20
55,1,0,8:41,4,1,12,91,2,0,0,0,0,12,19,28,7,44,30,91,21,40,3,47,20
56,1,0,8:31,9,1,21,0,3,0,0,0,0,12,19,28,7,44,30,16,21,40,3,47,20
57,1, ,8:13,3,6,0,0,0,0,0,0,0,12,19,28,7,44,30,16,15,26,3,47,20
58,1,0,8:11,4,1,11,16,2,0,0,0,0,11,14,39,5,65,30,16,15,26,3,47,20
59,1,0,8:00,13,0,39,47,2,0,0,0,0,11,14,39,5,65,30,16,15,26,3,47,20
60,1,0,7:49,7,1,16,0,3,24,2,0,0,11,14,39,5,65,30,16,15,26,3,37,20
61,1,0,7:32,5,0,39,37,1,0,0,0,0,12,39,21,7,44,30,12,16,96,3,37,20
62,1,0,6:29,5,1,17,20,2,0,0,0,0,20,53,18,7,44,30,51,13,17,11,14,20
63,1, ,5:43,3,0,0,0,0,0,0,0,0,12,19,28,4,27,30,53,21,40,3,47,20
64,1,0,5:43,4,1,12,91,1,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
65,1,0,4:47,1,0,11,0,3,27,2,0,0,11,19,28,5,65,30,12,51,96,3,37,20
66,1, ,4:47,3,1,0,0,0,0,0,0,0,11,19,28,5,65,30,12,51,96,3,37,20
67,1,0,4:47,4,0,11,12,3,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
68,1,0,4:42,13,0,5,51,2,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
69,1, ,4:42,3,4,0,0,0,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
70,1,0,4:42,4,0,11,51,3,0,0,0,0,11,14,39,5,65,30,12,51,96,7,37,20
71,1,0,3:47,8,0,53,0,1,0,0,0,0,20,53,15,7,44,30,16,15,26,7,14,20
72,1, ,3:36,3,6,0,0,0,0,0,0,0,20,53,15,7,44,30,16,15,26,3,14,20
73,1,0,3:36,4,0,20,26,3,0,0,0,0,20,53,15,7,44,30,16,15,26,3,14,20
74,1,0,3:02,5,0,15,14,2,0,0,0,0,20,53,15,7,44,30,16,15,26,3,14,20
75,1,0,2:48,1,1,15,0,3,35,5,0,0,20,53,15,7,44,30,16,15,26,3,14,20
76,1, ,1:59,3,1,0,0,0,0,0,0,0,12,18,21,4,27,30,53,13,17,7,47,20
77,1,0,1:59,4,0,11,91,2,0,0,0,0,11,14,39,5,65,30,91,21,40,3,37,20
78,1,0,1:49,1,0,39,0,3,39,3,0,0,11,14,39,5,65,30,91,21,40,3,37,20
79,1, ,1:49,3,1,0,0,0,0,0,0,0,11,14,39,5,65,30,91,21,40,3,37,20
80,1,0,1:49,4,0,11,91,3,0,0,0,0,11,14,39,5,65,30,91,21,40,3,37,20
81,1,0,1:14,13,0,44,47,3,0,0,0,0,11,14,39,7,44,30,91,21,40,14,47,20
82,1,0,0:58,13,1,14,39,2,0,0,0,0,11,14,39,7,44,30,91,21,40,14,47,20
83,1,0,0:22,1,1,51,0,3,38,1,0,0,53,15,28,4,7,30,12,51,96,37,47,20
84,1, ,0:22,3,1,0,0,0,0,0,0,0,53,15,28,4,7,30,12,51,96,37,47,20
85,1,0,0:22,4,1,12,12,3,0,0,0,0,12,19,28,4,27,30,12,51,96,3,47,20
86,1,0,0:00,7,0,12,0,3,48,6,0,0,12,19,28,4,27,30,12,51,96,3,47,20
87,1, ,0:00,11,0,0,0,0,0,0,0,0,12,19,28,4,27,30,12,51,96,3,47,20
88,2, ,20:00,10,0,0,0,0,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
89,2,0,20:00,4,0,12,91,1,0,0,0,0,12,19,28,4,27,30,91,21,40,3,47,20
90,2,0,18:57,1,0,28,0,3,22,3,0,0,12,19,28,4,27,30,16,15,40,7,37,20
91,2,0,18:55,2,0,19,0,3,13,6,12,28,12,19,28,5,65,30,16,15,40,7,37,20
92,2,0,18:55,4,0,11,16,1,0,0,0,0,11,14,39,5,65,30,16,15,26,7,37,20
93,2, ,18:26,3,6,0,0,0,0,0,0,0,11,14,39,5,65,30,16,15,26,7,37,20
94,2,0,18:23,4,0,20,16,3,0,0,0,0,20,53,15,7,44,30,16,15,26,7,37,20
95,2,0,17:06,1,0,65,0,2,156,1,0,0,8,18,21,5,65,30,12,51,96,3,14,20
96,2,0,16:59,13,1,12,65,2,0,0,0,0,8,18,21,5,65,30,12,51,17,3,14,20
97,2,0,16:53,9,1,51,0,1,0,0,0,0,12,28,21,27,65,30,12,51,17,3,14,20
98,2,0,16:17,5,1,17,27,3,0,0,0,0,12,28,21,4,27,30,53,13,17,37,47,20
99,2,0,16:15,7,1,13,0,3,50,3,0,0,12,28,21,4,27,30,53,13,17,37,47,20
100,2,0,16:06,7,1,47,0,3,50,3,0,0,12,28,21,4,27,30,53,13,17,37,47,20
101,2,0,15:54,1,1,17,0,3,19,3,0,0,12,28,21,4,27,30,53,13,17,37,47,20
102,2,0,15:41,5,1,17,27,3,0,0,0,0,12,28,21,4,27,30,91,13,17,37,47,20
103,2,0,14:29,1,0,15,0,3,26,1,0,0,20,53,15,7,44,30,51,96,21,3,47,20
104,2,0,14:23,7,0,15,0,3,25,3,0,0,20,53,15,7,44,30,51,96,21,3,47,20
105,2,0,14:23,6,1,47,53,0,0,0,0,0,20,53,15,7,44,30,51,96,21,3,47,20
106,2,-1,14:23,4,1,12,53,2,0,0,0,0,12,19,15,28,4,30,53,17,3,37,20,0
107,2,-1,14:11,7,1,17,0,3,21,3,0,0,12,19,15,28,4,30,53,17,3,37,20,0
108,2,1,13:55,1,0,15,0,3,30,3,0,0,12,19,15,28,4,30,53,17,3,37,20,0
109,2,1,13:24,2,0,11,0,3,26,3,7,14,11,12,14,53,7,30,51,40,7,37,20,0
110,2,0,13:24,4,0,11,91,1,0,0,0,0,11,14,39,5,65,30,12,91,21,3,47,20
111,2,0,12:32,13,1,91,65,2,0,0,0,0,11,14,39,27,65,30,12,91,21,3,47,20
112,2,0,12:01,13,0,15,3,2,0,0,0,0,20,53,15,4,27,30,53,13,17,3,7,20
113,2,0,11:54,1,1,53,0,3,29,1,0,0,20,53,15,4,27,30,53,13,17,7,37,20
114,2,0,11:34,8,0,21,0,3,0,0,0,0,11,18,21,7,44,30,16,13,40,7,37,20
115,2,0,11:12,13,0,44,37,2,0,0,0,0,11,18,21,7,44,30,16,13,40,7,37,20
116,2, ,11:09,3,0,0,0,0,0,0,0,0,11,18,21,7,44,30,16,13,40,14,47,20
117,2,0,11:09,4,1,12,16,3,0,0,0,0,12,19,28,4,27,30,16,15,40,3,47,20
118,2,0,11:04,13,1,40,4,2,0,0,0,0,12,19,28,4,27,30,16,15,40,3,47,20
119,2,0,10:43,7,0,28,0,3,37,3,0,0,12,19,28,4,27,30,16,15,40,3,47,20
120,2,0,10:16,1,1,3,0,3,14,1,0,0,11,14,39,4,65,30,51,96,15,3,47,20
121,2, ,10:12,3,1,0,0,0,0,0,0,0,11,14,39,4,65,30,51,21,17,14,37,20
122,2,0,10:12,4,1,11,21,3,0,0,0,0,11,14,39,5,65,30,51,21,17,14,37,20
123,2,0,9:46,13,1,17,5,2,0,0,0,0,11,14,39,5,65,30,51,21,17,14,37,20
124,2,0,9:31,5,1,37,39,2,0,0,0,0,11,14,39,5,65,30,51,21,17,14,37,20
125,2,0,9:08,1,0,20,0,3,16,3,0,0,20,53,15,4,27,30,91,21,17,14,37,20
126,2, ,9:08,3,0,0,0,0,0,0,0,0,20,53,15,4,27,30,91,21,17,14,37,20
127,2, ,9:08,3,9,0,0,0,0,0,0,0,20,53,15,4,27,30,91,21,17,14,37,20
128,2,0,9:08,4,1,20,91,2,0,0,0,0,20,53,15,4,27,30,12,91,26,7,47,20
129,2,0,8:58,5,1,47,15,2,0,0,0,0,20,53,15,4,27,30,12,91,26,7,47,20
130,2,0,8:52,1,1,26,0,3,9,1,0,0,20,53,15,4,27,30,12,91,26,7,47,20
131,2, ,8:52,3,1,0,0,0,0,0,0,0,20,53,15,4,27,30,12,91,26,7,47,20
132,2,0,8:52,4,1,19,91,3,0,0,0,0,12,19,28,4,27,30,12,91,26,3,37,20
133,2, ,8:45,3,1,0,0,0,0,0,0,0,12,19,28,4,27,30,12,91,26,3,37,20
134,2,0,8:45,4,0,12,91,1,0,0,0,0,12,19,28,4,27,30,12,91,26,3,37,20
135,2,0,8:36,1,0,19,0,3,55,3,0,0,12,19,28,4,27,30,12,91,26,3,37,20
136,2, ,8:36,3,1,0,0,0,0,0,0,0,12,19,28,4,27,30,51,96,21,3,37,20
137,2,0,8:36,4,1,12,21,2,0,0,0,0,12,19,28,4,27,30,51,96,21,3,37,20
138,2, ,8:01,3,1,0,0,0,0,0,0,0,11,14,39,5,65,30,51,96,21,3,37,20
139,2,0,8:01,4,0,11,16,2,0,0,0,0,11,14,39,5,65,30,16,15,40,14,47,20
140,2, ,7:39,3,0,0,0,0,0,0,0,0,11,14,39,5,65,30,16,15,40,14,47,20
141,2,0,7:39,4,1,12,53,1,0,0,0,0,12,18,21,5,65,30,53,13,17,7,37,20
142,2,0,6:37,5,0,5,53,2,0,0,0,0,20,53,21,5,65,30,53,13,17,3,47,20
143,2,0,6:28,5,1,47,20,2,0,0,0,0,20,53,15,4,27,30,91,13,26,3,47,20
144,2,0,6:23,2,0,53,0,3,24,6,20,15,20,53,15,4,27,30,91,13,26,3,47,20
145,2,0,6:23,4,1,12,91,1,0,0,0,0,12,19,28,4,27,30,12,91,26,3,47,20
146,2,0,6:06,7,0,27,0,3,59,2,0,0,12,19,28,4,27,30,12,91,26,3,47,20
147,2,0,6:05,1,0,27,0,3,60,2,0,0,12,19,28,4,27,30,12,91,26,3,47,20
148,2,0,6:05,5,1,3,19,2,0,0,0,0,12,19,28,4,27,30,12,91,26,3,47,20
149,2,0,5:36,13,1,91,28,2,0,0,0,0,12,19,28,4,27,30,12,91,26,14,37,20
150,2, ,5:35,3,0,0,0,0,0,0,0,0,12,19,28,4,27,30,12,91,26,14,37,20
151,2,0,5:35,4,0,11,91,2,0,0,0,0,11,14,39,4,27,30,12,91,26,14,37,20
