# 2013/10/19 
# COL , BUF 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,90,17,6,8,35,19,21,26,3,10,30
2,1,0,20:00,4,1,9,19,1,0,0,0,0,9,90,17,6,8,35,19,21,26,3,10,30
3,1,0,19:41,1,0,90,0,3,25,2,0,0,9,90,17,6,8,35,19,21,26,3,10,30
4,1,0,19:37,1,0,17,0,3,12,1,0,0,9,90,17,6,8,35,19,21,26,3,10,30
5,1,0,19:25,5,1,10,17,3,0,0,0,0,9,90,17,6,8,35,19,21,26,3,10,30
6,1,0,19:14,5,1,26,17,1,0,0,0,0,9,90,17,8,61,35,19,21,26,3,20,30
7,1,0,19:08,1,0,61,0,3,39,1,0,0,9,40,92,16,61,35,19,21,26,3,20,30
8,1,0,18:02,7,0,11,0,3,16,5,0,0,29,15,11,5,44,35,28,65,22,20,57,30
9,1,0,17:37,5,1,28,15,3,0,0,0,0,29,15,58,5,44,35,28,65,22,4,6,30
10,1,0,17:23,5,0,8,22,2,0,0,0,0,7,24,58,6,8,35,22,32,4,6,61,30
11,1,0,17:13,5,0,58,6,3,0,0,0,0,7,24,58,6,8,35,25,32,4,6,61,30
12,1,0,16:53,1,0,24,0,3,68,3,0,0,7,90,24,6,8,35,25,63,32,57,61,30
13,1, ,16:49,3,1,0,0,0,0,0,0,0,7,90,24,16,61,35,25,63,32,57,61,30
14,1,0,16:49,4,0,9,19,3,0,0,0,0,9,90,17,16,61,35,19,21,26,3,10,30
15,1,0,16:43,1,0,90,0,3,21,5,0,0,9,90,17,16,61,35,19,21,26,3,10,30
16,1,0,16:28,1,0,17,0,3,64,1,0,0,9,90,17,16,61,35,19,21,26,3,10,30
17,1, ,16:25,3,1,0,0,0,0,0,0,0,9,90,17,16,61,35,19,21,26,3,10,30
18,1,0,16:25,4,1,26,82,2,0,0,0,0,26,40,92,5,44,35,9,63,82,20,57,30
19,1,0,16:15,6,1,57,40,2,0,0,0,0,26,40,92,5,44,35,9,63,82,20,57,30
20,1,-1,16:15,4,1,26,19,2,0,0,0,0,26,29,15,92,6,35,9,19,6,20,30,0
21,1,1,15:54,1,0,15,0,3,59,1,0,0,26,29,15,92,6,35,9,19,6,20,30,0
22,1, ,15:53,3,1,0,0,0,0,0,0,0,26,29,15,92,6,35,9,19,6,20,30,0
23,1,-1,15:53,4,1,26,22,2,0,0,0,0,26,29,15,92,6,35,21,22,3,10,30,0
24,1,0,14:10,9,0,90,0,3,0,0,0,0,9,90,17,40,61,35,9,22,6,20,57,30
25,1,0,14:00,5,0,58,26,3,0,0,0,0,7,90,58,5,44,35,19,21,26,4,61,30
26,1,0,13:37,5,0,58,61,3,0,0,0,0,7,24,58,5,44,35,19,21,26,4,61,30
27,1,0,13:28,5,0,7,4,3,0,0,0,0,7,24,58,5,44,35,19,21,26,4,61,30
28,1, ,13:19,3,0,0,0,0,0,0,0,0,7,24,58,5,44,35,19,21,26,4,61,30
29,1,0,13:19,4,0,29,22,1,0,0,0,0,29,15,11,6,8,35,28,65,22,20,57,30
30,1,0,13:12,5,1,28,8,3,0,0,0,0,29,15,11,6,8,35,28,65,22,20,57,30
31,1, ,13:09,3,6,0,0,0,0,0,0,0,29,15,11,6,8,35,28,65,22,20,57,30
32,1,0,13:09,4,0,15,65,2,0,0,0,0,29,15,11,6,8,35,28,65,22,20,57,30
33,1, ,12:38,3,6,0,0,0,0,0,0,0,29,15,11,6,8,35,28,65,22,20,57,30
34,1,0,12:38,4,1,15,82,3,0,0,0,0,29,15,11,6,8,35,9,63,82,3,10,30
35,1,0,12:33,13,1,9,8,2,0,0,0,0,29,15,11,6,8,35,9,63,82,3,10,30
36,1,0,12:14,13,0,11,3,2,0,0,0,0,26,15,11,16,61,35,9,63,82,3,10,30
37,1,0,12:08,1,0,11,0,3,18,1,0,0,26,15,11,16,61,35,9,63,82,3,10,30
38,1,0,12:05,13,0,61,82,2,0,0,0,0,26,15,11,16,61,35,9,63,82,3,10,30
39,1,0,11:41,9,0,40,0,3,0,0,0,0,26,40,92,16,61,35,9,63,82,3,10,30
40,1, ,11:38,3,6,0,0,0,0,0,0,0,26,40,92,16,61,35,9,63,82,3,10,30
41,1,0,11:38,4,0,26,82,3,0,0,0,0,26,40,92,5,44,35,9,63,82,3,10,30
42,1,0,11:31,13,0,92,10,2,0,0,0,0,26,40,92,5,44,35,9,63,82,3,10,30
43,1,0,11:26,13,0,5,3,2,0,0,0,0,26,40,92,5,44,35,9,63,82,3,10,30
44,1, ,11:24,3,6,0,0,0,0,0,0,0,26,40,92,5,44,35,9,63,82,3,10,30
45,1,0,11:24,4,0,9,9,3,0,0,0,0,9,90,17,5,44,35,9,63,82,3,10,30
46,1,0,11:16,2,0,90,0,3,11,1,9,17,9,90,17,5,44,35,9,63,82,3,10,30
47,1,0,11:16,4,1,9,19,1,0,0,0,0,9,90,17,6,8,35,19,21,26,20,57,30
48,1,0,11:05,9,1,57,0,2,0,0,0,0,9,90,17,6,8,35,19,21,26,20,57,30
49,1,0,10:58,7,0,8,0,3,49,1,0,0,9,90,17,6,8,35,19,21,26,20,57,30
50,1, ,9:34,3,6,0,0,0,0,0,0,0,29,15,11,16,61,35,28,65,22,57,61,30
51,1,0,9:34,4,1,16,82,3,0,0,0,0,29,15,11,16,61,35,9,63,82,57,61,30
52,1, ,9:08,3,0,0,0,0,0,0,0,0,7,15,58,5,44,35,9,63,82,57,61,30
53,1,0,9:08,4,0,7,25,3,0,0,0,0,7,24,58,5,44,35,25,65,32,4,6,30
54,1,0,9:03,1,0,7,0,3,65,1,0,0,7,24,58,5,44,35,25,65,32,4,6,30
55,1,0,8:52,5,1,32,44,2,0,0,0,0,7,24,58,5,44,35,25,65,32,4,6,30
56,1,0,8:03,2,0,92,0,3,5,4,6,0,26,40,92,6,8,35,19,21,26,4,6,30
57,1, ,8:03,3,0,0,0,0,0,0,0,0,26,40,92,6,8,35,19,21,26,4,6,30
58,1,0,8:03,4,0,40,19,1,0,0,0,0,26,40,92,16,61,35,19,21,26,3,10,30
59,1, ,7:50,3,6,0,0,0,0,0,0,0,26,40,92,16,61,35,19,21,26,3,10,30
60,1,0,7:50,4,0,26,82,2,0,0,0,0,26,40,92,16,61,35,9,63,82,3,10,30
61,1,0,7:44,5,1,63,16,3,0,0,0,0,26,40,92,16,61,35,9,63,82,3,10,30
62,1,0,6:50,1,0,90,0,3,51,1,0,0,9,90,17,5,44,35,28,65,22,20,57,30
63,1,0,6:42,5,1,20,17,2,0,0,0,0,9,90,17,5,44,35,28,65,22,20,57,30
64,1, ,6:30,3,6,0,0,0,0,0,0,0,9,90,17,5,44,35,28,65,22,20,57,30
65,1,0,6:30,4,1,9,22,2,0,0,0,0,9,90,17,6,8,35,28,65,22,20,57,30
