# 2013/11/15 
# WSH , DET 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
2,1,0,20:00,4,0,90,43,1,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
3,1,0,19:52,5,1,93,23,3,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
4,1, ,19:32,3,3,0,0,0,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
5,1,0,19:32,4,0,19,13,1,0,0,0,0,19,10,8,27,74,70,13,44,40,52,55,35
6,1,0,19:13,7,1,44,0,3,41,2,0,0,19,10,8,27,74,70,13,44,40,52,55,35
7,1, ,18:58,3,6,0,0,0,0,0,0,0,19,10,8,27,74,70,13,44,71,52,55,35
8,1,0,18:58,4,1,19,18,3,0,0,0,0,19,10,8,27,74,70,18,37,71,4,65,35
9,1,0,18:39,9,0,70,0,2,0,0,0,0,84,42,25,34,61,70,18,37,71,4,65,35
10,1,0,17:58,1,1,20,0,3,8,6,0,0,84,42,24,61,88,70,21,20,40,27,52,35
11,1,0,17:57,1,1,20,0,3,6,5,0,0,84,42,24,61,88,70,21,20,40,27,52,35
12,1, ,17:57,3,1,0,0,0,0,0,0,0,84,42,24,61,88,70,21,20,40,27,52,35
13,1,0,17:57,4,1,90,43,3,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
14,1, ,17:44,3,2,0,0,0,0,0,0,0,21,90,20,23,88,70,43,93,8,27,65,35
15,1,0,17:44,4,0,90,43,1,0,0,0,0,21,90,20,23,27,70,43,93,8,27,65,35
16,1,0,17:22,9,1,27,0,2,0,0,0,0,21,90,20,23,27,70,43,93,8,27,65,35
17,1,0,17:13,1,1,65,0,3,37,2,0,0,21,90,20,23,27,70,43,8,40,55,65,35
18,1,0,16:49,1,1,13,0,3,42,3,0,0,21,90,20,23,27,70,13,44,40,52,55,35
19,1,0,15:48,5,0,43,4,1,0,0,0,0,46,43,24,34,74,70,18,37,71,4,27,35
20,1,0,15:18,9,1,27,0,3,0,0,0,0,46,43,24,34,74,70,18,37,71,4,27,35
21,1,0,15:15,5,1,4,24,2,0,0,0,0,46,43,24,34,74,70,13,21,20,4,27,35
22,1,0,15:04,5,0,43,4,3,0,0,0,0,84,43,25,61,88,70,13,21,20,4,27,35
23,1, ,15:01,3,4,0,0,0,0,0,0,0,84,43,25,61,88,70,13,21,20,23,65,35
24,1,0,15:01,4,1,84,13,3,0,0,0,0,84,42,25,23,88,70,13,21,20,23,65,35
25,1,0,14:10,1,0,21,0,3,36,3,0,0,21,90,20,34,61,70,43,93,8,27,65,35
26,1,0,14:10,2,0,21,0,3,9,6,61,0,21,90,20,34,61,70,43,93,8,27,65,35
27,1,0,14:10,4,0,19,13,1,0,0,0,0,19,10,8,34,61,70,13,44,40,52,55,35
28,1,0,13:44,13,1,40,74,2,0,0,0,0,19,10,8,27,74,70,13,44,40,52,55,35
29,1, ,13:44,3,0,0,0,0,0,0,0,0,19,10,8,27,74,70,13,44,40,52,55,35
30,1,0,13:44,4,0,84,18,2,0,0,0,0,84,42,25,23,88,70,18,37,71,4,23,35
31,1,0,13:12,5,1,4,42,2,0,0,0,0,84,42,25,23,88,70,18,37,71,4,23,35
32,1,0,12:47,6,1,23,25,2,0,0,0,0,84,42,8,25,23,88,18,37,71,4,23,35
33,1,1,12:47,4,0,19,43,3,0,0,0,0,19,90,20,8,74,70,43,20,52,55,35,0
34,1,-1,12:40,13,0,8,52,2,0,0,0,0,19,90,20,8,74,70,43,20,52,55,35,0
35,1,-1,12:21,9,1,52,0,2,0,0,0,0,19,90,20,8,74,70,43,20,52,55,35,0
36,1,1,12:14,1,0,74,0,3,38,2,0,0,19,90,20,8,74,70,43,20,52,55,35,0
37,1, ,12:13,3,1,0,0,0,0,0,0,0,19,90,20,8,74,70,43,20,52,55,35,0
38,1,-1,12:13,4,1,20,18,2,0,0,0,0,19,90,20,8,74,70,18,71,27,65,35,0
39,1,-1,12:07,5,1,71,90,2,0,0,0,0,19,90,20,8,74,70,18,71,27,65,35,0
40,1,1,11:52,1,0,19,0,3,49,3,0,0,19,90,20,8,74,70,18,71,27,65,35,0
41,1,1,11:47,1,0,8,0,3,13,1,0,0,19,90,20,8,74,70,18,71,27,65,35,0
42,1,-1,11:12,5,1,43,10,3,0,0,0,0,21,10,42,74,88,70,43,20,52,55,35,0
43,1,1,10:52,1,0,10,0,3,39,1,0,0,21,10,42,74,88,70,43,20,52,55,35,0
44,1, ,10:51,3,1,0,0,0,0,0,0,0,21,10,42,74,88,70,43,20,52,55,35,0
45,1,1,10:51,4,0,84,13,3,0,0,0,0,84,42,25,23,88,70,13,40,52,55,35,0
46,1,0,10:42,1,0,42,0,3,7,5,0,0,84,42,25,23,88,70,13,40,23,52,55,35
47,1,0,10:26,9,1,13,0,2,0,0,0,0,84,42,25,23,88,70,13,40,23,52,55,35
