# 2013/11/16 
# CHI , NSH 
# 2 , 7 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,10,23,4,27,39,12,33,27,6,59,39
2,1,0,20:00,4,0,19,12,1,0,0,0,0,19,10,23,4,27,39,12,33,27,6,59,39
3,1, ,19:50,3,6,0,0,0,0,0,0,0,19,10,23,4,27,39,12,33,27,6,59,39
4,1,0,19:50,4,1,19,12,2,0,0,0,0,19,10,23,4,27,39,12,33,27,6,59,39
5,1,0,19:35,7,1,12,0,3,22,1,0,0,19,10,23,4,27,39,12,33,27,6,59,39
6,1,0,19:05,9,0,2,0,2,0,0,0,0,16,28,52,2,7,39,11,25,57,4,64,39
7,1,0,18:56,1,1,11,0,3,54,1,0,0,16,28,52,2,7,39,11,25,57,4,64,39
8,1, ,18:55,3,1,0,0,0,0,0,0,0,16,28,52,2,7,39,11,25,57,4,64,39
9,1,0,18:55,4,1,37,7,3,0,0,0,0,37,88,20,2,7,39,7,13,15,3,8,39
10,1,0,18:14,8,0,65,0,1,0,0,0,0,65,29,8,17,32,39,26,28,16,3,8,39
11,1,0,18:08,5,1,8,65,1,0,0,0,0,65,29,8,17,32,39,26,28,16,3,8,39
12,1,0,17:58,9,0,39,0,2,0,0,0,0,65,29,8,17,32,39,26,28,16,4,64,39
13,1,0,17:55,1,1,28,0,3,4,1,0,0,65,29,8,17,32,39,26,28,16,4,64,39
14,1, ,17:54,3,1,0,0,0,0,0,0,0,65,29,8,17,32,39,26,28,16,4,64,39
15,1,0,17:54,6,0,17,16,2,0,0,0,0,65,29,8,17,32,39,26,28,16,4,64,39
16,1,0,17:54,6,1,16,17,3,0,0,0,0,65,29,8,32,39,0,26,28,16,4,64,39
17,1,0,17:54,6,0,17,37,2,0,0,0,0,65,29,8,32,39,0,11,12,27,6,59,39
18,1,-1,17:54,4,0,16,11,2,0,0,0,0,16,65,4,27,39,0,11,12,27,6,59,39
19,1,1,17:32,5,1,27,27,3,0,0,0,0,16,65,4,27,39,0,11,12,27,6,59,39
20,1,1,17:03,1,1,59,0,3,57,1,0,0,19,20,2,7,39,0,11,12,27,6,59,39
21,1,1,16:29,9,1,4,0,3,0,0,0,0,16,65,4,27,39,0,7,15,33,3,4,39
22,1,-1,16:12,8,0,20,0,2,0,0,0,0,20,52,2,7,39,0,7,15,33,3,4,39
23,1,0,15:52,5,0,52,3,2,0,0,0,0,16,37,52,2,7,39,7,15,33,3,4,39
24,1,0,15:27,7,0,32,0,3,57,2,0,0,19,10,88,8,32,39,28,25,57,3,4,39
