# 2013/11/18 
# ANA , PIT 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,34,77,4,6,30,87,19,14,3,58,29
2,1,0,20:00,4,1,34,87,1,0,0,0,0,7,34,77,4,6,30,87,19,14,3,58,29
3,1, ,19:17,3,6,0,0,0,0,0,0,0,15,10,17,4,6,30,71,9,18,7,58,29
4,1,0,19:17,4,1,15,71,3,0,0,0,0,15,10,17,4,6,30,71,9,18,7,44,29
5,1,0,19:16,7,1,18,0,3,43,3,0,0,15,10,17,4,6,30,71,9,18,7,44,29
6,1,0,18:49,5,0,5,7,1,0,0,0,0,15,10,17,5,23,30,71,9,18,7,44,29
7,1,0,18:35,13,0,5,18,2,0,0,0,0,15,10,17,5,23,30,71,9,18,7,44,29
8,1,0,18:29,1,0,17,0,3,36,1,0,0,15,10,17,5,23,30,71,9,18,7,44,29
9,1,0,18:25,1,0,5,0,3,62,2,0,0,15,10,17,5,23,30,71,9,18,7,44,29
10,1,0,18:22,5,1,44,17,2,0,0,0,0,15,10,17,5,23,30,71,9,18,7,44,29
11,1,0,18:08,1,0,22,0,3,38,3,0,0,21,22,65,5,23,30,16,49,36,2,5,29
12,1, ,18:02,3,2,0,0,0,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
13,1,0,18:02,4,1,22,16,1,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
14,1,0,17:36,5,0,55,5,1,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
15,1,0,17:09,7,1,46,0,3,18,6,0,0,13,8,39,5,23,30,46,27,15,3,58,29
16,1,0,16:48,5,1,46,5,2,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
17,1, ,16:47,3,8,0,0,0,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
18,1,0,16:47,4,1,34,71,2,0,0,0,0,7,34,77,4,6,30,71,9,18,3,58,29
19,1,0,15:37,5,0,17,19,3,0,0,0,0,15,10,17,4,6,30,87,19,14,7,58,29
20,1,0,14:19,5,0,5,36,2,0,0,0,0,21,22,65,5,23,30,16,49,36,2,5,29
21,1,0,14:14,7,1,2,0,3,50,2,0,0,21,22,65,5,23,30,16,49,36,2,5,29
22,1,0,13:55,5,1,46,47,3,0,0,0,0,13,8,39,47,55,30,46,27,15,2,5,29
23,1,0,13:43,1,0,39,0,3,32,6,0,0,13,8,39,47,55,30,46,27,15,2,5,29
24,1,0,12:48,5,1,44,77,1,0,0,0,0,7,34,77,4,6,30,46,27,15,7,44,29
25,1,0,12:39,1,0,7,0,1,91,3,0,0,7,34,10,5,23,30,71,9,18,7,44,29
26,1,0,12:28,5,0,10,44,3,0,0,0,0,7,34,10,5,23,30,71,9,18,7,44,29
27,1,0,12:14,9,0,23,0,2,0,0,0,0,15,10,17,5,23,30,71,9,18,7,44,29
28,1,0,12:05,1,0,15,0,3,37,3,0,0,15,10,17,5,23,30,71,9,18,7,44,29
29,1,0,10:35,5,1,2,21,2,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
30,1,0,10:31,5,0,65,5,3,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
31,1,0,10:25,5,0,65,5,3,0,0,0,0,21,22,65,47,55,30,16,49,36,2,5,29
32,1,0,10:09,1,0,22,0,3,13,1,0,0,21,22,65,5,23,30,16,49,36,2,5,29
33,1,0,9:55,5,1,15,39,3,0,0,0,0,22,8,39,5,23,30,46,27,15,7,44,29
34,1,0,9:45,5,1,27,5,3,0,0,0,0,22,8,39,5,23,30,46,27,15,7,44,29
35,1,0,9:40,5,0,39,15,2,0,0,0,0,13,8,39,5,23,30,46,27,15,7,44,29
36,1,0,9:34,5,1,46,23,3,0,0,0,0,13,8,39,5,23,30,46,27,15,7,44,29
37,1, ,9:33,3,0,0,0,0,0,0,0,0,13,8,39,47,55,30,46,27,15,7,44,29
38,1,0,9:33,4,0,8,87,3,0,0,0,0,13,8,39,47,55,30,71,87,14,3,58,29
39,1,0,9:30,1,0,47,0,3,58,1,0,0,13,8,39,47,55,30,71,87,14,3,58,29
40,1, ,9:29,3,1,0,0,0,0,0,0,0,13,8,39,47,55,30,71,87,14,3,58,29
41,1,0,9:29,4,0,34,87,3,0,0,0,0,7,34,77,4,6,30,71,87,14,3,58,29
42,1,0,9:13,1,0,6,0,3,61,3,0,0,7,34,77,4,6,30,71,87,14,3,58,29
43,1, ,9:04,3,6,0,0,0,0,0,0,0,7,34,77,4,6,30,71,87,14,3,58,29
44,1,0,9:04,4,0,15,87,3,0,0,0,0,15,10,17,5,23,30,71,87,14,3,58,29
45,1, ,8:58,3,2,0,0,0,0,0,0,0,15,10,17,5,23,30,71,87,14,3,58,29
46,1,0,8:58,4,1,15,16,1,0,0,0,0,15,10,17,5,23,30,16,27,15,7,44,29
47,1,0,8:34,5,0,5,27,1,0,0,0,0,15,10,17,5,23,30,16,27,15,7,44,29
48,1,0,8:02,9,1,14,0,1,0,0,0,0,21,22,65,47,55,30,16,71,14,5,7,29
49,1,0,7:58,5,1,14,55,1,0,0,0,0,21,22,65,47,55,30,71,87,14,2,5,29
50,1,0,7:57,1,0,22,0,1,83,6,0,0,21,22,65,47,55,30,71,87,14,2,5,29
51,1, ,7:56,3,0,0,0,0,0,0,0,0,21,22,65,47,55,30,71,87,14,2,5,29
52,1,0,7:56,4,1,22,71,2,0,0,0,0,22,34,65,4,6,30,71,9,18,2,5,29
53,1,0,7:15,13,0,55,5,2,0,0,0,0,22,34,65,47,55,30,71,9,18,2,5,29
54,1, ,7:10,3,10,0,0,0,0,0,0,0,22,34,65,47,55,30,71,9,18,2,5,29
55,1,0,7:10,4,0,15,87,1,0,0,0,0,15,10,17,5,23,30,87,19,14,7,44,29
56,1,0,6:59,13,1,44,10,2,0,0,0,0,15,10,17,5,23,30,87,19,14,7,44,29
57,1,0,6:54,13,1,7,23,2,0,0,0,0,15,10,17,5,23,30,87,19,14,7,44,29
58,1,0,6:27,13,1,44,23,2,0,0,0,0,15,10,17,5,23,30,87,19,14,7,44,29
59,1,0,5:53,5,0,6,36,2,0,0,0,0,15,8,39,4,6,30,16,49,36,3,58,29
60,1,0,5:05,13,1,27,55,2,0,0,0,0,21,22,65,47,55,30,46,27,15,2,5,29
61,1,0,4:32,5,0,55,5,2,0,0,0,0,7,34,77,5,55,30,71,9,18,2,5,29
62,1,0,4:09,7,0,34,0,3,27,5,0,0,7,34,77,5,23,30,71,9,18,3,58,29
63,1,0,3:52,5,1,9,23,3,0,0,0,0,7,34,77,5,23,30,71,9,18,3,58,29
64,1,0,3:47,7,0,5,0,1,78,1,0,0,7,34,77,5,23,30,71,9,18,3,58,29
65,1,0,3:24,1,0,17,0,3,20,5,0,0,15,10,17,4,6,30,87,19,14,7,58,29
66,1,0,3:21,1,0,15,0,3,13,1,0,0,15,10,17,4,6,30,87,19,14,7,58,29
67,1, ,3:20,3,0,0,0,0,0,0,0,0,15,10,17,4,6,30,87,19,14,7,58,29
68,1,0,3:20,4,1,13,46,2,0,0,0,0,13,8,39,4,6,30,46,27,15,7,44,29
69,1,0,3:10,8,0,13,0,3,0,0,0,0,13,8,39,47,55,30,46,27,15,7,44,29
70,1,0,2:59,9,1,27,0,3,0,0,0,0,13,8,65,47,55,30,46,27,15,7,44,29
71,1,0,2:24,5,1,19,5,1,0,0,0,0,21,22,65,5,23,30,87,19,14,7,44,29
72,1,0,2:12,13,0,77,44,2,0,0,0,0,22,65,77,5,23,30,87,19,14,7,44,29
73,1,0,2:09,7,0,5,0,3,60,1,0,0,22,65,77,5,23,30,87,19,14,7,44,29
74,1,0,2:00,1,1,19,0,3,10,6,0,0,22,65,77,5,23,30,87,19,14,2,5,29
75,1,0,1:52,1,1,5,0,3,59,2,0,0,22,65,77,5,23,30,87,19,14,2,5,29
76,1,0,1:30,9,0,15,0,1,0,0,0,0,15,10,17,4,6,30,71,19,14,2,5,29
77,1,0,1:16,1,1,18,0,3,28,3,0,0,15,10,17,4,6,30,71,14,18,7,44,29
78,1, ,1:15,3,1,0,0,0,0,0,0,0,15,10,17,4,6,30,71,14,18,7,44,29
79,1,0,1:15,4,0,15,71,2,0,0,0,0,7,15,34,47,55,30,71,9,18,7,44,29
80,1,0,0:43,5,1,44,7,2,0,0,0,0,7,34,77,4,55,30,71,9,18,7,44,29
81,1,0,0:19,5,0,6,18,1,0,0,0,0,34,17,77,4,6,30,71,9,18,3,58,29
82,1, ,0:00,11,0,0,0,0,0,0,0,0,15,10,17,5,23,30,16,49,36,3,58,29
83,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,0,20:00,4,1,34,16,1,0,0,0,0,7,34,77,5,23,30,16,49,36,3,58,29
85,2,0,19:25,1,1,3,0,3,41,1,0,0,21,22,65,5,23,30,16,49,36,3,58,29
86,2, ,19:24,3,1,0,0,0,0,0,0,0,21,22,65,5,23,30,16,49,36,3,58,29
87,2,0,19:24,4,1,15,87,3,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
88,2,0,18:52,5,1,14,6,3,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
89,2,0,18:38,1,0,15,0,3,30,3,0,0,15,10,17,4,47,30,71,9,18,2,5,29
90,2, ,18:37,3,1,0,0,0,0,0,0,0,15,10,17,4,47,30,71,9,18,2,5,29
91,2,0,18:37,4,1,34,71,2,0,0,0,0,7,34,77,47,55,30,71,9,18,2,5,29
92,2,0,18:26,5,1,9,55,3,0,0,0,0,7,34,77,47,55,30,71,9,18,2,5,29
93,2,0,18:14,8,0,47,0,2,0,0,0,0,7,34,77,47,55,30,71,9,18,2,5,29
94,2,0,17:41,7,1,71,0,3,34,3,0,0,7,13,77,23,47,30,71,9,18,3,58,29
95,2, ,17:36,3,2,0,0,0,0,0,0,0,7,13,77,23,47,30,71,9,18,3,58,29
96,2,0,17:36,4,1,13,46,1,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
97,2,0,17:30,1,1,3,0,1,92,3,0,0,13,8,39,5,23,30,46,27,15,3,58,29
98,2,0,17:29,1,1,27,0,3,26,1,0,0,13,8,39,5,23,30,46,27,15,3,58,29
99,2, ,17:28,3,1,0,0,0,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
100,2,0,17:28,4,0,13,46,2,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
101,2,0,17:20,5,1,27,5,3,0,0,0,0,13,8,39,5,23,30,46,27,15,3,58,29
102,2,0,16:59,5,0,5,15,2,0,0,0,0,13,8,39,5,23,30,46,27,15,7,44,29
103,2,0,16:51,5,0,5,15,2,0,0,0,0,13,8,39,5,23,30,46,27,15,7,44,29
104,2, ,16:40,3,0,0,0,0,0,0,0,0,13,8,39,5,23,30,46,27,15,7,44,29
105,2,0,16:40,4,1,22,16,3,0,0,0,0,21,22,65,4,6,30,16,49,36,2,5,29
106,2,0,16:34,1,1,5,0,3,60,1,0,0,21,22,65,4,6,30,16,49,36,2,5,29
107,2, ,16:24,3,8,0,0,0,0,0,0,0,21,22,65,4,6,30,16,49,36,2,5,29
108,2,0,16:24,4,1,22,46,2,0,0,0,0,21,22,65,47,55,30,16,46,36,7,44,29
109,2,0,16:15,1,1,7,0,3,38,3,0,0,21,22,65,47,55,30,16,46,36,7,44,29
110,2, ,16:14,3,1,0,0,0,0,0,0,0,21,22,65,47,55,30,16,46,36,7,44,29
111,2,0,16:14,4,1,15,87,3,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
112,2,0,16:06,13,1,19,10,2,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
113,2,0,15:58,13,1,44,4,2,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
114,2,0,15:56,5,1,19,4,3,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
115,2,0,15:49,13,1,87,6,2,0,0,0,0,15,10,17,4,6,30,87,19,14,7,44,29
116,2,0,15:11,13,1,18,55,2,0,0,0,0,7,34,10,47,55,30,87,14,18,44,58,29
117,2,0,15:06,5,0,10,18,2,0,0,0,0,7,34,10,47,55,30,71,9,18,3,58,29
