# 2013/11/21 
# STL , BOS 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,74,42,5,22,41,37,63,21,27,33,40
2,1, ,20:00,3,0,0,0,0,0,0,0,0,20,74,42,5,22,41,37,63,21,27,33,40
3,1,0,20:00,4,0,42,37,1,0,0,0,0,20,74,42,5,22,41,37,63,21,27,33,40
4,1,0,19:48,1,0,74,0,3,45,1,0,0,20,74,42,5,22,41,37,63,21,27,33,40
5,1,0,19:38,1,0,22,0,3,63,3,0,0,20,74,42,5,22,41,37,63,21,27,33,40
6,1, ,19:38,3,1,0,0,0,0,0,0,0,20,74,42,5,22,41,37,63,21,27,33,40
7,1,0,19:38,4,0,17,23,1,0,0,0,0,9,17,91,19,27,41,23,34,18,43,55,40
8,1,0,19:30,13,0,27,55,2,0,0,0,0,9,17,91,19,27,41,23,34,18,43,55,40
9,1,0,19:13,1,0,9,0,3,8,1,0,0,9,17,91,28,46,41,23,34,18,43,55,40
10,1,0,19:05,1,1,34,0,3,34,3,0,0,9,17,91,28,46,41,23,34,18,33,55,40
11,1,0,18:39,7,1,33,0,3,23,3,0,0,9,17,91,28,46,41,23,34,18,33,86,40
12,1,0,18:32,5,0,28,18,2,0,0,0,0,9,17,91,28,46,41,23,34,18,33,86,40
13,1,0,18:06,5,1,46,74,3,0,0,0,0,20,74,42,19,27,41,46,12,17,47,86,40
14,1,0,18:05,7,1,17,0,3,44,3,0,0,20,74,42,19,27,41,46,12,17,47,86,40
15,1,0,17:55,13,0,42,86,2,0,0,0,0,20,74,42,19,27,41,46,12,17,33,86,40
16,1,0,17:43,7,1,12,0,3,21,6,0,0,20,74,42,19,27,41,46,12,17,27,33,40
17,1,0,17:37,5,1,12,74,3,0,0,0,0,20,74,42,19,27,41,46,12,17,27,33,40
18,1, ,17:10,3,2,0,0,0,0,0,0,0,12,25,10,5,22,41,11,20,22,43,55,40
19,1,0,17:10,4,1,12,11,1,0,0,0,0,12,25,10,5,22,41,11,20,22,43,55,40
20,1,0,16:34,8,1,20,0,2,0,0,0,0,12,25,10,5,22,41,11,20,22,43,55,40
21,1,0,16:30,1,1,20,0,1,80,3,0,0,12,25,10,5,22,41,11,20,22,43,55,40
22,1,0,16:24,9,0,22,0,2,0,0,0,0,40,25,10,5,22,41,37,20,22,47,86,40
23,1,0,16:01,13,1,63,46,2,0,0,0,0,40,75,56,28,46,41,37,63,21,47,86,40
24,1, ,15:46,3,10,0,0,0,0,0,0,0,40,75,56,28,46,41,37,63,21,47,86,40
25,1,0,15:46,4,1,42,46,3,0,0,0,0,20,74,42,19,27,41,46,12,17,27,33,40
26,1,0,15:33,1,0,27,0,3,46,3,0,0,20,74,42,19,27,41,46,12,17,27,33,40
27,1,0,15:27,7,0,42,0,3,65,2,0,0,20,74,42,19,27,41,46,12,17,27,33,40
28,1,0,15:21,8,0,20,0,3,0,0,0,0,20,74,42,19,27,41,46,12,17,27,33,40
29,1,0,15:14,9,1,17,0,1,0,0,0,0,20,74,42,19,27,41,46,12,17,27,33,40
30,1,0,15:08,1,0,27,0,3,46,2,0,0,20,74,42,19,27,41,46,12,17,27,33,40
31,1,0,14:31,5,0,17,55,3,0,0,0,0,9,17,91,5,22,41,23,34,18,43,55,40
32,1, ,14:26,3,6,0,0,0,0,0,0,0,9,17,91,5,22,41,23,34,18,43,55,40
33,1,0,14:26,4,1,12,23,2,0,0,0,0,12,25,10,5,22,41,23,34,18,43,55,40
34,1,0,14:11,8,0,22,0,2,0,0,0,0,12,25,10,5,22,41,23,34,18,43,55,40
35,1,0,14:03,1,1,23,0,3,23,1,0,0,12,25,10,5,22,41,23,34,18,43,55,40
36,1,0,13:54,5,0,5,34,2,0,0,0,0,12,25,10,5,22,41,23,34,18,43,55,40
37,1,0,13:30,5,0,28,22,2,0,0,0,0,12,75,56,28,46,41,11,20,22,47,86,40
38,1,0,13:20,8,1,47,0,3,0,0,0,0,40,75,56,28,46,41,11,20,22,47,86,40
39,1,0,13:07,5,0,28,20,2,0,0,0,0,40,75,56,28,46,41,11,20,22,47,86,40
40,1, ,12:57,3,0,0,0,0,0,0,0,0,40,75,56,28,46,41,11,20,22,47,86,40
41,1,0,12:57,4,1,20,37,3,0,0,0,0,20,74,42,19,27,41,37,63,21,27,33,40
42,1,0,12:49,13,1,63,27,2,0,0,0,0,20,74,42,19,27,41,37,63,21,27,33,40
43,1,0,12:42,1,1,37,0,3,30,3,0,0,20,74,42,19,27,41,37,63,21,27,33,40
44,1,0,12:39,9,0,20,0,2,0,0,0,0,20,74,42,19,27,41,37,63,21,27,33,40
45,1,0,12:12,7,1,21,0,3,47,1,0,0,20,74,42,28,46,41,37,63,21,27,33,40
46,1,0,11:55,7,1,21,0,3,23,5,0,0,20,74,42,28,46,41,37,63,21,27,33,40
47,1,0,11:27,13,0,9,43,2,0,0,0,0,9,17,91,5,22,41,46,12,17,27,43,40
