# 2013/11/29 
# STL , S.J 
# 3 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
2,1,0,20:00,4,0,42,39,1,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
3,1,0,19:41,5,1,57,5,2,0,0,0,0,9,17,91,5,22,1,12,39,57,44,61,31
4,1,0,19:27,9,0,5,0,2,0,0,0,0,9,17,91,5,22,1,12,39,88,7,27,31
5,1,0,19:25,2,1,88,0,3,13,2,12,39,9,17,91,5,22,1,12,39,88,7,27,31
6,1,0,19:25,4,1,42,8,1,0,0,0,0,20,74,42,19,27,1,8,81,9,7,27,31
7,1, ,19:14,3,6,0,0,0,0,0,0,0,20,74,42,28,46,1,8,81,9,7,27,31
8,1,0,19:14,4,0,21,8,3,0,0,0,0,12,21,25,28,46,1,8,81,9,7,27,31
9,1,0,19:07,13,0,12,7,2,0,0,0,0,12,21,25,28,46,1,8,81,9,7,27,31
10,1, ,18:54,3,6,0,0,0,0,0,0,0,12,21,25,28,46,1,8,81,9,7,27,31
11,1,0,18:54,4,0,21,19,2,0,0,0,0,12,21,25,28,46,1,19,48,88,22,52,31
12,1,0,18:48,9,0,28,0,2,0,0,0,0,12,21,25,28,46,1,19,48,88,22,52,31
13,1,0,18:48,1,1,19,0,3,50,1,0,0,12,21,25,28,46,1,19,48,88,22,52,31
14,1, ,18:48,3,1,0,0,0,0,0,0,0,12,21,25,28,46,1,19,48,88,22,52,31
15,1,0,18:48,4,1,42,39,3,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
16,1,0,18:26,13,1,61,20,2,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
17,1,0,17:54,6,0,22,18,2,0,0,0,0,40,10,56,5,22,1,10,18,42,22,52,31
18,1,-1,17:54,4,0,20,8,2,0,0,0,0,20,42,19,27,1,0,8,12,19,39,22,31
19,1,-1,17:41,13,1,22,42,2,0,0,0,0,20,42,19,27,1,0,8,12,19,39,22,31
20,1,1,17:38,9,1,8,0,3,0,0,0,0,20,42,19,27,1,0,8,12,19,39,22,31
21,1,-1,17:22,13,1,19,19,2,0,0,0,0,20,42,19,27,1,0,8,12,19,39,22,31
22,1,1,16:59,2,1,19,0,3,24,3,8,39,9,17,5,46,1,0,8,19,39,48,22,31
23,1,0,16:59,4,1,21,8,1,0,0,0,0,12,21,25,28,46,1,8,81,9,22,52,31
24,1,0,16:26,5,0,25,22,3,0,0,0,0,12,21,25,28,46,1,8,81,9,22,52,31
25,1, ,16:15,3,1,0,0,0,0,0,0,0,12,21,25,28,46,1,19,81,9,7,27,31
26,1,0,16:15,1,1,27,0,3,30,2,0,0,12,21,25,28,46,1,19,81,9,7,27,31
27,1,0,16:15,4,1,42,39,3,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
28,1, ,16:03,3,6,0,0,0,0,0,0,0,20,74,42,19,27,1,12,39,57,44,61,31
29,1,0,16:03,4,1,40,39,2,0,0,0,0,40,10,56,19,27,1,12,39,57,44,61,31
30,1, ,15:44,3,1,0,0,0,0,0,0,0,40,10,56,5,22,1,10,18,42,44,61,31
31,1,0,15:44,1,0,10,0,3,46,1,0,0,40,10,56,5,22,1,10,18,42,44,61,31
32,1,0,15:44,4,0,20,8,3,0,0,0,0,20,74,42,5,22,1,8,12,39,44,61,31
33,1, ,15:28,3,2,0,0,0,0,0,0,0,20,74,42,5,22,1,12,39,57,44,61,31
34,1,0,15:28,4,1,9,19,1,0,0,0,0,9,17,91,19,27,1,19,48,88,7,27,31
35,1,0,14:58,9,1,7,0,1,0,0,0,0,9,17,91,19,27,1,19,48,88,7,27,31
36,1,0,14:28,13,1,9,28,2,0,0,0,0,74,42,10,28,46,1,8,81,9,22,52,31
37,1, ,13:58,3,0,0,0,0,0,0,0,0,74,42,10,28,46,1,8,81,9,44,61,31
38,1,0,13:58,1,1,8,0,3,25,1,0,0,74,42,10,28,46,1,8,81,9,44,61,31
39,1,0,13:58,4,0,21,81,2,0,0,0,0,12,21,25,19,27,1,8,81,9,44,61,31
40,1,0,13:53,7,1,8,0,3,16,1,0,0,12,21,25,19,27,1,8,81,9,44,61,31
41,1,0,13:50,5,0,25,44,2,0,0,0,0,12,21,25,19,27,1,8,81,9,44,61,31
42,1,0,13:48,13,1,8,19,2,0,0,0,0,12,21,25,19,27,1,8,81,9,44,61,31
43,1,0,13:47,13,1,9,21,2,0,0,0,0,12,21,25,19,27,1,8,81,9,44,61,31
44,1,0,13:42,1,1,9,0,3,7,4,0,0,12,21,25,19,27,1,8,81,9,44,61,31
45,1,0,13:20,1,1,44,0,3,54,2,0,0,12,21,25,19,27,1,19,39,81,9,44,61
46,1,0,13:20,6,0,21,8,1,0,0,0,0,12,21,25,19,27,1,19,39,81,9,44,61
47,1,-1,13:20,4,0,42,19,2,0,0,0,0,9,42,5,46,1,0,8,12,19,39,22,31
48,1,1,13:11,6,1,39,46,3,0,0,0,0,9,42,5,46,1,0,8,12,19,39,22,31
49,1,0,13:11,4,0,17,88,3,0,0,0,0,9,17,5,22,1,0,19,88,22,52,31,0
50,1,0,12:50,9,0,9,0,3,0,0,0,0,9,17,5,22,1,0,19,88,22,52,31,0
51,1,0,12:17,5,0,19,57,2,0,0,0,0,74,42,19,27,1,0,12,57,7,27,31,0
52,1,0,12:12,9,0,42,0,2,0,0,0,0,74,42,19,27,1,0,12,57,7,27,31,0
53,1,0,12:11,13,1,7,74,2,0,0,0,0,74,42,19,27,1,0,12,57,7,27,31,0
54,1, ,12:04,3,6,0,0,0,0,0,0,0,74,42,19,27,1,0,12,57,7,27,31,0
55,1,0,12:04,4,0,42,8,2,0,0,0,0,74,42,19,27,1,0,8,81,7,27,31,0
56,1,0,11:34,8,1,8,0,1,0,0,0,0,74,42,5,27,1,0,8,81,7,27,31,0
57,1,-1,11:11,8,1,44,0,2,0,0,0,0,12,21,25,5,22,1,19,81,44,61,31,0
58,1,0,11:04,9,0,12,0,1,0,0,0,0,12,21,25,5,22,1,19,39,48,44,61,31
59,1,0,10:46,2,1,88,0,3,24,1,19,48,12,21,56,19,28,1,19,48,88,22,52,31
60,1, ,10:46,3,0,0,0,0,0,0,0,0,12,21,56,19,28,1,19,48,88,22,52,31
61,1,0,10:46,4,0,42,39,1,0,0,0,0,20,74,42,28,46,1,12,39,57,44,61,31
62,1,0,10:22,5,0,46,39,2,0,0,0,0,20,74,42,28,46,1,12,39,57,44,61,31
63,1,0,10:19,7,1,39,0,3,42,2,0,0,20,74,42,28,46,1,12,39,57,44,61,31
64,1,0,10:15,1,1,61,0,3,66,2,0,0,20,74,42,28,46,1,12,39,57,44,61,31
65,1, ,10:15,3,3,0,0,0,0,0,0,0,20,74,42,28,46,1,12,39,57,44,61,31
66,1,0,10:15,4,0,21,8,2,0,0,0,0,12,21,25,19,27,1,8,81,9,22,52,31
67,1,0,9:56,9,1,22,0,2,0,0,0,0,12,21,25,5,22,1,8,81,9,22,52,31
68,1,0,9:51,5,0,25,52,3,0,0,0,0,12,21,25,5,22,1,8,81,9,22,52,31
69,1,0,9:23,5,0,17,27,3,0,0,0,0,9,17,91,19,27,1,19,48,88,7,27,31
70,1,0,9:20,13,0,91,48,2,0,0,0,0,9,17,91,19,27,1,19,48,88,7,27,31
71,1,0,9:03,9,1,19,0,2,0,0,0,0,9,17,91,19,27,1,19,48,88,7,27,31
72,1,0,9:03,1,0,91,0,3,4,1,0,0,9,17,91,19,27,1,19,48,88,7,27,31
