# 2013/11/30 
# BUF , N.J 
# 0 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,21,26,20,57,1,8,19,68,6,7,35
2,1,0,20:00,4,1,19,19,1,0,0,0,0,19,21,26,20,57,1,8,19,68,6,7,35
3,1,0,18:54,7,1,18,0,3,12,5,0,0,9,27,23,10,52,1,14,18,26,2,28,35
4,1,0,18:41,5,0,9,26,2,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
5,1, ,18:34,3,2,0,0,0,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
6,1,0,18:34,4,1,63,21,1,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
7,1, ,18:07,3,2,0,0,0,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
8,1,0,18:07,4,0,65,16,1,0,0,0,0,65,32,82,20,57,1,16,20,25,22,34,35
9,1,0,17:55,6,1,20,82,2,0,0,0,0,65,32,82,20,57,1,16,20,25,22,34,35
10,1,0,17:55,6,0,82,20,3,0,0,0,0,65,32,82,20,57,1,16,25,22,34,35,0
11,1,0,17:55,4,1,19,19,1,0,0,0,0,19,21,26,20,57,1,8,19,68,6,7,35
12,1, ,17:20,3,2,0,0,0,0,0,0,0,19,21,26,20,57,1,8,19,68,6,7,35
13,1,0,17:20,4,1,23,26,1,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
14,1,0,16:55,13,1,28,27,2,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
15,1, ,16:23,3,3,0,0,0,0,0,0,0,9,28,63,10,52,1,12,21,17,22,34,35
16,1,0,16:23,4,0,63,21,1,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
17,1,0,16:05,9,1,17,0,2,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
18,1,0,15:39,5,0,28,17,1,0,0,0,0,28,65,72,3,6,1,12,21,17,6,7,35
19,1,0,15:11,5,0,6,16,2,0,0,0,0,65,27,32,3,6,1,16,25,26,6,7,35
20,1,0,15:09,1,1,16,0,3,10,5,0,0,65,27,32,3,6,1,16,25,26,6,7,35
21,1,0,15:02,5,0,32,6,2,0,0,0,0,65,27,32,3,6,1,16,25,26,6,7,35
22,1,0,14:58,7,1,26,0,3,53,2,0,0,65,27,32,3,6,1,16,25,26,6,7,35
23,1,0,14:38,9,1,35,0,2,0,0,0,0,19,21,26,20,57,1,8,19,68,6,7,35
24,1,0,14:34,1,0,21,0,3,27,1,0,0,19,21,26,20,57,1,8,19,68,6,7,35
25,1, ,13:43,3,0,0,0,0,0,0,0,0,19,21,26,20,52,1,8,19,68,2,28,35
26,1,0,13:43,4,1,23,26,1,0,0,0,0,9,27,23,10,52,1,14,18,26,22,34,35
27,1,0,13:31,5,1,18,9,2,0,0,0,0,9,27,23,10,52,1,14,18,26,22,34,35
28,1, ,13:25,3,6,0,0,0,0,0,0,0,9,27,23,10,52,1,14,18,26,22,34,35
29,1,0,13:25,4,0,9,8,2,0,0,0,0,9,27,23,10,52,1,8,19,68,22,34,35
30,1, ,12:37,3,6,0,0,0,0,0,0,0,82,1,0,0,0,0,20,35,0,0,0,0
31,1,0,12:37,4,0,9,26,2,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
32,1, ,12:31,3,6,0,0,0,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
33,1,0,12:31,4,1,9,26,3,0,0,0,0,9,27,23,10,52,1,14,18,26,2,28,35
34,1,0,12:15,13,1,28,23,3,0,0,0,0,9,27,23,3,6,1,14,18,26,2,28,35
35,1,0,11:57,1,0,63,0,3,47,2,0,0,63,72,27,3,6,1,14,21,18,6,7,35
36,1, ,11:57,3,1,0,0,0,0,0,0,0,63,72,27,3,6,1,14,21,18,6,7,35
37,1,0,11:57,4,0,63,21,3,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
38,1,0,11:30,5,0,6,12,2,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
39,1,0,11:17,5,0,63,34,2,0,0,0,0,28,63,72,3,6,1,12,21,17,22,34,35
40,1,0,9:37,9,0,52,0,2,0,0,0,0,9,27,23,10,52,1,8,19,68,2,28,35
41,1,0,9:35,1,1,19,0,3,46,2,0,0,9,27,23,10,52,1,8,19,68,2,28,35
42,1,0,9:03,1,1,18,0,3,17,3,0,0,28,63,72,10,52,1,14,18,26,22,34,35
43,1, ,9:03,3,0,0,0,0,0,0,0,0,28,63,72,10,52,1,14,18,26,22,34,35
44,1,0,9:03,4,1,72,26,3,0,0,0,0,28,63,72,3,6,1,14,18,26,22,34,35
45,1,0,8:55,13,1,34,6,2,0,0,0,0,28,63,72,3,6,1,14,18,26,22,34,35
46,1,0,7:45,1,1,6,0,3,59,3,0,0,65,32,82,20,57,1,12,21,17,6,7,35
47,1,0,7:37,13,1,6,20,2,0,0,0,0,65,32,82,20,57,1,12,21,17,6,7,35
48,1,0,7:05,9,1,2,0,2,0,0,0,0,19,21,26,10,52,1,8,19,68,2,28,35
49,1,0,7:00,7,0,52,0,3,60,2,0,0,19,21,26,10,52,1,8,19,68,2,28,35
50,1,0,6:37,9,0,1,0,2,0,0,0,0,19,21,26,10,52,1,8,19,68,28,34,35
51,1,0,6:28,5,0,10,68,2,0,0,0,0,19,21,26,10,52,1,8,19,68,22,34,35
52,1,0,6:22,13,1,19,52,2,0,0,0,0,19,21,26,10,52,1,8,19,68,22,34,35
53,1,0,6:13,1,1,22,0,3,61,2,0,0,19,21,26,10,52,1,8,19,68,22,34,35
54,1,0,5:29,5,1,22,23,2,0,0,0,0,9,27,23,3,6,1,14,18,26,22,34,35
55,1,0,4:00,5,1,25,57,3,0,0,0,0,65,32,82,20,57,1,14,16,25,2,28,35
56,1,0,3:36,1,1,28,0,3,59,2,0,0,65,26,82,10,52,1,8,16,25,7,28,35
57,1,0,3:07,1,1,19,0,3,27,2,0,0,19,21,26,3,10,1,8,19,68,6,34,35
58,1,0,2:43,5,0,6,19,2,0,0,0,0,19,27,26,3,6,1,8,19,68,22,34,35
59,1,0,2:18,1,0,27,0,3,32,2,0,0,9,27,23,20,57,1,12,21,17,22,34,35
60,1,0,1:54,1,1,28,0,3,57,2,0,0,9,28,23,20,52,1,12,21,17,2,28,35
61,1,0,1:05,8,1,14,0,1,0,0,0,0,28,72,23,3,10,1,14,18,26,6,7,35
62,1,0,0:36,5,1,18,3,3,0,0,0,0,63,32,82,3,10,1,8,18,26,22,34,35
63,1,0,0:31,9,0,3,0,2,0,0,0,0,63,32,82,3,10,1,8,18,26,22,34,35
64,1,0,0:18,7,1,34,0,3,41,1,0,0,65,32,82,10,57,1,8,19,17,68,22,34
65,1,0,0:15,6,0,10,14,2,0,0,0,0,65,32,82,10,57,1,8,19,17,68,22,34
66,1,-1,0:15,4,0,9,19,2,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
67,1,1,0:00,1,1,26,0,3,21,6,0,0,9,65,20,57,1,0,12,19,68,26,2,35
68,1, ,0:00,11,0,0,0,0,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
69,2, ,20:00,10,0,0,0,0,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
70,2,1,20:00,4,1,9,19,1,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
71,2,1,19:30,5,1,26,9,3,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
72,2,-1,19:30,8,0,65,0,1,0,0,0,0,9,65,20,57,1,0,12,19,68,26,2,35
73,2,-1,19:11,1,0,28,0,3,25,3,0,0,28,82,3,6,1,0,12,19,68,26,2,35
74,2,-1,18:31,13,1,17,82,3,0,0,0,0,28,82,3,6,1,0,12,17,68,26,6,35
75,2,0,18:11,7,0,28,0,2,157,1,0,0,28,82,3,6,10,1,8,14,17,6,7,35
76,2,0,17:48,5,0,26,2,3,0,0,0,0,19,21,26,20,57,1,8,14,18,2,28,35
77,2, ,17:44,3,1,0,0,0,0,0,0,0,19,21,26,20,57,1,8,14,18,2,28,35
78,2,0,17:44,4,0,19,16,2,0,0,0,0,19,21,26,10,52,1,16,21,18,2,28,35
79,2,0,17:36,13,0,52,21,2,0,0,0,0,19,21,26,10,52,1,16,21,18,2,28,35
