# 2013/11/30 
# VAN , NYR 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,36,20,3,23,1,16,19,24,6,18,33
2,1,0,20:00,4,1,17,19,1,0,0,0,0,17,36,20,3,23,1,16,19,24,6,18,33
3,1,0,19:45,1,1,16,0,3,33,1,0,0,17,36,20,3,23,1,16,19,24,6,18,33
4,1,0,19:44,5,1,24,23,3,0,0,0,0,17,36,20,3,23,1,16,19,24,6,18,33
5,1,0,19:27,7,1,24,0,3,19,5,0,0,17,36,20,3,23,1,16,19,24,6,18,33
6,1,0,19:21,9,1,24,0,3,0,0,0,0,17,36,20,3,23,1,16,19,24,6,18,33
7,1, ,19:09,3,8,0,0,0,0,0,0,0,17,14,20,2,8,1,20,21,61,6,18,33
8,1,0,19:09,4,1,33,21,2,0,0,0,0,33,14,22,2,8,1,20,21,61,5,27,33
9,1,0,18:48,1,1,5,0,3,61,2,0,0,33,14,22,2,8,1,20,21,61,5,27,33
10,1, ,18:48,3,1,0,0,0,0,0,0,0,33,14,22,2,8,1,20,21,61,5,27,33
11,1,0,18:48,4,0,33,28,2,0,0,0,0,33,14,22,2,8,1,28,36,62,5,27,33
12,1, ,18:22,3,6,0,0,0,0,0,0,0,25,32,7,5,18,1,28,36,62,5,27,33
13,1,0,18:22,4,1,25,28,2,0,0,0,0,25,32,7,5,18,1,28,36,62,5,27,33
14,1,0,17:53,1,1,15,0,3,19,1,0,0,25,32,7,3,23,1,22,15,67,4,44,33
15,1,0,17:46,5,1,67,3,3,0,0,0,0,25,32,7,3,23,1,22,15,67,4,44,33
16,1,0,17:20,9,1,6,0,3,0,0,0,0,9,15,29,3,23,1,16,19,24,6,18,33
17,1,0,16:39,5,0,20,6,3,0,0,0,0,17,36,20,2,8,1,20,21,61,6,18,33
18,1,0,16:19,1,0,36,0,3,39,1,0,0,17,36,20,3,23,1,20,21,61,5,27,33
19,1,0,16:10,5,0,3,21,1,0,0,0,0,17,36,20,3,23,1,20,21,61,5,27,33
20,1,0,15:18,13,0,18,24,2,0,0,0,0,33,14,22,5,18,1,16,19,24,6,27,33
21,1,0,14:58,6,1,28,7,2,0,0,0,0,25,32,7,5,18,1,28,36,62,27,44,33
22,1,-1,14:58,4,1,17,22,2,0,0,0,0,17,33,22,5,23,1,22,62,5,18,33,0
23,1,1,14:48,7,0,22,0,3,34,5,0,0,17,33,22,5,23,1,22,62,5,18,33,0
