# 2013/12/01 
# EDM , DAL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,4,2,21,80,20,12,14,6,33,32
2,1,0,20:00,4,0,93,20,1,0,0,0,0,14,93,4,2,21,80,20,12,14,6,33,32
3,1,0,19:45,5,0,14,33,3,0,0,0,0,14,93,4,2,21,80,20,12,14,6,33,32
4,1,0,19:35,1,1,20,0,3,22,6,0,0,14,93,4,2,21,80,20,12,14,6,33,32
5,1, ,19:34,3,1,0,0,0,0,0,0,0,26,57,94,15,77,80,20,12,14,6,33,32
6,1,0,19:34,4,0,26,17,2,0,0,0,0,26,57,94,15,77,80,17,13,72,24,55,32
7,1,0,19:08,9,0,94,0,2,0,0,0,0,26,57,94,15,77,80,17,13,72,24,55,32
8,1,0,18:48,5,0,89,21,1,0,0,0,0,89,64,83,19,37,80,16,21,38,4,24,32
9,1, ,18:46,3,0,0,0,0,0,0,0,0,89,64,83,19,37,80,16,21,38,4,5,32
10,1,0,18:46,4,1,89,38,1,0,0,0,0,89,64,83,19,37,80,16,21,38,4,5,32
11,1,0,18:37,1,1,16,0,3,55,1,0,0,89,64,83,19,37,80,16,21,38,4,5,32
12,1,0,18:22,5,0,64,5,2,0,0,0,0,89,64,83,19,37,80,16,21,38,4,5,32
13,1,0,18:16,7,0,89,0,3,25,1,0,0,89,64,83,2,21,80,16,21,38,4,5,32
14,1,0,18:06,5,1,5,83,2,0,0,0,0,89,64,83,2,21,80,10,16,38,4,5,32
15,1,0,18:01,13,0,64,38,2,0,0,0,0,89,64,83,2,21,80,10,16,38,4,5,32
16,1,0,17:55,13,0,21,38,2,0,0,0,0,89,64,83,2,21,80,10,16,38,4,5,32
17,1,0,16:42,13,0,77,14,2,0,0,0,0,14,93,4,15,77,80,20,12,14,6,33,32
18,1,0,16:15,8,1,6,0,2,0,0,0,0,14,93,4,19,37,80,20,12,14,6,33,32
19,1,0,16:05,1,1,13,0,3,63,0,0,0,93,57,94,19,37,80,17,13,72,6,33,32
20,1,0,16:02,1,1,17,0,3,10,1,0,0,93,57,94,19,37,80,17,13,72,6,33,32
21,1,0,16:01,6,1,13,0,1,0,0,0,0,93,57,94,19,37,80,17,13,72,4,5,32
22,1,-1,16:01,4,1,89,38,2,0,0,0,0,89,64,83,94,77,80,21,38,4,5,32,0
23,1,1,15:41,1,0,89,0,3,10,6,0,0,89,64,83,94,77,80,21,38,4,5,32,0
24,1,-1,15:28,1,1,38,0,3,55,2,0,0,89,64,83,94,77,80,21,38,4,33,32,0
25,1, ,15:27,3,1,0,0,0,0,0,0,0,89,64,83,94,77,80,10,38,4,33,32,0
26,1,-1,15:27,4,1,93,10,3,0,0,0,0,14,93,4,57,19,80,10,16,6,33,32,0
27,1,-1,15:21,7,1,6,0,3,50,2,0,0,14,93,4,57,19,80,10,16,6,33,32,0
28,1,-1,15:17,1,1,16,0,3,37,1,0,0,14,93,4,57,19,80,10,16,6,33,32,0
29,1,-1,15:06,8,1,16,0,1,0,0,0,0,14,93,4,57,19,80,10,16,6,33,32,0
30,1, ,14:55,3,3,0,0,0,0,0,0,0,14,93,4,57,19,80,16,20,6,33,32,0
31,1,-1,14:55,4,1,93,20,1,0,0,0,0,14,93,4,57,19,80,20,12,6,33,32,0
32,1,1,14:28,1,0,93,0,3,58,1,0,0,14,93,4,57,19,80,20,12,6,33,32,0
33,1,1,14:01,9,0,2,0,2,0,0,0,0,41,28,57,2,19,80,13,21,38,24,55,32
34,1,0,13:44,13,1,21,2,2,0,0,0,0,41,6,28,2,21,80,13,21,38,24,55,32
35,1, ,13:43,3,0,0,0,0,0,0,0,0,41,6,28,2,21,80,13,21,38,24,55,32
36,1,0,13:43,4,0,26,17,2,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
37,1,0,13:16,9,1,17,0,2,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
38,1,0,13:04,8,1,17,0,1,0,0,0,0,89,83,94,15,77,80,17,13,72,24,55,32
39,1,0,12:50,9,1,24,0,2,0,0,0,0,89,64,83,15,77,80,20,12,14,24,55,32
40,1,0,12:49,1,0,83,0,3,13,3,0,0,89,64,83,15,77,80,20,12,14,24,55,32
41,1, ,12:48,3,1,0,0,0,0,0,0,0,89,64,83,15,77,80,20,12,14,24,55,32
42,1,0,12:48,4,0,89,20,3,0,0,0,0,89,64,83,15,77,80,20,12,14,4,5,32
43,1,0,12:40,13,1,14,64,2,0,0,0,0,89,64,83,15,77,80,20,12,14,4,5,32
44,1,0,12:27,1,1,14,0,3,33,1,0,0,89,64,83,15,77,80,20,12,14,4,5,32
45,1, ,12:25,3,1,0,0,0,0,0,0,0,89,64,83,15,77,80,20,12,14,4,5,32
46,1,0,12:25,4,0,41,11,2,0,0,0,0,41,6,28,19,37,80,10,11,43,4,5,32
47,1,0,12:00,1,1,11,0,3,13,6,0,0,41,6,28,19,37,80,10,11,43,4,5,32
48,1, ,11:59,3,1,0,0,0,0,0,0,0,41,6,28,19,37,80,10,11,43,4,5,32
49,1,0,11:59,4,1,26,17,3,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
50,1, ,11:56,3,8,0,0,0,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
51,1,0,11:56,4,0,26,17,2,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
52,1,0,11:47,9,1,55,0,2,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
53,1,0,11:31,5,1,24,57,3,0,0,0,0,26,57,94,2,21,80,17,13,72,24,55,32
54,1,0,11:27,1,0,94,0,3,51,1,0,0,14,26,94,2,21,80,17,13,72,24,55,32
55,1,0,11:23,13,0,94,72,2,0,0,0,0,14,26,94,2,21,80,17,13,72,24,55,32
56,1,0,11:18,1,0,14,0,3,25,1,0,0,14,26,94,2,21,80,17,13,72,24,55,32
57,1,0,11:09,1,0,94,0,3,8,0,0,0,14,26,94,2,21,80,17,13,72,24,55,32
