# 2013/12/05 
# DAL , TOR 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
2,1,0,20:00,4,0,91,43,1,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
3,1,0,19:54,5,1,21,17,3,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
4,1, ,19:52,3,2,0,0,0,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
5,1,0,19:52,4,1,17,43,1,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
6,1,0,19:29,5,1,36,91,2,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
7,1,0,19:22,7,1,21,0,3,41,0,0,0,17,91,14,6,33,32,43,81,21,3,51,45
8,1,0,19:12,5,1,21,17,3,0,0,0,0,17,91,14,6,33,32,43,81,21,3,51,45
9,1,0,18:45,5,1,51,20,2,0,0,0,0,20,12,13,4,5,32,23,71,12,4,51,45
10,1,0,18:17,1,0,20,0,3,43,1,0,0,20,43,13,5,55,32,23,71,12,2,51,45
11,1, ,18:16,3,1,0,0,0,0,0,0,0,20,43,72,5,55,32,23,71,12,2,51,45
12,1,0,18:16,4,1,10,24,2,0,0,0,0,10,43,72,23,55,32,24,37,41,2,15,45
13,1, ,17:33,3,1,0,0,0,0,0,0,0,43,21,38,4,5,32,11,29,38,2,15,45
14,1,0,17:33,4,0,38,11,3,0,0,0,0,11,21,38,4,5,32,11,29,38,4,51,45
15,1,0,17:24,5,1,11,38,2,0,0,0,0,11,21,38,4,5,32,11,29,38,4,51,45
16,1,0,17:01,9,0,32,0,2,0,0,0,0,11,21,38,4,5,32,11,29,38,4,51,45
17,1,0,16:55,13,1,29,38,2,0,0,0,0,11,21,38,4,5,32,11,29,38,4,51,45
18,1,0,16:30,8,0,14,0,3,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
19,1,0,16:18,13,1,36,33,2,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
20,1,0,16:10,8,1,36,0,2,0,0,0,0,17,91,14,6,33,32,43,81,21,3,36,45
