# 2013/12/07 
# FLA , DET 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,27,19,4,44,34,90,11,8,52,55,50
2,1,0,20:00,4,1,27,90,1,0,0,0,0,11,27,19,4,44,34,90,11,8,52,55,50
3,1,0,19:39,5,1,8,4,3,0,0,0,0,11,27,19,4,44,34,90,11,8,52,55,50
4,1,0,19:10,1,1,93,0,3,8,1,0,0,57,82,14,51,77,34,14,93,44,2,27,50
5,1,0,18:53,5,0,57,27,3,0,0,0,0,57,82,14,51,77,34,14,93,44,2,27,50
6,1,0,18:34,6,0,24,2,3,0,0,0,0,16,24,20,7,43,34,14,93,44,2,27,50
7,1,1,18:34,4,1,57,90,3,0,0,0,0,57,82,43,51,34,0,21,90,37,8,4,50
8,1,1,18:25,1,1,37,0,3,60,2,0,0,57,82,43,51,34,0,21,90,37,8,4,50
9,1,1,18:00,1,1,37,0,3,46,2,0,0,17,18,43,51,34,0,21,90,37,8,4,50
10,1, ,18:00,3,1,0,0,0,0,0,0,0,17,18,43,51,34,0,21,90,37,8,4,50
11,1,1,18:00,4,1,57,93,3,0,0,0,0,57,19,4,44,34,0,14,93,11,44,55,50
12,1,1,17:52,1,1,93,0,3,36,3,0,0,57,19,4,44,34,0,14,93,11,44,55,50
13,1,-1,17:09,1,0,14,0,3,56,1,0,0,57,14,7,43,34,0,14,93,11,44,55,50
14,1,-1,16:41,5,0,14,8,2,0,0,0,0,27,14,7,43,34,0,21,90,8,27,52,50
15,1,0,16:21,8,1,21,0,3,0,0,0,0,16,24,20,51,77,34,21,25,8,27,52,50
16,1,0,16:07,5,1,52,20,2,0,0,0,0,16,24,20,51,77,34,25,71,8,27,52,50
17,1,0,15:54,1,1,8,0,3,39,6,0,0,16,24,20,51,77,34,25,71,8,2,55,50
18,1,0,15:54,2,1,71,0,3,16,3,8,25,16,24,20,51,77,34,25,71,8,2,55,50
19,1,0,15:54,4,1,18,18,1,0,0,0,0,17,18,12,4,44,34,18,37,20,2,23,50
20,1,0,15:24,5,0,12,2,3,0,0,0,0,17,18,12,4,44,34,18,37,20,2,23,50
21,1, ,15:19,3,6,0,0,0,0,0,0,0,17,18,12,4,44,34,18,37,20,2,23,50
22,1,0,15:19,4,1,27,18,2,0,0,0,0,11,27,19,7,43,34,18,37,20,2,23,50
23,1,0,15:05,9,1,2,0,2,0,0,0,0,11,27,19,7,43,34,18,37,20,2,23,50
24,1,0,14:47,5,0,27,14,2,0,0,0,0,11,27,19,7,43,34,14,93,44,52,55,50
25,1,0,14:40,8,1,55,0,2,0,0,0,0,11,57,82,4,44,34,14,93,44,52,55,50
26,1,0,14:15,1,0,44,0,3,63,3,0,0,57,82,14,4,44,34,14,93,8,52,55,50
27,1,0,14:14,1,0,14,0,3,21,3,0,0,57,82,14,4,44,34,14,93,8,52,55,50
28,1,0,14:13,13,0,14,55,2,0,0,0,0,57,82,14,4,44,34,14,93,8,52,55,50
29,1,0,14:12,6,1,8,82,2,0,0,0,0,57,82,14,4,44,34,14,93,8,52,55,50
30,1,1,14:12,4,0,16,18,3,0,0,0,0,16,24,14,20,51,34,18,20,23,27,50,0
31,1,-1,14:01,13,0,14,23,2,0,0,0,0,16,24,14,20,51,34,18,20,23,27,50,0
32,1,1,13:44,1,0,20,0,3,7,1,0,0,16,24,14,20,51,34,18,20,23,27,50,0
33,1,1,12:57,7,0,11,0,3,26,3,0,0,11,27,19,7,51,34,71,20,52,55,50,0
34,1,0,12:09,9,0,14,0,1,0,0,0,0,57,82,14,44,77,34,93,71,8,2,27,50
35,1, ,12:03,3,6,0,0,0,0,0,0,0,57,82,14,44,77,34,93,71,8,2,27,50
36,1,0,12:03,4,1,16,93,2,0,0,0,0,16,24,20,4,44,34,93,71,8,2,27,50
37,1, ,11:33,3,0,0,0,0,0,0,0,0,16,24,20,4,44,34,14,90,8,4,23,50
38,1,0,11:33,4,0,18,25,1,0,0,0,0,17,18,12,7,43,34,25,37,71,4,23,50
39,1, ,11:24,3,2,0,0,0,0,0,0,0,17,18,12,7,43,34,25,37,71,4,23,50
40,1,0,11:24,4,1,17,25,1,0,0,0,0,17,18,12,7,43,34,25,37,71,4,23,50
41,1,0,11:00,9,1,23,0,2,0,0,0,0,17,18,12,7,43,34,25,37,71,4,23,50
42,1,0,10:39,5,0,12,23,3,0,0,0,0,11,27,12,44,51,34,25,37,44,4,23,50
43,1,0,9:40,13,0,14,52,2,0,0,0,0,57,82,14,7,43,34,14,90,8,52,55,50
44,1,0,9:00,7,0,14,0,3,43,2,0,0,16,82,14,51,77,34,90,11,8,2,27,50
45,1,0,8:26,13,0,77,2,2,0,0,0,0,16,24,20,51,77,34,18,21,20,2,27,50
46,1,0,8:08,13,1,4,16,2,0,0,0,0,16,24,20,51,77,34,18,21,20,4,23,50
47,1,0,7:56,1,0,20,0,1,76,2,0,0,16,24,20,51,77,34,18,21,20,4,23,50
48,1, ,7:21,3,6,0,0,0,0,0,0,0,17,18,12,4,44,34,25,37,71,4,55,50
49,1,0,7:21,4,1,27,93,3,0,0,0,0,18,27,19,4,44,34,14,93,44,52,55,50
50,1,0,7:04,7,1,14,0,3,25,1,0,0,18,27,19,4,44,34,14,93,44,52,55,50
51,1,0,6:29,5,1,8,7,3,0,0,0,0,11,27,82,7,43,34,90,11,8,2,27,50
52,1,0,6:05,9,1,8,0,1,0,0,0,0,57,82,14,51,77,34,90,11,8,2,27,50
53,1,0,5:47,5,0,57,20,3,0,0,0,0,57,82,14,51,77,34,18,8,20,2,27,50
54,1,0,5:41,1,1,18,0,3,55,1,0,0,57,82,14,51,77,34,18,21,20,4,23,50
55,1, ,5:41,3,0,0,0,0,0,0,0,0,57,82,14,51,77,34,18,21,20,4,23,50
56,1,0,5:41,4,1,16,18,3,0,0,0,0,16,24,20,4,44,34,18,21,20,4,23,50
57,1,0,5:32,5,0,44,21,2,0,0,0,0,16,24,20,4,44,34,18,21,20,4,23,50
58,1,0,5:12,1,0,77,0,3,48,3,0,0,16,24,20,51,77,34,18,21,20,4,23,50
59,1,0,4:53,5,1,21,77,2,0,0,0,0,16,24,20,51,77,34,18,21,20,4,23,50
60,1, ,4:41,3,3,0,0,0,0,0,0,0,17,18,12,51,77,34,21,25,37,2,27,50
61,1,0,4:41,4,1,18,25,1,0,0,0,0,17,18,12,51,77,34,25,37,71,2,27,50
