# 2013/12/09 
# NYI , ANA 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
2,1,0,20:00,4,1,51,15,1,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
3,1,0,19:51,5,0,44,10,2,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
4,1, ,19:50,3,1,0,0,0,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
5,1,0,19:50,4,0,51,15,2,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
6,1, ,19:18,3,6,0,0,0,0,0,0,0,12,29,51,3,44,45,15,10,17,45,55,1
7,1,0,19:18,4,0,91,15,3,0,0,0,0,91,21,26,14,47,45,15,10,17,45,55,1
8,1,0,19:00,5,0,26,6,3,0,0,0,0,91,21,26,14,47,45,7,11,34,4,6,1
9,1, ,18:51,3,2,0,0,0,0,0,0,0,91,21,26,14,47,45,7,11,34,4,6,1
10,1,0,18:51,4,0,16,11,1,0,0,0,0,16,15,40,14,47,45,7,11,34,4,6,1
11,1,0,18:35,5,0,15,6,3,0,0,0,0,16,15,40,14,47,45,7,11,34,4,6,1
12,1,0,18:31,13,1,11,14,2,0,0,0,0,16,15,40,14,47,45,7,11,34,4,47,1
13,1,0,18:16,5,1,28,16,2,0,0,0,0,16,15,40,7,55,45,7,11,34,28,47,1
14,1,0,18:04,5,0,17,47,1,0,0,0,0,53,13,17,7,55,45,13,8,65,28,47,1
15,1,0,17:40,13,0,55,28,2,0,0,0,0,53,13,17,7,55,45,13,8,65,28,47,1
16,1,0,17:00,5,1,45,51,2,0,0,0,0,12,29,51,3,44,45,20,18,39,45,55,1
17,1,0,16:56,13,0,3,20,2,0,0,0,0,12,29,51,3,44,45,20,18,39,45,55,1
18,1,0,16:50,9,1,20,0,1,0,0,0,0,12,29,51,3,44,45,20,18,39,45,55,1
19,1,0,16:15,7,0,14,0,3,50,1,0,0,91,21,26,14,47,45,11,34,18,6,45,1
20,1,0,16:04,1,0,91,0,3,6,4,0,0,91,21,26,14,47,45,11,34,18,6,45,1
21,1,0,15:20,8,0,3,0,2,0,0,0,0,16,15,40,3,44,45,15,10,17,4,55,1
22,1, ,15:08,3,2,0,0,0,0,0,0,0,16,15,40,3,44,45,15,10,17,4,47,1
23,1,0,15:08,4,0,16,13,1,0,0,0,0,16,15,40,3,44,45,13,8,65,28,47,1
24,1,0,14:52,7,1,65,0,3,41,1,0,0,53,13,40,7,55,45,13,8,65,28,47,1
25,1,0,14:28,13,0,55,47,2,0,0,0,0,53,13,40,7,55,45,13,8,65,28,47,1
