# 2013/12/15 
# PHI , WSH 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,9,24,5,44,35,83,16,20,74,81,31
2,1,0,20:00,4,0,14,83,1,0,0,0,0,14,9,24,5,44,35,83,16,20,74,81,31
3,1,0,19:34,5,1,83,5,3,0,0,0,0,10,17,19,5,8,35,83,16,20,74,81,31
4,1,0,19:28,5,1,83,19,3,0,0,0,0,10,17,19,5,8,35,83,16,8,27,52,31
5,1,0,19:11,7,0,8,0,3,31,1,0,0,10,17,19,8,32,35,83,16,8,27,52,31
6,1,0,19:07,1,0,14,0,3,23,1,0,0,14,17,19,8,32,35,83,16,8,27,52,31
7,1, ,19:07,3,1,0,0,0,0,0,0,0,14,17,19,8,32,35,83,16,8,27,52,31
8,1,0,19:07,4,1,14,10,2,0,0,0,0,14,9,24,22,26,35,10,42,25,27,52,31
9,1,0,18:36,1,0,93,0,3,41,1,0,0,28,93,12,22,26,35,10,42,25,4,52,31
10,1,0,18:32,1,0,26,0,3,33,2,0,0,28,93,12,22,26,35,10,42,25,4,52,31
11,1, ,18:23,3,6,0,0,0,0,0,0,0,28,93,12,22,26,35,19,42,8,4,61,31
12,1,0,18:23,6,0,28,0,2,0,0,0,0,28,93,12,22,26,35,19,90,8,4,61,31
13,1,-1,18:23,4,0,18,19,2,0,0,0,0,14,18,5,44,35,0,19,90,20,8,74,31
14,1,1,17:31,7,1,8,0,3,39,1,0,0,14,24,5,44,35,0,19,90,20,8,74,31
15,1,-1,16:51,5,0,22,8,2,0,0,0,0,18,12,8,22,35,0,10,42,8,25,52,31
16,1,1,16:50,9,1,8,0,3,0,0,0,0,18,12,8,22,35,0,10,42,8,25,52,31
17,1,-1,16:37,5,0,76,10,2,0,0,0,0,36,76,22,44,35,0,10,42,8,25,52,31
18,1,1,16:31,8,1,42,0,3,0,0,0,0,36,76,22,44,35,0,10,42,8,25,52,31
19,1,1,16:25,1,1,42,0,3,42,3,0,0,36,76,22,44,35,0,10,42,8,25,52,31
20,1,0,16:12,8,0,28,0,2,0,0,0,0,36,76,28,22,44,35,10,42,25,52,81,31
21,1,0,16:02,5,0,36,52,2,0,0,0,0,36,76,28,22,44,35,10,42,25,52,81,31
22,1,0,15:36,13,1,81,76,2,0,0,0,0,36,76,28,22,44,35,10,42,25,61,81,31
23,1, ,15:18,3,6,0,0,0,0,0,0,0,10,17,19,22,26,35,83,16,20,4,61,31
24,1,0,15:18,4,0,10,46,2,0,0,0,0,10,17,19,22,26,35,46,43,24,4,61,31
25,1,0,15:10,9,1,43,0,1,0,0,0,0,10,17,19,22,26,35,46,43,24,4,61,31
26,1,0,15:08,13,0,10,4,2,0,0,0,0,10,17,19,22,26,35,46,43,24,4,61,31
27,1,0,14:12,1,0,9,0,3,40,2,0,0,14,9,24,5,8,35,19,90,8,27,74,31
28,1,0,14:04,5,0,9,8,1,0,0,0,0,14,9,24,5,8,35,19,90,8,27,74,31
29,1,0,13:55,13,1,27,14,2,0,0,0,0,14,9,24,5,8,35,19,90,8,27,74,31
30,1,0,13:21,8,1,16,0,2,0,0,0,0,28,93,12,22,26,35,83,16,20,27,52,31
31,1,0,13:12,1,1,20,0,3,59,2,0,0,28,93,12,22,26,35,83,16,20,52,81,31
32,1, ,13:06,3,0,0,0,0,0,0,0,0,28,93,12,22,26,35,83,16,20,52,81,31
33,1,0,13:06,4,0,76,46,1,0,0,0,0,36,76,18,22,26,35,46,43,24,4,61,31
34,1, ,13:00,3,2,0,0,0,0,0,0,0,36,76,18,22,26,35,46,43,24,4,61,31
35,1,0,13:00,4,0,76,46,1,0,0,0,0,36,76,18,22,26,35,46,43,24,4,61,31
36,1,0,12:40,5,0,26,43,3,0,0,0,0,36,76,18,22,26,35,46,43,24,4,61,31
37,1, ,11:57,3,6,0,0,0,0,0,0,0,14,9,24,8,32,35,19,90,8,4,61,31
38,1,0,11:57,4,1,14,19,2,0,0,0,0,14,9,24,5,44,35,19,90,8,4,61,31
39,1,0,11:32,9,1,90,0,3,0,0,0,0,14,9,24,5,44,35,19,90,8,52,81,31
40,1,0,10:53,1,1,25,0,3,39,2,0,0,10,17,19,8,32,35,10,42,25,52,81,31
41,1,0,10:48,5,1,10,32,3,0,0,0,0,10,17,19,8,32,35,10,42,25,74,81,31
42,1,0,10:14,5,0,22,27,1,0,0,0,0,28,93,12,22,26,35,83,16,20,27,74,31
43,1,0,9:57,5,1,74,12,2,0,0,0,0,28,93,12,22,26,35,83,16,20,27,74,31
44,1,0,9:41,13,0,12,61,2,0,0,0,0,28,93,12,5,44,35,83,16,20,4,61,31
45,1,0,9:31,6,0,12,61,3,0,0,0,0,28,93,12,5,44,35,83,16,20,8,4,61
46,1, ,9:31,3,9,0,0,0,0,0,0,0,28,93,5,44,35,0,83,16,20,4,61,31
47,1,-1,9:31,4,0,14,20,2,0,0,0,0,14,24,5,44,35,0,19,90,20,8,74,31
48,1,1,9:25,8,1,74,0,3,0,0,0,0,14,24,5,44,35,0,19,90,20,8,74,31
49,1, ,9:07,3,4,0,0,0,0,0,0,0,14,24,5,44,35,0,19,90,20,8,74,31
50,1,1,9:07,4,1,14,20,2,0,0,0,0,14,24,5,44,35,0,19,90,20,8,74,31
51,1,1,8:43,2,1,90,0,3,11,5,8,19,14,24,5,44,35,0,19,90,20,8,74,31
52,1,0,8:43,4,0,10,10,1,0,0,0,0,10,17,19,8,32,35,10,42,25,4,61,31
53,1,0,8:17,6,1,25,19,1,0,0,0,0,10,17,28,19,8,32,10,42,25,4,61,31
54,1,-1,8:17,4,1,28,19,2,0,0,0,0,17,28,93,19,44,35,19,20,27,74,31,0
55,1,1,7:58,1,0,19,0,3,34,2,0,0,17,28,93,19,44,35,19,20,27,74,31,0
56,1,1,7:36,5,0,28,27,3,0,0,0,0,17,28,93,19,44,35,83,16,27,74,31,0
57,1,1,7:27,5,0,19,16,2,0,0,0,0,17,28,93,19,44,35,83,16,27,74,31,0
58,1,1,6:44,7,0,14,0,3,34,2,0,0,10,14,9,24,32,35,10,42,4,61,31,0
59,1,-1,6:32,13,0,32,61,2,0,0,0,0,10,14,9,24,32,35,10,42,4,61,31,0
60,1,1,6:24,1,0,14,0,3,36,1,0,0,10,14,9,24,32,35,10,42,4,61,31,0
61,1,-1,6:20,9,1,61,0,2,0,0,0,0,10,14,9,24,32,35,10,42,4,61,31,0
62,1, ,6:10,3,10,0,0,0,0,0,0,0,10,14,9,24,32,35,10,42,25,4,61,31
63,1,0,6:10,4,0,28,19,1,0,0,0,0,28,93,12,5,8,35,19,90,8,52,81,31
64,1,0,6:06,1,0,5,0,1,87,2,0,0,28,93,12,5,8,35,19,90,8,52,81,31
65,1,0,5:38,1,1,81,0,3,62,2,0,0,28,93,12,5,8,35,19,90,8,52,81,31
66,1,0,5:34,8,1,90,0,3,0,0,0,0,28,93,12,5,8,35,19,90,8,52,81,31
67,1,0,4:44,5,1,83,76,1,0,0,0,0,36,76,18,22,26,35,83,16,20,4,61,31
68,1, ,4:00,3,0,0,0,0,0,0,0,0,10,17,19,8,22,35,10,42,25,27,74,31
69,1,0,4:00,4,1,28,19,1,0,0,0,0,28,93,12,5,44,35,19,90,8,27,74,31
70,1,0,3:29,7,1,19,0,3,38,1,0,0,14,93,12,5,8,35,19,90,8,27,74,31
71,1,0,3:25,9,1,90,0,3,0,0,0,0,14,93,12,5,8,35,19,90,8,27,74,31
72,1,0,3:20,7,0,24,0,3,16,5,0,0,14,9,24,5,8,35,19,90,8,27,74,31
73,1, ,3:19,3,4,0,0,0,0,0,0,0,14,9,24,5,8,35,19,90,8,27,74,31
74,1,0,3:19,4,1,14,83,1,0,0,0,0,14,9,24,8,32,35,83,16,20,52,81,31
75,1,0,2:50,13,1,16,8,2,0,0,0,0,14,9,24,8,32,35,83,16,20,52,81,31
76,1,0,2:39,13,0,14,52,2,0,0,0,0,14,9,24,22,26,35,83,16,20,52,81,31
77,1,0,2:19,5,1,52,19,2,0,0,0,0,10,17,19,22,26,35,46,43,24,52,81,31
78,1,0,2:18,5,1,46,19,2,0,0,0,0,10,17,19,22,26,35,46,43,24,52,81,31
79,1,0,2:05,5,0,22,24,3,0,0,0,0,10,17,19,22,26,35,46,43,24,52,81,31
80,1,0,1:43,5,1,24,26,3,0,0,0,0,10,17,19,22,26,35,10,43,24,4,61,31
81,1,0,1:32,1,1,61,0,3,58,2,0,0,10,93,12,22,26,35,10,43,25,4,61,31
82,1, ,1:32,3,1,0,0,0,0,0,0,0,10,93,12,22,26,35,10,43,25,4,61,31
83,1,0,1:32,4,1,14,42,3,0,0,0,0,14,24,93,5,44,35,10,42,25,4,61,31
84,1,0,1:25,1,1,61,0,3,46,6,0,0,14,24,93,5,44,35,10,42,25,4,61,31
85,1,0,1:19,5,1,25,44,3,0,0,0,0,14,24,93,5,44,35,10,42,25,4,61,31
86,1,0,0:54,2,0,28,0,3,28,1,12,5,28,93,12,5,8,35,10,42,25,4,61,31
87,1,0,0:54,4,0,14,19,1,0,0,0,0,14,9,24,8,32,35,19,90,8,27,74,31
88,1, ,0:42,3,10,0,0,0,0,0,0,0,14,9,24,8,32,35,19,90,8,27,74,31
89,1,0,0:42,4,0,14,19,1,0,0,0,0,14,9,24,8,32,35,19,90,8,27,74,31
90,1, ,0:00,11,0,0,0,0,0,0,0,0,14,9,24,8,32,35,19,90,8,27,74,31
91,2, ,20:00,10,0,0,0,0,0,0,0,0,10,17,19,5,44,35,83,16,20,27,74,31
92,2,0,20:00,4,1,10,83,1,0,0,0,0,10,17,19,5,44,35,83,16,20,27,74,31
