# 2013/12/16 
# WPG , COL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,24,33,35,18,19,71,7,51,30
2,1,0,20:00,4,CBJ,18,19,1,0,0,0,0,18,26,16,24,33,35,18,19,71,7,51,30
3,1,0,19:19,1,0,67,0,3,50,1,0,0,55,67,9,8,39,35,18,19,71,7,51,30
4,1,0,19:13,7,0,9,0,3,13,1,0,0,55,67,9,8,39,35,18,19,71,7,51,30
5,1,0,18:50,1,CBJ,13,0,3,32,3,0,0,55,67,9,8,39,35,17,13,11,27,58,30
6,1,0,18:42,5,CBJ,17,67,3,0,0,0,0,55,67,9,8,39,35,17,13,11,27,58,30
7,1,0,18:28,5,CBJ,11,39,3,0,0,0,0,55,67,9,8,39,35,17,13,11,27,58,30
8,1,0,18:21,6,0,8,11,2,0,0,0,0,55,67,9,8,39,35,17,13,11,27,58,30
9,1,0,18:21,6,CBJ,11,8,3,0,0,0,0,55,67,9,39,35,0,17,13,11,27,58,30
10,1,0,18:21,4,CBJ,12,42,2,0,0,0,0,12,22,40,2,5,35,38,42,14,6,47,30
11,1,0,17:54,5,0,22,47,3,0,0,0,0,12,22,40,2,5,35,38,42,14,6,47,30
12,1,0,17:22,5,0,17,51,3,0,0,0,0,17,70,27,24,33,35,24,55,26,7,51,30
13,1,0,17:14,1,0,33,0,3,59,2,0,0,17,70,27,24,33,35,24,55,26,7,51,30
14,1, ,17:12,3,1,0,0,0,0,0,0,0,17,70,27,24,33,35,24,55,26,7,51,30
15,1,0,17:12,4,0,70,24,3,0,0,0,0,17,70,27,24,33,35,24,55,26,7,51,30
16,1,0,17:07,1,0,24,0,3,53,1,0,0,17,70,27,24,33,35,24,55,26,7,51,30
17,1,0,17:03,5,0,27,7,3,0,0,0,0,17,70,27,24,33,35,24,55,26,7,51,30
18,1,0,16:57,13,CBJ,26,24,2,0,0,0,0,17,70,27,24,33,35,24,55,26,7,51,30
19,1,0,16:47,5,0,27,26,1,0,0,0,0,18,26,27,24,33,35,24,55,26,7,51,30
20,1,0,16:34,8,0,16,0,3,0,0,0,0,18,26,16,2,39,35,24,55,26,7,58,30
21,1,0,16:11,5,CBJ,71,26,2,0,0,0,0,18,26,16,2,39,35,18,19,71,27,58,30
22,1,0,16:08,7,0,16,0,3,18,0,0,0,18,26,16,2,39,35,18,19,71,27,58,30
23,1,0,16:02,13,0,18,71,2,0,0,0,0,18,26,16,2,39,35,18,19,71,27,58,30
24,1, ,16:01,3,8,0,0,0,0,0,0,0,18,26,16,2,39,35,18,19,71,27,58,30
25,1,0,16:01,4,0,55,17,3,0,0,0,0,55,67,9,5,33,35,17,38,13,27,58,30
26,1,0,15:58,1,0,33,0,3,49,2,0,0,55,67,9,5,33,35,17,38,13,27,58,30
27,1, ,15:38,3,3,0,0,0,0,0,0,0,55,67,9,5,33,35,17,38,13,27,58,30
28,1,0,15:38,4,CBJ,55,42,2,0,0,0,0,55,67,9,5,33,35,24,42,14,6,51,30
29,1,0,15:26,7,0,55,0,3,25,1,0,0,55,67,9,5,33,35,24,42,14,6,51,30
30,1,0,15:00,13,CBJ,6,9,2,0,0,0,0,55,67,9,5,33,35,24,42,14,6,51,30
31,1,0,14:30,5,0,22,17,3,0,0,0,0,12,22,40,2,39,35,17,38,13,6,58,30
32,1,0,14:23,1,0,12,0,3,42,1,0,0,12,22,40,2,39,35,17,38,13,7,58,30
33,1,0,14:18,13,0,40,17,2,0,0,0,0,12,22,40,2,39,35,17,38,13,7,58,30
34,1,0,13:59,5,CBJ,38,40,3,0,0,0,0,12,40,16,2,39,35,38,55,26,7,58,30
35,1,0,13:52,13,CBJ,55,2,2,0,0,0,0,18,40,16,2,39,35,38,55,26,7,58,30
36,1,0,13:03,5,0,24,19,2,0,0,0,0,18,26,16,24,33,35,18,19,71,27,51,30
37,1,0,12:53,8,CBJ,19,0,3,0,0,0,0,18,26,16,24,33,35,18,19,71,27,51,30
38,1,0,12:42,13,CBJ,51,18,2,0,0,0,0,18,26,16,24,33,35,18,19,71,27,51,30
39,1,0,12:28,1,CBJ,19,0,3,35,1,0,0,12,26,16,24,33,35,18,19,71,27,58,30
40,1,0,12:24,5,CBJ,71,26,3,0,0,0,0,12,26,16,24,33,35,18,19,71,27,58,30
41,1,0,12:10,1,0,2,0,3,57,1,0,0,12,22,40,2,5,35,18,19,38,27,58,30
42,1, ,12:09,3,0,0,0,0,0,0,0,0,12,22,40,2,5,35,18,19,38,27,58,30
43,1,0,12:09,4,CBJ,55,17,2,0,0,0,0,55,67,9,2,5,35,17,13,11,6,58,30
44,1,0,11:38,13,0,2,17,2,0,0,0,0,55,67,9,2,5,35,17,13,11,6,58,30
45,1,0,11:11,13,CBJ,42,2,2,0,0,0,0,17,70,9,2,5,35,38,42,14,7,27,30
46,1, ,11:01,3,3,0,0,0,0,0,0,0,17,70,9,2,5,35,38,42,14,7,27,30
47,1,0,11:01,4,0,22,42,2,0,0,0,0,12,22,40,8,39,35,38,42,14,7,27,30
48,1,0,10:31,1,CBJ,14,0,3,30,1,0,0,12,22,40,8,39,35,38,42,14,7,27,30
49,1,0,10:26,13,CBJ,7,12,2,0,0,0,0,12,22,40,8,39,35,38,42,14,7,27,30
50,1,0,9:33,5,CBJ,26,24,3,0,0,0,0,17,70,27,24,33,35,55,26,11,6,58,30
51,1,0,9:09,5,CBJ,18,2,3,0,0,0,0,18,26,16,2,5,35,18,19,71,6,58,30
52,1,0,8:49,5,CBJ,58,26,2,0,0,0,0,18,26,16,2,5,35,18,19,71,6,58,30
53,1,0,8:48,7,0,18,0,3,21,1,0,0,18,26,16,2,5,35,18,19,71,6,58,30
54,1,0,8:42,7,0,26,0,3,18,0,0,0,18,26,16,2,5,35,18,19,71,6,58,30
55,1,0,8:20,6,0,2,71,0,0,0,0,0,18,26,16,2,5,35,19,13,71,7,51,30
56,1,0,8:20,6,CBJ,71,2,3,0,0,0,0,18,26,16,5,35,0,19,13,71,7,51,30
57,1, ,8:20,3,9,0,0,0,0,0,0,0,18,26,16,5,35,0,19,13,7,51,30,0
58,1,0,8:20,4,0,18,17,1,0,0,0,0,18,26,16,8,39,35,17,13,11,7,51,30
59,1,0,8:00,5,CBJ,17,39,1,0,0,0,0,18,26,16,8,39,35,17,13,11,7,51,30
60,1, ,7:29,3,6,0,0,0,0,0,0,0,55,67,9,8,39,35,38,42,13,7,51,30
61,1,0,7:29,4,CBJ,55,42,3,0,0,0,0,55,67,9,8,39,35,38,42,14,27,58,30
62,1,0,7:14,5,CBJ,27,67,2,0,0,0,0,55,67,9,24,33,35,38,42,14,27,58,30
63,1, ,7:06,3,6,0,0,0,0,0,0,0,55,67,9,24,33,35,38,42,14,27,58,30
64,1,0,7:06,4,0,12,42,3,0,0,0,0,12,22,40,24,33,35,38,42,14,27,58,30
65,1,0,6:42,9,CBJ,27,0,2,0,0,0,0,12,22,40,24,33,35,24,55,26,27,58,30
