# 2013/12/17 
# COL , DAL 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
2,1,0,20:00,4,0,9,91,1,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
3,1,0,19:45,5,0,8,43,1,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
4,1,0,19:28,5,0,9,33,3,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
5,1,0,19:22,5,1,91,6,2,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
6,1,0,19:20,8,1,91,0,2,0,0,0,0,9,29,90,6,8,35,91,43,14,4,33,30
7,1,0,18:57,6,1,16,61,3,0,0,0,0,26,15,92,16,61,35,16,20,21,24,55,30
8,1,0,18:57,6,1,16,61,3,0,0,0,0,26,15,92,4,61,35,20,21,24,55,30,0
9,1,-1,18:57,4,1,26,10,2,0,0,0,0,26,15,92,4,61,35,10,21,4,33,30,0
10,1,-1,18:31,9,1,33,0,2,0,0,0,0,26,15,92,4,61,35,10,21,4,33,30,0
11,1,1,18:19,7,0,26,0,3,24,1,0,0,26,15,92,4,61,35,10,21,4,33,30,0
12,1, ,18:18,3,4,0,0,0,0,0,0,0,26,15,92,4,61,35,10,21,4,33,30,0
13,1,-1,18:18,4,1,9,12,2,0,0,0,0,9,29,90,4,6,35,17,12,4,33,30,0
14,1,1,17:33,1,0,4,0,3,16,1,0,0,9,29,90,4,6,35,20,12,4,33,30,0
15,1,1,17:25,1,0,6,0,3,60,2,0,0,9,29,90,4,6,35,20,12,4,33,30,0
16,1,1,17:23,2,0,9,0,3,11,1,6,4,9,29,90,4,6,35,20,12,4,33,30,0
17,1,1,17:23,4,0,26,10,1,0,0,0,0,26,15,92,2,61,35,10,21,24,36,30,0
18,1,-1,16:56,8,1,10,0,2,0,0,0,0,26,15,92,2,61,35,10,21,24,36,30,0
19,1,1,16:10,9,0,9,0,1,0,0,0,0,9,29,90,4,6,35,10,21,36,55,30,0
20,1, ,16:01,3,3,0,0,0,0,0,0,0,9,29,90,4,6,35,10,21,36,55,30,0
21,1,1,16:01,4,0,7,20,1,0,0,0,0,7,25,11,4,6,35,20,12,24,36,30,0
22,1,0,15:20,1,0,6,0,3,60,1,0,0,7,25,11,4,6,35,16,17,22,23,24,30
23,1,0,15:13,5,1,16,7,2,0,0,0,0,7,25,11,4,6,35,16,17,22,23,24,30
24,1,0,15:11,7,0,16,0,3,56,1,0,0,7,25,11,8,16,35,16,17,22,23,24,30
25,1,0,14:40,1,0,16,0,3,62,2,0,0,7,25,11,8,16,35,17,22,14,23,55,30
26,1,0,14:25,1,0,15,0,3,7,1,0,0,26,15,92,16,61,35,91,43,14,23,55,30
27,1,0,13:59,8,0,92,0,2,0,0,0,0,26,15,92,8,61,35,91,43,14,4,33,30
28,1,0,13:46,9,1,43,0,3,0,0,0,0,9,29,90,6,61,35,91,43,13,4,33,30
29,1,0,13:41,5,1,4,29,2,0,0,0,0,9,29,90,4,6,35,91,43,13,4,33,30
30,1,0,13:40,8,1,4,0,2,0,0,0,0,9,29,90,4,6,35,91,12,13,4,33,30
31,1,0,13:38,1,1,91,0,1,86,1,0,0,9,29,90,4,6,35,91,12,13,4,33,30
32,1, ,13:37,3,0,0,0,0,0,0,0,0,9,29,90,4,6,35,10,12,13,4,33,30
33,1,0,13:37,4,0,9,20,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
34,1,0,13:04,9,0,58,0,2,0,0,0,0,24,55,58,2,4,35,16,20,21,23,36,30
35,1,0,12:32,7,1,24,0,3,62,1,0,0,7,11,55,16,61,35,10,12,13,24,55,30
36,1,0,12:29,2,1,13,0,3,9,1,10,12,7,11,55,16,61,35,10,12,13,24,55,30
37,1,0,12:29,4,1,7,17,1,0,0,0,0,7,25,11,6,8,35,17,22,72,24,55,30
38,1, ,12:12,3,6,0,0,0,0,0,0,0,7,25,11,6,8,35,17,22,72,24,55,30
39,1,0,12:12,4,1,7,17,3,0,0,0,0,7,25,11,6,8,35,17,22,72,24,55,30
40,1,0,11:59,1,1,72,0,3,15,3,0,0,7,25,11,6,8,35,17,22,72,24,55,30
41,1, ,11:58,3,1,0,0,0,0,0,0,0,7,25,11,6,8,35,17,22,72,24,55,30
42,1,0,11:58,4,0,26,20,2,0,0,0,0,26,15,92,6,8,35,16,20,21,23,36,30
43,1,0,11:44,8,0,15,0,3,0,0,0,0,26,15,92,16,61,35,16,20,21,23,36,30
44,1,0,11:37,1,0,61,0,3,59,1,0,0,26,15,92,16,61,35,16,20,21,23,36,30
45,1, ,11:36,3,1,0,0,0,0,0,0,0,26,15,92,16,61,35,16,20,21,23,36,30
46,1,0,11:36,4,0,26,91,3,0,0,0,0,26,15,92,16,61,35,91,43,14,23,36,30
47,1,0,11:31,1,0,61,0,3,62,2,0,0,26,15,92,16,61,35,91,43,14,23,36,30
48,1,0,11:30,1,0,92,0,3,8,6,0,0,26,15,92,16,61,35,91,43,14,23,36,30
49,1,0,11:29,1,0,15,0,3,10,6,0,0,26,15,92,16,61,35,91,43,14,23,36,30
50,1,0,11:13,9,0,92,0,2,0,0,0,0,26,15,92,6,8,35,91,43,14,4,33,30
51,1,0,11:10,7,1,4,0,3,55,1,0,0,26,15,92,6,8,35,91,43,14,4,33,30
52,1,0,10:54,1,1,43,0,3,43,1,0,0,9,29,92,6,8,35,20,43,21,4,33,30
53,1,0,10:44,5,1,33,29,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
54,1,0,10:43,8,1,33,0,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
55,1, ,10:38,3,6,0,0,0,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
56,1,0,10:38,4,0,9,20,3,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
57,1,0,10:32,13,0,2,16,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
58,1,0,10:28,5,1,4,90,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
59,1,0,10:24,13,0,9,4,2,0,0,0,0,9,29,90,2,4,35,16,20,21,4,33,30
60,1,0,9:37,9,0,35,0,2,0,0,0,0,24,55,58,16,61,35,10,12,13,24,55,30
61,1,0,9:30,5,0,58,55,2,0,0,0,0,24,55,58,16,61,35,10,12,13,24,55,30
62,1,0,9:26,7,1,12,0,3,17,1,0,0,24,55,58,16,61,35,10,12,13,24,55,30
