# 2013/12/20 
# ANA , N.J 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,10,17,4,6,1,8,19,68,6,7,35
2,1,0,20:00,4,0,15,19,1,0,0,0,0,15,10,17,4,6,1,8,19,68,6,7,35
3,1,0,19:07,5,1,2,33,2,0,0,0,0,7,11,33,4,6,1,12,14,26,2,22,35
4,1,0,18:59,7,1,12,0,3,50,3,0,0,7,11,33,4,6,1,12,14,26,2,22,35
5,1,0,18:57,5,1,26,4,3,0,0,0,0,7,11,33,4,6,1,12,14,26,2,22,35
6,1,0,17:52,5,0,28,17,1,0,0,0,0,13,21,18,28,47,1,15,21,17,2,22,35
7,1,0,17:42,5,1,21,28,3,0,0,0,0,13,21,18,28,47,1,15,21,17,2,22,35
8,1, ,17:25,3,11,0,0,0,0,0,0,0,13,21,22,4,6,1,23,11,18,2,22,35
9,1,0,17:25,4,0,15,8,2,0,0,0,0,15,10,17,23,55,1,8,19,68,6,7,35
10,1, ,17:11,3,2,0,0,0,0,0,0,0,15,10,17,23,55,1,8,19,68,6,7,35
11,1,0,17:11,4,1,15,19,1,0,0,0,0,15,10,17,23,55,1,8,19,68,6,7,35
12,1,0,16:56,7,1,8,0,3,10,5,0,0,15,10,17,23,55,1,8,19,68,6,7,35
13,1, ,16:52,3,1,0,0,0,0,0,0,0,15,10,17,23,55,1,8,19,68,6,7,35
14,1,0,16:52,1,1,8,0,3,2,4,0,0,15,10,17,23,55,1,8,19,68,6,7,35
15,1,0,16:52,4,1,11,23,3,0,0,0,0,7,11,33,23,55,1,23,11,18,28,34,35
16,1,0,16:42,8,1,11,0,2,0,0,0,0,7,11,33,28,47,1,23,11,18,28,34,35
17,1,0,16:26,9,0,28,0,2,0,0,0,0,7,11,33,28,47,1,23,11,18,28,34,35
18,1,0,16:00,9,0,8,0,2,0,0,0,0,22,34,8,4,6,1,12,14,26,2,22,35
