# 2013/12/31 
# NYI , BOS 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,21,26,14,47,20,37,63,18,33,55,40
2,1,0,20:00,4,0,91,37,1,0,0,0,0,91,21,26,14,47,20,37,63,18,33,55,40
3,1,0,19:44,13,1,37,14,2,0,0,0,0,91,21,26,14,47,20,37,63,18,33,55,40
4,1,0,19:26,1,0,26,0,1,73,1,0,0,91,21,26,14,47,20,46,12,17,33,55,40
5,1,0,19:04,13,0,15,54,2,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
6,1,0,18:59,1,1,46,0,3,33,2,0,0,51,15,40,3,44,20,46,12,17,43,54,40
7,1, ,18:59,3,0,0,0,0,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
8,1,0,18:59,4,0,18,46,2,0,0,0,0,18,29,13,3,44,20,46,12,17,47,86,40
9,1,0,18:50,1,0,44,0,1,90,0,0,0,18,29,13,3,44,20,46,12,17,47,86,40
10,1, ,18:50,3,4,0,0,0,0,0,0,0,18,29,13,3,44,20,46,12,17,47,86,40
11,1,0,18:50,4,1,91,37,2,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
12,1, ,18:36,3,6,0,0,0,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
13,1,0,18:36,4,1,91,37,2,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
14,1,0,18:27,13,1,37,3,2,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
15,1, ,18:27,3,4,0,0,0,0,0,0,0,16,53,17,7,37,20,37,63,18,33,55,40
16,1,0,18:27,4,0,53,51,2,0,0,0,0,16,53,17,7,37,20,51,25,32,43,54,40
17,1, ,18:21,3,10,0,0,0,0,0,0,0,16,53,17,7,37,20,51,25,32,43,54,40
18,1,0,18:21,4,1,53,51,1,0,0,0,0,16,53,17,7,37,20,51,25,32,43,54,40
19,1,0,18:07,8,1,25,0,3,0,0,0,0,16,53,17,7,37,20,51,25,32,43,54,40
20,1, ,17:40,3,6,0,0,0,0,0,0,0,51,15,40,14,47,20,11,32,20,43,54,40
21,1,0,17:40,4,1,51,11,2,0,0,0,0,51,15,40,14,47,20,11,32,20,43,54,40
22,1,0,17:11,9,0,40,0,1,0,0,0,0,51,15,40,14,47,20,11,38,20,47,86,40
23,1,0,17:01,8,0,51,0,2,0,0,0,0,51,15,40,14,47,20,11,38,20,47,86,40
24,1,0,16:40,1,0,3,0,3,66,1,0,0,18,29,13,3,44,20,46,12,17,47,86,40
25,1,0,16:40,5,0,13,46,3,0,0,0,0,18,29,13,3,44,20,46,12,17,47,86,40
26,1,0,16:34,7,0,3,0,3,68,1,0,0,18,29,13,3,44,20,46,12,17,47,86,40
27,1,0,16:30,1,0,13,0,3,35,1,0,0,18,29,13,3,44,20,46,12,17,47,86,40
28,1, ,16:30,3,1,0,0,0,0,0,0,0,18,29,13,3,44,20,46,12,17,47,86,40
29,1,0,16:30,4,1,91,37,2,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
30,1,0,16:12,1,1,63,0,3,25,1,0,0,91,21,26,3,44,20,37,63,18,33,55,40
31,1, ,16:08,3,1,0,0,0,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
32,1,0,16:08,4,1,53,46,3,0,0,0,0,16,53,17,7,37,20,46,12,17,43,54,40
33,1,0,15:54,13,1,12,37,2,0,0,0,0,16,53,17,7,37,20,46,12,17,43,54,40
34,1,0,15:48,5,1,17,37,2,0,0,0,0,16,53,17,7,37,20,46,12,17,43,54,40
35,1,0,15:43,13,0,37,12,2,0,0,0,0,16,53,17,7,37,20,46,12,17,43,54,40
36,1,0,15:36,1,1,12,0,3,26,1,0,0,16,53,17,7,37,20,46,12,17,43,54,40
37,1,0,15:35,1,1,46,0,3,21,1,0,0,16,53,17,7,37,20,46,12,17,43,54,40
38,1,0,15:35,2,1,46,0,3,10,1,12,17,16,53,17,7,37,20,46,12,17,43,54,40
39,1,0,15:35,4,1,51,11,1,0,0,0,0,51,15,40,14,47,20,11,38,20,43,54,40
40,1,0,14:57,7,1,11,0,3,49,3,0,0,29,51,15,14,47,20,11,38,20,47,86,40
41,1,0,14:35,7,1,51,0,1,84,1,0,0,18,29,13,3,44,20,51,25,32,47,86,40
42,1, ,14:35,3,1,0,0,0,0,0,0,0,18,29,13,3,44,20,51,25,32,47,86,40
43,1,0,14:35,4,1,18,51,3,0,0,0,0,18,29,13,3,44,20,51,25,32,47,86,40
44,1,0,14:29,1,1,86,0,3,60,3,0,0,18,29,13,3,44,20,51,25,32,47,86,40
45,1,0,14:24,5,1,51,29,3,0,0,0,0,18,29,13,3,44,20,51,25,32,47,86,40
46,1,0,13:37,1,1,37,0,3,24,6,0,0,91,21,26,14,47,20,37,63,18,33,55,40
47,1,0,13:01,5,0,15,18,3,0,0,0,0,91,15,40,3,44,20,46,18,17,33,55,40
48,1,0,12:44,5,0,44,46,2,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
49,1,0,12:33,1,0,51,0,3,14,6,0,0,16,51,40,7,37,20,46,12,17,43,54,40
50,1,0,12:22,8,0,16,0,1,0,0,0,0,16,53,17,7,37,20,46,12,20,43,86,40
51,1, ,12:22,3,0,0,0,0,0,0,0,0,16,53,17,7,37,20,46,12,20,43,86,40
52,1,0,12:22,4,0,53,11,1,0,0,0,0,16,53,17,7,37,20,11,38,20,47,86,40
53,1, ,12:01,3,6,0,0,0,0,0,0,0,16,53,17,7,37,20,11,38,20,47,86,40
54,1,0,12:01,4,0,53,25,2,0,0,0,0,16,53,17,7,37,20,51,25,32,47,86,40
55,1,0,11:44,5,0,17,47,3,0,0,0,0,16,53,17,37,47,20,51,25,32,47,86,40
56,1,0,11:36,13,1,32,37,2,0,0,0,0,16,53,17,37,47,20,51,25,32,47,86,40
57,1,0,11:25,1,1,32,0,3,9,1,0,0,16,53,17,37,47,20,11,25,32,47,86,40
58,1,0,10:58,9,1,38,0,2,0,0,0,0,18,29,13,14,47,20,11,38,20,43,54,40
59,1,0,10:55,5,0,18,43,3,0,0,0,0,18,29,13,14,47,20,11,38,20,43,54,40
60,1,0,10:43,5,0,13,54,3,0,0,0,0,18,29,13,14,47,20,37,18,20,43,54,40
61,1,0,10:16,9,1,33,0,3,0,0,0,0,18,21,26,14,47,20,37,63,18,33,55,40
62,1,0,9:48,8,1,18,0,3,0,0,0,0,91,21,26,3,44,20,37,63,18,33,55,40
63,1,0,9:44,1,1,55,0,3,52,1,0,0,91,21,26,3,44,20,37,63,18,33,55,40
64,1,0,9:39,1,1,18,0,3,36,1,0,0,91,21,26,3,44,20,37,63,18,33,55,40
65,1, ,9:31,3,0,0,0,0,0,0,0,0,91,21,26,3,44,20,46,12,17,33,55,40
66,1,0,9:31,4,1,51,46,1,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
67,1,0,9:23,5,1,17,3,3,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
68,1,0,9:08,6,0,15,43,3,0,0,0,0,51,15,40,3,44,20,46,12,17,43,54,40
69,1,1,9:08,4,1,53,37,3,0,0,0,0,53,40,14,47,20,0,37,51,63,18,55,40
70,1,1,8:32,13,0,53,55,2,0,0,0,0,53,40,3,37,20,0,37,51,63,18,55,40
71,1,-1,8:14,9,0,37,0,2,0,0,0,0,16,51,3,37,20,0,51,63,12,18,47,40
72,1,1,7:35,7,1,12,0,3,55,2,0,0,53,40,3,47,20,0,46,12,17,33,47,40
73,1,1,7:28,1,1,46,0,3,38,1,0,0,53,40,3,47,20,0,46,12,17,33,47,40
74,1, ,7:28,3,1,0,0,0,0,0,0,0,53,40,3,47,20,0,46,12,17,33,47,40
75,1,-1,7:28,4,0,51,17,2,0,0,0,0,16,51,14,47,20,0,46,12,17,33,47,40
76,1,0,7:01,5,0,14,12,2,0,0,0,0,16,51,15,14,47,20,46,12,17,33,47,40
77,1,0,6:29,9,1,43,0,2,0,0,0,0,91,21,26,7,37,20,46,38,20,43,47,40
78,1,0,6:11,6,1,38,37,3,0,0,0,0,91,21,26,7,37,20,37,38,20,33,43,40
79,1,-1,6:11,4,1,91,37,2,0,0,0,0,51,91,21,26,47,20,37,63,33,55,40,0
80,1,1,5:27,8,0,47,0,2,0,0,0,0,51,91,21,26,47,20,11,63,43,54,40,0
81,1,1,5:10,9,0,20,0,2,0,0,0,0,18,91,15,3,14,20,11,20,43,54,40,0
82,1,-1,5:07,1,1,20,0,3,28,1,0,0,18,91,15,3,14,20,11,20,43,54,40,0
83,1,1,4:37,1,0,3,0,3,63,1,0,0,18,91,15,3,14,20,46,51,43,54,40,0
84,1,1,4:36,1,0,15,0,3,8,6,0,0,18,91,15,3,14,20,46,51,43,54,40,0
85,1, ,4:35,3,0,0,0,0,0,0,0,0,18,91,15,3,14,20,37,63,33,55,40,0
86,1,-1,4:35,4,1,18,37,2,0,0,0,0,18,29,15,3,44,20,37,63,33,55,40,0
87,1,1,4:29,5,0,15,55,3,0,0,0,0,18,29,15,3,44,20,37,63,33,55,40,0
88,1,-1,4:24,1,1,63,0,2,187,1,0,0,18,29,15,3,44,20,37,63,33,55,40,0
89,1, ,4:17,3,10,0,0,0,0,0,0,0,18,29,15,3,44,20,37,63,33,55,40,0
90,1,-1,4:17,4,1,53,46,1,0,0,0,0,53,13,17,14,47,20,46,12,47,86,40,0
91,1,0,3:21,5,0,17,86,3,0,0,0,0,91,21,17,7,37,20,63,25,32,47,86,40
92,1,0,3:01,8,1,18,0,3,0,0,0,0,91,21,26,7,37,20,37,63,18,43,86,40
