# 2014/01/02 
# EDM , S.J 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
2,1,0,20:00,4,1,93,19,1,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
3,1, ,19:51,3,6,0,0,0,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
4,1,0,19:51,4,1,93,19,2,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
5,1,0,19:42,9,1,19,0,1,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
6,1, ,19:40,3,2,0,0,0,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
7,1,0,19:40,4,1,93,8,1,0,0,0,0,93,4,57,19,21,40,8,19,88,22,44,31
8,1,0,19:16,9,1,22,0,2,0,0,0,0,93,83,94,2,21,40,12,39,88,22,44,31
9,1,0,19:02,9,1,22,0,2,0,0,0,0,27,83,94,2,15,40,12,39,83,22,52,31
10,1,0,18:56,7,0,94,0,3,14,5,0,0,27,83,94,2,15,40,12,39,83,22,52,31
11,1, ,18:39,3,1,0,0,0,0,0,0,0,27,83,94,15,77,40,12,39,83,52,61,31
12,1,0,18:39,1,0,94,0,3,61,2,0,0,27,83,94,15,77,40,12,39,83,52,61,31
13,1,0,18:39,4,1,89,10,2,0,0,0,0,14,89,64,77,85,40,10,15,38,52,61,31
14,1,0,18:26,1,1,38,0,3,51,3,0,0,14,89,64,77,85,40,10,15,38,52,61,31
15,1, ,18:06,3,1,0,0,0,0,0,0,0,14,89,64,77,85,40,10,15,38,52,61,31
16,1,0,18:06,1,1,38,0,3,22,1,0,0,14,89,64,77,85,40,10,15,38,52,61,31
17,1,0,18:06,4,1,6,43,3,0,0,0,0,51,6,20,19,21,40,75,18,43,5,27,31
18,1,0,17:52,5,0,20,27,3,0,0,0,0,51,6,20,19,21,40,75,18,43,5,27,31
19,1,0,17:16,5,1,88,6,3,0,0,0,0,51,6,20,19,21,40,8,19,88,5,44,31
20,1,0,17:06,7,1,8,0,3,37,1,0,0,93,4,57,2,21,40,8,19,88,22,44,31
21,1,0,16:59,8,1,44,0,2,0,0,0,0,93,4,57,2,21,40,8,19,88,22,44,31
22,1,0,16:49,1,1,88,0,3,55,2,0,0,93,4,57,2,15,40,8,19,88,22,44,31
23,1,0,16:38,8,1,19,0,1,0,0,0,0,93,4,57,15,77,40,15,19,38,22,44,31
24,1,0,16:32,1,1,15,0,3,29,1,0,0,93,4,57,15,77,40,15,19,38,44,61,31
25,1,0,16:31,1,1,19,0,3,27,1,0,0,93,4,57,15,77,40,15,19,38,44,61,31
26,1,0,15:53,13,1,12,27,2,0,0,0,0,27,83,94,19,21,40,12,39,83,52,61,31
27,1,0,15:46,6,1,83,27,3,0,0,0,0,27,83,94,19,21,40,12,39,83,52,61,31
28,1,1,15:46,4,0,89,12,3,0,0,0,0,89,64,83,94,2,40,8,12,44,61,31,0
29,1,1,15:07,1,0,64,0,3,12,1,0,0,89,64,83,94,2,40,8,12,44,61,31,0
30,1,-1,14:26,13,0,93,27,2,0,0,0,0,14,93,4,57,19,40,39,43,5,27,31,0
31,1,-1,14:23,8,1,5,0,2,0,0,0,0,14,93,4,57,19,40,39,43,5,27,31,0
32,1,1,14:14,7,0,57,0,3,25,1,0,0,14,93,4,57,19,40,10,43,5,27,31,0
33,1,1,13:54,1,0,57,0,3,33,1,0,0,14,93,4,57,19,40,10,43,5,27,31,0
34,1,-1,13:49,13,0,4,43,2,0,0,0,0,14,93,4,57,19,40,10,43,5,27,31,0
35,1,0,13:43,1,0,93,0,3,30,3,0,0,14,93,4,57,19,40,10,43,83,5,27,31
36,1,0,13:42,8,1,10,0,2,0,0,0,0,14,93,4,57,19,40,10,43,83,5,27,31
37,1,0,13:34,13,1,83,19,2,0,0,0,0,14,4,57,15,19,40,8,19,83,22,44,31
38,1,0,13:19,1,1,88,0,3,39,1,0,0,27,57,94,15,19,40,8,19,88,22,44,31
39,1,0,13:17,1,1,19,0,3,35,1,0,0,27,57,94,15,19,40,8,19,88,22,44,31
40,1,0,13:15,1,1,88,0,3,29,1,0,0,27,57,94,15,19,40,8,19,88,22,44,31
41,1,0,13:14,13,1,44,15,2,0,0,0,0,27,57,94,15,19,40,8,19,88,22,44,31
42,1, ,13:12,3,0,0,0,0,0,0,0,0,27,57,94,15,19,40,8,19,88,22,44,31
43,1,0,13:12,4,1,27,19,3,0,0,0,0,27,83,94,2,15,40,8,19,88,22,44,31
44,1,0,12:58,9,0,15,0,2,0,0,0,0,27,83,94,2,15,40,8,19,88,22,44,31
