# 2014/01/06 
# COL , NYR 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,42,8,7,51,72,20,21,61,5,27,30
2,1,0,20:00,4,CBJ,42,21,1,0,0,0,0,17,42,8,7,51,72,20,21,61,5,27,30
3,1,0,19:41,5,CBJ,17,61,3,0,0,0,0,17,42,8,7,51,72,20,21,61,5,27,30
4,1,0,19:37,1,1,20,0,3,26,1,0,0,17,42,8,7,51,72,20,21,61,5,27,30
5,1, ,19:36,3,1,0,0,0,0,0,0,0,17,42,8,7,51,72,20,21,61,5,27,30
6,1,0,19:36,4,1,19,19,3,0,0,0,0,18,19,71,21,27,72,19,24,62,6,18,30
7,1,0,19:00,13,CBJ,19,18,2,0,0,0,0,18,19,71,21,27,72,19,24,62,6,18,30
8,1,0,18:42,5,1,67,58,3,0,0,0,0,55,26,14,21,58,72,16,36,67,4,17,30
9,1,0,18:23,7,1,16,0,3,18,1,0,0,55,26,14,6,58,72,16,36,67,4,17,30
10,1,0,18:15,5,1,67,6,3,0,0,0,0,55,26,14,6,58,72,16,36,67,4,17,30
11,1, ,18:02,3,6,0,0,0,0,0,0,0,12,38,13,6,58,72,22,28,36,4,17,30
12,1,0,18:02,4,1,38,28,2,0,0,0,0,12,38,13,7,51,72,22,28,36,4,17,30
13,1,0,17:53,5,CBJ,12,22,1,0,0,0,0,12,38,13,7,51,72,10,22,28,5,27,30
14,1,0,17:46,5,1,22,7,3,0,0,0,0,12,38,13,7,51,72,10,22,28,5,27,30
15,1,0,16:54,1,1,61,0,3,18,1,0,0,17,42,8,21,27,72,20,21,61,5,27,30
16,1, ,16:34,3,2,0,0,0,0,0,0,0,18,19,71,7,51,72,19,24,62,6,18,30
17,1,0,16:34,4,1,19,19,1,0,0,0,0,18,19,71,7,51,72,19,24,62,5,27,30
