# 2014/01/09 
# ANA , NSH 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,10,39,23,47,31,12,33,24,6,59,39
2,1,0,20:00,4,0,15,12,1,0,0,0,0,15,10,39,23,47,31,12,33,24,6,59,39
3,1,0,19:45,1,1,6,0,3,57,1,0,0,15,10,39,23,47,31,12,33,24,6,59,39
4,1, ,19:44,3,1,0,0,0,0,0,0,0,15,10,39,23,47,31,12,33,24,6,59,39
5,1,0,19:44,4,0,11,11,2,0,0,0,0,7,11,34,4,6,31,11,13,15,3,42,39
6,1,0,19:07,1,0,11,0,3,12,3,0,0,7,11,34,4,6,31,11,13,15,3,42,39
7,1, ,18:59,3,10,0,0,0,0,0,0,0,7,11,34,4,6,31,11,13,15,3,42,39
8,1,0,18:59,4,1,13,28,1,0,0,0,0,13,21,18,28,45,31,28,25,57,4,8,39
9,1,0,18:34,5,0,28,25,2,0,0,0,0,13,21,18,28,45,31,28,25,57,4,8,39
10,1,0,18:28,7,1,28,0,3,17,3,0,0,13,21,18,28,45,31,28,25,57,4,8,39
11,1,0,18:19,7,1,4,0,3,55,2,0,0,13,21,18,28,45,31,28,25,57,4,8,39
12,1,0,18:08,2,1,28,0,3,8,1,57,25,13,21,18,28,45,31,28,25,57,4,8,39
13,1,0,18:08,4,0,22,7,1,0,0,0,0,22,8,62,23,47,31,7,26,16,4,8,39
14,1,0,18:05,6,0,62,16,1,0,0,0,0,22,8,62,23,47,31,7,26,16,4,8,39
15,1,0,18:05,6,1,16,62,1,0,0,0,0,22,8,23,47,31,0,7,26,16,4,8,39
16,1,0,18:05,4,1,22,7,1,0,0,0,0,7,22,8,23,47,31,7,15,26,4,8,39
17,1,0,17:54,9,0,31,0,2,0,0,0,0,7,22,8,23,47,31,7,15,26,4,8,39
18,1,0,17:38,2,1,15,0,3,11,3,7,26,7,22,8,23,47,31,7,15,26,4,8,39
19,1,0,17:38,4,0,15,12,1,0,0,0,0,15,10,39,4,6,31,12,33,24,6,59,39
20,1, ,17:12,3,6,0,0,0,0,0,0,0,15,10,39,4,6,31,12,33,24,6,59,39
21,1,0,17:12,4,0,15,11,2,0,0,0,0,15,10,39,4,6,31,11,13,15,6,59,39
22,1,0,16:46,9,1,11,0,2,0,0,0,0,11,34,18,4,6,31,11,13,15,6,59,39
23,1,0,16:44,13,0,18,6,2,0,0,0,0,11,34,18,28,45,31,11,13,15,6,59,39
24,1,0,16:05,5,0,34,42,1,0,0,0,0,7,11,34,28,45,31,28,25,57,3,42,39
25,1,0,15:52,1,0,10,0,3,39,2,0,0,15,10,39,23,47,31,12,25,57,3,42,39
26,1,0,15:35,1,0,10,0,3,10,6,0,0,15,10,39,23,47,31,12,25,57,3,42,39
27,1,0,15:31,6,1,57,10,2,0,0,0,0,15,10,39,23,47,31,12,25,57,3,42,39
28,1,-1,15:31,4,1,22,28,2,0,0,0,0,21,22,8,45,47,31,26,28,6,59,39,0
29,1,-1,14:51,13,0,45,26,2,0,0,0,0,21,22,8,45,47,31,26,28,6,59,39,0
