# 2014/01/09 
# FLA , BUF 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,24,20,51,77,34,9,27,22,3,10,1
2,1,0,20:00,4,0,16,22,1,0,0,0,0,16,24,20,51,77,34,9,27,22,3,10,1
3,1,0,19:24,13,0,51,3,2,0,0,0,0,16,24,20,51,77,34,9,27,22,3,10,1
4,1,0,19:19,5,0,20,27,3,0,0,0,0,16,24,20,51,77,34,9,27,22,3,10,1
5,1,0,19:15,1,0,16,0,3,57,1,0,0,16,24,20,51,77,34,9,27,22,3,10,1
6,1,0,19:06,5,1,9,20,2,0,0,0,0,16,24,20,51,77,34,9,27,22,3,10,1
7,1,0,18:42,5,1,6,27,2,0,0,0,0,27,19,14,7,43,34,28,63,26,6,52,1
8,1,0,18:41,1,0,19,0,3,33,1,0,0,27,19,14,7,43,34,28,63,26,6,52,1
9,1,0,18:36,5,1,6,43,2,0,0,0,0,27,19,14,7,43,34,28,63,26,6,52,1
10,1,0,18:33,1,0,27,0,3,18,1,0,0,27,19,14,7,43,34,28,63,26,6,52,1
11,1,0,18:11,1,0,11,0,3,43,1,0,0,11,57,82,44,55,34,65,17,82,4,44,1
12,1,0,17:47,13,1,17,44,2,0,0,0,0,11,57,82,44,55,34,65,17,82,4,44,1
13,1, ,17:46,3,4,0,0,0,0,0,0,0,11,57,82,44,55,34,65,17,82,4,44,1
14,1,0,17:46,4,0,15,24,2,0,0,0,0,15,12,21,51,77,34,24,32,37,3,10,1
15,1,0,17:32,13,0,77,32,2,0,0,0,0,15,12,21,51,77,34,24,32,37,3,10,1
16,1,0,17:25,5,0,12,37,3,0,0,0,0,15,12,21,51,77,34,24,32,37,3,10,1
17,1,0,16:48,8,1,22,0,3,0,0,0,0,16,24,20,7,43,34,9,27,22,6,52,1
18,1,0,16:27,1,0,16,0,3,31,3,0,0,16,24,20,44,55,34,9,27,22,6,52,1
19,1,0,16:21,1,0,55,0,3,64,2,0,0,16,24,20,44,55,34,9,27,22,6,52,1
20,1,0,15:30,5,1,28,77,3,0,0,0,0,27,19,14,51,77,34,28,63,26,4,44,1
21,1,0,15:25,1,0,19,0,3,44,3,0,0,27,19,14,7,51,34,28,63,26,4,44,1
22,1, ,15:24,3,1,0,0,0,0,0,0,0,27,19,14,7,51,34,28,63,26,4,44,1
23,1,0,15:24,4,0,57,65,3,0,0,0,0,11,57,82,7,43,34,65,17,82,4,44,1
24,1,0,15:20,9,0,7,0,3,0,0,0,0,11,57,82,7,43,34,65,17,82,4,44,1
25,1,0,15:16,1,1,82,0,3,40,1,0,0,11,57,82,7,43,34,65,17,82,4,44,1
26,1,0,15:08,7,1,65,0,3,16,6,0,0,11,57,82,7,43,34,65,17,82,4,44,1
27,1,0,15:02,1,1,44,0,3,23,1,0,0,11,57,82,7,43,34,65,17,82,4,44,1
28,1,0,14:27,1,0,55,0,3,52,2,0,0,15,21,82,44,55,34,24,32,37,4,10,1
29,1, ,13:28,3,0,0,0,0,0,0,0,0,16,24,20,51,77,34,9,27,22,6,52,1
30,1,0,13:28,4,0,16,22,1,0,0,0,0,16,24,20,7,43,34,9,27,22,6,52,1
31,1,0,12:55,7,1,22,0,3,21,5,0,0,16,24,20,7,43,34,9,27,22,6,52,1
32,1,0,12:41,5,0,20,6,2,0,0,0,0,16,24,20,7,43,34,9,27,22,6,52,1
33,1,0,12:08,6,0,55,63,2,0,0,0,0,27,19,14,44,55,34,28,63,26,4,44,1
