# 2014/01/11 
# DET , L.A 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,8,40,2,55,35,11,77,74,6,8,32
2,1,0,20:00,4,0,40,11,1,0,0,0,0,14,8,40,2,55,35,11,77,74,6,8,32
3,1,0,19:44,9,0,2,0,2,0,0,0,0,14,8,40,2,55,35,11,77,74,6,8,32
4,1,0,19:34,13,1,6,2,2,0,0,0,0,14,8,40,2,55,35,11,77,74,6,8,32
5,1,0,19:03,7,1,23,0,3,22,5,0,0,41,17,71,27,65,35,28,14,23,26,33,32
6,1,0,19:01,5,1,14,41,3,0,0,0,0,41,17,71,27,65,35,28,14,23,26,33,32
7,1,0,18:51,1,1,33,0,1,77,2,0,0,21,41,17,27,65,35,10,14,23,26,33,32
8,1, ,18:50,3,1,0,0,0,0,0,0,0,21,41,17,27,65,35,10,14,23,26,33,32
9,1,0,18:50,4,0,15,10,2,0,0,0,0,15,21,44,4,23,35,10,73,21,27,44,32
10,1,0,18:28,1,1,10,0,3,36,3,0,0,15,21,44,4,23,35,10,73,21,27,44,32
11,1, ,18:27,3,1,0,0,0,0,0,0,0,15,21,44,4,23,35,10,73,21,27,44,32
12,1,0,18:27,4,1,18,10,3,0,0,0,0,18,37,20,2,55,35,10,73,21,27,44,32
13,1,0,18:13,1,1,10,0,3,21,3,0,0,18,37,20,2,55,35,10,73,21,27,44,32
14,1,0,17:53,1,0,18,0,3,52,1,0,0,18,44,20,4,23,35,22,24,13,6,8,32
15,1,0,17:46,7,0,4,0,3,60,2,0,0,18,44,20,4,23,35,22,24,13,6,8,32
16,1,0,17:29,5,0,23,22,2,0,0,0,0,15,21,44,4,23,35,22,24,13,6,8,32
17,1,0,17:17,7,1,22,0,3,17,5,0,0,15,21,44,4,23,35,22,24,13,6,8,32
18,1,0,17:14,5,1,22,21,3,0,0,0,0,15,21,44,4,23,35,22,24,13,6,8,32
19,1,0,17:10,1,1,24,0,3,22,1,0,0,15,21,44,4,23,35,22,24,13,6,8,32
20,1,0,16:55,1,0,65,0,3,43,1,0,0,14,8,40,27,65,35,11,77,74,6,8,32
21,1, ,16:54,3,1,0,0,0,0,0,0,0,14,8,40,27,65,35,11,77,74,6,8,32
22,1,0,16:54,4,1,40,11,2,0,0,0,0,14,8,40,27,65,35,11,77,74,26,33,32
23,1,0,16:38,7,1,26,0,3,29,1,0,0,14,8,40,27,65,35,11,77,74,26,33,32
24,1,0,16:20,1,1,77,0,3,11,5,0,0,14,8,40,27,65,35,11,77,74,26,33,32
25,1,0,16:10,7,1,33,0,3,64,2,0,0,14,8,40,27,65,35,11,77,74,26,33,32
26,1,0,15:51,1,1,14,0,3,42,1,0,0,41,17,71,2,55,35,28,14,23,27,44,32
27,1,0,14:37,7,1,21,0,3,37,3,0,0,18,37,20,4,23,35,10,73,21,6,8,32
28,1,0,14:29,1,0,37,0,3,57,1,0,0,15,37,20,27,65,35,24,73,13,27,44,32
29,1, ,14:28,3,1,0,0,0,0,0,0,0,15,37,20,27,65,35,24,73,13,27,44,32
30,1,0,14:28,4,1,15,24,2,0,0,0,0,15,21,44,27,65,35,22,24,13,27,44,32
