# 2014/01/12 
# EDM , CHI 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
2,1,0,20:00,4,1,27,16,1,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
3,1,0,19:02,9,1,4,0,2,0,0,0,0,89,93,4,2,85,40,19,10,81,4,27,31
4,1,0,18:57,13,0,2,10,2,0,0,0,0,89,93,4,2,85,40,19,10,81,4,27,31
5,1, ,18:56,3,4,0,0,0,0,0,0,0,89,93,4,2,85,40,19,10,81,4,27,31
6,1,0,18:56,4,1,89,19,2,0,0,0,0,89,93,4,15,77,40,19,10,81,4,27,31
7,1,0,18:31,5,0,77,19,1,0,0,0,0,89,93,4,15,77,40,19,10,81,4,27,31
8,1,0,18:11,5,0,21,20,2,0,0,0,0,14,26,94,19,21,40,65,88,20,8,17,31
9,1,0,18:01,8,1,8,0,2,0,0,0,0,14,26,64,19,21,40,65,88,20,8,17,31
10,1,0,17:54,5,1,8,14,2,0,0,0,0,14,26,64,19,21,40,65,88,20,8,17,31
11,1,0,17:38,5,1,65,26,2,0,0,0,0,14,26,64,2,85,40,65,88,20,8,17,31
12,1,0,17:26,13,0,2,8,2,0,0,0,0,14,26,64,2,85,40,65,88,20,8,17,31
13,1,0,17:25,9,1,65,0,2,0,0,0,0,14,26,64,2,85,40,65,88,20,8,17,31
14,1,0,17:14,13,0,28,4,2,0,0,0,0,20,28,94,2,85,40,26,23,29,4,27,31
15,1, ,17:13,3,4,0,0,0,0,0,0,0,20,28,94,2,85,40,26,23,29,4,27,31
16,1,0,17:13,4,0,94,26,3,0,0,0,0,20,28,94,19,21,40,26,23,29,4,27,31
17,1,0,16:57,5,1,29,21,3,0,0,0,0,20,28,94,19,21,40,26,23,29,4,27,31
18,1,0,16:51,1,1,4,0,3,52,2,0,0,20,28,94,19,21,40,26,23,29,4,27,31
19,1, ,16:51,3,1,0,0,0,0,0,0,0,20,28,94,19,21,40,26,23,29,4,27,31
20,1,0,16:51,4,1,27,19,3,0,0,0,0,27,83,57,19,21,40,19,10,81,2,7,31
21,1,0,16:46,7,1,2,0,3,64,2,0,0,27,83,57,19,21,40,19,10,81,2,7,31
22,1,0,16:33,8,0,57,0,2,0,0,0,0,27,83,57,19,21,40,19,10,81,2,7,31
23,1,0,16:27,5,1,19,57,3,0,0,0,0,27,83,57,19,21,40,19,10,81,2,7,31
24,1, ,16:25,3,6,0,0,0,0,0,0,0,27,83,57,19,21,40,19,10,81,2,7,31
25,1,0,16:25,4,1,27,20,3,0,0,0,0,27,83,57,19,21,40,65,88,20,2,7,31
26,1,0,16:18,1,1,2,0,3,50,1,0,0,27,83,57,19,21,40,65,88,20,2,7,31
27,1, ,16:17,3,1,0,0,0,0,0,0,0,27,83,57,19,21,40,65,88,20,2,7,31
28,1,0,16:17,4,1,93,19,3,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
29,1, ,16:05,3,11,0,0,0,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
30,1,0,16:05,4,1,93,19,1,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
31,1,0,15:44,8,1,4,0,2,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
32,1,0,15:16,5,0,19,88,2,0,0,0,0,14,26,64,19,21,40,65,88,20,8,17,31
33,1,0,14:41,9,1,20,0,2,0,0,0,0,14,64,94,15,77,40,65,88,20,8,17,31
34,1,0,14:22,5,0,20,7,3,0,0,0,0,20,28,94,2,85,40,26,23,29,7,8,31
35,1,0,14:10,5,0,28,2,3,0,0,0,0,27,28,57,2,85,40,26,23,29,2,7,31
36,1,0,13:52,2,0,83,0,3,7,6,2,0,27,83,57,2,85,40,26,28,52,2,7,31
37,1,0,13:52,4,0,93,19,1,0,0,0,0,89,93,4,15,77,40,19,10,81,4,27,31
38,1, ,13:25,3,6,0,0,0,0,0,0,0,89,93,4,15,77,40,19,10,81,4,27,31
39,1,0,13:25,4,1,89,19,2,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
40,1,0,12:55,5,0,26,2,3,0,0,0,0,14,26,64,19,21,40,65,88,20,2,7,31
41,1,0,12:32,7,1,2,0,3,35,1,0,0,14,26,64,19,21,40,65,88,20,2,7,31
42,1,0,12:07,8,0,64,0,2,0,0,0,0,14,26,64,19,21,40,65,88,20,2,7,31
43,1,0,11:49,5,0,28,26,1,0,0,0,0,20,28,94,2,85,40,26,23,29,2,7,31
44,1,0,11:40,5,0,20,17,3,0,0,0,0,20,28,94,2,85,40,26,23,29,8,17,31
45,1,0,11:19,5,0,2,23,2,0,0,0,0,20,28,94,2,85,40,26,23,29,8,17,31
46,1,0,11:16,1,1,29,0,3,35,1,0,0,20,28,94,2,85,40,26,23,29,8,17,31
47,1, ,11:15,3,0,0,0,0,0,0,0,0,20,28,94,2,85,40,26,23,29,8,17,31
48,1,0,11:15,4,0,27,65,2,0,0,0,0,27,83,57,2,85,40,65,88,20,2,7,31
49,1,0,11:02,8,1,20,0,1,0,0,0,0,27,83,57,2,85,40,65,88,20,2,7,31
50,1,0,10:50,13,1,88,27,2,0,0,0,0,27,83,57,2,85,40,65,88,20,2,7,31
51,1,0,10:30,1,0,83,0,1,84,1,0,0,93,83,57,19,21,40,65,88,20,2,7,31
52,1,0,10:15,13,1,27,89,2,0,0,0,0,89,93,4,19,21,40,65,88,20,4,27,31
53,1,0,10:05,1,0,89,0,3,36,1,0,0,89,93,4,19,21,40,65,88,20,4,27,31
54,1,0,9:57,1,0,21,0,3,53,2,0,0,89,93,4,19,21,40,65,88,20,4,27,31
55,1,0,9:47,7,0,4,0,3,47,1,0,0,89,93,4,15,77,40,19,10,81,4,27,31
56,1,0,9:38,9,1,19,0,2,0,0,0,0,89,93,4,15,77,40,19,10,81,4,27,31
57,1,0,9:13,1,1,10,0,3,23,1,0,0,89,93,64,15,77,40,19,10,81,8,17,31
58,1,0,8:56,5,1,81,15,3,0,0,0,0,89,26,64,15,77,40,19,10,81,8,17,31
59,1, ,8:41,3,6,0,0,0,0,0,0,0,14,26,64,2,85,40,16,28,52,8,17,31
60,1,0,8:41,4,0,26,26,2,0,0,0,0,14,26,64,2,85,40,26,23,29,2,7,31
61,1, ,8:03,3,9,0,0,0,0,0,0,0,14,64,94,2,85,40,26,23,88,29,2,7
62,1,0,8:03,6,0,94,23,1,0,0,0,0,14,64,94,2,85,40,26,23,88,29,2,7
63,1,1,8:03,4,1,27,19,3,0,0,0,0,27,93,15,21,40,0,19,65,10,88,2,31
64,1,-1,7:50,13,1,2,15,2,0,0,0,0,27,93,15,21,40,0,19,65,10,88,2,31
65,1,1,7:36,8,1,65,0,3,0,0,0,0,27,93,15,21,40,0,19,65,10,88,2,31
66,1,1,7:24,1,1,2,0,3,52,2,0,0,27,93,15,21,40,0,19,65,10,88,2,31
67,1,-1,6:50,9,0,28,0,2,0,0,0,0,26,28,2,85,40,0,19,10,88,2,8,31
68,1, ,6:35,3,2,0,0,0,0,0,0,0,93,57,2,85,40,0,23,81,20,7,8,31
69,1,1,6:34,4,1,93,20,1,0,0,0,0,93,57,19,21,40,0,23,81,20,7,8,31
70,1, ,6:22,3,2,0,0,0,0,0,0,0,93,57,19,21,40,0,23,81,20,7,8,31
71,1,-1,6:22,4,0,93,20,1,0,0,0,0,93,57,19,21,40,0,23,81,20,7,8,31
72,1,0,5:57,1,0,94,0,3,20,1,0,0,14,89,94,19,21,40,23,81,52,7,8,31
73,1,0,5:51,8,0,89,0,1,0,0,0,0,14,89,94,15,19,40,16,28,52,4,8,31
74,1,0,5:45,5,1,52,19,1,0,0,0,0,14,89,4,15,19,40,16,28,52,4,8,31
75,1,0,5:37,5,1,52,4,3,0,0,0,0,14,89,4,15,19,40,16,28,52,4,27,31
76,1,0,5:34,2,1,28,0,3,38,5,4,16,14,89,4,15,19,40,16,28,52,4,27,31
77,1,0,5:34,4,1,27,16,1,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
78,1, ,5:26,3,6,0,0,0,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
79,1,0,5:26,4,0,57,16,3,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
80,1,0,5:12,5,1,52,83,3,0,0,0,0,26,83,57,15,77,40,16,28,52,2,7,31
81,1, ,5:02,3,6,0,0,0,0,0,0,0,26,83,57,15,77,40,19,10,81,2,7,31
82,1,0,5:02,4,0,26,19,2,0,0,0,0,26,83,57,15,77,40,19,10,81,2,7,31
83,1,0,4:22,1,0,26,0,3,26,1,0,0,14,26,64,2,85,40,19,10,81,8,17,31
84,1, ,4:21,3,0,0,0,0,0,0,0,0,14,26,64,2,85,40,19,10,81,8,17,31
85,1,0,4:21,4,1,89,19,2,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
86,1,0,4:12,1,1,81,0,3,22,6,0,0,89,93,4,19,21,40,19,10,81,4,27,31
87,1,0,3:32,1,1,81,0,3,25,1,0,0,89,93,4,2,19,40,19,10,81,2,7,31
88,1,0,3:29,1,1,10,0,3,19,1,0,0,89,93,4,2,19,40,19,10,81,2,7,31
89,1,0,3:26,7,1,7,0,3,44,2,0,0,89,93,4,2,19,40,19,10,81,2,7,31
90,1,0,3:10,5,0,85,29,2,0,0,0,0,20,28,94,2,85,40,26,88,29,2,7,31
91,1,0,2:59,5,0,2,26,2,0,0,0,0,20,28,94,2,85,40,26,23,29,2,7,31
92,1,0,2:51,5,0,20,7,3,0,0,0,0,20,28,94,15,77,40,26,23,29,2,7,31
93,1,0,2:43,5,1,29,28,3,0,0,0,0,20,28,94,15,77,40,26,23,29,2,17,31
94,1, ,2:26,3,2,0,0,0,0,0,0,0,27,83,57,15,77,40,16,28,52,8,17,31
95,1,0,2:26,4,0,27,28,1,0,0,0,0,27,83,57,15,77,40,16,28,52,8,17,31
96,1, ,2:17,3,6,0,0,0,0,0,0,0,27,83,57,15,77,40,16,28,52,8,17,31
97,1,0,2:17,4,0,27,65,2,0,0,0,0,27,83,57,15,77,40,65,88,20,2,7,31
98,1,0,2:11,5,0,77,20,2,0,0,0,0,27,83,57,15,77,40,65,88,20,2,7,31
99,1,0,1:50,1,1,2,0,3,63,2,0,0,14,26,64,19,21,40,65,88,20,2,7,31
100,1,0,1:17,13,0,64,2,2,0,0,0,0,14,26,64,2,85,40,19,10,81,2,7,31
101,1,0,1:07,1,0,85,0,3,59,1,0,0,14,26,64,2,85,40,19,10,81,2,7,31
102,1,0,0:18,9,0,4,0,2,0,0,0,0,89,93,4,2,21,40,16,28,52,4,27,31
103,1,0,0:16,1,1,27,0,3,63,2,0,0,89,93,4,2,21,40,16,28,52,4,27,31
104,1, ,0:16,3,1,0,0,0,0,0,0,0,27,83,57,19,21,40,16,28,52,4,27,31
105,1,0,0:16,4,1,27,65,3,0,0,0,0,27,83,57,19,21,40,65,88,20,4,27,31
106,1, ,0:00,11,0,0,0,0,0,0,0,0,27,83,57,19,21,40,65,88,20,4,27,31
107,2, ,20:00,10,0,0,0,0,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
108,2,0,20:00,4,0,27,16,1,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
109,2,0,19:47,5,1,52,19,3,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
110,2,0,19:29,9,0,27,0,2,0,0,0,0,27,83,57,19,21,40,16,28,52,2,7,31
111,2,0,19:14,7,1,16,0,3,14,1,0,0,27,83,57,19,21,40,16,28,52,2,7,31
112,2,0,18:36,1,0,93,0,3,14,1,0,0,89,93,4,2,85,40,19,10,81,17,27,31
113,2,0,18:25,5,0,85,10,2,0,0,0,0,89,93,4,2,85,40,19,10,81,2,17,31
114,2,0,18:20,13,1,81,2,2,0,0,0,0,89,93,4,2,85,40,19,10,81,2,17,31
115,2,0,17:44,9,0,89,0,2,0,0,0,0,89,26,64,2,85,40,65,88,20,2,7,31
116,2,0,17:39,13,1,7,85,2,0,0,0,0,89,26,64,2,85,40,65,88,20,2,7,31
117,2,0,17:29,8,1,2,0,1,0,0,0,0,14,26,64,15,77,40,65,88,20,2,7,31
118,2,0,17:24,2,1,65,0,3,18,3,20,88,14,26,64,15,77,40,65,88,20,2,7,31
119,2,0,17:24,4,1,94,26,1,0,0,0,0,20,28,94,19,21,40,26,23,29,8,17,31
120,2, ,17:11,3,3,0,0,0,0,0,0,0,20,28,94,19,21,40,26,23,29,8,17,31
121,2,0,17:11,4,0,94,26,1,0,0,0,0,20,28,94,19,21,40,26,23,29,8,17,31
122,2,0,16:36,9,0,94,0,1,0,0,0,0,20,28,94,19,21,40,16,23,29,4,8,31
123,2,0,16:16,8,0,83,0,3,0,0,0,0,27,83,57,15,77,40,16,28,52,4,27,31
124,2, ,16:06,3,5,0,0,0,0,0,0,0,27,83,57,15,77,40,16,28,52,4,27,31
125,2,0,16:06,4,1,27,28,1,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
126,2,0,15:55,9,0,15,0,2,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
127,2,0,15:44,13,1,52,77,2,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
128,2,0,15:41,9,0,77,0,2,0,0,0,0,27,83,57,15,77,40,16,28,52,2,7,31
129,2,0,14:59,1,1,10,0,3,6,6,0,0,89,93,57,2,85,40,16,10,81,4,27,31
130,2,0,14:33,9,1,4,0,2,0,0,0,0,89,93,4,19,85,40,19,10,81,4,27,31
131,2,0,14:10,13,0,89,4,2,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
132,2,0,14:04,13,1,81,21,2,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
133,2, ,14:04,3,4,0,0,0,0,0,0,0,89,93,4,19,21,40,19,10,81,4,27,31
134,2,0,14:04,4,1,26,65,3,0,0,0,0,14,26,64,19,21,40,65,88,20,8,17,31
135,2,0,13:40,8,1,88,0,3,0,0,0,0,14,26,64,19,21,40,65,88,20,8,17,31
136,2,0,13:26,1,1,20,0,3,14,1,0,0,14,26,64,19,21,40,65,88,20,8,17,31
137,2,0,13:23,1,1,65,0,3,18,1,0,0,14,26,64,19,21,40,65,88,20,8,17,31
138,2,0,13:15,1,1,88,0,3,18,1,0,0,14,26,64,19,21,40,65,88,20,8,17,31
139,2,0,13:01,13,1,29,15,2,0,0,0,0,20,28,94,15,77,40,65,23,29,8,17,31
140,2,0,12:55,8,0,94,0,2,0,0,0,0,20,28,94,15,77,40,26,23,29,4,27,31
141,2,0,12:50,9,0,15,0,2,0,0,0,0,20,28,94,15,77,40,26,23,29,4,27,31
142,2,0,12:34,5,0,20,4,3,0,0,0,0,20,28,94,15,77,40,26,23,29,4,27,31
143,2,0,12:18,1,1,26,0,3,31,1,0,0,20,28,94,15,77,40,26,23,29,7,27,31
144,2,0,12:09,8,1,2,0,1,0,0,0,0,20,28,94,15,77,40,26,23,29,2,7,31
145,2,0,12:03,5,0,77,7,2,0,0,0,0,27,83,20,15,77,40,16,28,29,2,7,31
146,2,0,11:48,13,1,28,15,2,0,0,0,0,27,83,20,15,77,40,16,28,29,2,7,31
147,2,0,11:35,7,1,2,0,3,52,2,0,0,27,83,20,15,77,40,16,28,52,2,7,31
148,2,0,11:25,13,1,2,15,2,0,0,0,0,27,83,20,15,77,40,16,28,52,2,7,31
149,2, ,11:19,3,0,0,0,0,0,0,0,0,27,83,20,15,77,40,16,28,52,2,7,31
150,2,0,11:19,4,1,27,65,3,0,0,0,0,27,83,20,15,77,40,65,88,20,4,27,31
151,2,0,10:52,5,1,20,2,3,0,0,0,0,93,83,57,2,85,40,65,88,20,4,27,31
152,2, ,10:36,3,0,0,0,0,0,0,0,0,89,93,57,2,85,40,65,88,20,4,27,31
