# 2014/01/18 
# S.J , T.B 
# 5 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
2,1,0,20:00,4,0,57,9,1,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
3,1,0,19:41,5,0,57,7,3,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
4,1,0,19:33,13,0,7,26,2,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
5,1,0,19:28,9,0,83,0,2,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
6,1,0,19:26,7,1,26,0,3,18,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
7,1,0,18:53,9,0,8,0,3,0,0,0,0,8,19,88,5,44,31,17,51,16,6,77,30
8,1,0,18:46,1,1,51,0,3,33,3,0,0,8,19,88,5,44,31,17,51,16,6,77,30
9,1,0,18:16,1,1,23,0,3,48,2,0,0,10,38,81,5,44,31,44,23,86,2,8,30
10,1,0,18:10,1,1,86,0,3,16,6,0,0,10,38,81,22,52,31,44,23,86,2,8,30
11,1,0,18:06,5,1,23,10,2,0,0,0,0,10,38,81,22,52,31,44,23,86,2,8,30
12,1,0,17:53,13,0,52,86,2,0,0,0,0,10,38,81,22,52,31,44,23,86,2,8,30
13,1,0,17:47,5,1,8,81,2,0,0,0,0,10,15,81,22,52,31,44,23,86,2,8,30
14,1,0,17:36,9,1,86,0,3,0,0,0,0,15,76,43,22,52,31,17,86,12,22,77,30
15,1,0,17:18,7,1,71,0,3,19,5,0,0,15,76,43,22,52,31,17,71,12,22,77,30
16,1,0,17:16,1,1,77,0,3,51,1,0,0,15,76,43,22,52,31,17,71,12,22,77,30
17,1, ,17:14,3,1,0,0,0,0,0,0,0,15,76,43,22,52,31,17,71,12,22,77,30
18,1,0,17:14,4,1,57,9,3,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
19,1,0,16:51,5,0,61,18,2,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
20,1,0,16:41,5,1,18,7,3,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
21,1,0,16:41,13,1,7,83,2,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
22,1, ,16:41,3,4,0,0,0,0,0,0,0,8,19,88,5,44,31,9,26,18,7,25,30
23,1,0,16:41,4,1,19,17,3,0,0,0,0,8,19,88,5,44,31,17,51,16,6,77,30
24,1,0,15:41,1,0,81,0,3,49,1,0,0,10,38,81,22,52,31,26,71,12,2,8,30
25,1,0,15:36,1,0,10,0,3,35,1,0,0,10,38,81,22,52,31,26,71,12,2,8,30
26,1,0,15:21,1,1,26,0,3,18,0,0,0,10,38,81,22,52,31,26,71,12,2,8,30
27,1,0,15:18,5,1,12,52,3,0,0,0,0,10,38,81,22,52,31,26,86,12,2,8,30
28,1, ,14:52,3,10,0,0,0,0,0,0,0,15,76,43,7,61,31,44,23,86,22,25,30
29,1,0,14:52,4,1,57,51,3,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
30,1,0,14:15,5,0,57,51,2,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
31,1,0,13:00,8,0,15,0,3,0,0,0,0,15,76,43,22,52,31,51,71,12,22,77,30
32,1,0,12:51,13,0,22,22,2,0,0,0,0,15,76,43,22,52,31,51,71,12,22,77,30
33,1,0,12:45,1,0,76,0,3,31,3,0,0,15,76,43,22,52,31,51,71,12,22,77,30
34,1,0,12:39,5,0,76,22,3,0,0,0,0,15,76,43,22,52,31,51,71,12,22,77,30
35,1,0,12:24,7,0,22,0,3,31,1,0,0,10,38,81,7,22,31,44,71,12,2,8,30
36,1, ,12:14,3,0,0,0,0,0,0,0,0,10,38,81,7,22,31,44,23,86,2,8,30
37,1,0,12:14,4,0,12,44,1,0,0,0,0,12,57,83,7,61,31,44,23,86,7,25,30
38,1, ,11:46,3,1,0,0,0,0,0,0,0,12,57,83,7,61,31,44,23,86,7,25,30
39,1,0,11:46,4,1,19,9,3,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
40,1, ,11:11,3,4,0,0,0,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
41,1,0,11:11,4,1,10,51,1,0,0,0,0,10,38,81,22,52,31,17,51,16,2,8,30
42,1,0,11:04,1,1,2,0,1,91,6,0,0,10,38,81,22,52,31,17,51,16,2,8,30
43,1, ,10:59,3,11,0,0,0,0,0,0,0,10,38,81,22,52,31,17,51,16,2,8,30
44,1,0,10:59,4,0,10,51,2,0,0,0,0,10,38,81,22,52,31,17,51,16,2,8,30
45,1, ,10:47,3,2,0,0,0,0,0,0,0,10,38,81,22,52,31,17,51,16,2,8,30
46,1,0,10:47,4,1,76,26,1,0,0,0,0,15,76,43,22,52,31,26,71,12,6,22,30
47,1, ,10:42,3,10,0,0,0,0,0,0,0,15,76,43,22,52,31,26,71,12,6,22,30
48,1,0,10:42,4,1,12,26,1,0,0,0,0,12,57,83,7,61,31,26,71,12,7,25,30
49,1,0,10:29,1,0,83,0,3,44,1,0,0,12,57,83,7,61,31,26,71,12,7,25,30
50,1, ,10:26,3,0,0,0,0,0,0,0,0,12,57,83,7,61,31,26,71,12,7,25,30
51,1,0,10:26,4,1,12,51,2,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
52,1,0,10:16,13,1,7,83,3,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
53,1,0,10:14,2,0,83,0,3,26,1,12,57,12,57,83,7,61,31,17,51,16,7,25,30
54,1,0,10:14,4,0,8,9,1,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
55,1,0,10:00,1,0,44,0,3,23,1,0,0,8,19,88,5,44,31,9,26,18,6,77,30
56,1, ,9:59,3,0,0,0,0,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
57,1,0,9:59,4,0,19,9,3,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
58,1,0,9:55,1,0,44,0,3,58,1,0,0,8,19,88,5,44,31,9,26,18,6,77,30
59,1, ,9:53,3,1,0,0,0,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
60,1,0,9:53,4,1,8,9,2,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
61,1,0,9:44,13,1,77,8,2,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
62,1,0,9:42,9,0,44,0,2,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
63,1, ,9:40,3,4,0,0,0,0,0,0,0,8,19,88,5,44,31,9,26,18,6,77,30
64,1,0,9:40,4,1,43,23,3,0,0,0,0,15,76,43,22,52,31,44,23,86,22,25,30
65,1,0,9:11,7,1,86,0,3,56,1,0,0,15,76,43,22,52,31,44,23,86,22,25,30
66,1,0,8:53,13,1,22,76,2,0,0,0,0,15,76,43,22,52,31,44,23,86,22,25,30
67,1,0,8:44,1,1,86,0,3,18,1,0,0,15,76,43,22,52,31,44,23,86,22,25,30
68,1, ,8:43,3,1,0,0,0,0,0,0,0,15,76,43,22,52,31,44,23,86,22,25,30
69,1,0,8:43,4,1,10,9,3,0,0,0,0,10,38,81,7,61,31,9,71,12,2,8,30
70,1,0,8:37,13,1,8,38,2,0,0,0,0,10,38,81,7,61,31,9,71,12,2,8,30
71,1,0,8:31,1,1,71,0,3,17,5,0,0,10,38,81,7,61,31,9,71,12,2,8,30
72,1,0,8:24,5,1,2,61,1,0,0,0,0,10,38,81,7,61,31,9,71,12,2,8,30
73,1,0,8:21,6,0,81,9,3,0,0,0,0,10,38,81,7,61,31,9,71,12,2,8,30
74,1,1,8:21,4,1,12,9,3,0,0,0,0,8,12,7,61,31,0,9,51,16,26,77,30
75,1,1,8:04,2,1,26,0,3,24,0,9,16,8,12,7,61,31,0,9,51,16,26,77,30
76,1,0,8:04,4,1,8,44,1,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
77,1,0,7:55,5,1,44,22,3,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
78,1,0,7:40,9,1,12,0,1,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
79,1,0,7:31,1,0,52,0,3,48,1,0,0,8,19,88,22,52,31,44,71,12,6,77,30
80,1,0,7:16,1,0,12,0,3,38,3,0,0,12,57,83,5,52,31,17,51,16,7,25,30
81,1, ,7:14,3,1,0,0,0,0,0,0,0,12,57,83,5,52,31,17,51,16,7,25,30
82,1,0,7:14,4,0,12,9,3,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
83,1,0,7:08,2,0,12,0,3,48,1,83,57,12,57,83,5,44,31,9,26,18,7,25,30
84,1,0,7:08,4,1,12,9,1,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
85,1, ,7:02,3,6,0,0,0,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
86,1,0,7:02,4,1,12,9,2,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
87,1,0,6:51,4,1,10,44,1,0,0,0,0,10,38,81,7,61,31,44,23,86,2,8,30
88,1,0,6:24,13,0,81,8,2,0,0,0,0,10,38,81,7,61,31,44,23,86,2,8,30
89,1,0,6:17,5,0,38,23,3,0,0,0,0,10,38,81,7,61,31,44,23,86,2,8,30
90,1,0,5:56,5,0,52,17,2,0,0,0,0,8,19,88,22,52,31,17,51,16,2,8,30
91,1, ,5:26,3,0,0,0,0,0,0,0,0,8,19,88,22,52,31,17,51,16,6,77,30
92,1,0,5:26,4,1,43,44,1,0,0,0,0,15,76,43,5,44,31,44,71,12,2,22,30
93,1,0,5:02,1,0,43,0,3,35,1,0,0,15,76,43,5,44,31,44,71,12,2,22,30
94,1,0,4:39,5,1,22,15,2,0,0,0,0,15,76,43,7,61,31,44,71,12,2,22,30
95,1,0,4:35,7,0,76,0,3,40,1,0,0,15,76,43,7,61,31,44,71,12,2,22,30
96,1,0,4:23,1,0,88,0,3,44,1,0,0,8,19,88,7,61,31,9,26,18,2,22,30
97,1,0,4:17,1,1,26,0,3,14,0,0,0,8,19,88,7,61,31,9,26,18,6,77,30
98,1,0,4:16,2,1,26,0,3,14,0,22,30,8,19,88,7,61,31,9,26,18,6,77,30
99,1,0,4:16,4,0,12,9,1,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
100,1, ,4:03,3,6,0,0,0,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
101,1,0,4:03,4,0,12,51,2,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
102,1,0,3:29,13,1,25,7,2,0,0,0,0,12,57,83,7,61,31,17,51,16,7,25,30
103,1,0,3:06,1,1,23,0,3,44,1,0,0,10,38,81,22,52,31,44,23,86,2,8,30
104,1,0,2:50,13,1,86,52,2,0,0,0,0,10,38,81,22,52,31,44,23,86,2,8,30
105,1,0,1:40,7,1,18,0,3,14,6,0,0,15,76,43,7,61,31,17,26,18,7,77,30
106,1, ,1:20,3,6,0,0,0,0,0,0,0,12,15,57,7,61,31,9,26,18,7,77,30
107,1,0,1:20,4,0,12,9,3,0,0,0,0,12,57,83,7,61,31,9,26,18,7,77,30
108,1,0,1:16,7,0,83,0,3,44,1,0,0,12,57,83,7,61,31,9,26,18,7,77,30
109,1,0,1:03,1,0,57,0,3,19,6,0,0,12,57,83,7,61,31,9,26,18,7,77,30
110,1,0,1:00,1,0,83,0,3,18,1,0,0,12,57,83,7,61,31,9,26,18,7,77,30
111,1,0,0:51,7,0,12,0,3,25,1,0,0,12,57,83,7,61,31,9,26,18,7,77,30
112,1,0,0:45,7,1,26,0,3,17,0,0,0,12,57,83,7,61,31,9,26,18,7,77,30
113,1,0,0:30,2,1,26,0,3,12,0,23,8,19,88,83,7,61,31,9,23,26,8,25,30
114,1,0,0:30,4,1,8,44,1,0,0,0,0,8,19,88,22,52,31,44,23,86,6,77,30
115,1,0,0:07,13,0,88,77,2,0,0,0,0,8,19,88,22,52,31,44,23,86,6,77,30
116,1, ,0:07,3,0,0,0,0,0,0,0,0,8,19,88,22,52,31,44,23,86,6,77,30
117,1,0,0:07,4,1,8,51,2,0,0,0,0,8,19,88,22,52,31,17,44,51,6,77,30
118,1, ,0:00,11,0,0,0,0,0,0,0,0,8,19,88,22,52,31,17,44,51,6,77,30
119,2, ,20:00,10,0,0,0,0,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
120,2,0,20:00,4,1,12,9,1,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
121,2,0,19:50,7,1,26,0,3,32,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
122,2,0,19:38,9,1,18,0,2,0,0,0,0,12,57,83,7,61,31,9,26,18,7,25,30
123,2,0,19:36,1,0,61,0,3,51,1,0,0,12,57,83,7,61,31,9,26,18,7,25,30
124,2,0,18:58,1,0,8,0,3,45,3,0,0,8,19,88,7,61,31,17,51,16,6,77,30
125,2,0,18:26,5,0,38,23,1,0,0,0,0,10,38,81,5,44,31,51,23,86,2,8,30
126,2,0,18:14,1,0,10,0,1,70,1,0,0,10,38,81,5,44,31,44,23,86,2,8,30
127,2, ,18:13,3,1,0,0,0,0,0,0,0,10,38,81,5,44,31,44,23,86,2,8,30
128,2,0,18:13,4,0,43,17,3,0,0,0,0,15,76,43,22,52,31,17,71,12,2,8,30
129,2,0,18:11,6,0,76,71,3,0,0,0,0,15,76,43,22,52,31,17,71,12,2,8,30
130,2,1,18:11,4,1,12,9,3,0,0,0,0,8,12,7,61,31,0,9,51,16,26,77,30
131,2,1,17:53,2,1,26,0,3,37,0,16,9,8,12,7,61,31,0,9,51,16,26,77,30
132,2,0,17:53,4,1,19,44,1,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
133,2, ,17:34,3,6,0,0,0,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
134,2,0,17:34,4,0,8,44,3,0,0,0,0,8,19,88,22,52,31,44,71,12,6,77,30
135,2,0,17:07,1,0,12,0,3,40,1,0,0,8,12,88,22,44,31,9,26,18,8,77,30
136,2, ,17:06,3,4,0,0,0,0,0,0,0,8,12,88,22,44,31,9,26,18,8,77,30
137,2,0,17:06,4,0,12,9,3,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
138,2,0,16:54,5,1,7,57,2,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
139,2,0,16:45,5,0,12,18,2,0,0,0,0,12,57,83,5,44,31,9,26,18,7,25,30
140,2,0,15:31,1,1,16,0,3,52,2,0,0,10,38,81,7,61,31,17,51,16,2,8,30
141,2,0,15:28,1,1,16,0,3,49,2,0,0,15,76,43,22,52,31,17,51,16,2,8,30
142,2,0,14:49,1,0,22,0,3,58,2,0,0,15,76,43,22,52,31,44,23,86,6,22,30
143,2,0,14:39,7,1,23,0,3,39,1,0,0,15,19,76,22,52,31,44,23,86,6,22,30
144,2,0,14:29,5,1,23,76,3,0,0,0,0,15,19,76,22,52,31,44,23,86,6,25,30
145,2,0,13:59,5,0,5,12,2,0,0,0,0,8,19,88,5,22,31,51,71,12,25,77,30
146,2,0,13:37,8,0,5,0,2,0,0,0,0,8,12,88,5,44,31,51,26,18,25,77,30
147,2,0,13:33,8,0,12,0,1,0,0,0,0,12,57,83,5,44,31,51,26,18,25,77,30
148,2,0,13:32,1,0,12,0,3,33,1,0,0,12,57,83,5,44,31,51,26,18,25,77,30
149,2, ,13:31,3,0,0,0,0,0,0,0,0,12,57,83,5,44,31,51,26,18,25,77,30
150,2,0,13:31,6,1,30,51,2,0,0,0,0,12,57,83,5,44,31,51,26,18,25,77,30
151,2,1,13:31,4,0,19,18,3,0,0,0,0,8,12,19,5,22,31,9,18,2,6,30,0
152,2,-1,13:25,13,0,22,2,2,0,0,0,0,8,12,19,5,22,31,9,18,2,6,30,0
153,2,-1,13:21,1,1,9,0,3,36,1,0,0,8,12,19,5,22,31,9,18,2,6,30,0
154,2, ,13:20,3,1,0,0,0,0,0,0,0,8,12,19,5,22,31,9,18,2,6,30,0
155,2,-1,13:20,4,1,8,44,3,0,0,0,0,8,12,19,5,22,31,44,23,6,77,30,0
156,2,-1,12:50,13,0,22,23,2,0,0,0,0,8,12,19,5,22,31,44,23,6,77,30,0
157,2,1,12:49,6,0,12,30,3,0,0,0,0,8,12,19,5,22,31,44,23,6,77,30,0
158,2,0,12:49,4,0,10,17,2,0,0,0,0,10,57,7,61,31,0,17,86,7,25,30,0
159,2,0,12:10,8,0,88,0,1,0,0,0,0,88,83,7,61,31,0,17,86,7,25,30,0
160,2,0,10:43,7,1,9,0,3,20,5,0,0,12,38,57,5,44,31,9,51,16,26,77,30
161,2,0,10:35,1,1,51,0,3,40,1,0,0,12,38,57,5,44,31,9,51,16,26,77,30
162,2,0,10:29,13,1,16,44,2,0,0,0,0,12,38,57,5,44,31,9,51,16,26,77,30
163,2,0,10:24,5,0,5,26,2,0,0,0,0,12,38,57,5,44,31,51,16,26,8,77,30
164,2,0,10:22,1,1,77,0,3,53,2,0,0,12,38,57,5,44,31,51,16,26,8,77,30
165,2,0,10:01,1,0,22,0,3,27,1,0,0,8,19,57,22,52,31,51,16,12,8,77,30
166,2,0,9:46,5,0,52,12,2,0,0,0,0,8,19,88,22,52,31,44,71,12,2,8,30
167,2,0,9:23,1,1,71,0,3,42,1,0,0,8,19,88,22,52,31,44,71,12,2,8,30
168,2,0,9:10,1,1,12,0,3,29,1,0,0,8,19,88,22,52,31,44,71,12,2,8,30
169,2,0,8:49,5,1,2,43,2,0,0,0,0,15,76,43,7,61,31,17,23,86,2,7,30
170,2,0,8:39,13,0,61,86,3,0,0,0,0,15,76,43,7,61,31,17,23,86,2,7,30
171,2,0,8:31,1,1,86,0,3,10,4,0,0,15,76,43,7,61,31,17,23,86,2,7,30
