# 2014/02/01 
# OTT , TOR 
# 3 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,15,25,3,62,41,11,28,12,4,51,45
2,1,0,20:00,4,0,15,11,1,0,0,0,0,14,15,25,3,62,41,11,28,12,4,51,45
3,1,0,19:44,5,0,15,11,3,0,0,0,0,14,15,25,3,62,41,11,28,12,4,51,45
4,1,0,19:31,7,0,62,0,3,60,2,0,0,14,15,25,3,62,41,11,28,12,4,51,45
5,1,0,19:20,5,1,28,25,2,0,0,0,0,14,15,25,3,62,41,11,28,12,4,51,45
6,1,0,19:14,5,0,14,51,3,0,0,0,0,7,14,25,3,62,41,11,28,12,4,51,45
7,1,0,18:46,1,1,3,0,3,64,1,0,0,7,6,16,3,62,41,43,19,41,3,36,45
8,1,0,18:32,1,0,65,0,3,59,1,0,0,7,6,16,2,65,41,43,19,41,3,36,45
9,1,0,18:29,5,1,41,2,2,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
10,1,0,18:20,13,0,65,19,2,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
11,1,0,17:56,1,0,9,0,3,31,6,0,0,19,93,9,3,62,41,42,81,21,8,44,45
12,1,0,17:43,5,0,93,8,3,0,0,0,0,19,93,9,3,62,41,42,81,21,8,44,45
13,1,0,17:34,5,1,21,3,1,0,0,0,0,19,93,9,3,62,41,42,81,21,8,44,45
14,1, ,17:13,3,6,0,0,0,0,0,0,0,15,22,28,5,46,41,39,40,12,4,51,45
15,1,0,17:13,4,1,15,38,3,0,0,0,0,15,22,28,5,46,41,11,28,38,4,51,45
16,1,0,17:08,13,1,51,22,2,0,0,0,0,15,22,28,5,46,41,11,28,38,4,51,45
17,1,0,17:03,5,1,11,5,3,0,0,0,0,15,22,28,5,46,41,11,28,38,4,51,45
18,1,0,16:56,13,1,4,5,2,0,0,0,0,15,22,28,5,46,41,11,28,38,4,51,45
19,1,0,16:49,5,0,46,28,2,0,0,0,0,15,22,28,5,46,41,11,28,38,4,51,45
20,1, ,16:37,3,1,0,0,0,0,0,0,0,7,6,16,2,65,41,11,38,41,4,51,45
21,1,0,16:37,4,1,7,43,3,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
22,1,0,16:33,1,1,3,0,3,59,2,0,0,7,6,16,2,65,41,43,19,41,3,36,45
23,1,0,16:30,5,1,41,2,3,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
24,1,0,16:23,13,0,6,36,2,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
25,1,0,16:20,5,0,7,43,3,0,0,0,0,7,6,16,2,65,41,43,19,41,3,36,45
26,1,0,15:59,5,0,65,3,2,0,0,0,0,7,6,16,2,65,41,43,81,19,3,8,45
27,1,0,15:47,5,1,43,6,2,0,0,0,0,7,6,16,3,62,41,43,81,19,3,8,45
28,1,0,15:36,13,1,81,3,2,0,0,0,0,7,6,16,3,62,41,42,81,19,8,44,45
29,1,0,15:16,6,1,81,62,3,0,0,0,0,14,15,25,3,62,41,42,81,21,8,44,45
30,1,0,15:16,6,0,62,81,2,0,0,0,0,14,15,25,3,62,41,42,21,8,44,45,0
31,1,0,15:16,4,1,19,42,2,0,0,0,0,19,9,2,65,41,0,42,21,8,44,45,0
32,1,0,15:06,5,0,65,21,3,0,0,0,0,19,9,2,65,41,0,42,21,8,44,45,0
33,1,0,14:51,5,1,8,2,2,0,0,0,0,19,9,2,65,41,0,42,21,8,44,45,0
34,1,0,14:39,9,0,2,0,2,0,0,0,0,19,9,2,65,41,0,42,21,8,44,45,0
35,1,0,14:05,1,0,93,0,3,31,1,0,0,89,93,3,5,41,0,43,19,3,36,45,0
36,1,0,14:00,9,1,43,0,2,0,0,0,0,89,93,3,5,41,0,43,19,3,36,45,0
37,1,0,13:32,13,0,5,43,2,0,0,0,0,89,93,3,5,41,0,43,19,4,51,45,0
38,1, ,13:30,3,0,0,0,0,0,0,0,0,89,93,3,5,41,0,43,19,4,51,45,0
39,1,0,13:30,7,0,93,0,3,27,3,0,0,89,93,3,5,41,0,43,19,4,51,45,0
40,1,0,13:30,4,0,7,11,3,0,0,0,0,7,16,2,65,41,0,11,41,3,36,45,0
41,1,0,13:22,8,1,3,0,2,0,0,0,0,7,16,2,65,41,0,11,41,3,36,45,0
42,1,0,13:14,5,0,2,41,2,0,0,0,0,7,16,2,62,65,41,11,81,41,3,36,45
43,1,0,13:10,5,1,11,16,3,0,0,0,0,7,16,2,62,65,41,11,81,41,3,36,45
44,1,0,12:57,9,1,11,0,3,0,0,0,0,7,6,16,3,62,41,11,81,41,3,8,45
45,1,0,12:54,9,0,16,0,2,0,0,0,0,7,6,16,3,62,41,11,81,41,3,8,45
46,1,0,12:48,1,1,3,0,3,64,1,0,0,7,6,16,3,62,41,11,81,41,3,8,45
47,1,0,12:47,1,1,41,0,3,11,1,0,0,7,6,16,3,62,41,11,81,41,3,8,45
48,1,0,12:41,7,0,3,0,3,55,1,0,0,7,6,16,3,62,41,11,81,41,3,8,45
49,1,0,12:36,5,1,3,6,2,0,0,0,0,7,6,16,3,62,41,11,81,41,3,8,45
50,1,0,12:23,7,0,7,0,3,53,2,0,0,7,14,6,46,62,41,11,81,41,3,8,45
51,1,0,12:13,1,0,14,0,3,35,1,0,0,14,15,25,46,62,41,42,19,21,8,51,45
52,1, ,11:57,3,5,0,0,0,0,0,0,0,14,15,25,5,46,41,42,19,21,4,51,45
53,1,0,11:57,4,1,19,42,1,0,0,0,0,19,22,9,2,65,41,42,81,21,8,44,45
54,1,0,11:38,1,0,19,0,3,41,1,0,0,19,22,9,2,65,41,42,81,21,8,44,45
55,1, ,11:37,3,1,0,0,0,0,0,0,0,19,22,9,2,65,41,42,81,21,8,44,45
56,1,0,11:37,4,0,93,39,3,0,0,0,0,89,93,6,5,46,41,39,40,12,4,51,45
57,1, ,11:19,3,6,0,0,0,0,0,0,0,89,93,6,5,46,41,39,40,12,4,51,45
58,1,0,11:19,4,1,19,39,2,0,0,0,0,19,22,9,2,65,41,39,40,12,4,51,45
59,1,0,10:59,9,1,45,0,2,0,0,0,0,19,22,9,2,65,41,42,81,21,8,44,45
60,1,0,10:48,13,0,2,81,2,0,0,0,0,19,22,9,2,65,41,42,81,21,8,44,45
61,1,0,10:07,5,0,16,19,2,0,0,0,0,7,6,16,3,62,41,43,19,41,3,36,45
62,1,0,9:34,7,0,14,0,3,49,3,0,0,14,15,25,2,65,41,43,19,28,4,51,45
63,1,0,9:26,13,0,2,28,2,0,0,0,0,14,15,25,2,65,41,43,19,28,4,51,45
