# 2014/02/06 
# EDM , NYR 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,89,57,2,85,30,16,36,67,6,18,33
2,1,0,20:00,4,0,89,16,1,0,0,0,0,14,89,57,2,85,30,16,36,67,6,18,33
3,1,0,19:27,5,1,20,14,2,0,0,0,0,14,89,57,15,19,30,16,20,36,6,18,33
4,1,0,19:15,8,1,61,0,1,0,0,0,0,93,64,4,15,19,30,20,21,61,6,18,33
5,1,0,19:12,13,1,21,15,2,0,0,0,0,93,64,4,15,19,30,20,21,61,5,27,33
6,1, ,19:12,3,4,0,0,0,0,0,0,0,93,64,4,15,19,30,20,21,61,5,27,33
7,1,0,19:12,4,1,27,21,3,0,0,0,0,23,27,83,15,19,30,20,21,61,5,27,33
8,1,0,19:08,1,1,20,0,3,9,5,0,0,23,27,83,15,19,30,20,21,61,5,27,33
9,1, ,19:08,3,1,0,0,0,0,0,0,0,23,27,83,15,19,30,20,21,61,5,27,33
10,1,0,19:08,4,0,27,21,2,0,0,0,0,23,27,83,15,19,30,20,21,61,5,27,33
11,1,0,18:58,7,1,21,0,3,41,2,0,0,23,27,83,15,19,30,20,21,61,5,27,33
12,1,0,18:48,9,0,83,0,1,0,0,0,0,23,27,83,15,19,30,20,21,61,5,27,33
13,1,0,18:46,1,1,21,0,3,55,1,0,0,23,27,83,15,19,30,20,21,61,5,27,33
14,1,0,18:27,13,1,61,15,2,0,0,0,0,23,27,83,15,19,30,20,21,61,5,27,33
15,1,0,18:03,9,1,19,0,2,0,0,0,0,93,64,4,5,21,30,19,24,62,6,18,33
16,1,0,17:52,9,1,18,0,2,0,0,0,0,93,64,4,5,21,30,19,24,62,6,18,33
17,1,0,17:48,9,0,64,0,3,0,0,0,0,93,64,4,5,21,30,19,24,62,6,18,33
18,1,0,17:24,7,1,28,0,3,64,2,0,0,20,28,94,2,85,30,22,28,13,8,17,33
19,1,0,17:07,9,1,8,0,2,0,0,0,0,28,57,94,2,85,30,22,28,13,8,17,33
20,1,0,17:06,1,0,57,0,3,12,2,0,0,28,57,94,2,85,30,22,28,13,8,17,33
21,1,0,17:04,2,0,94,0,3,11,5,57,0,28,57,94,2,85,30,22,28,13,8,17,33
22,1,0,17:04,4,1,89,16,1,0,0,0,0,14,89,57,2,85,30,16,36,67,8,17,33
23,1,0,16:48,9,0,57,0,2,0,0,0,0,14,89,57,15,19,30,16,36,67,5,27,33
24,1,0,16:42,1,1,67,0,3,8,1,0,0,14,89,57,15,19,30,16,36,67,5,27,33
25,1, ,16:42,3,1,0,0,0,0,0,0,0,14,89,57,15,19,30,16,36,67,5,27,33
26,1,0,16:42,4,0,27,19,2,0,0,0,0,23,27,83,5,21,30,19,24,62,8,17,33
27,1,0,16:19,5,1,24,5,3,0,0,0,0,23,27,83,5,21,30,19,24,62,8,17,33
28,1,0,15:58,1,0,27,0,3,10,5,0,0,23,27,83,21,85,30,19,24,62,8,17,33
29,1, ,15:58,3,1,0,0,0,0,0,0,0,23,27,83,2,85,30,19,24,62,8,17,33
30,1,0,15:58,4,1,93,21,2,0,0,0,0,93,64,4,2,85,30,20,21,61,6,18,33
31,1,0,15:43,1,1,20,0,3,13,5,0,0,93,64,4,2,85,30,20,21,61,6,18,33
32,1,0,15:15,5,1,13,2,3,0,0,0,0,93,64,4,2,85,30,22,28,13,5,27,33
33,1,0,14:39,1,1,22,0,3,44,3,0,0,20,28,94,15,19,30,22,28,13,5,27,33
34,1, ,14:38,3,1,0,0,0,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
35,1,0,14:38,4,0,89,16,2,0,0,0,0,14,89,57,15,19,30,16,36,67,6,18,33
36,1,0,14:21,9,1,6,0,2,0,0,0,0,14,89,57,15,19,30,16,36,67,6,18,33
37,1,0,14:02,8,0,89,0,3,0,0,0,0,14,89,57,15,19,30,16,36,67,6,18,33
38,1,0,13:55,8,1,67,0,2,0,0,0,0,14,89,4,15,19,30,16,36,67,6,18,33
39,1,0,13:37,1,0,4,0,3,20,1,0,0,93,64,4,5,19,30,19,24,62,5,27,33
40,1, ,13:37,3,0,0,0,0,0,0,0,0,93,64,4,5,19,30,19,24,62,5,27,33
41,1,0,13:37,4,1,93,21,2,0,0,0,0,93,64,4,15,19,30,20,21,61,5,27,33
42,1,0,12:56,8,1,5,0,2,0,0,0,0,93,64,4,5,19,30,20,21,61,5,27,33
43,1,0,12:51,1,1,61,0,1,85,1,0,0,14,89,4,5,19,30,20,21,61,8,17,33
44,1,0,12:39,5,1,24,89,1,0,0,0,0,14,89,57,5,19,30,19,24,62,8,17,33
45,1,0,12:34,1,0,57,0,3,41,1,0,0,14,89,57,5,21,30,19,24,62,8,17,33
46,1, ,12:33,3,1,0,0,0,0,0,0,0,14,89,57,5,21,30,19,24,62,8,17,33
47,1,0,12:33,4,1,89,19,2,0,0,0,0,14,89,57,5,21,30,19,24,62,6,18,33
48,1,0,12:28,9,1,24,0,1,0,0,0,0,14,89,57,5,21,30,19,24,62,6,18,33
49,1, ,12:11,3,8,0,0,0,0,0,0,0,14,89,57,5,21,30,19,24,62,6,18,33
50,1,0,12:11,4,1,27,16,3,0,0,0,0,23,27,83,2,85,30,16,36,67,8,17,33
51,1,0,11:48,5,1,16,23,1,0,0,0,0,23,27,83,2,85,30,16,36,67,8,17,33
52,1,0,11:15,9,1,28,0,1,0,0,0,0,23,28,94,15,19,30,22,28,13,5,27,33
53,1, ,11:13,3,2,0,0,0,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
54,1,0,11:13,4,0,94,28,1,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
55,1,0,11:03,5,0,20,5,3,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
56,1,0,10:45,13,0,28,27,2,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
57,1,0,10:39,5,1,22,19,2,0,0,0,0,20,28,94,15,19,30,22,28,13,5,27,33
58,1,0,10:22,9,1,13,0,3,0,0,0,0,20,28,94,15,19,30,20,28,13,6,18,33
59,1,0,10:17,5,1,20,20,3,0,0,0,0,20,28,94,15,19,30,20,28,13,6,18,33
60,1, ,9:47,3,0,0,0,0,0,0,0,0,93,64,4,19,85,30,20,21,61,6,18,33
61,1,0,9:47,4,1,93,21,1,0,0,0,0,93,64,4,19,21,30,20,21,61,5,27,33
62,1,0,9:25,8,0,93,0,2,0,0,0,0,93,64,4,19,21,30,20,21,61,5,27,33
63,1,0,8:55,7,1,24,0,3,14,1,0,0,14,89,57,19,21,30,19,24,62,6,18,33
64,1,0,8:42,5,0,21,19,2,0,0,0,0,14,89,57,19,21,30,19,24,62,6,18,33
65,1,0,8:31,13,1,24,19,2,0,0,0,0,14,89,57,19,21,30,19,24,62,6,18,33
66,1,0,8:17,5,0,89,62,2,0,0,0,0,14,89,57,19,21,30,19,24,62,6,18,33
67,1,0,8:08,5,1,24,19,3,0,0,0,0,14,89,57,19,21,30,19,24,62,6,18,33
68,1, ,8:03,3,11,0,0,0,0,0,0,0,14,89,57,19,21,30,19,24,62,6,18,33
69,1,0,8:03,4,0,27,16,2,0,0,0,0,23,27,83,2,85,30,16,36,67,8,17,33
70,1,0,7:52,7,1,16,0,3,50,2,0,0,23,27,83,2,85,30,16,36,67,8,17,33
71,1,0,7:39,1,0,83,0,3,40,1,0,0,23,27,83,2,85,30,16,36,67,8,17,33
72,1,0,7:12,1,1,20,0,3,13,3,0,0,23,28,94,2,5,30,20,21,61,5,17,33
73,1,0,6:54,7,1,27,0,3,21,1,0,0,20,28,94,5,15,30,20,21,61,5,27,33
74,1,0,6:53,5,0,5,27,2,0,0,0,0,20,28,94,5,15,30,20,21,61,5,27,33
75,1, ,6:35,3,2,0,0,0,0,0,0,0,20,28,94,5,15,30,20,21,61,5,27,33
