# 2014/02/27 
# MTL , PIT 
# 6 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,27,21,26,76,30,49,87,14,2,3,29
2,1,0,19:57,4,1,14,87,1,0,0,0,0,14,27,21,26,76,30,49,87,14,2,3,29
3,1,0,19:04,13,1,18,79,2,0,0,0,0,81,17,22,74,79,30,71,18,36,4,41,29
4,1,0,18:58,1,1,41,0,3,59,2,0,0,81,17,22,74,79,30,71,18,36,4,41,29
5,1,0,18:52,5,1,41,22,3,0,0,0,0,81,17,22,74,79,30,71,18,36,4,41,29
6,1,0,18:22,7,0,67,0,3,41,1,0,0,51,11,67,6,24,30,16,12,15,4,41,29
7,1,0,18:20,5,1,41,11,2,0,0,0,0,51,11,67,6,24,30,16,12,15,4,41,29
8,1,0,18:10,5,1,12,67,3,0,0,0,0,51,11,67,6,24,30,87,12,15,5,44,29
9,1,0,18:06,1,0,67,0,3,44,1,0,0,51,11,67,6,24,30,87,12,15,5,44,29
10,1,0,18:02,5,0,67,5,3,0,0,0,0,51,15,67,26,76,30,87,12,15,5,44,29
11,1,0,17:45,13,0,32,49,2,0,0,0,0,48,15,32,26,76,30,49,87,15,5,44,29
12,1,0,17:29,8,0,48,0,1,0,0,0,0,48,21,32,26,74,30,49,87,14,2,5,29
13,1,0,17:27,5,0,32,5,3,0,0,0,0,48,21,32,26,74,30,49,87,14,2,5,29
14,1,0,17:26,7,0,26,0,3,60,1,0,0,48,21,32,26,74,30,49,87,14,2,5,29
15,1,0,17:13,5,1,14,27,1,0,0,0,0,14,27,21,26,74,30,49,87,14,2,5,29
16,1,0,16:56,1,1,46,0,3,39,1,0,0,14,27,21,26,76,30,46,27,17,2,3,29
17,1,0,16:44,5,0,21,3,3,0,0,0,0,14,27,21,6,24,30,46,27,17,2,3,29
18,1,0,16:16,5,1,41,17,2,0,0,0,0,81,17,22,6,24,30,71,27,17,4,41,29
19,1,0,15:30,13,0,11,44,2,0,0,0,0,51,11,67,74,79,30,16,12,15,5,44,29
20,1,0,15:26,5,1,5,67,2,0,0,0,0,51,11,67,74,79,30,16,12,15,5,44,29
21,1,0,15:15,5,1,5,51,2,0,0,0,0,51,11,67,74,79,30,16,12,15,5,44,29
22,1,0,15:06,1,0,11,0,3,26,1,0,0,51,11,67,74,79,30,16,12,15,5,44,29
23,1,0,15:03,2,0,11,0,3,15,1,51,67,51,11,67,74,79,30,16,12,15,5,44,29
24,1,0,15:03,4,0,14,87,1,0,0,0,0,14,21,32,26,76,30,49,87,14,2,3,29
25,1,0,14:43,1,0,21,0,3,45,1,0,0,14,21,32,26,76,30,49,87,14,2,3,29
26,1, ,14:42,3,1,0,0,0,0,0,0,0,14,21,32,26,76,30,49,87,14,2,3,29
27,1,0,14:42,4,1,14,71,2,0,0,0,0,14,27,21,26,76,30,71,18,36,2,3,29
28,1,0,14:16,8,1,71,0,3,0,0,0,0,14,27,21,26,76,30,71,18,36,2,3,29
29,1,0,14:13,1,1,2,0,3,47,3,0,0,14,27,21,26,76,30,71,18,36,2,3,29
30,1,0,14:08,7,1,2,0,3,56,2,0,0,14,27,21,26,76,30,71,18,36,2,3,29
31,1,0,13:32,13,1,14,74,2,0,0,0,0,81,17,22,74,79,30,49,87,14,4,41,29
32,1,0,13:14,13,1,41,74,2,0,0,0,0,81,17,22,74,79,30,49,87,14,4,41,29
33,1,0,13:03,1,0,17,0,3,8,1,0,0,81,17,22,6,24,30,49,87,14,4,41,29
34,1, ,13:02,3,0,0,0,0,0,0,0,0,81,17,22,6,24,30,49,87,14,4,41,29
35,1,0,13:02,4,1,48,46,2,0,0,0,0,48,15,32,6,24,30,46,27,17,5,44,29
36,1, ,12:47,3,2,0,0,0,0,0,0,0,48,15,32,6,24,30,46,27,17,5,44,29
37,1,0,12:47,4,0,51,46,1,0,0,0,0,51,11,67,74,79,30,46,27,17,5,44,29
38,1,0,12:34,5,1,46,51,2,0,0,0,0,51,11,67,74,79,30,46,27,17,5,44,29
39,1, ,12:12,3,2,0,0,0,0,0,0,0,51,11,67,74,79,30,46,27,17,5,44,29
40,1,0,12:12,4,1,14,71,1,0,0,0,0,14,27,21,26,76,30,71,18,36,2,3,29
41,1,0,12:03,1,1,71,0,3,25,3,0,0,14,27,21,26,76,30,71,18,36,2,3,29
42,1,0,11:53,7,0,14,0,3,14,6,0,0,14,27,21,26,76,30,71,18,36,2,3,29
43,1,0,11:37,2,1,18,0,3,19,1,71,3,14,27,21,26,76,30,71,18,36,2,3,29
44,1,0,11:37,4,0,81,87,1,0,0,0,0,81,17,22,74,79,30,49,87,14,4,41,29
45,1,0,11:30,1,0,74,0,1,98,6,0,0,81,17,22,74,79,30,49,87,14,4,41,29
46,1,0,10:39,5,1,15,24,3,0,0,0,0,48,15,32,6,24,30,16,12,15,5,44,29
47,1,0,10:15,5,0,32,12,3,0,0,0,0,48,15,32,26,76,30,16,12,15,5,44,29
