# 2014/03/02 
# FLA , NYI 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,27,24,20,7,43,34,12,27,51,37,47,45
2,1,0,20:00,4,0,27,12,1,0,0,0,0,27,24,20,7,43,34,12,27,51,37,47,45
3,1,0,19:56,4,0,27,12,3,0,0,0,0,27,24,20,7,43,34,12,27,51,37,47,45
4,1, ,19:51,3,1,0,0,0,0,0,0,0,27,24,20,7,43,34,12,27,51,37,47,45
5,1,0,19:38,1,0,27,0,2,157,1,0,0,27,24,20,7,43,34,12,27,51,37,47,45
6,1,0,19:31,5,0,20,51,3,0,0,0,0,27,24,20,7,43,34,12,27,51,37,47,45
7,1,0,19:12,1,0,7,0,3,64,3,0,0,27,19,14,7,43,34,29,40,26,11,14,45
8,1,0,19:01,9,0,14,0,3,0,0,0,0,15,19,14,4,44,34,29,15,26,11,14,45
9,1,0,18:31,8,1,15,0,2,0,0,0,0,15,17,14,44,77,34,29,15,26,11,14,45
10,1,0,18:18,7,1,18,0,3,41,3,0,0,11,17,57,51,77,34,18,21,40,11,14,45
11,1,0,17:35,5,0,21,36,1,0,0,0,0,18,12,21,7,43,34,53,13,36,37,47,45
12,1,0,17:35,6,1,36,21,2,0,0,0,0,18,12,21,7,43,34,53,13,36,37,47,45
13,1,-1,17:35,4,1,18,53,3,0,0,0,0,18,12,21,7,43,34,53,13,37,47,45,0
14,1,1,17:35,6,0,21,36,3,0,0,0,0,18,12,21,7,43,34,53,13,37,47,45,0
15,1, ,17:27,3,6,0,0,0,0,0,0,0,11,18,12,7,43,34,53,13,7,37,47,45
16,1,0,17:27,4,0,11,53,3,0,0,0,0,11,18,12,7,43,34,53,13,7,37,47,45
17,1,0,17:27,6,0,11,37,0,0,0,0,0,11,18,12,7,43,34,53,13,7,37,47,45
18,1,0,17:27,6,0,11,37,2,0,0,0,0,18,12,7,43,34,0,53,13,7,37,47,45
19,1,0,17:27,6,0,18,7,0,0,0,0,0,18,12,7,43,34,0,53,13,7,47,45,0
20,1,0,17:27,6,1,37,11,3,0,0,0,0,27,24,20,7,43,34,53,13,7,47,45,0
21,1,0,17:27,1,1,27,0,3,33,3,0,0,27,24,20,7,43,34,12,27,51,44,47,45
22,1,0,17:27,6,1,37,7,3,0,0,0,0,27,24,20,7,43,34,12,27,51,44,47,45
23,1,0,17:27,6,1,7,18,0,0,0,0,0,27,24,20,7,43,34,12,27,51,44,47,45
