# 2014/03/05 
# OTT , CGY 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,83,9,3,65,41,8,11,13,5,7,37
2,1,0,20:00,4,1,19,11,1,0,0,0,0,19,83,9,3,65,41,8,11,13,5,7,37
3,1,0,19:40,8,0,83,0,3,0,0,0,0,19,83,9,3,65,41,8,11,13,5,7,37
4,1,0,19:18,9,1,13,0,3,0,0,0,0,19,68,83,3,65,41,8,11,13,4,44,37
5,1, ,18:55,3,6,0,0,0,0,0,0,0,68,93,6,4,65,41,23,24,17,4,44,37
6,1,0,18:55,4,1,93,23,3,0,0,0,0,68,93,6,4,65,41,23,24,17,3,6,37
7,1,0,18:42,1,1,23,0,3,51,3,0,0,68,93,6,4,5,41,23,24,17,3,6,37
8,1, ,18:38,3,1,0,0,0,0,0,0,0,68,93,6,4,5,41,23,24,17,3,6,37
9,1,0,18:38,4,0,15,10,2,0,0,0,0,14,15,25,4,5,41,10,16,58,3,6,37
10,1,0,18:31,5,1,16,4,3,0,0,0,0,14,15,25,4,5,41,10,16,58,3,6,37
11,1,0,18:01,8,1,59,0,3,0,0,0,0,14,15,25,4,5,41,59,60,16,4,44,37
12,1,0,17:57,13,1,59,4,2,0,0,0,0,14,15,25,4,5,41,59,60,16,4,44,37
13,1,0,17:56,2,1,60,0,3,20,3,59,0,14,15,25,4,5,41,59,60,16,4,44,37
14,1,0,17:56,4,0,7,60,1,0,0,0,0,7,22,16,46,62,41,32,59,60,4,44,37
15,1,0,17:42,7,0,16,0,3,20,2,0,0,7,22,16,46,62,41,32,59,60,4,44,37
16,1,0,16:54,8,1,17,0,1,0,0,0,0,19,83,9,3,65,41,8,11,17,4,44,37
17,1,0,16:52,7,1,11,0,3,48,3,0,0,19,83,9,3,65,41,8,11,17,4,44,37
18,1,0,16:49,1,1,17,0,3,18,3,0,0,19,83,9,3,65,41,8,11,17,4,44,37
19,1, ,16:48,3,1,0,0,0,0,0,0,0,68,93,6,4,5,41,8,11,17,4,44,37
20,1,0,16:48,4,0,93,23,2,0,0,0,0,68,93,6,4,5,41,23,24,17,5,7,37
21,1, ,16:41,3,6,0,0,0,0,0,0,0,68,93,6,4,5,41,23,24,17,5,7,37
