# 2014/03/06 
# STL , NSH 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
2,1,0,20:00,4,0,42,12,1,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
3,1, ,19:54,3,10,0,0,0,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
4,1,0,19:54,4,0,42,12,1,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
5,1,0,19:35,8,1,27,0,2,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
6,1,0,19:25,8,0,74,0,1,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
7,1,0,19:10,8,1,5,0,ZOTTO Def. Zone,0,0,0,0,9,21,91,5,22,39,15,33,57,4,5,35
8,1,0,18:55,5,0,91,4,3,0,0,0,0,9,21,91,5,22,39,15,33,57,4,5,35
9,1,0,18:23,1,0,12,0,3,10,6,0,0,12,29,10,28,46,39,28,17,16,3,42,35
10,1,0,18:08,5,1,17,28,3,0,0,0,0,12,29,10,28,46,39,28,17,16,3,42,35
11,1,0,17:52,1,1,24,0,3,42,3,0,0,40,75,56,28,46,39,7,24,25,4,5,35
12,1,0,17:44,9,0,40,0,1,0,0,0,0,40,75,56,28,46,39,7,24,25,4,5,35
13,1, ,17:43,3,2,0,0,0,0,0,0,0,40,75,56,28,46,39,7,24,25,4,5,35
14,1,0,17:43,4,0,40,7,1,0,0,0,0,40,75,56,19,27,39,7,24,25,4,5,35
15,1,0,17:32,5,1,24,19,3,0,0,0,0,40,75,56,19,27,39,7,24,25,4,5,35
16,1,0,17:03,5,0,74,27,1,0,0,0,0,74,42,20,19,27,39,12,13,27,6,59,35
17,1, ,16:43,3,2,0,0,0,0,0,0,0,74,42,20,5,22,39,12,13,27,6,59,35
18,1,0,16:43,4,1,21,33,1,0,0,0,0,9,21,91,5,22,39,15,33,57,4,5,35
19,1,0,16:38,1,1,5,0,1,80,0,0,0,9,21,91,5,22,39,15,33,57,4,5,35
20,1,0,16:02,1,0,21,0,3,30,5,0,0,9,21,91,5,22,39,15,33,57,4,5,35
21,1, ,16:00,3,1,0,0,0,0,0,0,0,9,21,91,5,22,39,15,33,57,4,5,35
22,1,0,16:00,4,0,29,28,3,0,0,0,0,12,29,10,28,46,39,28,17,16,3,42,35
23,1,0,15:57,2,0,28,0,3,43,1,29,0,12,29,10,28,46,39,28,17,16,3,42,35
24,1,0,15:57,4,0,29,28,1,0,0,0,0,12,29,10,28,46,39,28,17,16,3,42,35
