# 2014/03/14 
# ANA , COL 
# 6 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,11,34,47,55,1,7,29,92,5,61,1
2,1,0,20:00,4,1,11,7,1,0,0,0,0,7,11,34,47,55,1,7,29,92,5,61,1
3,1,0,19:26,7,0,47,0,3,63,1,0,0,7,11,34,47,55,1,7,29,92,5,61,1
4,1,0,19:05,5,0,55,29,2,0,0,0,0,15,34,8,47,55,1,7,29,92,6,8,1
5,1, ,19:01,3,3,0,0,0,0,0,0,0,15,34,8,4,6,1,9,90,11,6,8,1
6,1,0,19:01,4,1,15,9,1,0,0,0,0,15,8,10,4,6,1,9,90,11,6,8,1
7,1,0,18:51,1,1,6,0,1,81,1,0,0,15,8,10,4,6,1,9,90,11,6,8,1
8,1, ,18:51,3,1,0,0,0,0,0,0,0,15,8,10,4,6,1,9,90,11,6,8,1
9,1,0,18:51,4,0,15,9,2,0,0,0,0,15,8,10,4,6,1,9,90,11,6,8,1
10,1,0,18:45,5,1,11,4,3,0,0,0,0,15,8,10,4,6,1,9,90,11,6,8,1
11,1,0,18:31,8,1,6,0,1,0,0,0,0,15,8,10,4,6,1,9,90,11,6,8,1
12,1,0,18:08,1,1,25,0,3,43,1,0,0,22,33,39,5,23,1,25,24,55,2,4,1
13,1,0,18:04,5,0,23,25,2,0,0,0,0,22,33,39,5,23,1,25,24,55,2,4,1
14,1,0,18:00,5,0,5,4,2,0,0,0,0,22,33,39,5,23,1,25,24,55,2,4,1
15,1,0,17:38,1,0,33,0,3,36,1,0,0,22,33,39,47,55,1,25,24,55,2,4,1
16,1, ,17:38,3,1,0,0,0,0,0,0,0,22,33,39,47,55,1,25,24,55,2,4,1
17,1,0,17:38,4,1,13,42,2,0,0,0,0,13,21,62,47,55,1,28,42,58,5,61,1
18,1,0,17:24,5,1,42,55,3,0,0,0,0,13,21,62,47,55,1,28,42,58,5,61,1
19,1,0,17:14,1,0,13,0,3,29,1,0,0,13,21,62,47,55,1,28,42,58,5,61,1
20,1,0,17:07,1,0,21,0,3,8,4,0,0,13,21,62,47,55,1,28,42,58,5,61,1
21,1,0,16:34,8,1,6,0,1,0,0,0,0,15,8,10,23,55,1,7,29,92,6,8,1
22,1,0,16:32,7,1,29,0,3,33,1,0,0,15,8,10,23,55,1,7,29,92,6,8,1
23,1,0,14:50,5,1,5,22,1,0,0,0,0,22,33,39,47,55,1,25,24,55,5,61,1
24,1,0,14:45,5,1,61,33,2,0,0,0,0,22,33,39,47,55,1,25,24,55,5,61,1
25,1,0,14:37,13,0,39,24,2,0,0,0,0,22,33,39,47,55,1,25,24,55,5,61,1
26,1,0,13:48,5,0,21,2,3,0,0,0,0,13,21,62,5,23,1,28,42,58,2,4,1
27,1,0,13:40,1,0,5,0,3,56,2,0,0,13,21,62,5,23,1,28,42,58,2,4,1
28,1,0,13:36,1,0,13,0,3,31,1,0,0,13,21,62,5,23,1,28,42,58,2,4,1
29,1,0,13:32,1,0,5,0,3,68,2,0,0,13,21,62,5,23,1,28,42,58,2,4,1
30,1, ,13:32,3,0,0,0,0,0,0,0,0,13,21,62,5,23,1,28,42,58,2,4,1
31,1,0,13:32,4,1,15,7,2,0,0,0,0,15,8,10,5,23,1,7,29,92,6,8,1
32,1,0,13:17,1,0,5,0,3,57,2,0,0,15,8,10,5,23,1,7,29,92,6,8,1
33,1,0,13:05,5,0,10,8,3,0,0,0,0,15,8,10,5,23,1,7,29,92,6,8,1
34,1,0,12:37,9,1,9,0,2,0,0,0,0,7,11,34,4,6,1,9,90,11,5,61,1
35,1,0,12:21,1,0,34,0,3,40,6,0,0,7,11,34,4,6,1,9,90,11,5,61,1
36,1, ,12:21,3,1,0,0,0,0,0,0,0,7,11,34,4,6,1,9,90,11,5,61,1
37,1,0,12:21,4,1,39,42,2,0,0,0,0,22,33,39,47,55,1,28,42,58,2,4,1
38,1,0,12:12,5,1,42,55,1,0,0,0,0,22,33,39,47,55,1,28,42,58,2,4,1
39,1,0,12:06,5,1,58,55,3,0,0,0,0,22,33,39,47,55,1,28,42,58,2,4,1
40,1,0,11:49,1,0,22,0,3,21,1,0,0,22,33,39,4,6,1,28,42,58,2,4,1
41,1,0,11:49,6,1,42,22,2,0,0,0,0,22,33,39,4,6,1,28,42,58,2,4,1
42,1,1,11:49,4,0,13,24,3,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
43,1,1,11:41,7,0,13,0,3,45,2,0,0,13,15,8,10,4,1,25,24,5,8,1,0
44,1, ,11:40,3,4,0,0,0,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
45,1,1,11:40,4,0,13,24,3,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
46,1,-1,11:22,13,0,13,24,2,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
47,1,-1,11:14,13,0,13,5,2,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
48,1,1,10:51,7,0,4,0,3,55,2,0,0,13,15,8,10,4,1,25,24,5,8,1,0
49,1,-1,10:48,13,0,8,5,2,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
50,1, ,10:48,3,4,0,0,0,0,0,0,0,13,15,8,10,4,1,25,24,5,8,1,0
51,1,1,10:48,4,0,22,7,3,0,0,0,0,21,22,62,23,47,1,7,55,2,6,1,0
52,1,1,10:39,1,0,47,0,3,53,1,0,0,21,22,62,23,47,1,7,55,2,6,1,0
53,1, ,10:39,3,1,0,0,0,0,0,0,0,21,22,62,23,47,1,7,55,2,6,1,0
54,1,-1,10:39,4,1,22,7,2,0,0,0,0,21,22,62,23,47,1,7,55,2,6,1,0
55,1, ,10:08,3,10,0,0,0,0,0,0,0,21,22,62,23,47,1,7,55,2,6,1,0
56,1,1,10:08,4,0,13,9,1,0,0,0,0,13,15,8,10,4,1,9,90,5,61,1,0
57,1,0,9:45,1,0,8,0,3,9,1,0,0,13,15,8,10,4,1,9,42,90,5,61,1
58,1,0,9:43,1,0,10,0,3,10,1,0,0,13,15,8,10,4,1,9,42,90,5,61,1
59,1,0,9:30,8,1,4,0,1,0,0,0,0,7,15,10,4,6,1,9,90,11,4,61,1
60,1,0,9:08,7,1,11,0,3,44,1,0,0,7,11,34,6,23,1,9,29,11,2,4,1
61,1,0,8:42,1,0,5,0,3,60,2,0,0,7,11,34,5,23,1,9,29,11,2,4,1
62,1, ,8:42,3,0,0,0,0,0,0,0,0,7,11,34,5,23,1,9,29,11,2,4,1
63,1,0,8:42,4,1,22,42,2,0,0,0,0,22,33,39,5,23,1,42,90,58,6,8,1
64,1,0,8:31,5,1,42,5,1,0,0,0,0,22,33,39,5,23,1,42,90,58,6,8,1
65,1,0,8:20,13,1,90,23,2,0,0,0,0,22,33,39,5,23,1,42,90,58,6,8,1
66,1,0,8:14,13,0,33,8,2,0,0,0,0,22,33,39,23,47,1,42,90,58,6,8,1
67,1,0,7:59,1,1,7,0,3,15,1,0,0,13,21,39,23,47,1,7,29,58,6,8,1
68,1,0,7:35,2,1,7,0,3,39,1,92,5,13,21,62,47,55,1,7,29,92,5,61,1
69,1,0,7:35,4,1,15,7,1,0,0,0,0,15,8,10,4,6,1,7,29,92,6,8,1
70,1,0,7:06,5,0,6,92,2,0,0,0,0,15,8,10,4,6,1,7,29,92,6,8,1
71,1,0,7:00,13,0,4,6,2,0,0,0,0,15,8,10,4,23,1,7,29,92,6,8,1
72,1, ,7:00,3,4,0,0,0,0,0,0,0,15,8,10,4,23,1,7,29,92,6,8,1
73,1,0,7:00,4,1,11,24,2,0,0,0,0,7,11,34,5,23,1,25,24,55,2,4,1
74,1,0,6:56,5,0,34,4,3,0,0,0,0,7,11,34,5,23,1,25,24,55,2,4,1
75,1,0,6:47,8,0,5,0,2,0,0,0,0,7,11,34,5,23,1,25,24,55,2,4,1
76,1, ,6:30,3,6,0,0,0,0,0,0,0,7,11,34,5,23,1,25,24,55,2,4,1
77,1,0,6:30,4,0,11,9,2,0,0,0,0,7,11,34,5,23,1,9,90,11,5,61,1
78,1,0,6:23,8,1,90,0,3,0,0,0,0,7,11,34,5,23,1,9,90,11,5,61,1
79,1,0,6:15,1,1,61,0,3,23,1,0,0,7,11,34,5,23,1,9,90,11,5,61,1
80,1,0,5:57,13,0,6,11,2,0,0,0,0,7,15,10,4,6,1,9,90,11,5,61,1
81,1,0,4:48,1,1,2,0,3,58,2,0,0,22,33,39,47,55,1,7,9,29,92,2,4
82,1,0,4:48,6,0,47,29,2,0,0,0,0,22,33,39,47,55,1,7,9,29,92,2,4
83,1, ,4:48,3,9,0,0,0,0,0,0,0,15,34,4,23,1,0,9,90,11,2,6,1
84,1,-1,4:48,4,0,15,90,2,0,0,0,0,15,34,4,23,1,0,9,90,11,2,6,1
85,1,1,4:36,1,1,9,0,3,25,1,0,0,15,34,4,23,1,0,9,90,11,2,6,1
86,1, ,4:36,3,1,0,0,0,0,0,0,0,15,34,4,23,1,0,9,90,11,2,6,1
87,1,-1,4:36,4,0,15,90,2,0,0,0,0,15,34,4,23,1,0,9,90,11,2,6,1
88,1,-1,4:20,8,0,15,0,3,0,0,0,0,15,34,23,55,1,0,9,90,11,2,6,1
