# 2014/03/16 
# DAL , WPG 
# 2 , 7 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
2,1,0,20:00,4,0,20,12,1,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
3,1,0,19:41,9,1,8,0,2,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
4,1,0,19:36,5,1,33,6,2,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
5,1,0,19:33,5,0,20,5,3,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
6,1,0,19:21,7,0,43,0,3,27,3,0,0,91,43,14,6,33,30,12,26,5,8,33,35
7,1,0,19:11,13,0,91,39,2,0,0,0,0,91,43,14,4,24,30,18,26,33,39,44,35
8,1, ,19:09,3,4,0,0,0,0,0,0,0,91,43,14,4,24,30,18,26,33,39,44,35
9,1,0,19:09,4,0,91,18,3,0,0,0,0,91,43,14,4,24,30,18,67,16,39,44,35
10,1,0,19:03,7,0,4,0,3,60,2,0,0,91,43,14,4,24,30,18,67,16,39,44,35
11,1,0,18:35,9,0,30,0,2,0,0,0,0,16,21,38,4,24,30,58,67,9,2,7,35
12,1,0,18:30,5,0,4,58,2,0,0,0,0,16,21,38,4,24,30,58,67,9,2,7,35
13,1,0,18:23,13,1,2,38,2,0,0,0,0,16,21,38,4,24,30,58,40,9,2,7,35
14,1,0,17:42,9,1,35,0,2,0,0,0,0,18,12,13,23,55,30,28,14,15,2,39,35
15,1, ,17:28,3,8,0,0,0,0,0,0,0,18,12,13,23,55,30,28,14,15,2,39,35
16,1,0,17:28,4,0,20,12,3,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
17,1,0,17:21,1,0,33,0,3,27,1,0,0,20,22,72,6,33,30,12,26,5,8,33,35
18,1, ,17:18,3,1,0,0,0,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
19,1,0,17:18,4,1,20,12,2,0,0,0,0,20,22,72,6,33,30,12,26,5,8,33,35
