# 2014/03/19 
# NSH , VAN 
# 0 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,33,24,6,59,30,33,14,46,3,23,31
2,1,0,19:57,4,0,33,33,1,0,0,0,0,15,33,24,6,59,30,33,14,46,3,23,31
3,1,0,19:27,5,1,14,59,3,0,0,0,0,15,33,24,6,59,30,33,14,46,2,5,31
4,1,0,19:19,9,0,6,0,2,0,0,0,0,15,33,24,6,59,30,33,14,46,2,5,31
5,1,0,18:20,9,0,4,0,2,0,0,0,0,12,13,25,4,42,30,27,36,20,2,6,31
6,1,0,18:14,9,1,36,0,3,0,0,0,0,12,13,25,4,42,30,27,36,20,2,6,31
7,1,0,18:05,5,0,13,20,3,0,0,0,0,12,13,25,4,42,30,27,36,20,2,6,31
8,1, ,18:04,3,6,0,0,0,0,0,0,0,12,13,25,4,42,30,27,36,20,2,6,31
9,1,0,18:04,4,1,7,27,2,0,0,0,0,7,27,57,3,64,30,27,36,20,2,6,31
10,1,0,17:46,5,1,3,57,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,3,31
11,1,0,17:31,5,1,9,27,3,0,0,0,0,7,27,57,3,64,30,9,15,7,3,23,31
12,1,0,17:30,7,1,7,0,3,44,2,0,0,7,27,57,3,64,30,9,15,7,3,23,31
13,1,0,17:13,7,0,27,0,3,32,6,0,0,28,84,27,4,6,30,45,9,7,3,23,31
14,1,0,17:12,5,1,9,28,2,0,0,0,0,28,84,27,4,6,30,45,9,7,3,23,31
15,1, ,16:53,3,10,0,0,0,0,0,0,0,28,84,17,4,6,30,21,45,29,6,18,31
16,1,0,16:53,4,1,84,45,1,0,0,0,0,28,84,17,6,59,30,21,45,29,6,18,31
17,1,0,16:23,5,0,28,6,3,0,0,0,0,12,28,17,6,59,30,21,45,46,6,18,31
18,1,0,16:04,1,0,25,0,3,29,1,0,0,12,13,25,6,59,30,33,14,46,2,5,31
19,1,0,15:59,1,0,12,0,3,31,0,0,0,12,13,25,6,59,30,33,14,46,2,5,31
20,1,0,15:40,7,0,4,0,3,65,2,0,0,12,13,25,4,42,30,27,36,20,2,5,31
21,1,0,15:35,9,1,5,0,2,0,0,0,0,12,13,25,4,42,30,27,36,20,2,5,31
22,1,0,15:22,13,0,24,2,2,0,0,0,0,15,33,24,4,42,30,27,36,20,2,5,31
23,1, ,15:20,3,1,0,0,0,0,0,0,0,15,33,24,4,42,30,27,36,20,2,5,31
24,1,0,15:20,4,1,33,15,2,0,0,0,0,15,33,24,4,42,30,9,15,7,3,23,31
25,1,0,15:09,13,1,15,42,2,0,0,0,0,15,33,24,4,42,30,9,15,7,3,23,31
26,1, ,15:09,3,3,0,0,0,0,0,0,0,28,84,17,3,64,30,9,15,7,3,23,31
27,1,0,15:09,4,0,84,33,2,0,0,0,0,28,84,17,3,64,30,33,14,46,6,18,31
28,1,0,14:53,5,1,6,28,2,0,0,0,0,28,84,17,6,59,30,33,14,46,6,18,31
29,1,0,14:46,7,0,6,0,3,43,1,0,0,28,84,17,6,59,30,33,14,46,6,18,31
30,1,0,14:07,5,1,7,27,3,0,0,0,0,28,84,27,6,59,30,9,15,7,2,5,31
31,1, ,14:07,3,6,0,0,0,0,0,0,0,7,28,84,6,59,30,9,15,7,2,5,31
32,1,0,14:07,4,0,28,15,2,0,0,0,0,7,28,84,6,59,30,9,15,7,2,5,31
33,1,0,14:01,5,1,9,59,3,0,0,0,0,7,28,84,6,59,30,9,15,7,2,5,31
34,1,0,13:51,13,0,57,2,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,5,31
35,1,0,13:45,9,1,7,0,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,5,31
36,1,0,13:24,5,1,15,7,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,5,31
37,1,0,13:22,5,1,2,27,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,5,31
38,1,0,13:11,8,1,9,0,2,0,0,0,0,7,27,57,3,64,30,9,15,7,2,5,31
39,1,0,13:04,8,0,64,0,2,0,0,0,0,7,33,27,3,64,30,9,15,7,3,23,31
40,1,0,12:46,8,0,15,0,2,0,0,0,0,15,33,24,4,42,30,27,36,20,3,23,31
41,1,0,12:30,5,0,24,3,3,0,0,0,0,12,15,24,4,42,30,27,36,20,3,23,31
42,1,0,12:22,5,1,27,24,2,0,0,0,0,12,15,24,4,42,30,27,36,20,3,23,31
43,1,0,12:13,5,0,12,23,3,0,0,0,0,12,13,15,4,42,30,27,36,20,3,23,31
44,1,0,11:58,13,1,6,12,2,0,0,0,0,12,13,15,4,42,30,27,36,20,6,18,31
45,1, ,11:33,3,0,0,0,0,0,0,0,0,12,13,25,3,64,30,21,45,29,6,18,31
46,1,0,11:33,1,1,45,0,3,33,6,0,0,12,13,25,3,64,30,21,45,29,6,18,31
47,1,0,11:33,4,1,12,33,3,0,0,0,0,12,13,28,6,59,30,33,14,46,3,23,31
48,1,0,11:30,13,1,23,13,2,0,0,0,0,12,13,28,6,59,30,33,14,46,3,23,31
49,1,0,11:24,13,1,23,59,2,0,0,0,0,12,13,28,6,59,30,33,14,46,3,23,31
50,1,0,11:11,5,0,12,23,3,0,0,0,0,12,28,57,6,59,30,33,14,46,3,23,31
51,1,0,10:51,1,0,57,0,3,21,1,0,0,12,25,57,4,59,30,33,14,46,2,5,31
52,1, ,10:51,3,1,0,0,0,0,0,0,0,12,25,57,4,59,30,33,14,46,2,5,31
53,1,0,10:51,4,0,33,27,3,0,0,0,0,15,33,24,4,42,30,27,36,20,2,5,31
54,1, ,10:28,3,4,0,0,0,0,0,0,0,15,33,24,4,42,30,27,36,20,2,5,31
55,1,0,10:28,13,1,2,24,2,0,0,0,0,15,33,24,4,42,30,27,36,20,2,5,31
56,1,0,10:28,4,1,28,27,3,0,0,0,0,7,28,27,4,42,30,27,36,20,6,18,31
57,1,0,10:22,7,1,20,0,3,32,1,0,0,7,28,27,4,42,30,27,36,20,6,18,31
58,1,0,10:08,5,0,28,6,2,0,0,0,0,7,28,27,4,42,30,27,36,20,6,18,31
59,1,0,10:01,1,0,27,0,3,36,3,0,0,7,27,57,4,42,30,15,36,20,6,18,31
60,1,0,9:15,13,1,3,28,2,0,0,0,0,28,84,17,3,64,30,9,15,7,3,23,31
61,1,0,8:52,13,1,7,64,2,0,0,0,0,28,84,17,3,64,30,9,15,7,3,23,31
62,1,0,8:44,1,1,9,0,3,11,1,0,0,28,84,17,3,64,30,9,15,7,3,23,31
63,1,0,8:38,7,1,15,0,3,39,1,0,0,28,84,17,3,64,30,9,15,7,3,23,31
64,1,0,8:30,1,1,9,0,3,15,1,0,0,28,84,17,3,64,30,9,15,7,3,23,31
65,1,0,8:19,13,1,7,28,2,0,0,0,0,28,84,17,3,64,30,9,15,7,3,23,31
66,1,0,8:10,5,1,15,3,3,0,0,0,0,28,84,17,3,64,30,9,15,7,3,23,31
67,1,0,8:06,1,1,3,0,3,45,3,0,0,28,84,17,3,64,30,9,15,7,3,23,31
68,1,0,7:53,8,0,28,0,2,0,0,0,0,28,84,17,3,64,30,15,7,46,3,23,31
69,1,0,7:44,5,1,23,28,2,0,0,0,0,12,28,25,6,59,30,33,14,46,3,23,31
70,1,0,7:42,1,0,28,0,3,22,6,0,0,12,28,25,6,59,30,33,14,46,3,23,31
71,1, ,7:42,3,0,0,0,0,0,0,0,0,12,28,25,6,59,30,33,14,46,3,23,31
72,1, ,7:42,3,9,0,0,0,0,0,0,0,12,28,25,6,59,30,33,14,46,3,23,31
73,1,0,7:42,4,0,12,27,1,0,0,0,0,12,13,25,6,59,30,27,36,20,2,5,31
74,1, ,7:28,3,1,0,0,0,0,0,0,0,12,13,25,4,42,30,27,36,20,2,5,31
75,1,0,7:28,1,1,36,0,3,47,1,0,0,12,13,25,4,42,30,27,36,20,2,5,31
76,1,0,7:28,4,0,12,27,2,0,0,0,0,12,13,25,6,59,30,27,36,20,2,5,31
77,1,0,7:22,1,1,20,0,3,25,6,0,0,12,13,25,6,59,30,27,36,20,2,5,31
78,1,0,6:44,5,1,20,42,3,0,0,0,0,12,24,25,4,42,30,33,36,20,2,5,31
79,1,0,5:52,8,0,59,0,2,0,0,0,0,15,33,24,6,59,30,33,14,46,6,18,31
80,1,0,5:42,1,0,24,0,3,34,1,0,0,15,33,24,6,59,30,33,14,46,6,18,31
81,1,0,5:19,1,0,7,0,3,35,1,0,0,7,27,57,3,64,30,9,15,7,3,23,31
