# 2014/03/20 
# FLA , PHX 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,67,10,14,51,77,1,11,10,17,3,53,41
2,1,0,20:00,4,1,67,11,1,0,0,0,0,67,10,14,51,77,1,11,10,17,3,53,41
3,1,0,19:43,5,0,10,53,3,0,0,0,0,67,10,14,51,77,1,11,10,17,3,53,41
4,1,0,19:30,1,1,17,0,3,41,1,0,0,67,10,14,51,77,1,11,10,17,4,23,41
5,1,0,19:26,5,0,10,23,2,0,0,0,0,67,10,14,51,77,1,11,10,17,4,23,41
6,1, ,19:05,3,6,0,0,0,0,0,0,0,27,19,24,7,47,1,11,17,28,4,23,41
7,1,0,19:05,4,0,27,11,3,0,0,0,0,27,19,24,7,47,1,11,17,28,4,23,41
8,1,0,18:44,5,1,4,19,2,0,0,0,0,27,19,24,7,47,1,11,17,28,4,23,41
9,1,0,18:10,13,1,19,55,2,0,0,0,0,42,73,12,4,55,1,14,38,19,20,26,41
10,1,0,18:04,6,0,12,14,2,0,0,0,0,42,73,12,4,55,1,50,19,89,3,23,41
11,1,1,18:04,4,1,67,50,3,0,0,0,0,67,14,7,55,1,0,50,19,89,3,23,41
12,1,-1,17:26,1,0,14,0,3,24,1,0,0,67,14,7,55,1,0,50,19,89,3,23,41
13,1,-1,17:26,13,1,23,7,2,0,0,0,0,67,14,7,55,1,0,50,19,89,3,23,41
14,1,1,17:26,1,1,3,0,3,52,1,0,0,67,14,7,55,1,0,50,19,89,3,23,41
15,1,1,17:15,1,1,3,0,3,41,2,0,0,67,14,7,55,1,0,50,19,89,3,23,41
16,1, ,17:14,3,1,0,0,0,0,0,0,0,67,14,7,55,1,0,50,19,89,3,23,41
17,1,1,17:14,4,1,10,11,3,0,0,0,0,42,10,51,77,1,0,11,63,17,3,23,41
18,1,1,17:04,2,1,17,0,3,15,1,11,23,42,10,51,77,1,0,11,63,17,3,23,41
19,1,0,17:04,4,0,23,63,1,0,0,0,0,23,21,28,51,77,1,24,63,18,20,26,41
20,1,0,16:28,5,1,26,28,2,0,0,0,0,23,21,28,7,47,1,24,63,18,20,26,41
21,1,0,16:23,1,0,28,0,3,9,4,0,0,23,21,28,7,47,1,24,63,18,20,26,41
22,1,0,15:22,8,1,50,0,3,0,0,0,0,67,10,14,51,55,1,50,28,89,3,4,41
23,1,0,15:09,5,0,55,28,1,0,0,0,0,67,10,14,4,55,1,50,28,89,3,53,41
24,1,0,14:36,5,0,4,14,2,0,0,0,0,42,67,10,4,51,1,14,38,19,20,26,41
25,1,0,14:27,6,1,20,42,2,0,0,0,0,42,73,12,51,77,1,14,38,19,20,26,41
26,1,1,14:27,4,0,24,14,3,0,0,0,0,27,19,24,14,7,1,14,18,4,23,41,0
27,1,1,14:19,1,0,19,0,3,36,1,0,0,27,19,24,14,7,1,14,18,4,23,41,0
28,1, ,14:18,3,1,0,0,0,0,0,0,0,27,19,24,14,7,1,14,18,4,23,41,0
29,1,-1,14:18,4,1,27,14,2,0,0,0,0,27,19,24,14,7,1,14,18,4,23,41,0
30,1,1,14:14,5,0,19,23,3,0,0,0,0,27,19,24,14,7,1,14,18,4,23,41,0
31,1,1,14:08,1,0,27,0,3,43,2,0,0,27,19,24,14,7,1,14,18,4,23,41,0
