# 2014/03/20 
# MIN , N.J 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,64,29,11,20,46,30,15,68,29,6,7,35
2,1,0,20:00,4,1,64,19,1,0,0,0,0,64,29,11,20,46,30,19,15,68,6,7,35
3,1,0,19:09,1,1,26,0,3,44,3,0,0,9,14,26,6,25,30,14,68,26,2,34,35
4,1,0,18:59,5,0,9,34,2,0,0,0,0,9,14,26,6,25,30,14,68,26,2,34,35
5,1,0,18:36,1,1,17,0,3,17,0,0,0,3,15,26,6,25,30,14,17,26,2,24,35
6,1,0,18:10,5,1,28,22,1,0,0,0,0,3,22,15,6,25,30,8,16,29,24,28,35
7,1,0,18:03,5,1,24,15,1,0,0,0,0,3,22,15,4,39,30,8,16,29,24,28,35
8,1,0,17:55,5,1,29,39,3,0,0,0,0,8,21,24,4,39,30,8,16,29,6,7,35
9,1,0,17:39,8,0,24,0,3,0,0,0,0,8,21,24,4,39,30,8,16,29,6,7,35
10,1,0,17:36,1,0,4,0,3,59,2,0,0,8,21,24,4,39,30,8,16,29,6,7,35
11,1, ,17:22,3,6,0,0,0,0,0,0,0,8,21,24,4,39,30,8,16,23,6,7,35
12,1,0,17:22,4,1,21,19,3,0,0,0,0,8,21,24,4,39,30,19,15,68,2,22,35
13,1,0,17:11,5,1,19,4,3,0,0,0,0,8,21,24,4,39,30,19,15,68,2,22,35
14,1,0,16:41,1,1,14,0,3,31,3,0,0,9,14,26,20,46,30,14,19,68,2,22,35
15,1,0,16:27,8,1,14,0,3,0,0,0,0,9,14,26,20,46,30,14,19,68,24,28,35
16,1,0,16:03,5,0,6,14,2,0,0,0,0,9,14,26,6,20,30,14,17,26,24,28,35
17,1,0,16:00,6,1,14,9,3,0,0,0,0,9,14,26,6,20,30,14,17,26,24,28,35
18,1,1,16:00,4,0,9,8,3,0,0,0,0,9,29,11,26,20,30,8,26,24,28,35,0
19,1,1,15:48,1,0,29,0,3,25,2,0,0,9,29,11,26,20,30,8,26,24,28,35,0
20,1,1,15:36,1,0,11,0,3,8,1,0,0,9,29,11,26,20,30,8,26,24,28,35,0
21,1,1,15:14,9,0,26,0,3,0,0,0,0,9,29,11,26,20,30,23,11,6,7,35,0
22,1,1,14:06,1,0,64,0,3,10,6,0,0,64,22,15,6,20,30,16,15,24,28,35,0
23,1,0,13:58,7,0,6,0,3,66,2,0,0,64,22,15,6,20,30,14,16,15,24,28,35
24,1,0,13:50,13,1,16,15,2,0,0,0,0,64,22,15,6,20,30,14,16,15,2,34,35
25,1,0,13:50,8,1,14,0,1,0,0,0,0,64,22,15,6,20,30,14,16,15,2,34,35
26,1,0,13:32,8,1,8,0,3,0,0,0,0,21,15,24,6,20,30,8,19,68,2,34,35
27,1,0,13:25,1,1,8,0,3,9,0,0,0,21,15,24,6,20,30,8,19,68,2,34,35
28,1,0,13:19,1,1,19,0,3,12,1,0,0,21,15,24,6,20,30,8,19,68,2,34,35
29,1,0,12:56,5,1,14,4,3,0,0,0,0,21,24,26,4,39,30,14,19,68,6,7,35
30,1,0,12:32,9,1,17,0,3,0,0,0,0,9,14,26,20,46,30,14,17,26,6,7,35
31,1,0,12:19,5,0,20,29,2,0,0,0,0,9,14,22,20,46,30,17,26,29,24,28,35
32,1,0,12:16,7,1,17,0,3,11,5,0,0,9,14,22,20,46,30,17,26,29,24,28,35
33,1,0,11:51,7,1,24,0,3,52,2,0,0,3,22,15,6,20,30,8,16,29,24,28,35
34,1, ,11:39,3,6,0,0,0,0,0,0,0,3,22,15,6,20,30,8,16,29,24,28,35
35,1,0,11:39,4,1,3,11,3,0,0,0,0,3,22,15,6,20,30,23,11,68,2,34,35
