# 2014/03/29 
# ANA , VAN 
# 5 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,15,10,5,6,31,17,14,20,3,23,31
2,1,0,20:00,4,1,10,17,1,0,0,0,0,13,15,10,5,6,31,17,14,20,3,23,31
3,1, ,19:51,3,1,0,0,0,0,0,0,0,13,15,10,5,6,31,17,14,20,3,23,31
4,1,0,19:51,4,0,11,27,3,0,0,0,0,7,11,33,5,6,31,27,22,46,2,5,31
5,1,0,19:40,1,0,5,0,3,65,2,0,0,7,11,33,5,6,31,27,22,46,2,5,31
6,1, ,19:26,3,6,0,0,0,0,0,0,0,7,11,33,5,6,31,27,22,46,2,5,31
7,1,0,19:26,4,1,13,27,2,0,0,0,0,13,15,10,19,23,31,27,22,46,2,5,31
8,1,0,19:10,1,0,10,0,3,23,1,0,0,13,15,10,19,23,31,27,22,46,2,5,31
9,1,0,19:01,5,0,19,22,2,0,0,0,0,13,15,10,19,23,31,27,22,46,3,23,31
10,1,0,18:50,7,0,13,0,3,23,6,0,0,13,15,10,45,55,31,17,14,20,3,23,31
11,1,0,18:34,13,0,62,23,2,0,0,0,0,21,22,62,45,55,31,17,14,20,3,23,31
12,1,0,18:11,5,1,20,45,3,0,0,0,0,21,22,62,45,55,31,17,14,20,6,23,31
13,1,0,17:47,5,0,6,9,2,0,0,0,0,34,67,39,5,6,31,9,15,7,6,18,31
14,1,0,17:42,13,1,6,6,2,0,0,0,0,34,67,39,5,6,31,9,15,7,6,18,31
15,1,0,17:29,1,0,34,0,3,16,1,0,0,15,34,67,39,5,6,9,15,7,6,18,31
16,1,0,17:26,6,1,7,67,3,0,0,0,0,15,34,67,39,5,6,9,15,7,6,18,31
17,1,-1,17:26,4,1,22,17,2,0,0,0,0,15,22,10,62,45,31,17,20,2,5,31,0
18,1,-1,17:18,9,1,2,0,2,0,0,0,0,15,22,10,62,45,31,17,20,2,5,31,0
19,1,1,16:51,7,0,10,0,3,27,1,0,0,15,22,10,62,45,31,17,20,2,5,31,0
20,1,1,16:34,9,0,15,0,3,0,0,0,0,15,22,10,62,45,31,17,20,2,5,31,0
21,1,1,16:25,13,1,15,10,2,0,0,0,0,13,15,10,39,45,31,15,20,3,23,31,0
22,1,-1,16:22,1,1,15,0,3,25,1,0,0,13,15,10,39,45,31,15,20,3,23,31,0
23,1, ,16:22,3,1,0,0,0,0,0,0,0,13,15,10,39,45,31,15,20,3,23,31,0
