# 2014/04/06 
# PIT , COL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,22,15,7,41,29,29,90,11,2,61,1
2,1,0,20:00,4,0,16,29,1,0,0,0,0,16,22,15,7,41,29,29,90,11,2,61,1
3,1, ,19:31,3,2,0,0,0,0,0,0,0,19,18,36,7,41,29,29,90,11,2,61,1
4,1,0,19:31,4,1,16,26,1,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
5,1,0,19:14,8,0,4,0,2,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
6,1,0,18:57,1,0,2,0,3,58,1,0,0,16,22,15,2,4,29,7,26,92,6,8,1
7,1,0,18:48,5,0,15,92,1,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
8,1, ,18:33,3,2,0,0,0,0,0,0,0,25,49,17,2,4,29,25,24,58,4,5,1
9,1,0,18:33,4,1,25,24,1,0,0,0,0,25,49,17,5,47,29,25,24,58,4,5,1
10,1, ,18:11,3,6,0,0,0,0,0,0,0,25,49,17,5,47,29,25,24,58,4,5,1
11,1,0,18:11,4,1,27,24,2,0,0,0,0,45,59,27,5,47,29,25,24,58,4,5,1
12,1,0,17:44,5,1,42,45,2,0,0,0,0,45,59,27,7,41,29,25,28,42,2,4,1
13,1,0,17:25,5,1,2,45,3,0,0,0,0,45,59,27,7,41,29,28,42,2,44,61,1
14,1,0,16:54,13,0,41,2,2,0,0,0,0,19,18,36,7,41,29,29,90,11,2,61,1
15,1,0,16:40,1,1,29,0,3,22,1,0,0,19,18,36,7,41,29,29,90,11,6,8,1
16,1,0,16:35,1,1,8,0,3,65,1,0,0,19,18,36,7,41,29,29,90,11,6,8,1
17,1, ,16:35,3,1,0,0,0,0,0,0,0,19,18,36,7,41,29,29,90,11,6,8,1
18,1,0,16:35,4,1,16,26,3,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
19,1,0,16:03,5,1,92,22,2,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
20,1,0,15:55,8,0,22,0,3,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
21,1,0,15:52,8,1,6,0,2,0,0,0,0,16,22,15,2,4,29,7,26,92,6,8,1
22,1,0,15:39,1,0,4,0,3,62,3,0,0,16,22,15,2,4,29,7,26,92,6,8,1
23,1,0,15:38,1,0,22,0,3,8,1,0,0,16,22,15,2,4,29,7,26,92,6,8,1
24,1,0,15:30,5,1,58,2,3,0,0,0,0,25,22,17,2,5,29,24,58,92,4,5,1
25,1,0,15:28,5,0,17,92,1,0,0,0,0,25,22,17,2,5,29,24,58,92,4,5,1
26,1,0,15:18,13,0,49,5,2,0,0,0,0,25,49,17,5,47,29,25,24,58,4,5,1
27,1,0,15:05,5,1,58,25,2,0,0,0,0,25,22,17,5,47,29,25,24,58,4,5,1
28,1,0,14:52,1,0,25,0,3,58,1,0,0,25,49,59,5,47,29,25,28,24,4,5,1
29,1,0,14:38,5,1,42,59,1,0,0,0,0,45,59,27,5,41,29,28,42,2,44,61,1
30,1,0,14:20,5,1,42,41,3,0,0,0,0,45,59,27,7,41,29,28,42,2,44,61,1
31,1,0,14:08,13,0,59,2,2,0,0,0,0,45,59,27,7,41,29,28,29,2,8,44,1
32,1, ,14:08,3,4,0,0,0,0,0,0,0,45,59,27,7,41,29,28,29,2,8,44,1
