# 2014/04/08 
# CAR , NYR 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,12,28,27,65,30,21,26,61,6,18,30
2,1,0,20:00,4,1,12,21,1,0,0,0,0,8,12,28,27,65,30,21,26,61,6,18,30
3,1,0,19:41,5,0,12,21,2,0,0,0,0,8,12,28,27,65,30,21,26,61,6,18,30
4,1,0,19:21,9,1,36,0,1,0,0,0,0,11,14,28,27,65,30,16,36,67,6,18,30
5,1,0,19:14,1,0,14,0,3,45,1,0,0,11,14,39,26,73,30,16,36,67,6,18,30
6,1,0,18:56,1,0,26,0,3,61,1,0,0,11,14,39,26,73,30,16,36,67,6,18,30
7,1, ,18:56,3,1,0,0,0,0,0,0,0,11,14,39,26,73,30,16,36,67,6,18,30
8,1,0,18:56,4,0,20,19,3,0,0,0,0,16,20,53,7,44,30,19,12,62,5,17,30
9,1,0,18:52,13,0,44,12,2,0,0,0,0,16,20,53,7,44,30,19,12,62,5,17,30
10,1,0,18:13,5,1,12,20,3,0,0,0,0,20,18,21,7,44,30,19,12,62,6,18,30
11,1,0,18:05,8,1,22,0,1,0,0,0,0,20,18,21,7,44,30,22,28,15,6,18,30
12,1,0,18:02,13,1,22,44,2,0,0,0,0,20,18,21,7,44,30,22,28,15,6,18,30
13,1,0,17:52,5,1,15,18,3,0,0,0,0,22,18,21,27,65,30,22,28,15,6,18,30
14,1,0,17:47,13,1,18,18,2,0,0,0,0,22,18,21,27,65,30,22,28,15,6,18,30
15,1, ,17:47,3,4,0,0,0,0,0,0,0,22,18,21,27,65,30,22,28,15,6,18,30
16,1,0,17:47,4,0,12,21,2,0,0,0,0,8,12,28,27,65,30,21,26,61,5,17,30
17,1,0,17:15,1,1,21,0,3,26,1,0,0,8,12,28,27,65,30,21,26,61,5,17,30
18,1,0,17:10,1,1,61,0,3,30,1,0,0,8,12,28,27,65,30,21,26,61,5,17,30
19,1,0,16:41,8,0,73,0,3,0,0,0,0,11,14,39,26,73,30,16,36,67,4,8,30
20,1,0,16:38,2,0,39,0,3,12,3,73,0,11,14,39,26,73,30,16,36,67,4,8,30
21,1,0,16:38,4,0,20,19,1,0,0,0,0,16,20,53,26,73,30,19,12,62,4,8,30
22,1,0,16:16,9,1,19,0,3,0,0,0,0,16,20,53,26,73,30,19,12,62,4,8,30
23,1,0,16:09,13,0,16,4,2,0,0,0,0,16,20,53,26,73,30,19,12,62,4,8,30
24,1,0,15:48,7,1,22,0,3,15,3,0,0,22,18,21,7,44,30,22,28,15,6,18,30
