# 2014/04/11 
# COL , S.J 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,90,15,11,6,8,20,8,19,88,7,61,32
2,1,0,20:00,4,0,90,19,1,0,0,0,0,90,15,11,6,8,20,8,19,88,7,61,32
3,1,0,19:35,9,1,19,0,3,0,0,0,0,90,15,11,6,8,20,8,19,88,7,61,32
4,1,0,19:08,1,0,92,0,3,14,1,0,0,26,29,92,2,61,20,12,39,9,22,52,32
5,1,0,19:03,5,0,92,22,3,0,0,0,0,26,29,92,2,61,20,12,39,9,22,52,32
6,1,0,19:00,7,0,29,0,3,14,0,0,0,26,29,92,2,61,20,12,39,9,22,52,32
7,1,0,18:25,1,1,48,0,3,47,2,0,0,25,24,58,4,5,20,15,48,57,5,27,32
8,1, ,18:25,3,1,0,0,0,0,0,0,0,25,24,58,4,5,20,15,48,57,5,27,32
9,1,0,18:25,4,0,24,15,2,0,0,0,0,25,24,58,4,5,20,15,48,57,5,27,32
10,1,0,18:11,1,1,27,0,3,68,1,0,0,25,24,58,4,5,20,15,48,57,5,27,32
11,1,0,18:03,1,0,4,0,3,55,1,0,0,25,24,58,4,5,20,15,48,57,5,27,32
12,1, ,18:03,3,1,0,0,0,0,0,0,0,25,24,58,4,5,20,15,48,57,5,27,32
13,1,0,18:03,4,1,42,10,2,0,0,0,0,28,42,6,8,44,20,10,38,81,7,61,32
14,1,0,17:45,1,0,28,0,3,34,3,0,0,28,42,6,8,44,20,10,38,81,7,61,32
15,1,0,17:29,5,0,42,38,2,0,0,0,0,28,42,4,5,44,20,10,38,81,7,61,32
16,1,0,17:22,5,0,42,22,3,0,0,0,0,28,42,4,5,44,20,8,19,88,22,52,32
17,1,0,17:07,5,1,52,15,2,0,0,0,0,90,15,11,4,5,20,8,19,88,22,52,32
18,1,0,16:59,2,1,22,0,3,39,1,19,88,90,15,11,6,8,20,8,19,88,22,52,32
19,1,0,16:59,4,1,90,19,1,0,0,0,0,90,15,11,6,8,20,8,19,88,22,52,32
20,1,0,16:49,9,0,8,0,2,0,0,0,0,90,15,11,6,8,20,8,19,88,22,52,32
21,1,0,16:46,7,1,88,0,3,46,1,0,0,90,15,11,6,8,20,8,19,88,22,52,32
22,1,0,16:20,1,0,90,0,3,51,2,0,0,90,15,11,2,61,20,8,19,88,22,52,32
23,1,0,16:06,9,0,92,0,2,0,0,0,0,26,29,92,2,61,20,12,39,9,5,27,32
24,1,0,15:45,9,0,61,0,2,0,0,0,0,26,29,92,2,61,20,12,39,9,5,27,32
25,1,0,15:35,9,0,92,0,2,0,0,0,0,26,29,92,2,61,20,12,39,9,5,27,32
26,1,0,15:33,1,1,39,0,3,23,1,0,0,26,29,92,2,61,20,12,39,9,5,27,32
27,1, ,15:33,3,1,0,0,0,0,0,0,0,26,29,92,2,61,20,12,39,9,5,27,32
28,1,0,15:33,4,0,24,15,2,0,0,0,0,25,24,58,4,5,20,15,48,57,7,61,32
29,1,0,15:16,5,1,15,4,3,0,0,0,0,25,24,58,4,5,20,15,48,57,7,61,32
30,1,0,14:41,1,0,42,0,3,7,6,0,0,25,42,58,2,61,20,15,48,57,7,61,32
31,1,0,14:17,5,0,28,7,3,0,0,0,0,28,42,2,44,61,20,15,38,81,7,61,32
32,1,0,14:10,9,0,42,0,1,0,0,0,0,28,42,2,44,61,20,10,38,81,22,52,32
33,1,0,14:03,13,0,44,22,2,0,0,0,0,28,42,2,44,61,20,10,38,81,22,52,32
34,1, ,14:03,3,4,0,0,0,0,0,0,0,90,15,11,6,8,20,10,38,81,22,52,32
35,1,0,14:03,4,0,90,8,3,0,0,0,0,90,15,11,6,8,20,8,19,88,22,52,32
36,1,0,13:47,6,1,8,90,0,0,0,0,0,90,15,11,6,8,20,8,19,88,22,52,32
37,1, ,13:47,3,9,0,0,0,0,0,0,0,90,15,11,6,8,20,19,88,22,52,32,0
38,1,-1,13:47,4,1,29,10,2,0,0,0,0,26,29,92,4,6,20,10,57,5,27,32,0
39,1,-1,13:25,13,0,6,57,2,0,0,0,0,26,29,92,4,6,20,10,57,5,27,32,0
40,1,-1,12:36,13,0,29,61,2,0,0,0,0,26,29,92,4,6,20,38,9,7,61,32,0
41,1,-1,12:14,13,0,2,81,2,0,0,0,0,90,15,11,2,61,20,15,81,5,27,32,0
42,1, ,12:14,3,4,0,0,0,0,0,0,0,90,15,11,2,61,20,15,81,5,27,32,0
43,1,1,12:14,4,0,90,10,3,0,0,0,0,90,15,11,2,61,20,10,15,5,27,32,0
44,1,1,11:56,1,0,61,0,3,54,2,0,0,90,15,11,2,61,20,10,15,5,27,32,0
45,1,1,11:49,5,0,11,27,3,0,0,0,0,90,15,11,2,61,20,10,15,5,27,32,0
46,1, ,11:09,3,10,0,0,0,0,0,0,0,25,24,58,8,61,20,8,19,88,22,52,32
47,1,0,11:09,4,0,24,19,2,0,0,0,0,25,24,58,6,8,20,8,19,88,22,52,32
48,1,0,10:58,5,1,88,8,3,0,0,0,0,25,24,58,6,8,20,8,19,88,22,52,32
49,1,0,10:46,8,1,8,0,1,0,0,0,0,25,24,58,6,8,20,8,19,88,22,52,32
50,1,0,9:50,9,0,26,0,1,0,0,0,0,26,29,92,4,5,20,12,39,9,7,61,32
51,1,0,9:49,2,1,12,0,3,39,2,9,39,26,29,92,4,5,20,12,39,9,7,61,32
52,1,0,9:49,4,0,26,39,1,0,0,0,0,26,29,92,4,5,35,12,39,9,5,27,32
53,1,0,9:30,5,0,92,5,3,0,0,0,0,26,29,92,4,5,35,12,39,9,5,27,32
54,1,0,9:22,9,1,12,0,3,0,0,0,0,26,29,92,4,5,35,12,39,9,5,27,32
55,1,0,9:04,7,1,9,0,3,49,1,0,0,29,90,11,4,61,35,12,15,9,5,27,32
